time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Grant (D. Rose gains possession),,,,Jump ball: P. Gasol vs. J. Grant (D. Rose gains possession)
11:40.0,,,0-3,3,J. Butler makes 3-pt shot from 23 ft
11:18.0,J. Richardson misses 2-pt shot from 17 ft,,0-3,,
11:16.0,Offensive rebound by F. Aldemir,,0-3,,
11:11.0,R. Covington misses 3-pt shot from 25 ft,,0-3,,
11:10.0,,,0-3,,Defensive rebound by P. Gasol
11:04.0,,,0-3,,D. Rose misses 2-pt shot from 21 ft
11:03.0,Defensive rebound by J. Richardson,,0-3,,
10:53.0,J. Sampson makes 2-pt shot from 5 ft,2,2-3,,
10:38.0,,,2-5,2,P. Gasol makes 2-pt shot at rim (assist by J. Noah)
10:19.0,J. Grant misses 3-pt shot from 22 ft,,2-5,,
10:18.0,Offensive rebound by F. Aldemir,,2-5,,
10:14.0,J. Grant misses 2-pt shot from 1 ft (block by J. Noah),,2-5,,
10:12.0,Offensive rebound by F. Aldemir,,2-5,,
10:11.0,F. Aldemir misses 2-pt shot from 2 ft,,2-5,,
10:10.0,,,2-5,,Defensive rebound by P. Gasol
9:55.0,,,2-5,,P. Gasol misses 3-pt shot from 22 ft
9:54.0,Defensive rebound by J. Sampson,,2-5,,
9:41.0,R. Covington misses 3-pt shot from 24 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by M. Dunleavy
9:30.0,,,2-5,,D. Rose misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by Team,,2-5,,
9:15.0,R. Covington makes 2-pt shot from 2 ft,2,4-5,,
9:08.0,,,4-5,,D. Rose misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by J. Richardson,,4-5,,
8:56.0,J. Sampson makes 2-pt shot from 1 ft,2,6-5,,
8:40.0,,,6-5,,Shooting foul by J. Grant (drawn by M. Dunleavy)
8:40.0,,,6-5,,M. Dunleavy misses free throw 1 of 2
8:40.0,,,6-5,,Offensive rebound by Team
8:40.0,,,6-6,1,M. Dunleavy makes free throw 2 of 2
8:29.0,Turnover by J. Grant (bad pass; steal by M. Dunleavy),,6-6,,
8:28.0,,,6-6,,Shooting foul by R. Covington (drawn by J. Butler)
8:28.0,,,6-7,1,J. Butler makes free throw 1 of 2
8:28.0,,,6-7,,J. Butler misses free throw 2 of 2
8:25.0,Defensive rebound by F. Aldemir,,6-7,,
8:16.0,J. Grant makes 3-pt shot from 25 ft (assist by J. Sampson),3,9-7,,
8:04.0,,,9-7,,Turnover by J. Noah (bad pass; steal by F. Aldemir)
7:52.0,Turnover by J. Grant (traveling),,9-7,,
7:32.0,,,9-7,,Shooting foul by J. Richardson (drawn by P. Gasol)
7:32.0,,,9-8,1,P. Gasol makes free throw 1 of 2
7:32.0,,,9-9,1,P. Gasol makes free throw 2 of 2
7:14.0,J. Sampson misses 3-pt shot from 25 ft,,9-9,,
7:13.0,,,9-9,,Defensive rebound by D. Rose
7:10.0,,,9-9,,J. Butler misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by J. Sampson,,9-9,,
7:02.0,Turnover by J. Richardson (bad pass; steal by J. Butler),,9-9,,
7:00.0,,,9-9,,Shooting foul by J. Grant (drawn by J. Butler)
7:00.0,,,9-10,1,J. Butler makes free throw 1 of 2
7:00.0,T. Robinson enters the game for J. Grant,,9-10,,
7:00.0,,,9-11,1,J. Butler makes free throw 2 of 2
6:41.0,Turnover by F. Aldemir (lost ball; steal by J. Noah),,9-11,,
6:35.0,,,9-13,2,D. Rose makes 2-pt shot from 4 ft
6:27.0,,,9-13,,Personal foul by J. Noah (drawn by J. Sampson)
