time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Morris (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Morris (B. Griffin gains possession)
11:41.0,M. Barnes misses 3-pt shot from 25 ft,,0-0,,
11:39.0,Offensive rebound by D. Jordan,,0-0,,
11:38.0,D. Jordan misses 2-pt shot from 4 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by Team
11:36.0,Loose ball foul by D. Jordan (drawn by M. Morris),,0-0,,
11:20.0,,,0-0,,E. Bledsoe misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by D. Jordan,,0-0,,
11:07.0,C. Paul misses 2-pt shot from 17 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by P. Tucker
10:49.0,,,0-0,,P. Tucker misses 2-pt shot from 22 ft
10:47.0,Defensive rebound by M. Barnes,,0-0,,
10:45.0,D. Jordan makes 2-pt shot at rim (assist by M. Barnes),2,2-0,,
10:32.0,,,2-2,2,T. Warren makes 2-pt shot from 7 ft (assist by M. Morris)
10:07.0,B. Griffin makes 2-pt shot from 20 ft,2,4-2,,
9:56.0,,,4-2,,M. Morris misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by Team,,4-2,,
9:47.0,J. Redick misses 3-pt shot from 23 ft,,4-2,,
9:45.0,Offensive rebound by M. Barnes,,4-2,,
9:44.0,M. Barnes misses 2-pt shot from 3 ft (block by M. Morris),,4-2,,
9:44.0,Offensive rebound by Team,,4-2,,
9:35.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,6-2,,
9:12.0,,,6-2,,P. Tucker misses 2-pt shot from 22 ft
9:10.0,Defensive rebound by D. Jordan,,6-2,,
9:00.0,C. Paul misses 2-pt shot from 15 ft,,6-2,,
8:58.0,Offensive rebound by D. Jordan,,6-2,,
8:56.0,J. Redick misses 3-pt shot from 24 ft,,6-2,,
8:54.0,,,6-2,,Defensive rebound by M. Morris
8:45.0,,,6-2,,A. Goodwin misses 2-pt shot from 19 ft
8:43.0,Defensive rebound by B. Griffin,,6-2,,
8:38.0,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul),2,8-2,,
