time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (J. Terry gains possession),,,,Jump ball: T. Chandler vs. D. Howard (J. Terry gains possession)
11:39.0,,,0-0,,Offensive charge foul by J. Harden
11:39.0,,,0-0,,Turnover by D. Howard (offensive foul)
11:17.0,M. Ellis misses 2-pt shot from 20 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by T. Ariza
11:08.0,,,0-0,,T. Jones misses 3-pt shot from 26 ft
11:07.0,Defensive rebound by C. Parsons,,0-0,,
11:02.0,,,0-0,,Personal foul by J. Terry (drawn by C. Parsons)
10:53.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo),2,2-0,,
10:36.0,Personal foul by T. Chandler (drawn by D. Howard),,2-0,,
10:28.0,,,2-0,,D. Howard misses 2-pt shot from 7 ft
10:27.0,Defensive rebound by C. Parsons,,2-0,,
10:21.0,C. Parsons misses 2-pt shot from 16 ft,,2-0,,
10:20.0,,,2-0,,Defensive rebound by T. Ariza
10:08.0,,,2-2,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
9:55.0,C. Parsons misses 3-pt shot from 26 ft,,2-2,,
9:54.0,,,2-2,,Defensive rebound by D. Howard
9:45.0,,,2-4,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
9:18.0,R. Rondo misses 2-pt shot from 8 ft (block by D. Howard),,2-4,,
9:16.0,,,2-4,,Defensive rebound by J. Terry
9:10.0,,,2-4,,Turnover by J. Terry (bad pass; steal by M. Ellis)
9:07.0,Turnover by M. Ellis (bad pass; steal by T. Ariza),,2-4,,
9:03.0,,,2-7,3,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza)
8:53.0,Turnover by M. Ellis (lost ball),,2-7,,
8:38.0,,,2-7,,D. Howard misses 2-pt shot from 3 ft
8:37.0,Defensive rebound by D. Nowitzki,,2-7,,
8:30.0,Turnover by D. Nowitzki (bad pass; steal by J. Terry),,2-7,,
8:28.0,,,2-9,2,J. Terry makes 2-pt shot from 1 ft
8:28.0,Dallas full timeout,,2-9,,
8:08.0,T. Chandler misses 2-pt shot from 10 ft (block by D. Howard),,2-9,,
8:08.0,Offensive rebound by Team,,2-9,,
8:03.0,R. Rondo misses 3-pt shot from 25 ft,,2-9,,
8:00.0,,,2-9,,Defensive rebound by T. Ariza
7:55.0,Violation by R. Rondo (kicked ball),,2-9,,
7:48.0,,,2-9,,Turnover by J. Harden (bad pass)
7:40.0,M. Ellis makes 2-pt shot from 19 ft,2,4-9,,
7:28.0,,,4-11,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
7:14.0,M. Ellis misses 2-pt shot from 6 ft (block by D. Howard),,4-11,,
7:12.0,,,4-11,,Defensive rebound by T. Jones
7:07.0,,,4-14,3,T. Ariza makes 3-pt shot from 27 ft (assist by T. Jones)
6:54.0,Shooting foul by D. Howard (drawn by M. Ellis),,4-14,,
6:54.0,M. Ellis makes free throw 1 of 2,1,5-14,,
6:54.0,A. Aminu enters the game for D. Nowitzki,,5-14,,
6:54.0,M. Ellis makes free throw 2 of 2,1,6-14,,
6:36.0,,,6-17,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
6:23.0,M. Ellis misses 2-pt shot from 15 ft,,6-17,,
6:22.0,,,6-17,,Defensive rebound by T. Ariza
6:16.0,,,6-19,2,J. Terry makes 2-pt shot from 23 ft (assist by T. Ariza)
6:15.0,Dallas full timeout,,6-19,,
6:01.0,C. Parsons misses 2-pt shot from 3 ft,,6-19,,
6:01.0,,,6-19,,Defensive rebound by J. Terry
5:54.0,,,6-19,,Turnover by J. Terry (bad pass; steal by T. Chandler)
5:50.0,C. Parsons makes 2-pt shot at rim (assist by M. Ellis),2,8-19,,
5:40.0,,,8-19,,T. Ariza misses 2-pt shot from 19 ft
5:40.0,Defensive rebound by Team,,8-19,,
5:40.0,,,8-19,,Loose ball foul by D. Howard (drawn by T. Chandler)
5:40.0,,,8-19,,C. Capela enters the game for D. Howard
5:40.0,D. Nowitzki enters the game for C. Parsons,,8-19,,
5:40.0,D. Harris enters the game for R. Rondo,,8-19,,
5:25.0,D. Harris makes 2-pt shot at rim,2,10-19,,
5:13.0,,,10-19,,Shooting foul by D. Nowitzki (drawn by C. Capela)
5:13.0,,,10-19,,C. Capela misses free throw 1 of 2
5:13.0,,,10-19,,Offensive rebound by Team
5:13.0,,,10-19,,P. Prigioni enters the game for J. Terry
5:13.0,A. Stoudemire enters the game for T. Chandler,,10-19,,
5:13.0,,,10-20,1,C. Capela makes free throw 2 of 2
5:05.0,Turnover by D. Harris (lost ball),,10-20,,
