time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession)
11:42.0,T. Parker misses 2-pt shot from 20 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Jordan
11:25.0,,,0-0,,B. Griffin misses 2-pt shot from 4 ft
11:24.0,,,0-0,,Offensive rebound by D. Jordan
11:24.0,,,0-0,,D. Jordan misses 2-pt shot from 3 ft
11:21.0,Defensive rebound by K. Leonard,,0-0,,
11:10.0,K. Leonard misses 2-pt shot from 4 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by B. Griffin
10:58.0,,,0-2,2,C. Paul makes 2-pt shot from 19 ft
10:42.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker),2,2-2,,
10:20.0,,,2-2,,M. Barnes misses 2-pt shot at rim
10:19.0,Defensive rebound by T. Duncan,,2-2,,
10:11.0,T. Parker misses 2-pt shot from 18 ft,,2-2,,
10:10.0,,,2-2,,Defensive rebound by M. Barnes
9:53.0,,,2-4,2,D. Jordan makes 2-pt shot from 4 ft (assist by B. Griffin)
9:41.0,Shooting foul by B. Griffin (drawn by T. Splitter),,2-4,,
9:41.0,T. Splitter makes free throw 1 of 2,1,3-4,,
9:41.0,T. Splitter misses free throw 2 of 2,,3-4,,
9:41.0,,,3-4,,Defensive rebound by C. Paul
9:26.0,,,3-4,,Turnover by Team (back court)
9:17.0,T. Parker misses 2-pt shot at rim (block by D. Jordan),,3-4,,
9:17.0,Offensive rebound by Team,,3-4,,
9:08.0,T. Duncan makes 2-pt shot from 3 ft (assist by T. Splitter),2,5-4,,
8:46.0,,,5-4,,B. Griffin misses 2-pt shot from 18 ft
8:43.0,Defensive rebound by T. Duncan,,5-4,,
8:28.0,T. Duncan makes 2-pt shot from 9 ft,2,7-4,,
8:28.0,Shooting foul by D. Jordan (drawn by T. Duncan),,7-4,,
8:28.0,T. Duncan misses free throw 1 of 1,,7-4,,
8:27.0,,,7-4,,Defensive rebound by D. Jordan
8:10.0,,,7-4,,J. Redick misses 3-pt shot from 25 ft
8:09.0,,,7-4,,Offensive rebound by B. Griffin
8:09.0,,,7-6,2,B. Griffin makes 2-pt shot at rim
7:51.0,K. Leonard misses 2-pt shot from 14 ft (block by M. Barnes),,7-6,,
7:48.0,Offensive rebound by K. Leonard,,7-6,,
7:48.0,K. Leonard makes 2-pt shot from 9 ft,2,9-6,,
7:41.0,,,9-8,2,C. Paul makes 2-pt shot from 10 ft
7:18.0,T. Duncan makes 2-pt shot from 7 ft,2,11-8,,
7:09.0,Personal foul by K. Leonard (drawn by J. Redick),,11-8,,
7:09.0,B. Diaw enters the game for T. Splitter,,11-8,,
6:59.0,,,11-11,3,J. Redick makes 3-pt shot from 28 ft (assist by C. Paul)
