time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (D. Williams gains possession),,,,Jump ball: A. Horford vs. B. Lopez (D. Williams gains possession)
11:43.0,,,0-0,,D. Williams misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by P. Millsap,,0-0,,
11:19.0,A. Horford makes 2-pt shot from 3 ft (assist by J. Teague),2,2-0,,
10:51.0,,,2-0,,J. Johnson misses 2-pt shot from 4 ft
10:50.0,,,2-0,,Offensive rebound by B. Lopez
10:49.0,,,2-0,,B. Lopez misses 2-pt shot from 1 ft (block by K. Korver)
10:48.0,,,2-0,,Offensive rebound by B. Lopez
10:47.0,,,2-0,,B. Lopez misses 2-pt shot from 2 ft (block by K. Korver)
10:45.0,,,2-0,,Offensive rebound by J. Johnson
10:42.0,,,2-3,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Johnson)
10:36.0,P. Millsap misses 2-pt shot from 2 ft,,2-3,,
10:35.0,,,2-3,,Defensive rebound by D. Williams
10:26.0,,,2-5,2,T. Young makes 2-pt shot from 10 ft (assist by D. Williams)
10:10.0,A. Horford misses 2-pt shot from 17 ft,,2-5,,
10:09.0,,,2-5,,Defensive rebound by D. Williams
10:00.0,,,2-7,2,J. Johnson makes 2-pt shot from 20 ft (assist by D. Williams)
9:34.0,A. Horford misses 3-pt shot from 23 ft,,2-7,,
9:32.0,Offensive rebound by Team,,2-7,,
9:32.0,Jump ball: A. Horford vs. B. Lopez (P. Millsap gains possession),,,,Jump ball: A. Horford vs. B. Lopez (P. Millsap gains possession)
9:22.0,P. Millsap misses 2-pt shot from 5 ft,,2-7,,
9:21.0,,,2-7,,Defensive rebound by B. Lopez
9:13.0,,,2-10,3,D. Williams makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
9:13.0,Atlanta full timeout,,2-10,,
8:50.0,Turnover by D. Carroll (bad pass; steal by D. Williams),,2-10,,
8:42.0,,,2-10,,B. Bogdanovic misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by K. Korver,,2-10,,
8:30.0,Turnover by A. Horford (lost ball; steal by J. Johnson),,2-10,,
8:13.0,,,2-10,,Shooting foul by J. Teague (drawn by B. Lopez)
8:13.0,,,2-10,,B. Lopez misses free throw 1 of 2
8:13.0,,,2-10,,Offensive rebound by Team
8:13.0,,,2-11,1,B. Lopez makes free throw 2 of 2
8:00.0,Turnover by J. Teague (bad pass),,2-11,,
7:51.0,,,2-11,,Turnover by D. Williams (bad pass)
7:41.0,,,2-11,,Personal foul by T. Young (drawn by A. Horford)
7:41.0,A. Horford misses free throw 1 of 2,,2-11,,
7:41.0,Offensive rebound by Team,,2-11,,
7:41.0,A. Horford makes free throw 2 of 2,1,3-11,,
7:31.0,,,3-13,2,B. Lopez makes 2-pt shot from 3 ft (assist by D. Williams)
7:31.0,,,3-13,,Shooting foul by P. Millsap (drawn by B. Lopez)
7:31.0,,,3-14,1,B. Lopez makes free throw 1 of 1
7:25.0,J. Teague misses 2-pt shot from 2 ft,,3-14,,
7:23.0,Offensive rebound by A. Horford,,3-14,,
7:21.0,A. Horford misses 2-pt shot from 4 ft,,3-14,,
7:20.0,Offensive rebound by J. Teague,,3-14,,
6:57.0,D. Carroll misses 2-pt shot from 7 ft,,3-14,,
6:56.0,,,3-14,,Defensive rebound by B. Lopez
6:43.0,,,3-14,,J. Johnson misses 3-pt shot from 25 ft
6:42.0,,,3-14,,Offensive rebound by B. Bogdanovic
6:32.0,,,3-14,,T. Young misses 2-pt shot from 16 ft
6:31.0,Defensive rebound by P. Millsap,,3-14,,
6:26.0,D. Carroll makes 2-pt shot from 2 ft (assist by P. Millsap),2,5-14,,
6:08.0,,,5-16,2,B. Bogdanovic makes 2-pt shot from 17 ft
5:47.0,A. Horford misses 2-pt shot from 15 ft,,5-16,,
5:46.0,,,5-16,,Defensive rebound by D. Williams
5:34.0,,,5-16,,J. Johnson misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by P. Millsap,,5-16,,
5:25.0,,,5-16,,Personal foul by B. Bogdanovic (drawn by J. Teague)
5:25.0,P. Antic enters the game for A. Horford,,5-16,,
5:11.0,D. Carroll makes 3-pt shot from 23 ft (assist by K. Korver),3,8-16,,
4:54.0,,,8-16,,D. Williams misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by K. Korver,,8-16,,
4:44.0,K. Bazemore enters the game for K. Korver,,8-16,,
4:39.0,P. Antic makes 2-pt shot from 2 ft (assist by K. Bazemore),2,10-16,,
4:19.0,,,10-16,,Turnover by B. Lopez (lost ball; steal by P. Millsap)
4:09.0,Turnover by K. Bazemore (lost ball; steal by J. Johnson),,10-16,,
4:02.0,,,10-16,,B. Lopez misses 2-pt shot from 3 ft
4:01.0,Defensive rebound by P. Millsap,,10-16,,
3:46.0,K. Bazemore makes 2-pt shot from 3 ft (assist by J. Teague),2,12-16,,
3:30.0,,,12-19,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by J. Johnson)
3:22.0,J. Teague misses 2-pt shot from 5 ft,,12-19,,
3:21.0,Offensive rebound by D. Carroll,,12-19,,
3:19.0,D. Carroll makes 2-pt shot from 2 ft,2,14-19,,
3:19.0,,,14-19,,Brooklyn full timeout
3:19.0,,,14-19,,A. Anderson enters the game for J. Johnson
3:19.0,D. Schroder enters the game for J. Teague,,14-19,,
3:19.0,K. Korver enters the game for D. Carroll,,14-19,,
2:54.0,,,14-22,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by A. Anderson)
2:48.0,Shooting foul by B. Bogdanovic (drawn by K. Bazemore),,14-22,,
2:48.0,K. Bazemore makes free throw 1 of 2,1,15-22,,
2:48.0,,,15-22,,J. Jack enters the game for B. Bogdanovic
2:48.0,K. Bazemore makes free throw 2 of 2,1,16-22,,
2:42.0,,,16-22,,Turnover by D. Williams (lost ball)
2:33.0,K. Korver misses 2-pt shot from 13 ft,,16-22,,
2:32.0,Offensive rebound by P. Millsap,,16-22,,
2:31.0,P. Millsap misses 2-pt shot from 2 ft,,16-22,,
2:30.0,,,16-22,,Defensive rebound by B. Lopez
2:21.0,,,16-24,2,A. Anderson makes 2-pt shot from 2 ft (assist by T. Young)
2:03.0,Turnover by K. Bazemore (bad pass; steal by T. Young),,16-24,,
1:51.0,,,16-24,,Shooting foul by K. Bazemore (drawn by B. Lopez)
1:51.0,,,16-24,,B. Lopez misses free throw 1 of 2
1:51.0,,,16-24,,Offensive rebound by Team
1:51.0,A. Horford enters the game for P. Millsap,,16-24,,
1:51.0,,,16-25,1,B. Lopez makes free throw 2 of 2
1:35.0,D. Schroder misses 3-pt shot from 25 ft,,16-25,,
1:33.0,,,16-25,,Defensive rebound by T. Young
1:21.0,,,16-27,2,T. Young makes 2-pt shot from 3 ft
1:13.0,D. Schroder misses 2-pt shot from 2 ft,,16-27,,
1:12.0,,,16-27,,Defensive rebound by B. Lopez
1:03.0,,,16-27,,Shooting foul by K. Korver (drawn by T. Young)
1:03.0,,,16-28,1,T. Young makes free throw 1 of 2
1:03.0,,,16-29,1,T. Young makes free throw 2 of 2
0:38.0,K. Bazemore misses 3-pt shot from 23 ft,,16-29,,
0:37.0,,,16-29,,Defensive rebound by D. Williams
0:27.0,,,16-31,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
0:08.0,P. Antic misses 3-pt shot from 27 ft,,16-31,,
0:06.0,,,16-31,,Defensive rebound by B. Lopez
0:01.0,,,16-31,,D. Williams misses 3-pt shot from 30 ft
0:00.0,,,16-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Scott misses 3-pt shot from 25 ft,,16-31,,
11:46.0,Offensive rebound by A. Horford,,16-31,,
11:41.0,K. Korver makes 2-pt shot from 8 ft (assist by A. Horford),2,18-31,,
11:21.0,,,18-31,,J. Johnson misses 2-pt shot from 8 ft
11:19.0,Defensive rebound by M. Scott,,18-31,,
11:11.0,Shooting foul by M. Teletovic (drawn by D. Schroder),,18-31,,
11:11.0,D. Schroder misses free throw 1 of 2,,18-31,,
