time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession)
11:47.0,,,0-0,,K. Leonard misses 2-pt shot from 13 ft (block by D. Jordan)
11:45.0,Defensive rebound by D. Jordan,,0-0,,
11:37.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,2-0,,
11:16.0,,,2-0,,Shooting foul by B. Griffin (drawn by T. Duncan)
11:16.0,,,2-0,,T. Duncan misses free throw 1 of 2
11:16.0,,,2-0,,Offensive rebound by Team
11:16.0,,,2-0,,T. Duncan misses free throw 2 of 2
11:15.0,Defensive rebound by D. Jordan,,2-0,,
11:00.0,C. Paul makes 2-pt shot from 16 ft,2,4-0,,
10:47.0,Violation by C. Paul (kicked ball),,4-0,,
10:31.0,,,4-0,,K. Leonard misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by D. Jordan,,4-0,,
10:16.0,J. Redick makes 2-pt shot from 3 ft (assist by B. Griffin),2,6-0,,
10:15.0,,,6-0,,San Antonio full timeout
10:06.0,,,6-2,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
9:52.0,M. Barnes misses 3-pt shot from 26 ft,,6-2,,
9:51.0,,,6-2,,Defensive rebound by T. Splitter
9:37.0,,,6-2,,Turnover by T. Splitter (lost ball; steal by C. Paul)
9:30.0,J. Redick misses 3-pt shot from 25 ft,,6-2,,
9:29.0,,,6-2,,Defensive rebound by T. Duncan
9:15.0,Personal foul by M. Barnes (drawn by T. Splitter),,6-2,,
9:08.0,,,6-4,2,K. Leonard makes 2-pt shot from 14 ft (assist by T. Duncan)
8:47.0,B. Griffin misses 2-pt shot from 8 ft,,6-4,,
8:46.0,,,6-4,,Defensive rebound by D. Green
8:39.0,,,6-6,2,T. Parker makes 2-pt shot from 1 ft
8:37.0,,,6-6,,Personal foul by T. Duncan (drawn by C. Paul)
8:20.0,Turnover by D. Jordan (3 sec),,6-6,,
8:10.0,,,6-6,,K. Leonard misses 2-pt shot from 20 ft
8:09.0,,,6-6,,Offensive rebound by T. Duncan
7:49.0,,,6-8,2,K. Leonard makes 2-pt shot from 15 ft (assist by D. Green)
7:38.0,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes),3,9-8,,
7:26.0,,,9-8,,T. Splitter misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by B. Griffin,,9-8,,
7:14.0,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul),2,11-8,,
6:53.0,,,11-10,2,K. Leonard makes 2-pt shot from 19 ft
6:33.0,J. Redick misses 2-pt shot from 19 ft,,11-10,,
6:32.0,Offensive rebound by D. Jordan,,11-10,,
6:30.0,D. Jordan misses 2-pt shot from 2 ft (block by T. Duncan),,11-10,,
6:29.0,,,11-10,,Defensive rebound by T. Duncan
