time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Plumlee (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. M. Plumlee (E. Bledsoe gains possession)
11:50.0,Personal foul by M. Leonard (drawn by B. Knight),,0-0,,
11:35.0,,,0-0,,M. Morris misses 2-pt shot from 20 ft
11:35.0,Defensive rebound by A. Aminu,,0-0,,
11:14.0,M. Leonard misses 3-pt shot from 24 ft,,0-0,,
11:13.0,Offensive rebound by A. Aminu,,0-0,,
11:07.0,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum),3,3-0,,
10:52.0,,,3-2,2,B. Knight makes 2-pt shot from 1 ft
10:33.0,M. Leonard misses 2-pt shot from 14 ft,,3-2,,
10:32.0,,,3-2,,Defensive rebound by T. Chandler
10:20.0,,,3-2,,P. Tucker misses 3-pt shot from 22 ft
10:19.0,Defensive rebound by C. McCollum,,3-2,,
10:16.0,Turnover by C. McCollum (bad pass; steal by B. Knight),,3-2,,
10:04.0,,,3-4,2,B. Knight makes 2-pt shot from 1 ft
9:39.0,D. Lillard misses 2-pt shot from 2 ft,,3-4,,
9:38.0,,,3-4,,Defensive rebound by M. Morris
9:38.0,,,3-4,,Turnover by M. Morris (traveling)
9:32.0,C. McCollum makes 2-pt shot from 19 ft (assist by M. Leonard),2,5-4,,
9:11.0,,,5-6,2,T. Chandler makes 2-pt shot at rim (assist by B. Knight)
9:01.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,7-6,,
9:01.0,Shooting foul by T. Chandler (drawn by M. Plumlee),,7-6,,
9:01.0,M. Plumlee misses free throw 1 of 1,,7-6,,
9:00.0,,,7-6,,Defensive rebound by M. Morris
8:51.0,,,7-8,2,E. Bledsoe makes 2-pt shot from 20 ft
8:32.0,D. Lillard misses 3-pt shot from 24 ft,,7-8,,
8:32.0,,,7-8,,Defensive rebound by M. Morris
8:25.0,,,7-8,,Turnover by E. Bledsoe (bad pass; steal by M. Plumlee)
8:20.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,9-8,,
8:15.0,,,9-10,2,T. Chandler makes 2-pt shot at rim (assist by P. Tucker)
8:01.0,Turnover by A. Aminu (bad pass; steal by E. Bledsoe),,9-10,,
7:58.0,,,9-10,,Shooting foul by D. Lillard (drawn by E. Bledsoe)
7:58.0,,,9-11,1,E. Bledsoe makes free throw 1 of 2
7:58.0,,,9-12,1,E. Bledsoe makes free throw 2 of 2
7:46.0,C. McCollum misses 2-pt shot from 17 ft,,9-12,,
7:46.0,,,9-12,,Defensive rebound by P. Tucker
7:33.0,,,9-12,,M. Morris misses 2-pt shot from 17 ft
7:33.0,Defensive rebound by A. Aminu,,9-12,,
7:21.0,Offensive foul by A. Aminu,,9-12,,
7:21.0,Turnover by A. Aminu (offensive foul),,9-12,,
7:04.0,,,9-12,,M. Morris misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by A. Aminu,,9-12,,
6:56.0,A. Aminu makes 2-pt shot at rim,2,11-12,,
6:46.0,,,11-14,2,T. Chandler makes 2-pt shot from 1 ft (assist by B. Knight)
6:30.0,A. Aminu makes 3-pt shot from 24 ft (assist by M. Leonard),3,14-14,,
6:22.0,Shooting block foul by M. Plumlee (drawn by T. Chandler),,14-14,,
6:22.0,,,14-15,1,T. Chandler makes free throw 1 of 2
6:22.0,,,14-16,1,T. Chandler makes free throw 2 of 2
6:01.0,M. Plumlee misses 2-pt shot from 2 ft,,14-16,,
6:01.0,,,14-16,,Defensive rebound by E. Bledsoe
5:50.0,,,14-18,2,M. Morris makes 2-pt shot from 14 ft
5:31.0,C. McCollum misses 3-pt shot from 24 ft,,14-18,,
5:30.0,Offensive rebound by M. Plumlee,,14-18,,
5:23.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,16-18,,
5:10.0,,,16-18,,T. Chandler misses 2-pt shot at rim
5:10.0,,,16-18,,Offensive rebound by T. Chandler
5:10.0,,,16-18,,Shooting foul by A. Aminu (drawn by T. Chandler)
5:10.0,,,16-18,,Phoenix full timeout
5:10.0,A. Crabbe enters the game for C. McCollum,,16-18,,
5:10.0,,,16-19,1,T. Chandler makes free throw 1 of 2
5:10.0,,,16-19,,T. Chandler misses free throw 2 of 2
5:09.0,Defensive rebound by M. Leonard,,16-19,,
4:51.0,M. Leonard misses 2-pt shot from 8 ft,,16-19,,
4:50.0,,,16-19,,Defensive rebound by M. Morris
4:34.0,,,16-19,,Shooting foul by M. Leonard (drawn by T. Chandler)
4:34.0,,,16-19,,T. Chandler misses free throw 1 of 2
4:34.0,,,16-19,,Offensive rebound by Team
