time,LA Lakers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. B. Lopez (J. Jack gains possession),,,,Jump ball: R. Hibbert vs. B. Lopez (J. Jack gains possession)
11:50.0,,,0-0,,Turnover by T. Young (bad pass)
11:35.0,R. Hibbert misses 2-pt shot from 18 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by J. Johnson
11:27.0,,,0-0,,Turnover by J. Johnson (bad pass; steal by J. Randle)
11:22.0,J. Randle makes 2-pt shot from 1 ft,2,2-0,,
11:10.0,,,2-0,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Russell)
11:08.0,Turnover by D. Russell (bad pass),,2-0,,
10:58.0,,,2-0,,Turnover by B. Lopez (palming)
10:48.0,K. Bryant misses 2-pt shot from 20 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by J. Jack
10:39.0,,,2-0,,J. Johnson misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by J. Randle,,2-0,,
10:14.0,J. Randle misses 2-pt shot from 18 ft,,2-0,,
10:13.0,,,2-0,,Defensive rebound by J. Johnson
10:07.0,,,2-2,2,J. Jack makes 2-pt shot from 6 ft
9:57.0,Turnover by J. Randle (bad pass; steal by J. Johnson),,2-2,,
9:53.0,,,2-4,2,J. Johnson makes 2-pt shot from 1 ft
9:40.0,K. Bryant misses 2-pt shot from 17 ft,,2-4,,
9:37.0,,,2-4,,Defensive rebound by B. Lopez
9:33.0,,,2-4,,J. Jack misses 2-pt shot from 3 ft
9:31.0,Defensive rebound by J. Randle,,2-4,,
9:25.0,J. Randle makes 2-pt shot at rim,2,4-4,,
9:13.0,,,4-4,,B. Lopez misses 2-pt shot from 1 ft
9:12.0,Defensive rebound by D. Russell,,4-4,,
8:52.0,K. Bryant misses 2-pt shot from 4 ft (block by B. Lopez),,4-4,,
8:51.0,Offensive rebound by Team,,4-4,,
8:47.0,K. Bryant misses 2-pt shot from 18 ft,,4-4,,
8:45.0,,,4-4,,Defensive rebound by R. Hollis-Jefferson
8:33.0,,,4-4,,T. Young misses 2-pt shot from 2 ft
8:32.0,,,4-4,,Offensive rebound by B. Lopez
8:31.0,,,4-4,,B. Lopez misses 2-pt shot from 3 ft (block by R. Hibbert)
8:29.0,,,4-4,,Offensive rebound by R. Hollis-Jefferson
8:27.0,,,4-6,2,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
8:27.0,,,4-6,,Shooting foul by R. Hibbert (drawn by B. Lopez)
8:27.0,,,4-7,1,B. Lopez makes free throw 1 of 1
8:11.0,R. Hibbert misses 2-pt shot from 3 ft (block by T. Young),,4-7,,
8:09.0,,,4-7,,Defensive rebound by R. Hollis-Jefferson
7:51.0,,,4-7,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
7:50.0,Defensive rebound by J. Clarkson,,4-7,,
7:44.0,J. Clarkson misses 2-pt shot from 10 ft,,4-7,,
7:43.0,,,4-7,,Defensive rebound by R. Hollis-Jefferson
7:30.0,,,4-9,2,J. Johnson makes 2-pt shot from 14 ft
7:21.0,Offensive foul by R. Hibbert,,4-9,,
7:21.0,Turnover by R. Hibbert (offensive foul),,4-9,,
7:06.0,,,4-9,,Turnover by B. Lopez (bad pass; steal by D. Russell)
7:01.0,D. Russell misses 2-pt shot from 2 ft,,4-9,,
6:59.0,,,4-9,,Defensive rebound by R. Hollis-Jefferson
6:51.0,,,4-9,,J. Johnson misses 2-pt shot from 7 ft
6:50.0,,,4-9,,Offensive rebound by B. Lopez
6:49.0,,,4-9,,B. Lopez misses 2-pt shot from 2 ft
6:48.0,,,4-9,,Offensive rebound by B. Lopez
6:47.0,,,4-11,2,B. Lopez makes 2-pt shot from 3 ft
6:30.0,J. Clarkson makes 2-pt shot from 8 ft,2,6-11,,
6:09.0,,,6-13,2,B. Lopez makes 2-pt shot from 4 ft (assist by R. Hollis-Jefferson)
5:55.0,K. Bryant misses 2-pt shot from 17 ft,,6-13,,
5:54.0,,,6-13,,Defensive rebound by J. Jack
5:52.0,,,6-15,2,J. Johnson makes 2-pt shot at rim (assist by J. Jack)
5:42.0,LA Lakers full timeout,,6-15,,
5:42.0,L. Williams enters the game for D. Russell,,6-15,,
5:42.0,T. Black enters the game for R. Hibbert,,6-15,,
5:34.0,T. Black misses 2-pt shot from 1 ft (block by B. Lopez),,6-15,,
5:33.0,,,6-15,,Defensive rebound by J. Jack
5:17.0,,,6-15,,B. Lopez misses 2-pt shot from 15 ft
5:16.0,,,6-15,,Offensive rebound by T. Young
5:15.0,,,6-17,2,T. Young makes 2-pt shot at rim
5:04.0,Turnover by K. Bryant (lost ball; steal by J. Johnson),,6-17,,
5:04.0,Personal foul by K. Bryant (drawn by J. Johnson),,6-17,,
5:04.0,M. World Peace enters the game for K. Bryant,,6-17,,
4:47.0,,,6-17,,B. Lopez misses 2-pt shot from 13 ft
