time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. N. Noel (T. McConnell gains possession),,,,Jump ball: D. Dedmon vs. N. Noel (T. McConnell gains possession)
11:40.0,,,0-0,,Turnover by N. Noel (lost ball; steal by E. Payton)
11:36.0,V. Oladipo misses 2-pt shot from 5 ft (block by T. McConnell),,0-0,,
11:34.0,,,0-0,,Defensive rebound by N. Noel
11:26.0,Personal foul by D. Dedmon (drawn by J. Okafor),,0-0,,
11:15.0,,,0-0,,Shooting foul by T. Harris (drawn by J. Grant)
11:15.0,,,0-2,2,J. Grant makes 2-pt shot from 2 ft (assist by J. Okafor)
11:15.0,,,0-3,1,J. Grant makes free throw 1 of 1
11:04.0,T. Harris misses 2-pt shot from 17 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by J. Grant
10:52.0,,,0-3,,N. Stauskas misses 2-pt shot from 2 ft
10:51.0,,,0-3,,Offensive rebound by N. Noel
10:46.0,,,0-3,,N. Stauskas misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by D. Dedmon,,0-3,,
10:42.0,Turnover by E. Payton (bad pass; steal by T. McConnell),,0-3,,
10:34.0,,,0-5,2,J. Okafor makes 2-pt shot at rim (assist by T. McConnell)
10:17.0,E. Fournier misses 2-pt shot from 5 ft (block by J. Okafor),,0-5,,
10:13.0,,,0-5,,Defensive rebound by J. Okafor
10:02.0,,,0-5,,Turnover by T. McConnell (bad pass; steal by T. Harris)
9:56.0,T. Harris makes 2-pt shot at rim,2,2-5,,
9:39.0,,,2-5,,J. Okafor misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by T. Harris,,2-5,,
9:31.0,E. Payton makes 2-pt shot from 11 ft (assist by T. Harris),2,4-5,,
9:12.0,,,4-7,2,J. Okafor makes 2-pt shot from 3 ft
8:57.0,E. Payton misses 2-pt shot from 10 ft,,4-7,,
8:56.0,,,4-7,,Defensive rebound by N. Noel
8:41.0,,,4-9,2,J. Okafor makes 2-pt shot at rim
8:25.0,T. Harris misses 3-pt shot from 26 ft,,4-9,,
8:24.0,,,4-9,,Defensive rebound by T. McConnell
8:14.0,,,4-11,2,N. Stauskas makes 2-pt shot at rim (assist by T. McConnell)
7:57.0,V. Oladipo misses 2-pt shot from 20 ft,,4-11,,
7:56.0,,,4-11,,Defensive rebound by N. Noel
7:49.0,,,4-13,2,T. McConnell makes 2-pt shot from 1 ft
7:43.0,,,4-13,,R. Holmes enters the game for J. Okafor
7:43.0,,,4-13,,J. Sampson enters the game for J. Grant
7:33.0,E. Payton makes 2-pt shot from 7 ft (assist by T. Harris),2,6-13,,
7:09.0,,,6-13,,Turnover by N. Noel (bad pass; steal by E. Payton)
7:03.0,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton),3,9-13,,
6:40.0,,,9-15,2,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas)
6:17.0,T. Harris makes 2-pt shot from 16 ft,2,11-15,,
6:17.0,,,11-15,,Philadelphia full timeout
6:17.0,J. Smith enters the game for D. Dedmon,,11-15,,
6:17.0,,,11-15,,Philadelphia full timeout
5:54.0,,,11-15,,N. Stauskas misses 3-pt shot from 28 ft
5:52.0,Defensive rebound by T. Harris,,11-15,,
5:46.0,V. Oladipo makes 3-pt shot from 24 ft (assist by E. Payton),3,14-15,,
5:25.0,,,14-17,2,N. Noel makes 2-pt shot from 7 ft (assist by T. McConnell)
5:11.0,Turnover by E. Fournier (bad pass; steal by T. McConnell),,14-17,,
5:05.0,,,14-17,,N. Stauskas misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by J. Smith,,14-17,,
4:51.0,J. Smith makes 2-pt shot from 18 ft (assist by V. Oladipo),2,16-17,,
4:43.0,Personal foul by E. Payton (drawn by T. McConnell),,16-17,,
4:43.0,,,16-17,,J. Okafor enters the game for N. Noel
4:43.0,M. Hezonja enters the game for E. Fournier,,16-17,,
4:43.0,A. Gordon enters the game for T. Harris,,16-17,,
4:43.0,,,16-17,,P. Pressey enters the game for T. McConnell
4:43.0,,,16-17,,H. Thompson enters the game for N. Stauskas
4:29.0,,,16-17,,H. Thompson misses 2-pt shot from 7 ft
4:25.0,Jump ball: A. Gordon vs. H. Thompson (E. Payton gains possession),,,,Jump ball: A. Gordon vs. H. Thompson (E. Payton gains possession)
4:25.0,Offensive rebound by Team,,16-17,,
4:14.0,,,16-17,,Personal foul by P. Pressey (drawn by A. Gordon)
4:05.0,V. Oladipo misses 2-pt shot from 11 ft,,16-17,,
4:03.0,Offensive rebound by A. Gordon,,16-17,,
4:03.0,A. Gordon makes 2-pt shot at rim,2,18-17,,
3:54.0,,,18-17,,J. Sampson misses 2-pt shot from 1 ft (block by J. Smith)
3:52.0,Defensive rebound by M. Hezonja,,18-17,,
3:48.0,M. Hezonja misses 2-pt shot from 5 ft,,18-17,,
3:46.0,Offensive rebound by V. Oladipo,,18-17,,
3:46.0,V. Oladipo makes 2-pt shot from 1 ft,2,20-17,,
3:28.0,,,20-17,,J. Okafor misses 2-pt shot from 2 ft
3:27.0,,,20-17,,Offensive rebound by R. Holmes
3:27.0,Personal foul by M. Hezonja (drawn by R. Holmes),,20-17,,
3:27.0,C. Watson enters the game for E. Payton,,20-17,,
3:27.0,,,20-17,,J. Grant enters the game for R. Holmes
3:27.0,,,20-17,,I. Canaan enters the game for J. Sampson
3:27.0,S. Napier enters the game for V. Oladipo,,20-17,,
3:18.0,,,20-17,,H. Thompson misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by J. Smith,,20-17,,
3:07.0,S. Napier misses 2-pt shot from 18 ft,,20-17,,
3:04.0,,,20-17,,Defensive rebound by P. Pressey
2:50.0,,,20-17,,Offensive foul by J. Okafor
2:50.0,,,20-17,,Turnover by J. Okafor (offensive foul)
2:50.0,Orlando full timeout,,20-17,,
2:33.0,M. Hezonja makes 2-pt shot from 12 ft (assist by C. Watson),2,22-17,,
2:13.0,,,22-17,,J. Grant misses 3-pt shot from 22 ft
2:12.0,Defensive rebound by S. Napier,,22-17,,
2:04.0,Offensive foul by J. Smith,,22-17,,
2:04.0,Turnover by J. Smith (offensive foul),,22-17,,
1:46.0,,,22-17,,I. Canaan misses 3-pt shot from 23 ft
1:44.0,Defensive rebound by M. Hezonja,,22-17,,
1:27.0,M. Hezonja misses 2-pt shot from 2 ft,,22-17,,
1:27.0,,,22-17,,Defensive rebound by Team
1:02.0,,,22-17,,J. Okafor misses 2-pt shot at rim (block by J. Smith)
1:00.0,Defensive rebound by J. Smith,,22-17,,
0:56.0,C. Watson misses 3-pt shot from 26 ft,,22-17,,
0:54.0,,,22-17,,Defensive rebound by J. Okafor
0:42.0,,,22-17,,I. Canaan misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by C. Watson,,22-17,,
0:29.0,A. Gordon misses 3-pt shot from 26 ft,,22-17,,
0:27.0,,,22-17,,Defensive rebound by P. Pressey
0:20.0,,,22-17,,H. Thompson misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by J. Smith,,22-17,,
0:01.0,A. Gordon makes 3-pt shot from 26 ft (assist by C. Watson),3,25-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Hezonja misses 2-pt shot from 2 ft,,25-17,,
11:42.0,Offensive rebound by J. Smith,,25-17,,
