time,Detroit,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. F. Ezeli (D. Green gains possession),,,,Jump ball: A. Drummond vs. F. Ezeli (D. Green gains possession)
11:40.0,,,0-0,,D. Green misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by M. Morris,,0-0,,
11:16.0,A. Drummond makes 2-pt shot from 7 ft,2,2-0,,
11:00.0,,,2-0,,F. Ezeli misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by A. Drummond,,2-0,,
10:52.0,Turnover by R. Jackson (bad pass; steal by S. Curry),,2-0,,
10:46.0,,,2-2,2,S. Curry makes 2-pt shot from 9 ft
10:18.0,A. Drummond misses 2-pt shot from 12 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by D. Green
10:10.0,,,2-4,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
9:48.0,Turnover by A. Drummond (lost ball),,2-4,,
9:35.0,,,2-6,2,K. Thompson makes 2-pt shot from 13 ft (assist by D. Green)
9:19.0,M. Morris misses 2-pt shot from 15 ft,,2-6,,
9:18.0,,,2-6,,Defensive rebound by D. Green
9:10.0,,,2-8,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
9:04.0,Detroit full timeout,,2-8,,
8:55.0,E. Ilyasova makes 2-pt shot from 22 ft (assist by R. Jackson),2,4-8,,
8:44.0,,,4-10,2,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry)
8:21.0,R. Jackson misses 2-pt shot from 18 ft,,4-10,,
8:20.0,,,4-10,,Defensive rebound by K. Thompson
8:04.0,,,4-12,2,H. Barnes makes 2-pt shot from 18 ft
7:50.0,R. Jackson misses 2-pt shot from 4 ft,,4-12,,
7:49.0,,,4-12,,Defensive rebound by H. Barnes
7:47.0,,,4-12,,Turnover by H. Barnes (bad pass)
7:23.0,A. Drummond makes 2-pt shot from 2 ft,2,6-12,,
7:12.0,,,6-12,,D. Green misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by M. Morris,,6-12,,
6:59.0,K. Caldwell-Pope makes 2-pt shot from 4 ft,2,8-12,,
6:51.0,,,8-14,2,F. Ezeli makes 2-pt shot at rim (assist by S. Curry)
6:27.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by F. Ezeli),,8-14,,
6:27.0,Offensive rebound by Team,,8-14,,
6:23.0,R. Jackson makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,10-14,,
6:10.0,,,10-14,,Offensive foul by S. Curry
6:10.0,,,10-14,,Turnover by S. Curry (offensive foul)
6:10.0,,,10-14,,A. Iguodala enters the game for H. Barnes
5:55.0,E. Ilyasova misses 2-pt shot from 3 ft (block by D. Green),,10-14,,
5:54.0,,,10-14,,Defensive rebound by S. Curry
5:47.0,,,10-14,,A. Iguodala misses 2-pt shot from 16 ft
5:47.0,Defensive rebound by A. Drummond,,10-14,,
5:29.0,A. Drummond misses 2-pt shot from 10 ft,,10-14,,
5:28.0,,,10-14,,Defensive rebound by A. Iguodala
5:20.0,,,10-14,,Turnover by F. Ezeli (lost ball; steal by R. Jackson)
5:15.0,Turnover by R. Jackson (lost ball; steal by D. Green),,10-14,,
5:06.0,,,10-14,,K. Thompson misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by K. Caldwell-Pope,,10-14,,
5:00.0,Turnover by R. Jackson (bad pass; steal by D. Green),,10-14,,
4:54.0,,,10-16,2,D. Green makes 2-pt shot at rim
4:37.0,R. Jackson makes 2-pt shot from 17 ft,2,12-16,,
4:31.0,,,12-16,,Golden State full timeout
4:31.0,,,12-16,,A. Bogut enters the game for F. Ezeli
4:31.0,S. Johnson enters the game for M. Morris,,12-16,,
4:18.0,,,12-16,,S. Curry misses 2-pt shot from 4 ft
4:16.0,,,12-16,,Offensive rebound by A. Bogut
4:16.0,,,12-16,,A. Bogut misses 2-pt shot from 2 ft
4:14.0,,,12-16,,Offensive rebound by A. Bogut
4:14.0,,,12-18,2,A. Bogut makes 2-pt shot at rim
4:00.0,E. Ilyasova misses 3-pt shot from 26 ft,,12-18,,
3:59.0,,,12-18,,Defensive rebound by A. Bogut
3:44.0,,,12-18,,S. Curry misses 2-pt shot from 15 ft
3:44.0,,,12-18,,Offensive rebound by Team
3:44.0,,,12-18,,Turnover by A. Bogut (offensive goaltending)
3:29.0,R. Jackson misses 3-pt shot from 28 ft,,12-18,,
3:28.0,Offensive rebound by E. Ilyasova,,12-18,,
3:26.0,Turnover by E. Ilyasova (lost ball; steal by A. Iguodala),,12-18,,
3:22.0,,,12-18,,Turnover by K. Thompson (bad pass)
3:22.0,,,12-18,,S. Livingston enters the game for K. Thompson
