time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. T. Mozgov (M. Williams gains possession),,,,Jump ball: G. Monroe vs. T. Mozgov (M. Williams gains possession)
11:35.0,L. James misses 2-pt shot from 17 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by G. Monroe
11:09.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by K. Love,,0-0,,
11:03.0,M. Williams misses 2-pt shot from 14 ft,,0-0,,
11:00.0,,,0-0,,Defensive rebound by K. Middleton
10:49.0,,,0-0,,G. Monroe misses 2-pt shot from 1 ft
10:47.0,,,0-0,,Offensive rebound by G. Monroe
10:47.0,,,0-2,2,G. Monroe makes 2-pt shot from 1 ft
10:23.0,T. Mozgov misses 2-pt shot from 8 ft,,0-2,,
10:23.0,Offensive rebound by Team,,0-2,,
10:23.0,,,0-2,,Loose ball foul by J. Parker (drawn by K. Love)
10:07.0,,,0-2,,Personal foul by J. Parker (drawn by K. Love)
10:07.0,,,0-2,,J. O'Bryant enters the game for J. Parker
9:57.0,Turnover by J. Smith (lost ball),,0-2,,
9:44.0,,,0-2,,J. O'Bryant misses 2-pt shot from 14 ft
9:43.0,Defensive rebound by M. Williams,,0-2,,
9:40.0,Turnover by M. Williams (bad pass),,0-2,,
9:20.0,,,0-4,2,K. Middleton makes 2-pt shot from 14 ft
8:58.0,Shooting foul by J. O'Bryant (drawn by K. Love),,0-4,,
8:58.0,K. Love makes free throw 1 of 2,1,1-4,,
8:58.0,K. Love makes free throw 2 of 2,1,2-4,,
8:41.0,,,2-4,,K. Middleton misses 2-pt shot from 13 ft
8:40.0,Defensive rebound by M. Williams,,2-4,,
8:32.0,Turnover by M. Williams (bad pass),,2-4,,
8:20.0,,,2-4,,G. Monroe misses 2-pt shot at rim
8:18.0,Defensive rebound by T. Mozgov,,2-4,,
8:15.0,Shooting foul by G. Antetokounmpo (drawn by L. James),,2-4,,
8:15.0,L. James misses free throw 1 of 2,,2-4,,
8:15.0,Offensive rebound by Team,,2-4,,
8:15.0,L. James makes free throw 2 of 2,1,3-4,,
8:04.0,,,3-4,,M. Carter-Williams misses 2-pt shot from 5 ft
8:02.0,,,3-4,,Offensive rebound by G. Antetokounmpo
8:02.0,,,3-6,2,G. Antetokounmpo makes 2-pt shot at rim
7:42.0,K. Love misses 3-pt shot from 22 ft,,3-6,,
7:41.0,Offensive rebound by T. Mozgov,,3-6,,
7:37.0,K. Love misses 2-pt shot from 1 ft,,3-6,,
7:36.0,,,3-6,,Defensive rebound by Team
7:23.0,Personal foul by M. Williams (drawn by M. Carter-Williams),,3-6,,
7:12.0,,,3-6,,J. O'Bryant misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by K. Love,,3-6,,
7:03.0,T. Mozgov makes 2-pt shot from 2 ft (assist by L. James),2,5-6,,
6:53.0,,,5-6,,K. Middleton misses 2-pt shot from 2 ft
6:50.0,,,5-6,,Offensive rebound by G. Antetokounmpo
6:50.0,,,5-8,2,G. Antetokounmpo makes 2-pt shot at rim
6:44.0,K. Love makes 2-pt shot at rim (assist by L. James),2,7-8,,
6:31.0,,,7-10,2,M. Carter-Williams makes 2-pt shot from 3 ft
6:18.0,Shooting foul by K. Middleton (drawn by T. Mozgov),,7-10,,
6:18.0,T. Mozgov makes free throw 1 of 2,1,8-10,,
6:18.0,T. Mozgov makes free throw 2 of 2,1,9-10,,
6:10.0,Violation by K. Love (kicked ball),,9-10,,
6:04.0,,,9-10,,G. Antetokounmpo misses 2-pt shot from 21 ft
6:02.0,Defensive rebound by M. Williams,,9-10,,
5:50.0,Turnover by K. Love (lost ball; steal by K. Middleton),,9-10,,
5:35.0,,,9-12,2,M. Carter-Williams makes 2-pt shot from 19 ft
5:26.0,Cleveland full timeout,,9-12,,
5:26.0,,,9-12,,J. Henson enters the game for J. O'Bryant
5:26.0,R. Jefferson enters the game for L. James,,9-12,,
5:26.0,M. Dellavedova enters the game for M. Williams,,9-12,,
5:21.0,Shooting foul by J. Henson (drawn by K. Love),,9-12,,
5:21.0,K. Love misses free throw 1 of 2,,9-12,,
5:21.0,Offensive rebound by Team,,9-12,,
5:21.0,K. Love makes free throw 2 of 2,1,10-12,,
5:09.0,,,10-12,,K. Middleton misses 2-pt shot from 3 ft
5:07.0,,,10-12,,Offensive rebound by G. Monroe
5:05.0,,,10-12,,G. Monroe misses 2-pt shot from 2 ft
5:03.0,,,10-12,,Offensive rebound by J. Henson
4:58.0,,,10-14,2,J. Henson makes 2-pt shot from 6 ft
4:47.0,,,10-14,,Violation by J. Henson (def goaltending)
4:47.0,K. Love makes 2-pt shot from 3 ft,2,12-14,,
4:36.0,,,12-14,,Shooting foul by T. Mozgov (drawn by J. Henson)
4:36.0,,,12-14,,J. Henson misses free throw 1 of 2
4:36.0,,,12-14,,Offensive rebound by Team
4:36.0,,,12-14,,J. Bayless enters the game for G. Antetokounmpo
4:36.0,T. Thompson enters the game for T. Mozgov,,12-14,,
4:36.0,,,12-14,,J. Henson misses free throw 2 of 2
4:35.0,Defensive rebound by J. Smith,,12-14,,
4:19.0,K. Love makes 2-pt shot from 12 ft,2,14-14,,
4:04.0,,,14-14,,K. Middleton misses 2-pt shot from 4 ft
4:02.0,Defensive rebound by K. Love,,14-14,,
3:57.0,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Dellavedova),3,17-14,,
3:39.0,,,17-14,,G. Monroe misses 2-pt shot from 16 ft
3:37.0,Defensive rebound by R. Jefferson,,17-14,,
3:28.0,K. Love misses 2-pt shot from 17 ft,,17-14,,
3:26.0,,,17-14,,Defensive rebound by K. Middleton
3:21.0,Violation by J. Smith (kicked ball),,17-14,,
3:13.0,,,17-14,,M. Carter-Williams misses 2-pt shot from 7 ft
3:11.0,,,17-14,,Offensive rebound by G. Monroe
3:11.0,,,17-14,,G. Monroe misses 2-pt shot from 1 ft
3:08.0,,,17-14,,Offensive rebound by J. Henson
3:07.0,,,17-14,,J. Henson misses 2-pt shot at rim
3:05.0,,,17-14,,Offensive rebound by J. Henson
3:00.0,,,17-16,2,G. Monroe makes 2-pt shot from 7 ft
2:37.0,K. Love misses 3-pt shot from 26 ft,,17-16,,
2:35.0,,,17-16,,Defensive rebound by G. Monroe
2:28.0,,,17-19,3,J. Bayless makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
2:09.0,K. Love makes 3-pt shot from 27 ft (assist by J. Smith),3,20-19,,
1:49.0,,,20-21,2,G. Monroe makes 2-pt shot from 1 ft
1:34.0,,,20-21,,Milwaukee full timeout
1:34.0,L. James enters the game for K. Love,,20-21,,
1:34.0,A. Varejao enters the game for J. Smith,,20-21,,
1:34.0,,,20-21,,M. Plumlee enters the game for G. Monroe
1:34.0,,,20-21,,G. Antetokounmpo enters the game for K. Middleton
1:34.0,,,20-21,,G. Vasquez enters the game for M. Carter-Williams
1:22.0,,,20-21,,Personal foul by G. Vasquez (drawn by R. Jefferson)
1:22.0,R. Jefferson makes free throw 1 of 2,1,21-21,,
1:22.0,R. Jefferson misses free throw 2 of 2,,21-21,,
1:20.0,,,21-21,,Defensive rebound by G. Antetokounmpo
1:09.0,,,21-21,,G. Vasquez misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by L. James,,21-21,,
0:58.0,R. Jefferson misses 3-pt shot from 22 ft,,21-21,,
0:57.0,,,21-21,,Defensive rebound by G. Vasquez
0:45.0,,,21-21,,M. Plumlee misses 2-pt shot from 4 ft
0:44.0,Defensive rebound by M. Dellavedova,,21-21,,
0:35.0,A. Varejao misses 2-pt shot from 17 ft,,21-21,,
0:34.0,,,21-21,,Defensive rebound by Team
0:13.0,,,21-23,2,G. Vasquez makes 2-pt shot from 1 ft (assist by J. Henson)
0:13.0,,,21-23,,Shooting foul by R. Jefferson (drawn by G. Vasquez)
0:13.0,,,21-23,,G. Vasquez misses free throw 1 of 1
0:10.0,Defensive rebound by L. James,,21-23,,
0:03.0,L. James misses 2-pt shot from 7 ft (block by J. Henson),,21-23,,
0:02.0,Offensive rebound by L. James,,21-23,,
0:02.0,T. Thompson makes 2-pt shot at rim,2,23-23,,
0:02.0,,,23-23,,Turnover by J. Henson (bad pass; steal by M. Dellavedova)
0:01.0,M. Dellavedova misses 2-pt shot from 20 ft,,23-23,,
0:00.0,Offensive rebound by Team,,23-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-23,,J. Parker misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by L. James,,23-23,,
11:30.0,A. Varejao makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,25-23,,
11:14.0,,,25-23,,G. Vasquez misses 2-pt shot from 2 ft
11:11.0,,,25-23,,Offensive rebound by G. Antetokounmpo
11:11.0,,,25-23,,G. Antetokounmpo misses 2-pt shot at rim
11:10.0,Defensive rebound by L. James,,25-23,,
11:08.0,Shooting foul by J. Bayless (drawn by L. James),,25-23,,
11:08.0,L. James makes free throw 1 of 2,1,26-23,,
11:08.0,L. James misses free throw 2 of 2,,26-23,,
11:06.0,Offensive rebound by A. Varejao,,26-23,,
11:01.0,L. James misses 3-pt shot from 27 ft,,26-23,,
11:00.0,,,26-23,,Defensive rebound by G. Antetokounmpo
10:55.0,,,26-23,,Turnover by J. Parker (lost ball)
10:32.0,T. Thompson makes 2-pt shot from 1 ft (assist by A. Varejao),2,28-23,,
10:10.0,,,28-23,,Turnover by G. Antetokounmpo (lost ball)
9:53.0,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,30-23,,
9:42.0,,,30-25,2,J. Parker makes 2-pt shot at rim (assist by J. Bayless)
9:26.0,T. Thompson makes 2-pt shot from 5 ft (assist by L. James),2,32-25,,
9:09.0,,,32-27,2,J. Bayless makes 2-pt shot from 1 ft
8:44.0,L. James makes 2-pt shot at rim,2,34-27,,
8:32.0,,,34-29,2,J. Bayless makes 2-pt shot from 17 ft
8:25.0,Cleveland full timeout,,34-29,,
8:25.0,K. Love enters the game for A. Varejao,,34-29,,
8:25.0,,,34-29,,G. Monroe enters the game for J. Henson
8:25.0,Violation by Team (jump ball),,34-29,,
8:04.0,L. James makes 3-pt shot from 26 ft,3,37-29,,
7:49.0,,,37-31,2,G. Antetokounmpo makes 2-pt shot from 17 ft
7:24.0,T. Thompson misses 2-pt shot from 9 ft,,37-31,,
7:22.0,Offensive rebound by K. Love,,37-31,,
7:14.0,M. Dellavedova misses 3-pt shot from 27 ft,,37-31,,
7:11.0,,,37-31,,Defensive rebound by G. Antetokounmpo
6:52.0,,,37-31,,G. Monroe misses 2-pt shot from 5 ft
6:51.0,,,37-31,,Offensive rebound by G. Antetokounmpo
6:50.0,,,37-33,2,G. Antetokounmpo makes 2-pt shot from 1 ft
6:50.0,,,37-33,,Shooting foul by T. Thompson (drawn by G. Antetokounmpo)
6:50.0,R. Jefferson enters the game for L. James,,37-33,,
6:50.0,,,37-33,,G. Antetokounmpo misses free throw 1 of 1
6:48.0,Defensive rebound by K. Love,,37-33,,
6:31.0,Turnover by M. Dellavedova (bad pass),,37-33,,
6:31.0,M. Williams enters the game for M. Dellavedova,,37-33,,
6:16.0,,,37-35,2,J. Parker makes 2-pt shot from 1 ft (assist by J. Bayless)
5:54.0,J. Smith misses 3-pt shot from 23 ft,,37-35,,
5:53.0,,,37-35,,Defensive rebound by G. Vasquez
5:47.0,,,37-38,3,J. Bayless makes 3-pt shot from 24 ft (assist by G. Vasquez)
5:18.0,J. Smith makes 2-pt shot from 15 ft,2,39-38,,
4:55.0,,,39-40,2,G. Vasquez makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
4:42.0,R. Jefferson misses 3-pt shot from 25 ft,,39-40,,
4:41.0,,,39-40,,Defensive rebound by G. Monroe
4:29.0,,,39-42,2,G. Monroe makes 2-pt shot at rim (assist by G. Vasquez)
4:13.0,K. Love makes 3-pt shot from 26 ft (assist by M. Williams),3,42-42,,
4:08.0,,,42-42,,Milwaukee full timeout
4:08.0,T. Mozgov enters the game for T. Thompson,,42-42,,
4:08.0,,,42-42,,K. Middleton enters the game for J. Parker
4:08.0,,,42-42,,Violation by Team (jump ball)
3:57.0,,,42-42,,G. Antetokounmpo misses 2-pt shot at rim (block by J. Smith)
3:57.0,Jump ball: G. Antetokounmpo vs. J. Smith,,,,Jump ball: G. Antetokounmpo vs. J. Smith
3:57.0,,,42-42,,Offensive rebound by Team
