time,LA Lakers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Hibbert (B. Knight gains possession),,,,Jump ball: T. Chandler vs. R. Hibbert (B. Knight gains possession)
11:42.0,,,0-0,,E. Bledsoe misses 2-pt shot from 15 ft (block by D. Russell)
11:40.0,,,0-0,,Offensive rebound by E. Bledsoe
11:36.0,,,0-0,,B. Knight misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by M. World Peace,,0-0,,
11:12.0,J. Randle misses 2-pt shot from 11 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by P. Tucker
10:57.0,,,0-0,,B. Knight misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by M. World Peace,,0-0,,
10:47.0,R. Hibbert makes 2-pt shot from 4 ft (assist by D. Russell),2,2-0,,
10:33.0,,,2-3,3,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:10.0,M. World Peace makes 2-pt shot from 19 ft,2,4-3,,
10:01.0,,,4-3,,Turnover by B. Knight (turnover)
9:51.0,M. World Peace makes 3-pt shot from 25 ft,3,7-3,,
9:35.0,,,7-3,,Turnover by E. Bledsoe (bad pass; steal by D. Russell)
9:24.0,Turnover by J. Randle (bad pass; steal by T. Chandler),,7-3,,
9:22.0,,,7-5,2,E. Bledsoe makes 2-pt shot from 1 ft
9:07.0,R. Hibbert makes 2-pt shot from 18 ft,2,9-5,,
8:52.0,,,9-5,,E. Bledsoe misses 3-pt shot from 25 ft
8:51.0,,,9-5,,Offensive rebound by T. Chandler
8:42.0,,,9-8,3,B. Knight makes 3-pt shot from 24 ft (assist by E. Bledsoe)
8:29.0,,,9-8,,Personal foul by B. Knight (drawn by D. Russell)
8:22.0,J. Clarkson misses 2-pt shot from 17 ft,,9-8,,
8:20.0,,,9-8,,Defensive rebound by J. Leuer
8:14.0,Personal foul by J. Randle (drawn by E. Bledsoe),,9-8,,
8:12.0,,,9-8,,Shooting foul by J. Clarkson (drawn by E. Bledsoe)
8:12.0,,,9-9,1,E. Bledsoe makes free throw 1 of 2
8:12.0,,,9-9,,E. Bledsoe misses free throw 2 of 2
8:11.0,Defensive rebound by R. Hibbert,,9-9,,
8:02.0,Shooting foul by E. Bledsoe (drawn by D. Russell),,9-9,,
8:02.0,D. Russell makes free throw 1 of 2,1,10-9,,
8:02.0,D. Russell makes free throw 2 of 2,1,11-9,,
7:52.0,,,11-9,,J. Leuer misses 2-pt shot from 7 ft
7:52.0,,,11-9,,Offensive rebound by Team
7:52.0,Loose ball foul by J. Randle (drawn by T. Chandler),,11-9,,
7:40.0,,,11-9,,E. Bledsoe misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by Team,,11-9,,
7:28.0,M. World Peace makes 2-pt shot from 3 ft,2,13-9,,
7:17.0,,,13-11,2,B. Knight makes 2-pt shot from 8 ft
7:05.0,D. Russell misses 2-pt shot from 15 ft,,13-11,,
7:02.0,,,13-11,,Defensive rebound by B. Knight
6:57.0,,,13-11,,B. Knight misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by J. Randle,,13-11,,
6:36.0,M. World Peace makes 3-pt shot from 23 ft (assist by J. Randle),3,16-11,,
6:27.0,,,16-11,,Turnover by E. Bledsoe (traveling)
6:27.0,L. Nance enters the game for J. Randle,,16-11,,
6:11.0,Turnover by R. Hibbert (bad pass; steal by E. Bledsoe),,16-11,,
6:08.0,,,16-13,2,E. Bledsoe makes 2-pt shot at rim
5:55.0,Turnover by L. Nance (bad pass; steal by P. Tucker),,16-13,,
5:49.0,,,16-13,,P. Tucker misses 3-pt shot from 23 ft
5:46.0,Defensive rebound by R. Hibbert,,16-13,,
5:37.0,D. Russell misses 2-pt shot from 16 ft,,16-13,,
5:35.0,Offensive rebound by J. Clarkson,,16-13,,
5:35.0,J. Clarkson misses 2-pt shot from 1 ft,,16-13,,
5:33.0,,,16-13,,Defensive rebound by T. Chandler
5:27.0,,,16-13,,E. Bledsoe misses 3-pt shot from 23 ft
5:25.0,,,16-13,,Offensive rebound by B. Knight
5:25.0,Personal foul by L. Nance (drawn by B. Knight),,16-13,,
5:25.0,,,16-13,,Phoenix full timeout
5:25.0,L. Williams enters the game for D. Russell,,16-13,,
5:22.0,Personal foul by M. World Peace (drawn by P. Tucker),,16-13,,
5:22.0,,,16-14,1,P. Tucker makes free throw 1 of 2
5:22.0,,,16-15,1,P. Tucker makes free throw 2 of 2
5:07.0,J. Clarkson makes 2-pt shot at rim (assist by R. Hibbert),2,18-15,,
4:51.0,,,18-15,,A. Goodwin enters the game for B. Knight
4:51.0,N. Young enters the game for M. World Peace,,18-15,,
4:44.0,,,18-15,,Turnover by E. Bledsoe (bad pass; steal by R. Hibbert)
4:24.0,,,18-15,,Violation by T. Chandler (kicked ball)
4:14.0,Turnover by R. Hibbert (bad pass; steal by J. Leuer),,18-15,,
4:04.0,,,18-15,,E. Bledsoe misses 2-pt shot from 16 ft
4:02.0,Defensive rebound by L. Nance,,18-15,,
3:55.0,J. Clarkson makes 2-pt shot from 8 ft,2,20-15,,
3:40.0,,,20-15,,J. Leuer misses 2-pt shot from 7 ft
3:38.0,,,20-15,,Offensive rebound by P. Tucker
3:38.0,,,20-15,,P. Tucker misses 2-pt shot from 1 ft
3:36.0,,,20-15,,Offensive rebound by P. Tucker
3:33.0,,,20-15,,Shooting foul by N. Young (drawn by P. Tucker)
3:33.0,,,20-16,1,P. Tucker makes free throw 1 of 2
3:33.0,,,20-16,,A. Len enters the game for T. Chandler
3:33.0,,,20-17,1,P. Tucker makes free throw 2 of 2
3:20.0,Shooting foul by E. Bledsoe (drawn by J. Clarkson),,20-17,,
3:20.0,J. Clarkson makes free throw 1 of 2,1,21-17,,
3:20.0,B. Bass enters the game for R. Hibbert,,21-17,,
3:20.0,,,21-17,,B. Knight enters the game for E. Bledsoe
3:20.0,J. Clarkson makes free throw 2 of 2,1,22-17,,
3:06.0,,,22-19,2,A. Len makes 2-pt shot at rim (assist by J. Leuer)
2:50.0,L. Williams misses 3-pt shot from 25 ft,,22-19,,
2:48.0,,,22-19,,Defensive rebound by P. Tucker
