time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Jokic (D. Green gains possession),,,,Jump ball: A. Bogut vs. N. Jokic (D. Green gains possession)
11:44.0,A. Bogut makes 2-pt shot from 4 ft (assist by S. Curry),2,2-0,,
11:20.0,,,2-3,3,D. Gallinari makes 3-pt shot from 26 ft (assist by G. Harris)
11:02.0,K. Thompson misses 3-pt shot from 25 ft,,2-3,,
11:01.0,,,2-3,,Defensive rebound by D. Arthur
10:44.0,,,2-3,,D. Gallinari misses 2-pt shot from 2 ft
10:43.0,,,2-3,,Offensive rebound by N. Jokic
10:43.0,,,2-3,,N. Jokic misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by D. Green,,2-3,,
10:27.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,4-3,,
10:02.0,,,4-3,,E. Mudiay misses 3-pt shot from 29 ft
10:01.0,,,4-3,,Offensive rebound by Team
10:01.0,,,4-3,,Turnover by Team (shot clock)
9:52.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,6-3,,
9:38.0,,,6-3,,N. Jokic misses 2-pt shot from 7 ft (block by A. Bogut)
9:36.0,Defensive rebound by A. Bogut,,6-3,,
9:17.0,D. Green makes 3-pt shot from 27 ft (assist by K. Thompson),3,9-3,,
9:02.0,,,9-5,2,G. Harris makes 2-pt shot at rim (assist by E. Mudiay)
8:50.0,S. Curry misses 3-pt shot from 25 ft,,9-5,,
8:48.0,,,9-5,,Defensive rebound by N. Jokic
8:38.0,,,9-7,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
8:25.0,S. Curry misses 3-pt shot from 25 ft,,9-7,,
8:24.0,,,9-7,,Defensive rebound by Team
8:11.0,,,9-7,,Shooting foul by H. Barnes (drawn by D. Gallinari)
8:11.0,,,9-8,1,D. Gallinari makes free throw 1 of 2
8:11.0,,,9-9,1,D. Gallinari makes free throw 2 of 2
7:55.0,D. Green misses 3-pt shot from 24 ft,,9-9,,
7:54.0,Offensive rebound by A. Bogut,,9-9,,
7:43.0,H. Barnes makes 2-pt shot from 1 ft (assist by K. Thompson),2,11-9,,
