time,Phoenix,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Duncan (M. Morris gains possession),,,,Jump ball: T. Chandler vs. T. Duncan (M. Morris gains possession)
11:45.0,T. Chandler misses 2-pt shot from 4 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by D. West
11:32.0,,,0-0,,Turnover by T. Parker (lost ball; steal by P. Tucker)
11:26.0,D. Booker misses 3-pt shot from 23 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by K. Leonard
11:03.0,,,0-0,,D. West misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by B. Knight,,0-0,,
10:52.0,M. Morris makes 2-pt shot at rim (assist by B. Knight),2,2-0,,
10:32.0,,,2-0,,Shooting foul by B. Knight (drawn by T. Parker)
10:32.0,,,2-0,,T. Parker misses free throw 1 of 2
10:32.0,,,2-0,,Offensive rebound by Team
10:32.0,,,2-0,,T. Parker misses free throw 2 of 2
10:32.0,Defensive rebound by T. Chandler,,2-0,,
10:32.0,M. Morris makes 2-pt shot from 18 ft (assist by B. Knight),2,4-0,,
10:04.0,,,4-0,,D. West misses 2-pt shot from 18 ft
10:03.0,,,4-0,,Offensive rebound by K. Leonard
10:03.0,,,4-2,2,K. Leonard makes 2-pt shot at rim
9:53.0,B. Knight makes 3-pt shot from 23 ft,3,7-2,,
9:36.0,,,7-5,3,K. Leonard makes 3-pt shot from 24 ft (assist by D. Green)
9:24.0,B. Knight misses 2-pt shot from 3 ft,,7-5,,
9:23.0,,,7-5,,Defensive rebound by T. Duncan
9:14.0,,,7-7,2,K. Leonard makes 2-pt shot from 16 ft
8:53.0,,,7-7,,Personal foul by D. West (drawn by M. Morris)
8:31.0,D. Booker makes 2-pt shot from 17 ft (assist by B. Knight),2,9-7,,
8:03.0,,,9-9,2,D. Green makes 2-pt shot from 9 ft (assist by K. Leonard)
7:45.0,D. Booker misses 2-pt shot from 2 ft (block by T. Duncan),,9-9,,
7:44.0,,,9-9,,Defensive rebound by T. Duncan
7:33.0,,,9-11,2,D. West makes 2-pt shot from 6 ft
7:33.0,,,9-11,,Shooting foul by M. Morris (drawn by D. West)
7:33.0,,,9-12,1,D. West makes free throw 1 of 1
7:25.0,Turnover by B. Knight (bad pass; steal by T. Duncan),,9-12,,
7:11.0,,,9-12,,T. Parker misses 2-pt shot from 6 ft
7:10.0,Defensive rebound by T. Chandler,,9-12,,
6:56.0,D. Booker misses 3-pt shot from 23 ft,,9-12,,
6:55.0,,,9-12,,Defensive rebound by K. Leonard
6:49.0,Personal foul by P. Tucker (drawn by K. Leonard),,9-12,,
6:49.0,Violation by T. Chandler (kicked ball),,9-12,,
6:35.0,,,9-12,,T. Duncan misses 2-pt shot from 13 ft
6:34.0,Defensive rebound by D. Booker,,9-12,,
6:19.0,P. Tucker misses 3-pt shot from 24 ft,,9-12,,
6:19.0,,,9-12,,Defensive rebound by D. Green
6:13.0,,,9-12,,D. Green misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by T. Chandler,,9-12,,
5:52.0,P. Tucker misses 2-pt shot from 5 ft,,9-12,,
5:50.0,Offensive rebound by T. Chandler,,9-12,,
5:49.0,Shooting foul by T. Duncan (drawn by T. Chandler),,9-12,,
5:49.0,,,9-12,,San Antonio full timeout
5:49.0,T. Chandler makes free throw 1 of 2,1,10-12,,
5:49.0,T. Chandler misses free throw 2 of 2,,10-12,,
5:49.0,,,10-12,,Defensive rebound by K. Leonard
5:38.0,,,10-12,,T. Parker misses 2-pt shot from 11 ft
5:37.0,Defensive rebound by B. Knight,,10-12,,
5:17.0,B. Knight makes 3-pt shot from 25 ft (assist by D. Booker),3,13-12,,
4:53.0,,,13-14,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
4:41.0,Turnover by B. Knight (lost ball; steal by T. Parker),,13-14,,
4:27.0,,,13-14,,Offensive foul by K. Leonard
4:27.0,,,13-14,,Turnover by K. Leonard (offensive foul)
4:27.0,,,13-14,,M. Ginobili enters the game for D. Green
4:27.0,,,13-14,,B. Diaw enters the game for D. West
4:26.0,,,13-14,,Personal foul by B. Diaw (drawn by M. Morris)
4:25.0,T. Warren enters the game for D. Booker,,13-14,,
4:20.0,Turnover by B. Knight (bad pass; steal by K. Leonard),,13-14,,
4:15.0,,,13-16,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
3:51.0,,,13-16,,Personal foul by T. Parker (drawn by B. Knight)
3:51.0,,,13-16,,P. Mills enters the game for T. Parker
3:51.0,R. Price enters the game for B. Knight,,13-16,,
3:46.0,Turnover by M. Morris (traveling),,13-16,,
3:37.0,,,13-16,,Turnover by M. Ginobili (bad pass)
3:26.0,Turnover by R. Price (bad pass; steal by P. Mills),,13-16,,
3:21.0,Personal foul by R. Price (drawn by K. Leonard),,13-16,,
3:21.0,,,13-16,,Turnover by M. Ginobili (lost ball)
3:21.0,A. Len enters the game for T. Chandler,,13-16,,
3:13.0,T. Warren misses 2-pt shot from 19 ft,,13-16,,
3:13.0,,,13-16,,Defensive rebound by K. Leonard
3:12.0,,,13-16,,Turnover by K. Leonard (lost ball; steal by R. Price)
2:54.0,Turnover by P. Tucker (bad pass),,13-16,,
2:54.0,Phoenix full timeout,,13-16,,
2:54.0,,,13-16,,B. Marjanovic enters the game for T. Duncan
2:35.0,,,13-16,,Turnover by K. Leonard (bad pass; steal by M. Morris)
2:32.0,Offensive charge foul by T. Warren,,13-16,,
2:32.0,Turnover by T. Warren (offensive foul),,13-16,,
2:13.0,,,13-16,,M. Ginobili misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by M. Morris,,13-16,,
1:49.0,M. Morris makes 2-pt shot from 19 ft (assist by T. Warren),2,15-16,,
1:37.0,,,15-18,2,P. Mills makes 2-pt shot from 18 ft
1:21.0,A. Len misses 2-pt shot from 17 ft,,15-18,,
1:20.0,,,15-18,,Defensive rebound by K. Leonard
1:12.0,,,15-20,2,K. Leonard makes 2-pt shot from 12 ft
0:53.0,Turnover by A. Len (lost ball; steal by K. Leonard),,15-20,,
0:40.0,,,15-20,,Turnover by B. Marjanovic (lost ball; steal by P. Tucker)
0:37.0,Turnover by P. Tucker (bad pass; steal by P. Mills),,15-20,,
0:34.0,,,15-20,,P. Mills misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by P. Tucker,,15-20,,
0:16.0,Shooting foul by B. Marjanovic (drawn by M. Morris),,15-20,,
0:16.0,M. Morris makes free throw 1 of 2,1,16-20,,
0:16.0,M. Morris makes free throw 2 of 2,1,17-20,,
0:02.0,,,17-20,,M. Ginobili misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by M. Morris,,17-20,,
0:00.0,M. Morris misses 3-pt shot from 44 ft,,17-20,,
0:00.0,,,17-20,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,17-20,,D. Green misses 3-pt shot from 25 ft
11:46.0,,,17-20,,Offensive rebound by B. Marjanovic
11:46.0,,,17-20,,Shooting foul by A. Len (drawn by B. Marjanovic)
11:46.0,,,17-20,,B. Marjanovic misses free throw 1 of 2
11:46.0,,,17-20,,Offensive rebound by Team
11:46.0,,,17-20,,B. Marjanovic misses free throw 2 of 2
11:44.0,Defensive rebound by M. Teletovic,,17-20,,
11:23.0,A. Len misses 2-pt shot from 1 ft (block by B. Marjanovic),,17-20,,
11:20.0,,,17-20,,Defensive rebound by M. Ginobili
11:18.0,,,17-20,,Turnover by P. Mills (lost ball; steal by M. Teletovic)
