time,LA Clippers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Jordan (D. Arthur gains possession),,,,Jump ball: N. Jokic vs. D. Jordan (D. Arthur gains possession)
11:39.0,,,0-3,3,G. Harris makes 3-pt shot from 25 ft (assist by D. Gallinari)
11:21.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,2-3,,
11:10.0,,,2-3,,Shooting foul by D. Jordan (drawn by D. Gallinari)
11:10.0,,,2-3,,D. Gallinari misses free throw 1 of 2
11:10.0,,,2-3,,Offensive rebound by Team
11:10.0,,,2-4,1,D. Gallinari makes free throw 2 of 2
11:00.0,Turnover by J. Redick (lost ball; steal by E. Mudiay),,2-4,,
10:45.0,,,2-4,,G. Harris misses 2-pt shot from 10 ft
10:45.0,Defensive rebound by D. Jordan,,2-4,,
10:39.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,5-4,,
10:22.0,,,5-6,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
10:05.0,D. Jordan misses 2-pt shot from 4 ft,,5-6,,
10:04.0,,,5-6,,Defensive rebound by G. Harris
9:52.0,,,5-8,2,D. Arthur makes 2-pt shot from 8 ft (assist by N. Jokic)
9:33.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,7-8,,
9:15.0,,,7-8,,N. Jokic misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by Team,,7-8,,
8:59.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,9-8,,
8:33.0,,,9-10,2,N. Jokic makes 2-pt shot from 3 ft
8:24.0,,,9-10,,Personal foul by N. Jokic (drawn by D. Jordan)
8:19.0,J. Redick misses 2-pt shot from 22 ft,,9-10,,
8:19.0,,,9-10,,Defensive rebound by D. Arthur
8:10.0,,,9-10,,D. Arthur misses 2-pt shot from 19 ft
8:10.0,Defensive rebound by C. Paul,,9-10,,
8:01.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,11-10,,
7:47.0,,,11-10,,N. Jokic misses 2-pt shot from 6 ft
7:47.0,,,11-10,,Offensive rebound by G. Harris
7:35.0,,,11-10,,D. Gallinari misses 2-pt shot from 17 ft
7:34.0,,,11-10,,Offensive rebound by N. Jokic
7:26.0,,,11-12,2,D. Arthur makes 2-pt shot at rim (assist by E. Mudiay)
7:01.0,B. Griffin misses 2-pt shot from 21 ft,,11-12,,
7:00.0,,,11-12,,Defensive rebound by D. Gallinari
6:53.0,,,11-12,,D. Arthur misses 2-pt shot from 5 ft (block by B. Griffin)
6:53.0,Defensive rebound by B. Griffin,,11-12,,
6:53.0,,,11-12,,Personal foul by D. Gallinari (drawn by B. Griffin)
6:41.0,C. Paul misses 2-pt shot from 19 ft,,11-12,,
6:40.0,Offensive rebound by D. Jordan,,11-12,,
6:39.0,Shooting foul by N. Jokic (drawn by D. Jordan),,11-12,,
6:39.0,D. Jordan makes free throw 1 of 2,1,12-12,,
6:39.0,,,12-12,,J. Hickson enters the game for N. Jokic
6:39.0,D. Jordan misses free throw 2 of 2,,12-12,,
6:37.0,Offensive rebound by B. Griffin,,12-12,,
6:33.0,J. Redick makes 3-pt shot from 27 ft (assist by B. Griffin),3,15-12,,
6:19.0,Personal foul by C. Paul (drawn by J. Hickson),,15-12,,
6:08.0,,,15-14,2,D. Gallinari makes 2-pt shot from 2 ft
5:56.0,W. Johnson makes 3-pt shot from 24 ft (assist by B. Griffin),3,18-14,,
5:42.0,,,18-14,,G. Harris misses 3-pt shot from 26 ft (block by D. Jordan)
5:36.0,Defensive rebound by D. Jordan,,18-14,,
5:32.0,C. Paul makes 2-pt shot from 17 ft,2,20-14,,
5:32.0,,,20-14,,Denver full timeout
5:20.0,Personal foul by W. Johnson (drawn by D. Gallinari),,20-14,,
5:09.0,,,20-14,,D. Arthur misses 2-pt shot from 20 ft
5:08.0,Defensive rebound by D. Jordan,,20-14,,
4:59.0,W. Johnson makes 3-pt shot from 23 ft (assist by J. Redick),3,23-14,,
4:40.0,,,23-16,2,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari)
4:16.0,J. Redick makes 2-pt shot from 19 ft (assist by D. Jordan),2,25-16,,
4:03.0,,,25-16,,Shooting foul by D. Jordan (drawn by D. Gallinari)
4:03.0,,,25-17,1,D. Gallinari makes free throw 1 of 2
4:03.0,,,25-17,,J. Nelson enters the game for E. Mudiay
4:03.0,J. Smith enters the game for D. Jordan,,25-17,,
4:03.0,,,25-18,1,D. Gallinari makes free throw 2 of 2
3:50.0,C. Paul misses 2-pt shot from 13 ft,,25-18,,
3:49.0,,,25-18,,Defensive rebound by D. Gallinari
3:40.0,,,25-20,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Arthur)
3:26.0,B. Griffin misses 2-pt shot from 15 ft,,25-20,,
3:26.0,,,25-20,,Defensive rebound by D. Gallinari
3:09.0,,,25-22,2,D. Gallinari makes 2-pt shot from 19 ft
3:08.0,LA Clippers full timeout,,25-22,,
3:08.0,P. Pierce enters the game for W. Johnson,,25-22,,
2:57.0,B. Griffin misses 2-pt shot from 17 ft,,25-22,,
2:56.0,,,25-22,,Defensive rebound by D. Arthur
2:42.0,,,25-22,,Turnover by D. Arthur (traveling)
2:42.0,J. Crawford enters the game for J. Redick,,25-22,,
2:42.0,A. Rivers enters the game for C. Paul,,25-22,,
2:19.0,J. Crawford misses 3-pt shot from 29 ft,,25-22,,
2:18.0,,,25-22,,Defensive rebound by J. Hickson
2:11.0,,,25-22,,Shooting foul by P. Pierce (drawn by D. Gallinari)
2:11.0,,,25-23,1,D. Gallinari makes free throw 1 of 2
2:11.0,,,25-23,,W. Barton enters the game for G. Harris
2:11.0,,,25-24,1,D. Gallinari makes free throw 2 of 2
1:53.0,J. Smith misses 3-pt shot from 24 ft,,25-24,,
1:53.0,,,25-24,,Defensive rebound by D. Gallinari
1:38.0,,,25-24,,D. Arthur misses 2-pt shot from 15 ft
1:38.0,Defensive rebound by B. Griffin,,25-24,,
1:24.0,P. Pierce misses 3-pt shot from 25 ft,,25-24,,
1:23.0,,,25-24,,Defensive rebound by D. Gallinari
1:15.0,,,25-24,,D. Arthur misses 2-pt shot at rim
1:14.0,Defensive rebound by A. Rivers,,25-24,,
1:01.0,A. Rivers misses 3-pt shot from 25 ft,,25-24,,
1:01.0,,,25-24,,Defensive rebound by D. Gallinari
0:50.0,,,25-26,2,J. Hickson makes 2-pt shot from 1 ft (assist by J. Nelson)
0:39.0,,,25-26,,Personal foul by D. Arthur (drawn by B. Griffin)
