time,New Orleans,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (C. Capela gains possession),,,,Jump ball: A. Davis vs. D. Howard (C. Capela gains possession)
11:35.0,,,0-0,,C. Capela misses 2-pt shot from 2 ft
11:34.0,,,0-0,,Offensive rebound by D. Howard
11:34.0,,,0-0,,D. Howard misses 2-pt shot at rim
11:33.0,Defensive rebound by A. Davis,,0-0,,
11:17.0,E. Gordon makes 2-pt shot from 19 ft (assist by A. Davis),2,2-0,,
11:04.0,,,2-0,,P. Beverley misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by A. Davis,,2-0,,
10:51.0,E. Gordon misses 3-pt shot from 23 ft,,2-0,,
10:51.0,,,2-0,,Defensive rebound by D. Howard
10:34.0,,,2-2,2,T. Ariza makes 2-pt shot from 6 ft
10:12.0,E. Gordon misses 3-pt shot from 24 ft,,2-2,,
10:11.0,,,2-2,,Defensive rebound by C. Capela
10:01.0,,,2-2,,Turnover by T. Ariza (bad pass; steal by A. Davis)
9:51.0,A. Davis makes 3-pt shot from 24 ft (assist by A. Gee),3,5-2,,
9:39.0,,,5-2,,J. Harden misses 3-pt shot from 23 ft
9:38.0,Defensive rebound by A. Davis,,5-2,,
9:26.0,A. Davis misses 2-pt shot from 17 ft,,5-2,,
9:25.0,Offensive rebound by O. Asik,,5-2,,
9:11.0,O. Asik misses 2-pt shot from 3 ft,,5-2,,
9:10.0,Offensive rebound by A. Davis,,5-2,,
9:10.0,A. Davis misses 2-pt shot at rim,,5-2,,
9:09.0,,,5-2,,Defensive rebound by J. Harden
9:04.0,,,5-2,,T. Ariza misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by Team,,5-2,,
8:50.0,,,5-2,,Personal foul by C. Capela (drawn by A. Davis)
8:45.0,O. Asik makes 2-pt shot from 2 ft (assist by T. Evans),2,7-2,,
8:32.0,,,7-2,,T. Ariza misses 2-pt shot from 1 ft (block by T. Evans)
8:31.0,,,7-2,,Offensive rebound by Team
8:23.0,,,7-2,,P. Beverley misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by A. Davis,,7-2,,
8:09.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,9-2,,
7:48.0,,,9-2,,C. Capela misses 2-pt shot from 4 ft (block by A. Davis)
7:47.0,,,9-2,,Offensive rebound by T. Ariza
7:45.0,,,9-2,,Shooting foul by A. Gee (drawn by C. Capela)
7:45.0,,,9-3,1,C. Capela makes free throw 1 of 2
7:45.0,,,9-4,1,C. Capela makes free throw 2 of 2
7:25.0,T. Evans makes 2-pt shot from 2 ft (assist by A. Gee),2,11-4,,
7:06.0,,,11-4,,T. Jones enters the game for C. Capela
7:02.0,,,11-4,,J. Harden misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by E. Gordon,,11-4,,
6:50.0,E. Gordon makes 2-pt shot from 3 ft,2,13-4,,
6:50.0,,,13-4,,Houston full timeout
6:38.0,,,13-6,2,J. Harden makes 2-pt shot from 14 ft
6:23.0,Offensive foul by O. Asik,,13-6,,
6:23.0,Turnover by O. Asik (offensive foul),,13-6,,
6:10.0,,,13-6,,J. Harden misses 2-pt shot from 16 ft
6:09.0,Defensive rebound by T. Evans,,13-6,,
5:58.0,A. Davis makes 2-pt shot from 4 ft (assist by T. Evans),2,15-6,,
5:43.0,,,15-8,2,T. Jones makes 2-pt shot from 1 ft
5:24.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,18-8,,
5:11.0,,,18-8,,Shooting foul by A. Gee (drawn by D. Howard)
5:11.0,,,18-9,1,D. Howard makes free throw 1 of 2
5:11.0,,,18-9,,T. Lawson enters the game for P. Beverley
5:11.0,,,18-9,,C. Brewer enters the game for T. Ariza
5:11.0,D. Cunningham enters the game for A. Gee,,18-9,,
5:11.0,,,18-9,,D. Howard misses free throw 2 of 2
5:11.0,Defensive rebound by A. Davis,,18-9,,
5:00.0,Turnover by A. Davis (bad pass),,18-9,,
4:44.0,,,18-11,2,C. Brewer makes 2-pt shot from 2 ft (assist by T. Lawson)
4:32.0,D. Cunningham makes 2-pt shot from 2 ft (assist by O. Asik),2,20-11,,
4:13.0,,,20-11,,J. Harden misses 2-pt shot from 15 ft
4:12.0,Defensive rebound by A. Davis,,20-11,,
4:05.0,T. Evans misses 2-pt shot from 2 ft (block by T. Jones),,20-11,,
4:03.0,Offensive rebound by D. Cunningham,,20-11,,
4:02.0,D. Cunningham misses 2-pt shot from 1 ft (block by D. Howard),,20-11,,
4:00.0,,,20-11,,Defensive rebound by J. Harden
3:56.0,,,20-13,2,T. Jones makes 2-pt shot at rim (assist by C. Brewer)
3:35.0,T. Evans misses 2-pt shot from 3 ft,,20-13,,
3:34.0,,,20-13,,Defensive rebound by J. Harden
3:20.0,,,20-13,,J. Harden misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by O. Asik,,20-13,,
3:16.0,,,20-13,,Clear path foul by J. Harden
3:16.0,,,20-13,,M. Thornton enters the game for D. Howard
3:16.0,,,20-13,,C. Capela enters the game for J. Harden
3:16.0,R. Anderson enters the game for O. Asik,,20-13,,
3:16.0,N. Cole enters the game for T. Evans,,20-13,,
3:16.0,A. Davis makes clear path free throw 1 of 2,1,21-13,,
3:16.0,A. Davis misses clear path free throw 2 of 2,,21-13,,
3:16.0,Offensive rebound by Team,,21-13,,
3:04.0,A. Davis misses 2-pt shot from 9 ft,,21-13,,
3:03.0,,,21-13,,Defensive rebound by C. Capela
2:57.0,Personal block foul by N. Cole (drawn by T. Lawson),,21-13,,
2:57.0,New Orleans full timeout,,21-13,,
2:57.0,A. Ajinca enters the game for A. Davis,,21-13,,
2:47.0,,,21-13,,C. Brewer misses 2-pt shot from 2 ft
2:46.0,Defensive rebound by D. Cunningham,,21-13,,
2:38.0,A. Ajinca makes 2-pt shot from 3 ft (assist by N. Cole),2,23-13,,
2:25.0,,,23-15,2,T. Jones makes 2-pt shot from 9 ft
2:04.0,E. Gordon makes 2-pt shot from 2 ft,2,25-15,,
2:04.0,Shooting foul by C. Capela (drawn by E. Gordon),,25-15,,
2:04.0,E. Gordon makes free throw 1 of 1,1,26-15,,
1:46.0,,,26-15,,M. Thornton misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by N. Cole,,26-15,,
1:39.0,Offensive charge foul by N. Cole,,26-15,,
1:39.0,Turnover by N. Cole (offensive foul),,26-15,,
1:24.0,,,26-17,2,M. Thornton makes 2-pt shot from 9 ft
1:04.0,,,26-17,,Personal foul by M. Thornton (drawn by N. Cole)
0:57.0,D. Cunningham makes 3-pt shot from 23 ft (assist by E. Gordon),3,29-17,,
0:51.0,Violation by N. Cole (kicked ball),,29-17,,
0:51.0,I. Smith enters the game for E. Gordon,,29-17,,
0:45.0,,,29-17,,C. Brewer misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by D. Cunningham,,29-17,,
0:23.0,A. Ajinca misses 2-pt shot from 7 ft,,29-17,,
0:22.0,Offensive rebound by R. Anderson,,29-17,,
0:22.0,Turnover by R. Anderson (lost ball),,29-17,,
0:22.0,,,29-17,,J. Harden enters the game for C. Capela
0:03.0,,,29-17,,T. Lawson misses 2-pt shot from 1 ft (block by A. Ajinca)
0:02.0,Defensive rebound by I. Smith,,29-17,,
0:00.0,N. Cole misses 3-pt shot from 25 ft,,29-17,,
0:00.0,Offensive rebound by Team,,29-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Ajinca misses 2-pt shot from 16 ft,,29-17,,
11:44.0,,,29-17,,Defensive rebound by T. Jones
11:41.0,Personal foul by A. Ajinca (drawn by D. Howard),,29-17,,
11:33.0,,,29-19,2,C. Brewer makes 2-pt shot from 13 ft (assist by T. Lawson)
11:22.0,R. Anderson makes 2-pt shot from 20 ft (assist by D. Cunningham),2,31-19,,
11:05.0,,,31-19,,D. Howard misses 2-pt shot at rim
11:04.0,Defensive rebound by I. Smith,,31-19,,
11:03.0,Turnover by R. Anderson (bad pass),,31-19,,
10:50.0,,,31-19,,M. Thornton misses 3-pt shot from 22 ft
10:50.0,Defensive rebound by A. Ajinca,,31-19,,
10:42.0,Turnover by A. Ajinca (offensive foul),,31-19,,
10:42.0,Offensive charge foul by A. Ajinca,,31-19,,
10:29.0,,,31-19,,C. Brewer misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by R. Anderson,,31-19,,
10:20.0,N. Cole misses 3-pt shot from 24 ft,,31-19,,
10:19.0,Offensive rebound by Team,,31-19,,
10:19.0,O. Asik enters the game for A. Ajinca,,31-19,,
10:19.0,,,31-19,,P. Beverley enters the game for M. Thornton
10:07.0,R. Anderson misses 2-pt shot from 2 ft,,31-19,,
10:06.0,Offensive rebound by R. Anderson,,31-19,,
10:06.0,Shooting foul by D. Howard (drawn by R. Anderson),,31-19,,
10:06.0,R. Anderson makes free throw 1 of 2,1,32-19,,
10:06.0,R. Anderson makes free throw 2 of 2,1,33-19,,
9:54.0,,,33-19,,Turnover by D. Howard (illegal screen)
9:40.0,R. Anderson misses 2-pt shot from 2 ft,,33-19,,
9:38.0,,,33-19,,Defensive rebound by D. Howard
9:29.0,,,33-22,3,T. Jones makes 3-pt shot from 25 ft (assist by P. Beverley)
9:17.0,R. Anderson makes 3-pt shot from 23 ft (assist by I. Smith),3,36-22,,
9:04.0,,,36-22,,C. Brewer misses 2-pt shot from 4 ft
9:03.0,Defensive rebound by I. Smith,,36-22,,
9:02.0,,,36-22,,Personal foul by P. Beverley (drawn by I. Smith)
9:02.0,,,36-22,,J. Harden enters the game for C. Brewer
8:48.0,R. Anderson misses 2-pt shot from 12 ft,,36-22,,
8:47.0,,,36-22,,Defensive rebound by D. Howard
8:35.0,,,36-25,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Jones)
8:24.0,N. Cole misses 2-pt shot from 17 ft,,36-25,,
8:23.0,,,36-25,,Defensive rebound by J. Harden
8:15.0,,,36-25,,P. Beverley misses 3-pt shot from 23 ft
8:15.0,Defensive rebound by I. Smith,,36-25,,
8:01.0,N. Cole misses 2-pt shot from 4 ft,,36-25,,
8:00.0,,,36-25,,Defensive rebound by D. Howard
7:48.0,,,36-27,2,T. Lawson makes 2-pt shot from 1 ft (assist by J. Harden)
7:41.0,New Orleans full timeout,,36-27,,
7:41.0,,,36-27,,C. Capela enters the game for T. Jones
7:41.0,A. Davis enters the game for D. Cunningham,,36-27,,
7:41.0,A. Gee enters the game for R. Anderson,,36-27,,
7:41.0,T. Evans enters the game for N. Cole,,36-27,,
7:41.0,E. Gordon enters the game for I. Smith,,36-27,,
7:24.0,Shooting foul by P. Beverley (drawn by A. Davis),,36-27,,
7:24.0,A. Davis makes free throw 1 of 2,1,37-27,,
7:24.0,A. Davis makes free throw 2 of 2,1,38-27,,
7:10.0,Violation by O. Asik (def goaltending),,38-27,,
7:10.0,,,38-29,2,J. Harden makes 2-pt shot from 3 ft
6:50.0,A. Davis misses 2-pt shot from 8 ft,,38-29,,
6:49.0,Offensive rebound by Team,,38-29,,
6:49.0,,,38-29,,Loose ball foul by D. Howard (drawn by O. Asik)
6:37.0,A. Davis misses 3-pt shot from 25 ft,,38-29,,
6:37.0,,,38-29,,Defensive rebound by D. Howard
6:28.0,Personal foul by E. Gordon (drawn by T. Lawson),,38-29,,
6:18.0,,,38-31,2,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley)
6:18.0,,,38-31,,Shooting foul by O. Asik (drawn by C. Capela)
6:18.0,,,38-31,,T. Ariza enters the game for T. Lawson
6:18.0,Violation by O. Asik (lane),,38-31,,
6:18.0,,,38-31,,C. Capela misses free throw 1 of 1
6:18.0,,,38-31,,Offensive rebound by D. Howard
6:13.0,,,38-31,,T. Ariza misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by Team,,38-31,,
5:46.0,E. Gordon misses 3-pt shot from 24 ft,,38-31,,
5:45.0,,,38-31,,Defensive rebound by D. Howard
5:38.0,,,38-31,,J. Harden misses 3-pt shot from 25 ft
5:37.0,,,38-31,,Offensive rebound by C. Capela
5:25.0,,,38-31,,Houston full timeout
5:25.0,Technical foul by T. Evans,,38-31,,
5:25.0,,,38-31,,Houston full timeout
5:25.0,,,38-31,,T. Jones enters the game for D. Howard
5:25.0,,,38-32,1,J. Harden makes technical free throw
5:25.0,R. Anderson enters the game for O. Asik,,38-32,,
5:08.0,,,38-35,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
4:48.0,A. Davis misses 2-pt shot from 3 ft,,38-35,,
4:47.0,,,38-35,,Defensive rebound by P. Beverley
4:41.0,,,38-37,2,T. Jones makes 2-pt shot from 3 ft (assist by P. Beverley)
4:33.0,,,38-37,,Personal foul by C. Capela (drawn by T. Evans)
4:33.0,T. Evans makes free throw 1 of 2,1,39-37,,
4:33.0,,,39-37,,D. Howard enters the game for C. Capela
4:33.0,T. Evans misses free throw 2 of 2,,39-37,,
4:33.0,,,39-37,,Defensive rebound by J. Harden
4:21.0,,,39-37,,T. Jones misses 2-pt shot from 1 ft
4:21.0,,,39-37,,Offensive rebound by Team
4:18.0,,,39-39,2,T. Ariza makes 2-pt shot from 2 ft (assist by P. Beverley)
4:18.0,,,39-39,,Shooting foul by E. Gordon (drawn by T. Ariza)
4:18.0,,,39-40,1,T. Ariza makes free throw 1 of 1
4:08.0,Turnover by T. Evans (lost ball; steal by P. Beverley),,39-40,,
4:04.0,,,39-40,,T. Jones misses 2-pt shot from 2 ft
4:04.0,,,39-40,,Offensive rebound by Team
3:59.0,,,39-40,,P. Beverley misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by T. Evans,,39-40,,
3:53.0,A. Davis misses 2-pt shot from 2 ft (block by T. Jones),,39-40,,
3:52.0,Offensive rebound by A. Gee,,39-40,,
3:52.0,A. Gee makes 2-pt shot at rim,2,41-40,,
3:42.0,Personal foul by A. Davis (drawn by D. Howard),,41-40,,
3:42.0,,,41-40,,D. Howard misses free throw 1 of 2
3:42.0,,,41-40,,Offensive rebound by Team
3:42.0,,,41-40,,D. Howard misses free throw 2 of 2
3:42.0,Defensive rebound by R. Anderson,,41-40,,
3:29.0,,,41-40,,Def 3 sec tech foul by D. Howard
3:29.0,A. Davis makes technical free throw,1,42-40,,
3:19.0,Shooting foul by P. Beverley (drawn by T. Evans),,42-40,,
3:19.0,T. Evans makes free throw 1 of 2,1,43-40,,
3:19.0,T. Evans makes free throw 2 of 2,1,44-40,,
2:59.0,,,44-40,,D. Howard misses 2-pt shot from 3 ft
2:58.0,,,44-40,,Offensive rebound by T. Jones
2:57.0,,,44-40,,T. Jones misses 2-pt shot from 2 ft
2:56.0,Defensive rebound by R. Anderson,,44-40,,
2:39.0,T. Evans misses 2-pt shot from 1 ft,,44-40,,
2:37.0,Offensive rebound by A. Davis,,44-40,,
2:35.0,A. Davis makes 2-pt shot from 5 ft,2,46-40,,
2:34.0,,,46-40,,Houston full timeout
2:34.0,,,46-40,,T. Lawson enters the game for P. Beverley
2:15.0,,,46-40,,T. Jones misses 2-pt shot from 7 ft (block by A. Davis)
2:14.0,Defensive rebound by T. Evans,,46-40,,
2:06.0,R. Anderson misses 3-pt shot from 25 ft,,46-40,,
2:04.0,Offensive rebound by R. Anderson,,46-40,,
2:02.0,Turnover by R. Anderson (bad pass),,46-40,,
2:02.0,Loose ball foul by R. Anderson (drawn by J. Harden),,46-40,,
2:02.0,,,46-41,1,J. Harden makes free throw 1 of 2
2:02.0,,,46-42,1,J. Harden makes free throw 2 of 2
1:49.0,Turnover by A. Davis (bad pass),,46-42,,
1:44.0,Personal foul by A. Gee (drawn by T. Lawson),,46-42,,
1:44.0,,,46-43,1,T. Lawson makes free throw 1 of 2
1:44.0,N. Cole enters the game for A. Gee,,46-43,,
1:44.0,,,46-44,1,T. Lawson makes free throw 2 of 2
1:31.0,T. Evans makes 2-pt shot from 2 ft,2,48-44,,
1:25.0,Personal foul by R. Anderson (drawn by D. Howard),,48-44,,
1:25.0,,,48-45,1,D. Howard makes free throw 1 of 2
1:25.0,,,48-45,,D. Howard misses free throw 2 of 2
1:24.0,,,48-45,,Offensive rebound by D. Howard
1:24.0,Loose ball foul by R. Anderson (drawn by D. Howard),,48-45,,
1:24.0,,,48-46,1,J. Harden makes free throw 1 of 2
1:24.0,O. Asik enters the game for R. Anderson,,48-46,,
1:24.0,,,48-46,,J. Harden misses free throw 2 of 2
1:24.0,Defensive rebound by E. Gordon,,48-46,,
1:03.0,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans),2,50-46,,
0:42.0,,,50-46,,T. Jones misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by T. Evans,,50-46,,
0:29.0,N. Cole misses 3-pt shot from 25 ft,,50-46,,
0:27.0,,,50-46,,Defensive rebound by J. Harden
0:22.0,,,50-48,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
0:04.0,T. Evans misses 2-pt shot from 2 ft,,50-48,,
0:03.0,,,50-48,,Defensive rebound by T. Jones
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,52-48,,
11:26.0,,,52-50,2,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley)
11:09.0,A. Davis misses 2-pt shot from 20 ft,,52-50,,
11:08.0,,,52-50,,Defensive rebound by J. Harden
11:00.0,,,52-50,,P. Beverley misses 2-pt shot from 6 ft
11:00.0,,,52-50,,Offensive rebound by Team
11:00.0,Loose ball foul by O. Asik (drawn by D. Howard),,52-50,,
10:43.0,,,52-50,,T. Ariza misses 2-pt shot from 3 ft
10:43.0,Defensive rebound by A. Davis,,52-50,,
10:43.0,,,52-50,,Personal foul by C. Capela (drawn by A. Davis)
10:43.0,,,52-50,,T. Jones enters the game for C. Capela
10:24.0,Turnover by O. Asik (bad pass; steal by T. Jones),,52-50,,
10:20.0,,,52-50,,Shooting foul by O. Asik (drawn by T. Jones)
10:20.0,,,52-50,,T. Jones misses free throw 1 of 2
10:20.0,,,52-50,,Offensive rebound by Team
10:20.0,A. Ajinca enters the game for O. Asik,,52-50,,
10:20.0,,,52-50,,T. Jones misses free throw 2 of 2
10:20.0,Defensive rebound by A. Gee,,52-50,,
10:06.0,,,52-50,,Personal foul by P. Beverley (drawn by A. Davis)
10:06.0,,,52-50,,T. Lawson enters the game for P. Beverley
9:58.0,E. Gordon misses 2-pt shot from 18 ft,,52-50,,
9:57.0,,,52-50,,Defensive rebound by T. Jones
9:47.0,,,52-50,,J. Harden misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by Team,,52-50,,
9:33.0,T. Evans misses 3-pt shot from 24 ft,,52-50,,
9:31.0,,,52-50,,Defensive rebound by Team
9:09.0,,,52-52,2,D. Howard makes 2-pt shot from 2 ft (assist by T. Lawson)
8:54.0,Turnover by A. Ajinca (3 sec),,52-52,,
8:45.0,,,52-52,,Shooting foul by E. Gordon (drawn by J. Harden)
8:45.0,,,52-53,1,J. Harden makes free throw 1 of 2
8:45.0,,,52-54,1,J. Harden makes free throw 2 of 2
8:28.0,A. Davis makes 2-pt shot from 8 ft,2,54-54,,
8:17.0,,,54-56,2,T. Lawson makes 2-pt shot from 2 ft (assist by J. Harden)
8:17.0,,,54-56,,Shooting foul by A. Gee (drawn by T. Lawson)
8:17.0,,,54-57,1,T. Lawson makes free throw 1 of 1
8:04.0,E. Gordon misses 2-pt shot from 7 ft (block by D. Howard),,54-57,,
8:04.0,,,54-57,,Defensive rebound by Team
8:04.0,N. Cole enters the game for A. Gee,,54-57,,
8:04.0,Jump ball: E. Gordon vs. D. Howard (T. Lawson gains possession),,,,Jump ball: E. Gordon vs. D. Howard (T. Lawson gains possession)
7:56.0,,,54-59,2,T. Lawson makes 2-pt shot from 1 ft
7:31.0,Shooting foul by D. Howard (drawn by A. Davis),,54-59,,
7:31.0,A. Davis makes free throw 1 of 2,1,55-59,,
7:31.0,,,55-59,,Technical foul by P. Beverley
7:31.0,A. Davis makes technical free throw,1,56-59,,
7:31.0,A. Davis makes free throw 2 of 2,1,57-59,,
7:11.0,,,57-59,,T. Jones misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by A. Ajinca,,57-59,,
6:59.0,A. Ajinca misses 2-pt shot from 8 ft,,57-59,,
6:58.0,Offensive rebound by A. Ajinca,,57-59,,
