time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (D. Lillard gains possession)
11:43.0,,,0-3,3,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu)
11:28.0,A. Davis makes 2-pt shot from 4 ft (assist by E. Gordon),2,2-3,,
11:09.0,,,2-3,,N. Vonleh misses 2-pt shot from 5 ft (block by A. Davis)
11:07.0,,,2-3,,Offensive rebound by N. Vonleh
11:04.0,,,2-3,,N. Vonleh misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by T. Evans,,2-3,,
10:54.0,E. Gordon misses 3-pt shot from 26 ft,,2-3,,
10:53.0,,,2-3,,Defensive rebound by M. Plumlee
10:45.0,,,2-3,,D. Lillard misses 2-pt shot from 14 ft
10:44.0,Defensive rebound by T. Evans,,2-3,,
10:30.0,A. Davis misses 3-pt shot from 25 ft,,2-3,,
10:29.0,,,2-3,,Defensive rebound by M. Plumlee
10:20.0,Violation by A. Ajinca (kicked ball),,2-3,,
10:17.0,Personal foul by A. Gee (drawn by D. Lillard),,2-3,,
10:08.0,,,2-3,,M. Plumlee misses 2-pt shot from 10 ft
10:07.0,Defensive rebound by T. Evans,,2-3,,
9:55.0,T. Evans misses 2-pt shot from 3 ft (block by N. Vonleh),,2-3,,
9:54.0,,,2-3,,Defensive rebound by N. Vonleh
9:44.0,,,2-3,,M. Plumlee misses 2-pt shot from 4 ft
9:43.0,Defensive rebound by A. Davis,,2-3,,
9:34.0,A. Ajinca misses 2-pt shot from 21 ft,,2-3,,
9:34.0,,,2-3,,Defensive rebound by N. Vonleh
9:23.0,,,2-5,2,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Vonleh)
9:11.0,Turnover by T. Evans (bad pass; steal by N. Vonleh),,2-5,,
9:05.0,,,2-7,2,A. Aminu makes 2-pt shot at rim (assist by M. Plumlee)
8:48.0,Shooting foul by N. Vonleh (drawn by A. Davis),,2-7,,
8:48.0,A. Davis misses free throw 1 of 2,,2-7,,
8:48.0,Offensive rebound by Team,,2-7,,
