time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (K. Bazemore gains possession),,,,Jump ball: A. Horford vs. A. Johnson (K. Bazemore gains possession)
11:55.0,,,0-0,,Personal foul by A. Johnson (drawn by K. Bazemore)
11:43.0,K. Korver misses 2-pt shot from 13 ft,,0-0,,
11:41.0,Offensive rebound by Team,,0-0,,
11:35.0,P. Millsap misses 2-pt shot from 5 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Crowder
11:18.0,,,0-0,,A. Johnson misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by A. Horford,,0-0,,
11:03.0,P. Millsap misses 3-pt shot from 23 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by J. Sullinger
10:57.0,,,0-0,,Turnover by A. Bradley (bad pass)
10:40.0,K. Bazemore misses 3-pt shot from 23 ft,,0-0,,
10:39.0,,,0-0,,Defensive rebound by J. Sullinger
10:26.0,,,0-0,,A. Bradley misses 2-pt shot from 21 ft
10:24.0,Defensive rebound by P. Millsap,,0-0,,
10:18.0,Turnover by P. Millsap (lost ball; steal by A. Bradley),,0-0,,
10:01.0,,,0-0,,Turnover by I. Thomas (bad pass; steal by A. Horford)
9:56.0,Turnover by K. Bazemore (lost ball; steal by I. Thomas),,0-0,,
9:28.0,,,0-0,,J. Sullinger misses 2-pt shot from 18 ft
9:28.0,Defensive rebound by K. Bazemore,,0-0,,
9:21.0,A. Horford makes 2-pt shot from 1 ft,2,2-0,,
9:08.0,,,2-0,,A. Bradley misses 2-pt shot from 1 ft
9:07.0,,,2-0,,Offensive rebound by A. Bradley
9:07.0,,,2-2,2,A. Bradley makes 2-pt shot from 1 ft
8:52.0,K. Korver makes 2-pt shot from 1 ft (assist by J. Teague),2,4-2,,
8:42.0,,,4-4,2,A. Johnson makes 2-pt shot from 1 ft (assist by J. Sullinger)
8:29.0,K. Bazemore misses 2-pt shot from 1 ft,,4-4,,
8:28.0,,,4-4,,Defensive rebound by J. Sullinger
8:22.0,,,4-6,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
8:08.0,A. Horford misses 2-pt shot from 4 ft,,4-6,,
8:07.0,,,4-6,,Defensive rebound by J. Sullinger
7:57.0,,,4-9,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Sullinger)
7:41.0,K. Korver makes 2-pt shot from 1 ft (assist by J. Teague),2,6-9,,
7:17.0,,,6-12,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
7:17.0,Atlanta full timeout,,6-12,,
7:00.0,P. Millsap makes 2-pt shot at rim (assist by A. Horford),2,8-12,,
6:40.0,,,8-12,,Turnover by A. Johnson (lost ball; steal by P. Millsap)
6:35.0,Turnover by J. Teague (bad pass; steal by I. Thomas),,8-12,,
6:19.0,,,8-14,2,J. Crowder makes 2-pt shot from 19 ft (assist by I. Thomas)
6:06.0,J. Teague misses 3-pt shot from 25 ft,,8-14,,
6:05.0,Offensive rebound by A. Horford,,8-14,,
6:02.0,K. Korver misses 3-pt shot from 24 ft,,8-14,,
6:01.0,,,8-14,,Defensive rebound by J. Crowder
5:55.0,,,8-14,,I. Thomas misses 2-pt shot from 4 ft
5:55.0,,,8-14,,Offensive rebound by Team
5:55.0,Loose ball foul by A. Horford (drawn by A. Johnson),,8-14,,
5:55.0,T. Splitter enters the game for K. Korver,,8-14,,
5:55.0,T. Sefolosha enters the game for A. Horford,,8-14,,
5:55.0,,,8-14,,K. Olynyk enters the game for J. Sullinger
5:44.0,,,8-16,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
5:28.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,10-16,,
