time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. K. Towns (K. Garnett gains possession),,,,Jump ball: D. Cousins vs. K. Towns (K. Garnett gains possession)
11:38.0,,,0-0,,R. Rubio misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by O. Casspi,,0-0,,
11:19.0,Turnover by O. Casspi (lost ball),,0-0,,
11:08.0,,,0-2,2,K. Towns makes 2-pt shot from 18 ft (assist by K. Garnett)
11:01.0,Turnover by D. Cousins (lost ball; steal by R. Rubio),,0-2,,
10:56.0,,,0-4,2,T. Prince makes 2-pt shot at rim (assist by A. Wiggins)
10:39.0,D. Cousins misses 2-pt shot from 4 ft,,0-4,,
10:38.0,,,0-4,,Defensive rebound by K. Towns
10:30.0,,,0-4,,A. Wiggins misses 3-pt shot from 22 ft
10:29.0,,,0-4,,Offensive rebound by K. Towns
10:27.0,,,0-6,2,K. Towns makes 2-pt shot from 1 ft
10:12.0,R. Rondo makes 2-pt shot from 1 ft,2,2-6,,
9:51.0,,,2-8,2,A. Wiggins makes 2-pt shot from 7 ft (assist by K. Garnett)
9:38.0,R. Gay makes 3-pt shot from 25 ft,3,5-8,,
9:16.0,,,5-8,,T. Prince misses 2-pt shot from 22 ft
9:15.0,,,5-8,,Offensive rebound by A. Wiggins
9:12.0,,,5-10,2,A. Wiggins makes 2-pt shot from 12 ft
9:08.0,,,5-10,,Personal foul by K. Towns (drawn by D. Cousins)
9:03.0,R. Gay misses 3-pt shot from 25 ft,,5-10,,
9:02.0,,,5-10,,Defensive rebound by A. Wiggins
8:54.0,,,5-12,2,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio)
8:46.0,,,5-12,,Personal block foul by R. Rubio (drawn by R. Rondo)
8:31.0,O. Casspi misses 3-pt shot from 24 ft,,5-12,,
8:29.0,Offensive rebound by R. Gay,,5-12,,
8:26.0,O. Casspi misses 2-pt shot from 5 ft (block by K. Garnett),,5-12,,
8:25.0,,,5-12,,Defensive rebound by R. Rubio
8:22.0,,,5-14,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
8:22.0,,,5-14,,Shooting foul by R. Gay (drawn by A. Wiggins)
8:22.0,Sacramento full timeout,,5-14,,
8:22.0,,,5-14,,A. Wiggins misses free throw 1 of 1
8:22.0,Defensive rebound by D. Cousins,,5-14,,
8:03.0,D. Cousins misses 2-pt shot from 3 ft (block by K. Towns),,5-14,,
8:01.0,,,5-14,,Defensive rebound by R. Rubio
7:55.0,,,5-14,,Turnover by R. Rubio (bad pass; steal by B. McLemore)
7:50.0,B. McLemore makes 2-pt shot at rim (assist by D. Cousins),2,7-14,,
7:34.0,,,7-14,,K. Garnett misses 2-pt shot from 5 ft
7:33.0,Defensive rebound by R. Gay,,7-14,,
7:24.0,R. Rondo makes 2-pt shot from 1 ft,2,9-14,,
7:02.0,,,9-17,3,R. Rubio makes 3-pt shot from 24 ft (assist by A. Wiggins)
6:42.0,R. Gay misses 3-pt shot from 24 ft,,9-17,,
6:40.0,,,9-17,,Defensive rebound by K. Towns
6:30.0,,,9-20,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
6:13.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,11-20,,
6:00.0,,,11-20,,K. Towns misses 2-pt shot from 1 ft
5:59.0,Defensive rebound by B. McLemore,,11-20,,
5:45.0,D. Cousins misses 2-pt shot from 6 ft,,11-20,,
5:45.0,,,11-20,,Defensive rebound by K. Towns
5:42.0,Personal foul by B. McLemore (drawn by A. Wiggins),,11-20,,
5:42.0,,,11-20,,G. Dieng enters the game for K. Garnett
5:35.0,,,11-23,3,R. Rubio makes 3-pt shot from 25 ft (assist by G. Dieng)
5:09.0,R. Rondo misses 2-pt shot from 7 ft,,11-23,,
5:08.0,,,11-23,,Defensive rebound by Team
5:08.0,M. Belinelli enters the game for R. Gay,,11-23,,
5:08.0,K. Koufos enters the game for B. McLemore,,11-23,,
4:58.0,,,11-23,,Turnover by R. Rubio (bad pass; steal by D. Cousins)
4:54.0,Turnover by O. Casspi (lost ball),,11-23,,
4:54.0,R. Gay enters the game for O. Casspi,,11-23,,
4:37.0,,,11-25,2,T. Prince makes 2-pt shot from 18 ft (assist by A. Wiggins)
4:20.0,D. Cousins makes 2-pt shot at rim,2,13-25,,
4:04.0,,,13-25,,A. Wiggins misses 2-pt shot from 17 ft
4:03.0,Defensive rebound by M. Belinelli,,13-25,,
3:55.0,M. Belinelli makes 2-pt shot from 11 ft (assist by R. Rondo),2,15-25,,
3:47.0,,,15-25,,Minnesota full timeout
3:37.0,,,15-27,2,A. Wiggins makes 2-pt shot from 3 ft (assist by R. Rubio)
3:22.0,R. Rondo misses 2-pt shot from 2 ft,,15-27,,
3:21.0,Offensive rebound by R. Gay,,15-27,,
3:21.0,R. Gay makes 2-pt shot at rim,2,17-27,,
3:05.0,,,17-27,,R. Rubio misses 3-pt shot from 24 ft
3:04.0,,,17-27,,Offensive rebound by K. Towns
2:50.0,,,17-27,,G. Dieng misses 2-pt shot from 10 ft
2:48.0,Defensive rebound by D. Cousins,,17-27,,
2:34.0,M. Belinelli misses 2-pt shot from 13 ft,,17-27,,
2:33.0,,,17-27,,Defensive rebound by G. Dieng
2:24.0,,,17-27,,Turnover by G. Dieng (lost ball)
2:24.0,,,17-27,,Z. LaVine enters the game for R. Rubio
2:24.0,,,17-27,,K. Martin enters the game for T. Prince
2:14.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,19-27,,
1:51.0,,,19-27,,Turnover by A. Wiggins (lost ball; steal by R. Rondo)
1:45.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,21-27,,
1:45.0,,,21-27,,Violation by G. Dieng (def goaltending)
1:30.0,,,21-27,,Shooting foul by R. Gay (drawn by A. Wiggins)
