time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (T. Ariza gains possession),,,,Jump ball: D. Howard vs. D. Jordan (T. Ariza gains possession)
11:52.0,,,0-2,2,T. Ariza makes 2-pt shot from 1 ft
11:31.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,2-2,,
11:08.0,,,2-4,2,D. Howard makes 2-pt shot from 3 ft (assist by J. Harden)
10:58.0,Turnover by B. Griffin (bad pass; steal by C. Capela),,2-4,,
10:55.0,,,2-4,,Turnover by P. Beverley (bad pass; steal by C. Paul)
10:45.0,C. Paul makes 2-pt shot from 3 ft,2,4-4,,
10:28.0,,,4-6,2,D. Howard makes 2-pt shot from 4 ft (assist by J. Harden)
10:05.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,4-6,,
10:04.0,,,4-6,,Defensive rebound by C. Capela
9:57.0,,,4-8,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
9:46.0,,,4-8,,Violation by D. Howard (def goaltending)
9:46.0,B. Griffin makes 2-pt shot from 1 ft,2,6-8,,
9:46.0,Shooting foul by C. Capela (drawn by B. Griffin),,6-8,,
9:46.0,B. Griffin makes free throw 1 of 1,1,7-8,,
9:23.0,,,7-8,,P. Beverley misses 2-pt shot from 7 ft
9:20.0,,,7-8,,Offensive rebound by D. Howard
9:15.0,,,7-8,,Turnover by C. Capela (lost ball; steal by C. Paul)
9:08.0,J. Redick misses 3-pt shot from 24 ft,,7-8,,
9:07.0,,,7-8,,Defensive rebound by P. Beverley
8:58.0,Personal foul by J. Redick (drawn by J. Harden),,7-8,,
8:55.0,,,7-8,,J. Harden misses 3-pt shot from 22 ft
8:54.0,,,7-8,,Offensive rebound by C. Capela
8:51.0,,,7-8,,J. Harden misses 3-pt shot from 22 ft
8:50.0,Defensive rebound by D. Jordan,,7-8,,
8:42.0,J. Redick misses 3-pt shot from 26 ft (block by J. Harden),,7-8,,
8:40.0,,,7-8,,Defensive rebound by T. Ariza
8:36.0,,,7-8,,P. Beverley misses 3-pt shot from 23 ft
8:35.0,,,7-8,,Offensive rebound by D. Howard
8:35.0,,,7-8,,Shooting foul by L. Mbah a Moute (drawn by D. Howard)
8:35.0,,,7-8,,D. Howard misses free throw 1 of 2
8:35.0,,,7-8,,Offensive rebound by Team
8:35.0,,,7-8,,D. Howard misses free throw 2 of 2
8:34.0,Defensive rebound by D. Jordan,,7-8,,
8:22.0,B. Griffin makes 2-pt shot from 13 ft (assist by C. Paul),2,9-8,,
8:12.0,,,9-10,2,D. Howard makes 2-pt shot from 6 ft (assist by C. Capela)
8:01.0,B. Griffin misses 2-pt shot from 18 ft,,9-10,,
8:00.0,,,9-10,,Defensive rebound by P. Beverley
7:53.0,,,9-10,,P. Beverley misses 2-pt shot from 1 ft (block by D. Jordan)
7:52.0,,,9-10,,Offensive rebound by Team
7:44.0,,,9-10,,Shooting foul by L. Mbah a Moute (drawn by J. Harden)
7:44.0,,,9-11,1,J. Harden makes free throw 1 of 3
7:44.0,,,9-12,1,J. Harden makes free throw 2 of 3
7:44.0,,,9-13,1,J. Harden makes free throw 3 of 3
7:27.0,Turnover by D. Jordan (bad pass; steal by T. Ariza),,9-13,,
7:19.0,,,9-13,,D. Howard misses 2-pt shot from 4 ft (block by D. Jordan)
7:17.0,,,9-13,,Offensive rebound by D. Howard
7:10.0,,,9-13,,Turnover by D. Howard (lost ball; steal by C. Paul)
7:02.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,9-13,,
7:01.0,,,9-13,,Defensive rebound by D. Howard
6:54.0,,,9-13,,Shooting foul by L. Mbah a Moute (drawn by J. Harden)
6:54.0,,,9-14,1,J. Harden makes free throw 1 of 2
6:54.0,W. Johnson enters the game for L. Mbah a Moute,,9-14,,
6:54.0,,,9-14,,J. Terry enters the game for C. Capela
6:54.0,,,9-14,,D. Motiejunas enters the game for P. Beverley
6:54.0,,,9-15,1,J. Harden makes free throw 2 of 2
6:33.0,C. Paul misses 2-pt shot from 14 ft,,9-15,,
6:32.0,,,9-15,,Defensive rebound by Team
6:32.0,Loose ball foul by C. Paul (drawn by J. Terry),,9-15,,
6:32.0,,,9-16,1,J. Terry makes free throw 1 of 2
6:32.0,,,9-17,1,J. Terry makes free throw 2 of 2
