time,Minnesota,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,A. Wiggins misses 2-pt shot from 12 ft,,0-0,,
12:00.0,Jump ball: D. Lee vs. K. Towns (R. Rubio gains possession),,,,Jump ball: D. Lee vs. K. Towns (R. Rubio gains possession)
11:43.0,,,0-0,,Defensive rebound by D. Lee
11:27.0,,,0-2,2,A. Bradley makes 2-pt shot from 18 ft
11:27.0,,,0-2,,Shooting foul by A. Wiggins (drawn by A. Bradley)
11:27.0,,,0-3,1,A. Bradley makes free throw 1 of 1
11:12.0,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio),2,2-3,,
10:51.0,,,2-3,,D. Lee misses 2-pt shot from 10 ft
10:50.0,Defensive rebound by G. Dieng,,2-3,,
10:34.0,K. Towns misses 3-pt shot from 24 ft,,2-3,,
10:32.0,,,2-3,,Defensive rebound by I. Thomas
10:27.0,,,2-3,,Turnover by D. Lee (lost ball; steal by R. Rubio)
10:25.0,,,2-3,,Violation by I. Thomas (kicked ball)
10:05.0,R. Rubio misses 3-pt shot from 22 ft,,2-3,,
10:04.0,Offensive rebound by Team,,2-3,,
9:57.0,Turnover by A. Wiggins (lost ball),,2-3,,
9:47.0,,,2-5,2,A. Bradley makes 2-pt shot from 20 ft (assist by D. Lee)
9:20.0,G. Dieng makes 2-pt shot from 11 ft,2,4-5,,
9:06.0,,,4-7,2,K. Olynyk makes 2-pt shot from 1 ft (assist by D. Lee)
8:42.0,A. Wiggins misses 2-pt shot at rim (block by J. Crowder),,4-7,,
8:41.0,,,4-7,,Defensive rebound by J. Crowder
8:34.0,,,4-7,,J. Crowder misses 2-pt shot from 7 ft
8:33.0,Defensive rebound by K. Towns,,4-7,,
8:28.0,G. Dieng misses 2-pt shot at rim (block by K. Olynyk),,4-7,,
8:27.0,,,4-7,,Defensive rebound by D. Lee
8:23.0,Technical foul by Team,,4-7,,
8:23.0,,,4-8,1,I. Thomas makes technical free throw
8:07.0,,,4-8,,D. Lee misses 2-pt shot from 6 ft
8:06.0,Defensive rebound by K. Towns,,4-8,,
7:57.0,Shooting foul by D. Lee (drawn by A. Wiggins),,4-8,,
7:57.0,Technical foul by A. Miller,,4-8,,
7:57.0,,,4-9,1,I. Thomas makes technical free throw
7:57.0,A. Wiggins makes free throw 1 of 2,1,5-9,,
7:57.0,A. Wiggins makes free throw 2 of 2,1,6-9,,
7:41.0,,,6-9,,D. Lee misses 2-pt shot from 2 ft
7:40.0,,,6-9,,Offensive rebound by K. Olynyk
7:39.0,,,6-11,2,K. Olynyk makes 2-pt shot at rim
7:23.0,R. Rubio misses 2-pt shot from 4 ft,,6-11,,
7:22.0,Offensive rebound by G. Dieng,,6-11,,
7:20.0,G. Dieng misses 2-pt shot from 1 ft (block by J. Crowder),,6-11,,
7:18.0,,,6-11,,Defensive rebound by J. Crowder
7:15.0,,,6-11,,Turnover by A. Bradley (bad pass; steal by R. Rubio)
7:10.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,8-11,,
7:10.0,Shooting foul by K. Olynyk (drawn by K. Towns),,8-11,,
7:10.0,K. Towns makes free throw 1 of 1,1,9-11,,
6:48.0,,,9-11,,K. Olynyk misses 2-pt shot from 2 ft (block by G. Dieng)
6:46.0,Defensive rebound by K. Towns,,9-11,,
6:41.0,R. Rubio misses 2-pt shot from 1 ft,,9-11,,
6:39.0,,,9-11,,Defensive rebound by I. Thomas
6:32.0,,,9-11,,I. Thomas misses 3-pt shot from 25 ft
6:31.0,Defensive rebound by K. Towns,,9-11,,
6:23.0,Minnesota full timeout,,9-11,,
6:15.0,A. Wiggins misses 2-pt shot from 10 ft,,9-11,,
6:14.0,,,9-11,,Defensive rebound by K. Olynyk
6:00.0,,,9-14,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder)
5:42.0,,,9-14,,Def 3 sec tech foul by K. Olynyk
5:42.0,R. Rubio misses technical free throw,,9-14,,
5:42.0,Offensive rebound by Team,,9-14,,
5:42.0,,,9-14,,T. Zeller enters the game for D. Lee
5:37.0,Turnover by T. Prince (lost ball; steal by A. Bradley),,9-14,,
5:19.0,,,9-16,2,I. Thomas makes 2-pt shot from 1 ft
5:00.0,A. Wiggins misses 2-pt shot from 6 ft,,9-16,,
4:59.0,,,9-16,,Defensive rebound by I. Thomas
4:55.0,,,9-18,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
4:39.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,11-18,,
4:21.0,,,11-21,3,J. Crowder makes 3-pt shot from 25 ft
4:06.0,Shooting foul by T. Zeller (drawn by K. Towns),,11-21,,
4:06.0,K. Towns makes free throw 1 of 2,1,12-21,,
4:06.0,S. Muhammad enters the game for T. Prince,,12-21,,
4:06.0,A. Payne enters the game for G. Dieng,,12-21,,
4:06.0,K. Towns makes free throw 2 of 2,1,13-21,,
3:52.0,,,13-21,,J. Crowder misses 2-pt shot from 20 ft
3:51.0,Defensive rebound by A. Wiggins,,13-21,,
3:50.0,,,13-21,,Personal foul by K. Olynyk (drawn by A. Wiggins)
3:50.0,K. Martin enters the game for A. Wiggins,,13-21,,
3:39.0,Shooting foul by T. Zeller (drawn by K. Towns),,13-21,,
3:39.0,K. Towns makes free throw 1 of 2,1,14-21,,
3:39.0,,,14-21,,E. Turner enters the game for I. Thomas
3:39.0,K. Towns makes free throw 2 of 2,1,15-21,,
3:29.0,,,15-21,,A. Bradley misses 2-pt shot from 20 ft
3:27.0,Defensive rebound by A. Payne,,15-21,,
3:18.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,17-21,,
3:18.0,,,17-21,,Shooting block foul by T. Zeller (drawn by K. Towns)
3:18.0,Z. LaVine enters the game for R. Rubio,,17-21,,
3:18.0,,,17-21,,J. Jerebko enters the game for K. Olynyk
3:18.0,K. Towns makes free throw 1 of 1,1,18-21,,
3:05.0,,,18-24,3,J. Jerebko makes 3-pt shot from 25 ft (assist by E. Turner)
2:43.0,K. Towns misses 2-pt shot from 6 ft,,18-24,,
2:42.0,,,18-24,,Defensive rebound by T. Zeller
2:36.0,,,18-26,2,J. Crowder makes 2-pt shot from 21 ft (assist by E. Turner)
2:19.0,K. Martin misses 2-pt shot from 13 ft,,18-26,,
2:18.0,,,18-26,,Defensive rebound by T. Zeller
2:09.0,,,18-26,,Boston full timeout
2:09.0,G. Dieng enters the game for K. Towns,,18-26,,
2:04.0,,,18-26,,A. Bradley misses 2-pt shot from 18 ft
2:02.0,Defensive rebound by A. Payne,,18-26,,
1:49.0,K. Martin makes 3-pt shot from 25 ft (assist by A. Payne),3,21-26,,
1:33.0,,,21-26,,Turnover by E. Turner (bad pass; steal by Z. LaVine)
1:30.0,Shooting foul by E. Turner (drawn by Z. LaVine),,21-26,,
1:30.0,Z. LaVine makes free throw 1 of 2,1,22-26,,
1:30.0,,,22-26,,R. Hunter enters the game for A. Bradley
1:30.0,Z. LaVine misses free throw 2 of 2,,22-26,,
1:30.0,,,22-26,,Defensive rebound by J. Crowder
1:12.0,,,22-28,2,T. Zeller makes 2-pt shot from 18 ft (assist by R. Hunter)
0:58.0,,,22-28,,Personal foul by R. Hunter (drawn by S. Muhammad)
0:58.0,S. Muhammad makes free throw 1 of 2,1,23-28,,
0:58.0,S. Muhammad makes free throw 2 of 2,1,24-28,,
0:47.0,,,24-30,2,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner)
0:36.0,K. Martin misses 2-pt shot from 9 ft,,24-30,,
0:35.0,,,24-30,,Defensive rebound by J. Crowder
0:24.0,,,24-30,,Shooting foul by G. Dieng (drawn by J. Jerebko)
0:24.0,,,24-30,,J. Jerebko misses free throw 1 of 2
0:24.0,,,24-30,,Offensive rebound by Team
0:24.0,,,24-31,1,J. Jerebko makes free throw 2 of 2
0:02.0,Z. LaVine makes 2-pt shot from 2 ft,2,26-31,,
0:00.0,,,26-34,3,R. Hunter makes 3-pt shot from 40 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-34,,Turnover by E. Turner (lost ball; steal by A. Payne)
11:21.0,Z. LaVine misses 2-pt shot from 17 ft,,26-34,,
11:20.0,,,26-34,,Defensive rebound by J. Jerebko
11:09.0,,,26-37,3,J. Jerebko makes 3-pt shot from 25 ft (assist by E. Turner)
10:41.0,K. Martin misses 2-pt shot from 7 ft (block by R. Hunter),,26-37,,
10:39.0,,,26-37,,Defensive rebound by J. Jerebko
