time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Violation by Team (jump ball),,0-0,,
12:00.0,Jump ball: A. Drummond vs. A. Horford,,,,Jump ball: A. Drummond vs. A. Horford
11:44.0,,,0-0,,A. Horford misses 2-pt shot from 10 ft
11:42.0,Defensive rebound by A. Drummond,,0-0,,
11:32.0,M. Morris misses 2-pt shot from 12 ft,,0-0,,
11:31.0,Offensive rebound by Team,,0-0,,
11:31.0,Shooting foul by K. Korver (drawn by K. Caldwell-Pope),,0-0,,
11:31.0,K. Caldwell-Pope makes free throw 1 of 2,1,1-0,,
11:31.0,K. Caldwell-Pope makes free throw 2 of 2,1,2-0,,
11:18.0,,,2-2,2,P. Millsap makes 2-pt shot from 12 ft (assist by K. Korver)
11:00.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,2-2,,
10:59.0,Offensive rebound by A. Drummond,,2-2,,
10:59.0,A. Drummond makes 2-pt shot from 1 ft,2,4-2,,
10:48.0,,,4-2,,J. Teague misses 3-pt shot from 23 ft
10:47.0,,,4-2,,Offensive rebound by Team
10:41.0,,,4-2,,K. Korver misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by M. Morris,,4-2,,
10:36.0,,,4-2,,Personal foul by A. Horford (drawn by A. Drummond)
10:20.0,A. Drummond misses 2-pt shot from 8 ft,,4-2,,
10:15.0,,,4-2,,Defensive rebound by P. Millsap
10:09.0,,,4-4,2,P. Millsap makes 2-pt shot from 6 ft (assist by K. Korver)
9:52.0,Turnover by E. Ilyasova (bad pass; steal by J. Teague),,4-4,,
9:46.0,,,4-4,,K. Bazemore misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by R. Jackson,,4-4,,
9:39.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,4-4,,
9:38.0,,,4-4,,Defensive rebound by A. Horford
9:35.0,Personal foul by R. Jackson (drawn by J. Teague),,4-4,,
9:35.0,,,4-4,,T. Sefolosha enters the game for K. Bazemore
9:29.0,,,4-6,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
9:04.0,A. Drummond misses 2-pt shot from 12 ft,,4-6,,
9:02.0,Offensive rebound by E. Ilyasova,,4-6,,
9:02.0,E. Ilyasova misses 2-pt shot at rim,,4-6,,
8:59.0,Offensive rebound by M. Morris,,4-6,,
8:59.0,M. Morris makes 2-pt shot at rim,2,6-6,,
8:47.0,,,6-8,2,J. Teague makes 2-pt shot from 6 ft
8:22.0,E. Ilyasova misses 3-pt shot from 25 ft,,6-8,,
8:21.0,,,6-8,,Defensive rebound by J. Teague
8:12.0,,,6-8,,A. Horford misses 2-pt shot from 21 ft
8:11.0,Defensive rebound by E. Ilyasova,,6-8,,
8:01.0,E. Ilyasova misses 3-pt shot from 24 ft,,6-8,,
8:00.0,,,6-8,,Defensive rebound by T. Sefolosha
7:45.0,,,6-8,,P. Millsap misses 2-pt shot from 11 ft
7:43.0,Defensive rebound by M. Morris,,6-8,,
7:36.0,M. Morris misses 2-pt shot from 16 ft,,6-8,,
7:35.0,,,6-8,,Defensive rebound by K. Korver
7:23.0,,,6-10,2,J. Teague makes 2-pt shot at rim
6:58.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,9-10,,
6:40.0,,,9-12,2,K. Korver makes 2-pt shot from 2 ft (assist by J. Teague)
6:18.0,E. Ilyasova makes 2-pt shot from 5 ft (assist by A. Drummond),2,11-12,,
6:11.0,,,11-12,,Atlanta full timeout
6:11.0,,,11-12,,T. Splitter enters the game for A. Horford
6:01.0,,,11-12,,J. Teague misses 2-pt shot from 8 ft
5:59.0,Defensive rebound by A. Drummond,,11-12,,
5:48.0,E. Ilyasova misses 3-pt shot from 24 ft,,11-12,,
5:47.0,,,11-12,,Defensive rebound by T. Splitter
5:28.0,,,11-14,2,P. Millsap makes 2-pt shot from 2 ft
5:08.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,13-14,,
4:49.0,,,13-14,,Turnover by P. Millsap (lost ball; steal by R. Jackson)
4:41.0,,,13-14,,Personal foul by J. Teague (drawn by E. Ilyasova)
4:41.0,,,13-14,,D. Schroder enters the game for K. Korver
4:30.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by A. Drummond),3,16-14,,
4:11.0,,,16-14,,D. Schroder misses 2-pt shot from 2 ft (block by K. Caldwell-Pope)
4:11.0,,,16-14,,Offensive rebound by Team
4:11.0,S. Johnson enters the game for M. Morris,,16-14,,
4:05.0,,,16-14,,D. Schroder misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by E. Ilyasova,,16-14,,
3:56.0,S. Johnson makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,18-14,,
3:43.0,,,18-14,,J. Teague misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by A. Drummond,,18-14,,
3:36.0,R. Jackson misses 3-pt shot from 25 ft,,18-14,,
3:32.0,Offensive rebound by E. Ilyasova,,18-14,,
3:26.0,Turnover by K. Caldwell-Pope (lost ball),,18-14,,
3:26.0,,,18-14,,L. Patterson enters the game for J. Teague
3:16.0,,,18-14,,P. Millsap misses 2-pt shot from 17 ft
3:14.0,Defensive rebound by K. Caldwell-Pope,,18-14,,
3:06.0,A. Drummond misses 2-pt shot from 10 ft,,18-14,,
3:06.0,Offensive rebound by Team,,18-14,,
2:59.0,A. Drummond misses 2-pt shot from 7 ft,,18-14,,
2:56.0,,,18-14,,Defensive rebound by L. Patterson
2:37.0,,,18-16,2,D. Schroder makes 2-pt shot from 11 ft
2:25.0,R. Jackson makes 2-pt shot at rim,2,20-16,,
2:25.0,Shooting foul by T. Splitter (drawn by R. Jackson),,20-16,,
2:25.0,Detroit full timeout,,20-16,,
2:25.0,R. Jackson makes free throw 1 of 1,1,21-16,,
2:11.0,,,21-16,,Shooting foul by E. Ilyasova (drawn by D. Schroder)
2:11.0,,,21-17,1,D. Schroder makes free throw 1 of 2
2:11.0,S. Blake enters the game for R. Jackson,,21-17,,
2:11.0,,,21-18,1,D. Schroder makes free throw 2 of 2
2:10.0,,,21-18,,Personal take foul by L. Patterson (drawn by A. Drummond)
2:10.0,A. Drummond misses free throw 1 of 2,,21-18,,
2:10.0,Offensive rebound by Team,,21-18,,
2:10.0,M. Morris enters the game for K. Caldwell-Pope,,21-18,,
2:10.0,A. Drummond misses free throw 2 of 2,,21-18,,
2:08.0,,,21-18,,Defensive rebound by T. Sefolosha
1:52.0,,,21-20,2,P. Millsap makes 2-pt shot from 11 ft (assist by D. Schroder)
1:45.0,,,21-20,,Personal take foul by L. Patterson (drawn by A. Drummond)
1:45.0,A. Drummond makes free throw 1 of 2,1,22-20,,
1:45.0,A. Drummond makes free throw 2 of 2,1,23-20,,
1:31.0,,,23-23,3,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha)
1:23.0,,,23-23,,Personal take foul by T. Splitter (drawn by A. Drummond)
1:23.0,A. Drummond misses free throw 1 of 2,,23-23,,
1:23.0,Offensive rebound by Team,,23-23,,
1:23.0,,,23-23,,K. Bazemore enters the game for P. Millsap
1:23.0,,,23-23,,M. Scott enters the game for T. Sefolosha
1:23.0,,,23-23,,A. Horford enters the game for T. Splitter
1:23.0,A. Drummond makes free throw 2 of 2,1,24-23,,
1:22.0,Personal take foul by S. Blake (drawn by D. Schroder),,24-23,,
1:22.0,A. Baynes enters the game for A. Drummond,,24-23,,
1:10.0,,,24-25,2,D. Schroder makes 2-pt shot from 1 ft
0:47.0,M. Morris misses 2-pt shot from 13 ft,,24-25,,
0:45.0,,,24-25,,Defensive rebound by K. Bazemore
0:41.0,,,24-25,,Turnover by D. Schroder (bad pass)
0:34.0,S. Blake makes 2-pt shot from 19 ft (assist by A. Baynes),2,26-25,,
0:26.0,,,26-27,2,D. Schroder makes 2-pt shot from 18 ft
0:06.0,S. Blake misses 2-pt shot from 16 ft,,26-27,,
0:03.0,,,26-27,,Defensive rebound by L. Patterson
0:01.0,,,26-27,,A. Horford misses 2-pt shot from 6 ft
