time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (K. Love gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (K. Love gains possession)
11:47.0,,,0-2,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
11:31.0,K. Porzingis misses 2-pt shot from 2 ft (block by T. Mozgov),,0-2,,
11:31.0,Offensive rebound by Team,,0-2,,
11:23.0,A. Afflalo misses 2-pt shot at rim,,0-2,,
11:21.0,,,0-2,,Defensive rebound by L. James
11:15.0,,,0-5,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
10:52.0,R. Lopez makes 2-pt shot from 10 ft (assist by J. Calderon),2,2-5,,
10:26.0,,,2-5,,T. Mozgov misses 2-pt shot from 15 ft
10:25.0,,,2-5,,Offensive rebound by K. Love
10:22.0,,,2-5,,K. Love misses 2-pt shot from 6 ft
10:21.0,Defensive rebound by A. Afflalo,,2-5,,
10:12.0,R. Lopez misses 2-pt shot from 8 ft,,2-5,,
10:10.0,,,2-5,,Defensive rebound by T. Mozgov
10:08.0,Violation by L. Thomas (kicked ball),,2-5,,
10:03.0,,,2-5,,Turnover by K. Irving (bad pass; steal by J. Calderon)
9:54.0,L. Thomas makes 2-pt shot from 10 ft (assist by J. Calderon),2,4-5,,
9:28.0,,,4-7,2,K. Irving makes 2-pt shot from 15 ft (assist by T. Mozgov)
9:18.0,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Calderon),3,7-7,,
8:59.0,Def 3 sec tech foul by R. Lopez,,7-7,,
8:59.0,,,7-8,1,K. Love makes technical free throw
8:46.0,,,7-8,,J. Smith misses 2-pt shot from 14 ft
8:45.0,Defensive rebound by R. Lopez,,7-8,,
8:29.0,L. Thomas misses 2-pt shot from 8 ft,,7-8,,
8:29.0,,,7-8,,Defensive rebound by Team
8:20.0,,,7-8,,K. Irving misses 2-pt shot from 8 ft (block by R. Lopez)
8:19.0,Defensive rebound by A. Afflalo,,7-8,,
8:11.0,A. Afflalo misses 3-pt shot from 22 ft,,7-8,,
8:09.0,,,7-8,,Defensive rebound by K. Love
7:57.0,,,7-10,2,J. Smith makes 2-pt shot from 10 ft (assist by K. Irving)
7:40.0,K. Porzingis misses 2-pt shot from 18 ft,,7-10,,
7:39.0,,,7-10,,Defensive rebound by K. Love
