time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. B. Lopez (T. Young gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (T. Young gains possession)
11:40.0,,,0-2,2,B. Lopez makes 2-pt shot from 7 ft
11:19.0,J. Dudley makes 3-pt shot from 23 ft (assist by J. Wall),3,3-2,,
11:04.0,,,3-5,3,J. Jack makes 3-pt shot from 23 ft (assist by J. Johnson)
10:51.0,M. Gortat misses 2-pt shot from 18 ft,,3-5,,
10:50.0,,,3-5,,Defensive rebound by T. Young
10:41.0,,,3-7,2,T. Young makes 2-pt shot from 4 ft
10:29.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,5-7,,
10:14.0,Personal foul by K. Oubre (drawn by B. Bogdanovic),,5-7,,
10:06.0,,,5-7,,B. Lopez misses 2-pt shot from 1 ft
10:05.0,Defensive rebound by J. Dudley,,5-7,,
9:57.0,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall),2,7-7,,
9:39.0,,,7-7,,Turnover by J. Johnson (bad pass)
9:27.0,,,7-7,,Personal foul by J. Johnson (drawn by G. Temple)
9:21.0,G. Temple misses 2-pt shot from 1 ft,,7-7,,
9:20.0,Offensive rebound by M. Gortat,,7-7,,
9:18.0,Turnover by M. Gortat (lost ball; steal by J. Jack),,7-7,,
9:06.0,,,7-7,,J. Jack misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by K. Oubre,,7-7,,
8:52.0,K. Oubre makes 2-pt shot from 3 ft (assist by J. Dudley),2,9-7,,
8:33.0,,,9-7,,B. Lopez misses 2-pt shot from 7 ft
8:32.0,Defensive rebound by K. Oubre,,9-7,,
8:21.0,J. Wall makes 3-pt shot from 26 ft (assist by J. Dudley),3,12-7,,
8:07.0,,,12-7,,J. Jack misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by G. Temple,,12-7,,
7:48.0,G. Temple misses 3-pt shot from 24 ft,,12-7,,
7:47.0,,,12-7,,Defensive rebound by B. Bogdanovic
7:32.0,,,12-7,,B. Bogdanovic misses 3-pt shot from 23 ft
7:31.0,,,12-7,,Offensive rebound by T. Young
7:22.0,,,12-7,,B. Bogdanovic misses 2-pt shot from 8 ft
7:21.0,,,12-7,,Offensive rebound by T. Young
7:19.0,,,12-9,2,T. Young makes 2-pt shot from 1 ft
7:14.0,G. Temple makes 2-pt shot from 1 ft,2,14-9,,
7:02.0,,,14-11,2,B. Bogdanovic makes 2-pt shot from 8 ft (assist by J. Jack)
6:46.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,16-11,,
