time,Indiana,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. K. Towns (K. Garnett gains possession),,,,Jump ball: I. Mahinmi vs. K. Towns (K. Garnett gains possession)
11:46.0,,,0-0,,A. Wiggins misses 2-pt shot from 19 ft
11:45.0,Defensive rebound by G. Hill,,0-0,,
11:21.0,M. Ellis misses 3-pt shot from 25 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by R. Rubio
11:10.0,,,0-2,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
10:49.0,Turnover by P. George (bad pass; steal by R. Rubio),,0-2,,
10:41.0,,,0-2,,A. Wiggins misses 2-pt shot from 2 ft
10:40.0,,,0-2,,Offensive rebound by K. Towns
10:40.0,,,0-2,,K. Towns misses 2-pt shot from 1 ft
10:39.0,,,0-2,,Offensive rebound by K. Towns
10:37.0,,,0-4,2,K. Towns makes 2-pt shot from 1 ft
10:33.0,Shooting foul by K. Garnett (drawn by C. Miles),,0-4,,
10:33.0,C. Miles misses free throw 1 of 2,,0-4,,
10:33.0,Offensive rebound by Team,,0-4,,
10:33.0,C. Miles makes free throw 2 of 2,1,1-4,,
10:18.0,,,1-6,2,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio)
9:58.0,C. Miles makes 3-pt shot from 22 ft (assist by P. George),3,4-6,,
9:36.0,,,4-8,2,R. Rubio makes 2-pt shot from 17 ft
9:21.0,Turnover by M. Ellis (bad pass; steal by K. Garnett),,4-8,,
9:15.0,,,4-8,,Turnover by R. Rubio (bad pass)
9:00.0,Jump ball: I. Mahinmi vs. R. Rubio (M. Ellis gains possession),,,,Jump ball: I. Mahinmi vs. R. Rubio (M. Ellis gains possession)
8:50.0,Turnover by Team (shot clock),,4-8,,
8:42.0,,,4-8,,Shooting foul by P. George (drawn by A. Wiggins)
8:42.0,,,4-8,,A. Wiggins misses free throw 1 of 2
8:42.0,,,4-8,,Offensive rebound by Team
8:42.0,,,4-8,,A. Wiggins misses free throw 2 of 2
8:42.0,Defensive rebound by M. Ellis,,4-8,,
8:29.0,G. Hill misses 3-pt shot from 24 ft,,4-8,,
8:28.0,,,4-8,,Defensive rebound by K. Garnett
8:17.0,,,4-8,,K. Towns misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by M. Ellis,,4-8,,
8:06.0,Shooting foul by K. Garnett (drawn by I. Mahinmi),,4-8,,
8:06.0,I. Mahinmi makes free throw 1 of 2,1,5-8,,
8:06.0,I. Mahinmi makes free throw 2 of 2,1,6-8,,
7:55.0,,,6-8,,Shooting foul by I. Mahinmi (drawn by K. Towns)
7:55.0,,,6-9,1,K. Towns makes free throw 1 of 2
7:55.0,,,6-10,1,K. Towns makes free throw 2 of 2
7:45.0,Turnover by M. Ellis (lost ball; steal by T. Prince),,6-10,,
7:33.0,,,6-10,,K. Garnett misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by M. Ellis,,6-10,,
7:08.0,Turnover by Team (shot clock),,6-10,,
6:51.0,,,6-10,,K. Garnett misses 2-pt shot from 21 ft
6:50.0,Defensive rebound by P. George,,6-10,,
6:43.0,M. Ellis misses 2-pt shot from 3 ft,,6-10,,
6:41.0,Offensive rebound by I. Mahinmi,,6-10,,
6:38.0,P. George makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,9-10,,
6:32.0,,,9-10,,Minnesota full timeout
6:32.0,,,9-10,,G. Dieng enters the game for K. Garnett
6:21.0,,,9-10,,Shooting foul by C. Miles (drawn by G. Dieng)
6:21.0,,,9-10,,G. Dieng misses free throw 1 of 2
6:21.0,,,9-10,,Offensive rebound by Team
6:21.0,,,9-11,1,G. Dieng makes free throw 2 of 2
5:57.0,P. George misses 3-pt shot from 26 ft,,9-11,,
5:56.0,,,9-11,,Defensive rebound by K. Towns
5:44.0,,,9-11,,T. Prince misses 2-pt shot from 19 ft
5:42.0,Defensive rebound by G. Hill,,9-11,,
5:36.0,M. Ellis makes 2-pt shot from 1 ft (assist by G. Hill),2,11-11,,
5:21.0,,,11-11,,Turnover by G. Dieng (3 sec)
5:06.0,M. Ellis misses 3-pt shot from 23 ft,,11-11,,
5:05.0,,,11-11,,Defensive rebound by G. Dieng
4:56.0,,,11-13,2,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio)
4:43.0,C. Miles misses 2-pt shot at rim,,11-13,,
4:42.0,,,11-13,,Defensive rebound by K. Towns
4:33.0,,,11-15,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
4:33.0,Indiana full timeout,,11-15,,
4:33.0,R. Stuckey enters the game for C. Miles,,11-15,,
4:33.0,J. Hill enters the game for I. Mahinmi,,11-15,,
4:33.0,L. Allen enters the game for G. Hill,,11-15,,
4:13.0,J. Hill makes 2-pt shot from 6 ft,2,13-15,,
3:54.0,,,13-15,,Turnover by R. Rubio (traveling)
3:44.0,P. George makes 2-pt shot from 19 ft,2,15-15,,
3:31.0,,,15-17,2,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio)
3:19.0,L. Allen makes 2-pt shot from 3 ft (assist by R. Stuckey),2,17-17,,
3:01.0,,,17-17,,R. Rubio misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by Team,,17-17,,
2:46.0,J. Hill makes 2-pt shot from 20 ft (assist by R. Stuckey),2,19-17,,
2:29.0,,,19-17,,K. Towns misses 2-pt shot from 17 ft
2:28.0,,,19-17,,Offensive rebound by A. Wiggins
2:18.0,,,19-19,2,R. Rubio makes 2-pt shot from 19 ft
2:13.0,,,19-19,,Personal foul by R. Rubio (drawn by R. Stuckey)
2:13.0,,,19-19,,Z. LaVine enters the game for T. Prince
2:13.0,,,19-19,,T. Jones enters the game for R. Rubio
2:13.0,Indiana full timeout,,19-19,,
2:13.0,G. Robinson enters the game for R. Stuckey,,19-19,,
1:58.0,P. George misses 2-pt shot from 8 ft,,19-19,,
1:56.0,,,19-19,,Defensive rebound by G. Dieng
1:37.0,,,19-21,2,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine)
1:24.0,P. George makes 2-pt shot at rim (assist by L. Allen),2,21-21,,
0:55.0,,,21-21,,K. Towns misses 2-pt shot from 18 ft
0:53.0,Defensive rebound by G. Robinson,,21-21,,
0:53.0,,,21-21,,Personal foul by K. Towns (drawn by G. Robinson)
0:36.0,P. George misses 2-pt shot from 22 ft,,21-21,,
0:34.0,,,21-21,,Defensive rebound by T. Jones
0:21.0,,,21-21,,G. Dieng misses 2-pt shot from 17 ft
0:19.0,Defensive rebound by J. Hill,,21-21,,
