time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Cousins (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Cousins (D. Green gains possession)
11:51.0,Personal foul by D. Cousins (drawn by A. Bogut),,0-0,,
11:45.0,Personal foul by R. Rondo (drawn by S. Curry),,0-0,,
11:39.0,,,0-0,,Shooting foul by R. Rondo (drawn by K. Thompson)
11:39.0,,,0-1,1,K. Thompson makes free throw 1 of 2
11:39.0,,,0-1,,K. Thompson misses free throw 2 of 2
11:39.0,Defensive rebound by D. Cousins,,0-1,,
11:23.0,B. McLemore misses 3-pt shot from 22 ft,,0-1,,
11:22.0,,,0-1,,Defensive rebound by B. Rush
11:07.0,,,0-1,,S. Curry misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by R. Gay,,0-1,,
11:01.0,,,0-1,,Personal foul by S. Curry (drawn by D. Cousins)
10:50.0,B. McLemore misses 2-pt shot from 2 ft (block by A. Bogut),,0-1,,
10:49.0,,,0-1,,Defensive rebound by S. Curry
10:40.0,,,0-4,3,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry)
10:27.0,R. Rondo misses 2-pt shot from 2 ft,,0-4,,
10:27.0,,,0-4,,Defensive rebound by D. Green
10:23.0,,,0-6,2,D. Green makes 2-pt shot from 2 ft
10:14.0,R. Rondo makes 2-pt shot from 2 ft,2,2-6,,
10:05.0,,,2-6,,S. Curry misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by O. Casspi,,2-6,,
9:57.0,Shooting foul by B. Rush (drawn by R. Rondo),,2-6,,
9:57.0,R. Rondo misses free throw 1 of 2,,2-6,,
9:57.0,Offensive rebound by Team,,2-6,,
9:57.0,R. Rondo misses free throw 2 of 2,,2-6,,
9:56.0,,,2-6,,Defensive rebound by A. Bogut
9:49.0,,,2-6,,K. Thompson misses 3-pt shot from 22 ft
9:47.0,Defensive rebound by B. McLemore,,2-6,,
9:38.0,R. Rondo makes 2-pt shot from 5 ft,2,4-6,,
9:28.0,,,4-6,,S. Curry misses 3-pt shot from 24 ft
9:27.0,,,4-6,,Offensive rebound by B. Rush
9:23.0,,,4-6,,K. Thompson misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by B. McLemore,,4-6,,
9:10.0,R. Gay misses 2-pt shot from 15 ft,,4-6,,
9:09.0,Offensive rebound by B. McLemore,,4-6,,
9:06.0,O. Casspi misses 3-pt shot from 25 ft,,4-6,,
9:05.0,,,4-6,,Defensive rebound by S. Curry
8:54.0,,,4-8,2,K. Thompson makes 2-pt shot from 10 ft
8:46.0,D. Cousins misses 2-pt shot from 16 ft,,4-8,,
8:45.0,,,4-8,,Defensive rebound by S. Curry
8:33.0,,,4-11,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
8:25.0,,,4-11,,Personal block foul by A. Bogut (drawn by D. Cousins)
8:13.0,O. Casspi misses 3-pt shot from 23 ft,,4-11,,
8:13.0,,,4-11,,Defensive rebound by A. Bogut
8:05.0,,,4-11,,Turnover by D. Green (bad pass)
7:51.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins),3,7-11,,
7:32.0,,,7-14,3,D. Green makes 3-pt shot from 23 ft (assist by B. Rush)
7:17.0,D. Cousins misses 2-pt shot from 4 ft (block by B. Rush),,7-14,,
7:16.0,Offensive rebound by O. Casspi,,7-14,,
7:15.0,O. Casspi misses 2-pt shot from 2 ft (block by A. Bogut),,7-14,,
7:13.0,,,7-14,,Defensive rebound by S. Curry
7:10.0,Personal foul by R. Rondo (drawn by S. Curry),,7-14,,
7:10.0,D. Collison enters the game for R. Rondo,,7-14,,
7:01.0,,,7-16,2,K. Thompson makes 2-pt shot from 14 ft (assist by A. Bogut)
6:58.0,Sacramento full timeout,,7-16,,
6:45.0,D. Cousins makes 2-pt shot from 8 ft,2,9-16,,
6:45.0,Shooting foul by A. Bogut (drawn by D. Cousins),,9-16,,
6:45.0,D. Cousins misses free throw 1 of 1,,9-16,,
6:44.0,,,9-16,,Defensive rebound by B. Rush
6:36.0,,,9-16,,Offensive foul by B. Rush
6:36.0,,,9-16,,Turnover by B. Rush (offensive foul)
6:19.0,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins),2,11-16,,
6:19.0,,,11-16,,Technical foul by Team
6:19.0,R. Gay makes technical free throw,1,12-16,,
6:19.0,,,12-16,,F. Ezeli enters the game for A. Bogut
5:55.0,,,12-18,2,F. Ezeli makes 2-pt shot from 6 ft (assist by S. Curry)
5:38.0,B. McLemore misses 3-pt shot from 24 ft,,12-18,,
5:37.0,,,12-18,,Defensive rebound by K. Thompson
5:25.0,,,12-18,,Shooting foul by D. Cousins (drawn by F. Ezeli)
5:25.0,,,12-18,,F. Ezeli misses free throw 1 of 2
5:25.0,,,12-18,,Offensive rebound by Team
5:25.0,,,12-18,,A. Iguodala enters the game for B. Rush
5:25.0,,,12-19,1,F. Ezeli makes free throw 2 of 2
5:12.0,Turnover by D. Collison (bad pass; steal by S. Curry),,12-19,,
5:07.0,,,12-21,2,F. Ezeli makes 2-pt shot at rim (assist by A. Iguodala)
4:59.0,,,12-21,,Personal foul by K. Thompson (drawn by B. McLemore)
4:59.0,B. McLemore makes free throw 1 of 2,1,13-21,,
4:59.0,B. McLemore misses free throw 2 of 2,,13-21,,
4:58.0,Offensive rebound by D. Cousins,,13-21,,
4:54.0,D. Collison misses 3-pt shot from 23 ft,,13-21,,
4:53.0,,,13-21,,Defensive rebound by D. Green
4:45.0,,,13-23,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
4:31.0,R. Gay misses 2-pt shot from 18 ft,,13-23,,
4:30.0,,,13-23,,Defensive rebound by S. Curry
4:21.0,,,13-23,,Turnover by S. Curry (bad pass; steal by R. Gay)
4:21.0,,,13-23,,Personal foul by D. Green (drawn by R. Gay)
4:21.0,,,13-23,,Technical foul by D. Green (drawn by R. Gay)
4:21.0,,,13-23,,Violation by Team (delay of game)
4:21.0,R. Gay misses technical free throw,,13-23,,
4:21.0,Offensive rebound by Team,,13-23,,
4:21.0,M. Belinelli enters the game for B. McLemore,,13-23,,
4:21.0,R. Gay makes free throw 1 of 2,1,14-23,,
4:21.0,R. Gay makes free throw 2 of 2,1,15-23,,
4:13.0,,,15-23,,S. Curry misses 3-pt shot from 26 ft
4:12.0,,,15-23,,Offensive rebound by D. Green
4:08.0,,,15-23,,Turnover by D. Green (bad pass; steal by D. Cousins)
4:01.0,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison),3,18-23,,
3:42.0,,,18-23,,K. Thompson misses 2-pt shot from 20 ft
3:41.0,Defensive rebound by R. Gay,,18-23,,
3:34.0,M. Belinelli misses 3-pt shot from 23 ft,,18-23,,
3:34.0,,,18-23,,Defensive rebound by F. Ezeli
3:24.0,,,18-23,,Golden State full timeout
3:24.0,J. Anderson enters the game for O. Casspi,,18-23,,
3:19.0,,,18-23,,Turnover by A. Iguodala (bad pass; steal by D. Cousins)
3:11.0,D. Cousins misses 2-pt shot from 3 ft,,18-23,,
3:10.0,Offensive rebound by D. Cousins,,18-23,,
3:09.0,D. Cousins makes 2-pt shot from 2 ft,2,20-23,,
2:55.0,,,20-23,,F. Ezeli misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by D. Cousins,,20-23,,
2:49.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison),3,23-23,,
2:38.0,Shooting block foul by D. Cousins (drawn by D. Green),,23-23,,
2:38.0,,,23-24,1,D. Green makes free throw 1 of 2
2:38.0,Q. Acy enters the game for D. Cousins,,23-24,,
2:38.0,,,23-24,,S. Livingston enters the game for K. Thompson
2:38.0,,,23-25,1,D. Green makes free throw 2 of 2
2:22.0,R. Gay misses 2-pt shot from 16 ft,,23-25,,
2:21.0,,,23-25,,Defensive rebound by S. Curry
2:16.0,,,23-25,,D. Green misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by Q. Acy,,23-25,,
2:04.0,D. Collison makes 2-pt shot from 11 ft,2,25-25,,
1:52.0,,,25-25,,D. Green misses 3-pt shot from 26 ft
1:52.0,Defensive rebound by D. Collison,,25-25,,
1:47.0,R. Gay makes 2-pt shot from 1 ft (assist by D. Collison),2,27-25,,
1:35.0,,,27-27,2,S. Livingston makes 2-pt shot from 7 ft (assist by D. Green)
1:14.0,D. Collison misses 3-pt shot from 25 ft,,27-27,,
1:11.0,,,27-27,,Defensive rebound by F. Ezeli
0:58.0,,,27-27,,S. Livingston misses 2-pt shot from 17 ft
0:57.0,Defensive rebound by R. Gay,,27-27,,
0:51.0,,,27-27,,Shooting block foul by S. Curry (drawn by D. Collison)
0:51.0,D. Collison makes free throw 1 of 2,1,28-27,,
0:51.0,,,28-27,,I. Clark enters the game for S. Curry
0:51.0,D. Collison makes free throw 2 of 2,1,29-27,,
