time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (T. Evans gains possession),,,,Jump ball: A. Davis vs. D. Jordan (T. Evans gains possession)
11:44.0,,,0-0,,E. Gordon misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by L. Mbah a Moute,,0-0,,
11:22.0,C. Paul misses 2-pt shot from 2 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by A. Davis
11:15.0,,,0-2,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
10:57.0,J. Redick misses 2-pt shot from 20 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by O. Asik
10:43.0,,,0-2,,T. Evans misses 2-pt shot from 17 ft
10:42.0,Defensive rebound by D. Jordan,,0-2,,
10:33.0,P. Pierce misses 3-pt shot from 26 ft,,0-2,,
10:33.0,,,0-2,,Defensive rebound by A. Davis
10:27.0,,,0-5,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans)
10:01.0,L. Mbah a Moute misses 2-pt shot from 6 ft,,0-5,,
10:01.0,,,0-5,,Defensive rebound by E. Gordon
9:45.0,,,0-5,,A. Davis misses 2-pt shot from 10 ft
9:45.0,Defensive rebound by P. Pierce,,0-5,,
9:37.0,P. Pierce misses 2-pt shot from 2 ft (block by A. Davis),,0-5,,
9:35.0,,,0-5,,Defensive rebound by O. Asik
9:30.0,,,0-7,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
9:16.0,,,0-7,,Personal foul by T. Evans (drawn by C. Paul)
9:07.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,3-7,,
8:59.0,,,3-7,,Turnover by T. Evans (bad pass)
8:56.0,C. Paul misses 2-pt shot from 19 ft,,3-7,,
8:56.0,,,3-7,,Defensive rebound by Team
8:56.0,Loose ball foul by D. Jordan (drawn by O. Asik),,3-7,,
8:43.0,,,3-9,2,O. Asik makes 2-pt shot at rim (assist by A. Gee)
8:26.0,Turnover by P. Pierce (lost ball; steal by T. Evans),,3-9,,
8:21.0,,,3-9,,Turnover by E. Gordon (bad pass)
8:12.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,3-9,,
8:11.0,,,3-9,,Defensive rebound by T. Evans
8:01.0,,,3-9,,A. Gee misses 2-pt shot from 15 ft
8:00.0,Defensive rebound by D. Jordan,,3-9,,
7:50.0,Turnover by J. Redick (bad pass),,3-9,,
7:38.0,,,3-11,2,T. Evans makes 2-pt shot from 1 ft
7:24.0,,,3-11,,Personal foul by E. Gordon (drawn by J. Redick)
