time,Oklahoma City,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Zeller (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. C. Zeller (S. Ibaka gains possession)
11:45.0,K. Durant makes 2-pt shot from 21 ft,2,2-0,,
11:29.0,,,2-2,2,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker)
11:15.0,S. Ibaka misses 3-pt shot from 22 ft,,2-2,,
11:14.0,,,2-2,,Defensive rebound by M. Williams
11:01.0,,,2-2,,K. Walker misses 2-pt shot from 14 ft
11:00.0,Defensive rebound by K. Durant,,2-2,,
10:47.0,Turnover by S. Adams (traveling),,2-2,,
10:37.0,,,2-2,,Turnover by K. Walker (bad pass)
10:22.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,4-2,,
10:07.0,,,4-2,,J. Lin misses 2-pt shot from 2 ft (block by S. Adams)
10:05.0,Defensive rebound by A. Roberson,,4-2,,
10:00.0,R. Westbrook makes 2-pt shot at rim,2,6-2,,
9:43.0,,,6-2,,P. Hairston misses 3-pt shot from 23 ft (block by K. Durant)
9:43.0,,,6-2,,Offensive rebound by Team
9:37.0,,,6-2,,C. Zeller misses 2-pt shot from 18 ft
9:36.0,Defensive rebound by K. Durant,,6-2,,
9:26.0,K. Durant makes 3-pt shot from 25 ft,3,9-2,,
9:08.0,,,9-2,,C. Zeller misses 2-pt shot at rim (block by S. Ibaka)
9:06.0,Defensive rebound by S. Adams,,9-2,,
9:00.0,R. Westbrook makes 2-pt shot from 17 ft,2,11-2,,
8:45.0,,,11-2,,K. Walker misses 2-pt shot from 1 ft (block by K. Durant)
8:43.0,Defensive rebound by S. Adams,,11-2,,
8:40.0,R. Westbrook misses 2-pt shot from 1 ft (block by M. Williams),,11-2,,
8:40.0,Offensive rebound by Team,,11-2,,
8:29.0,Turnover by S. Adams (offensive foul),,11-2,,
8:29.0,Offensive foul by S. Adams,,11-2,,
8:02.0,,,11-2,,J. Lin misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by S. Adams,,11-2,,
7:49.0,R. Westbrook makes 2-pt shot at rim,2,13-2,,
7:44.0,,,13-2,,Charlotte full timeout
7:34.0,,,13-2,,M. Williams misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by K. Durant,,13-2,,
7:16.0,A. Roberson misses 3-pt shot from 23 ft,,13-2,,
7:15.0,,,13-2,,Defensive rebound by C. Zeller
7:09.0,,,13-4,2,K. Walker makes 2-pt shot from 1 ft
6:54.0,Shooting foul by C. Zeller (drawn by S. Ibaka),,13-4,,
6:54.0,S. Ibaka makes free throw 1 of 2,1,14-4,,
6:54.0,S. Ibaka makes free throw 2 of 2,1,15-4,,
6:36.0,,,15-6,2,J. Lin makes 2-pt shot from 20 ft (assist by M. Williams)
6:20.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,17-6,,
6:11.0,,,17-6,,P. Hairston misses 2-pt shot from 16 ft
6:10.0,Defensive rebound by K. Durant,,17-6,,
6:06.0,,,17-6,,Personal block foul by P. Hairston (drawn by K. Durant)
6:02.0,Turnover by K. Durant (bad pass),,17-6,,
5:43.0,,,17-6,,J. Lin misses 2-pt shot from 3 ft (block by S. Adams)
5:41.0,Defensive rebound by A. Roberson,,17-6,,
5:40.0,,,17-6,,Shooting block foul by K. Walker (drawn by R. Westbrook)
5:40.0,R. Westbrook makes free throw 1 of 2,1,18-6,,
5:40.0,R. Westbrook makes free throw 2 of 2,1,19-6,,
5:33.0,Personal foul by A. Roberson (drawn by J. Lin),,19-6,,
5:16.0,,,19-6,,K. Walker misses 2-pt shot from 18 ft (block by A. Roberson)
5:15.0,Defensive rebound by K. Durant,,19-6,,
5:08.0,S. Ibaka misses 2-pt shot from 18 ft,,19-6,,
5:07.0,Offensive rebound by Team,,19-6,,
5:01.0,K. Durant makes 2-pt shot from 19 ft,2,21-6,,
4:46.0,,,21-6,,Shooting foul by S. Adams (drawn by P. Hairston)
4:46.0,,,21-7,1,P. Hairston makes free throw 1 of 2
4:46.0,,,21-7,,F. Kaminsky enters the game for M. Williams
4:46.0,E. Kanter enters the game for S. Adams,,21-7,,
4:46.0,,,21-8,1,P. Hairston makes free throw 2 of 2
4:32.0,R. Westbrook misses 2-pt shot from 1 ft,,21-8,,
4:30.0,,,21-8,,Defensive rebound by C. Zeller
4:23.0,,,21-10,2,J. Lin makes 2-pt shot from 18 ft
4:05.0,E. Kanter makes 2-pt shot from 14 ft (assist by A. Roberson),2,23-10,,
3:48.0,,,23-12,2,P. Hairston makes 2-pt shot from 20 ft
3:30.0,Shooting foul by J. Lin (drawn by R. Westbrook),,23-12,,
3:30.0,R. Westbrook makes free throw 1 of 2,1,24-12,,
3:30.0,R. Westbrook makes free throw 2 of 2,1,25-12,,
3:15.0,,,25-15,3,P. Hairston makes 3-pt shot from 26 ft (assist by J. Lin)
3:05.0,Oklahoma City full timeout,,25-15,,
3:05.0,N. Collison enters the game for S. Ibaka,,25-15,,
3:05.0,D. Waiters enters the game for A. Roberson,,25-15,,
3:05.0,C. Payne enters the game for R. Westbrook,,25-15,,
3:05.0,,,25-15,,J. Lamb enters the game for J. Lin
2:50.0,D. Waiters makes 3-pt shot from 25 ft (assist by K. Durant),3,28-15,,
2:31.0,,,28-15,,C. Zeller misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by K. Durant,,28-15,,
2:15.0,E. Kanter makes 2-pt shot from 16 ft (assist by D. Waiters),2,30-15,,
2:00.0,,,30-17,2,K. Walker makes 2-pt shot from 17 ft
1:43.0,C. Payne makes 2-pt shot from 18 ft,2,32-17,,
1:30.0,,,32-20,3,P. Hairston makes 3-pt shot from 25 ft (assist by J. Lamb)
1:03.0,K. Durant misses 2-pt shot from 21 ft,,32-20,,
1:01.0,Offensive rebound by N. Collison,,32-20,,
0:55.0,Turnover by K. Durant (lost ball; steal by K. Walker),,32-20,,
0:50.0,,,32-22,2,K. Walker makes 2-pt shot at rim
0:36.0,D. Waiters makes 2-pt shot from 1 ft,2,34-22,,
0:16.0,,,34-22,,K. Walker misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by K. Durant,,34-22,,
0:03.0,Turnover by K. Durant (bad pass; steal by J. Lamb),,34-22,,
0:00.0,,,34-22,,J. Lamb misses 3-pt shot from 25 ft
0:00.0,,,34-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,34-22,,J. Lamb misses 2-pt shot from 18 ft
11:34.0,Defensive rebound by N. Collison,,34-22,,
11:21.0,C. Payne makes 2-pt shot from 17 ft,2,36-22,,
11:14.0,,,36-22,,Charlotte full timeout
10:55.0,,,36-22,,J. Lin misses 2-pt shot from 8 ft
10:54.0,Defensive rebound by E. Kanter,,36-22,,
10:38.0,E. Kanter misses 2-pt shot from 8 ft,,36-22,,
10:37.0,,,36-22,,Defensive rebound by T. Daniels
10:23.0,,,36-22,,Shooting foul by A. Morrow (drawn by J. Lin)
10:23.0,,,36-23,1,J. Lin makes free throw 1 of 2
10:23.0,,,36-24,1,J. Lin makes free throw 2 of 2
10:12.0,Shooting foul by T. Hansbrough (drawn by D. Waiters),,36-24,,
10:12.0,D. Waiters misses free throw 1 of 2,,36-24,,
10:12.0,Offensive rebound by Team,,36-24,,
10:12.0,D. Waiters makes free throw 2 of 2,1,37-24,,
9:59.0,,,37-27,3,J. Lamb makes 3-pt shot from 26 ft (assist by J. Lin)
9:47.0,,,37-27,,Personal foul by F. Kaminsky (drawn by E. Kanter)
9:40.0,E. Kanter misses 2-pt shot from 1 ft,,37-27,,
9:38.0,,,37-27,,Defensive rebound by T. Hansbrough
9:38.0,Personal foul by D. Waiters (drawn by T. Hansbrough),,37-27,,
9:26.0,,,37-27,,J. Lamb misses 3-pt shot from 25 ft
9:24.0,,,37-27,,Offensive rebound by T. Hansbrough
9:15.0,,,37-29,2,F. Kaminsky makes 2-pt shot at rim (assist by J. Lamb)
9:02.0,,,37-29,,Personal foul by J. Lin (drawn by C. Payne)
8:52.0,D. Waiters misses 3-pt shot from 23 ft,,37-29,,
8:51.0,,,37-29,,Defensive rebound by T. Daniels
8:38.0,,,37-29,,F. Kaminsky misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by C. Payne,,37-29,,
8:29.0,C. Payne misses 2-pt shot from 19 ft,,37-29,,
8:29.0,,,37-29,,Defensive rebound by Team
8:29.0,Loose ball foul by N. Collison (drawn by F. Kaminsky),,37-29,,
8:29.0,Official timeout,,37-29,,
8:29.0,R. Westbrook enters the game for N. Collison,,37-29,,
8:29.0,K. Singler enters the game for D. Waiters,,37-29,,
8:29.0,S. Ibaka enters the game for C. Payne,,37-29,,
8:16.0,,,37-31,2,F. Kaminsky makes 2-pt shot from 2 ft
8:05.0,A. Morrow makes 3-pt shot from 26 ft (assist by R. Westbrook),3,40-31,,
7:56.0,Personal foul by A. Morrow (drawn by J. Lin),,40-31,,
7:46.0,,,40-31,,J. Lamb misses 2-pt shot from 1 ft (block by E. Kanter)
7:46.0,,,40-31,,Offensive rebound by T. Hansbrough
7:46.0,,,40-31,,Shooting foul by A. Morrow (drawn by T. Hansbrough)
7:46.0,,,40-32,1,T. Hansbrough makes free throw 1 of 2
7:46.0,K. Durant enters the game for E. Kanter,,40-32,,
7:46.0,,,40-32,,P. Hairston enters the game for T. Daniels
7:46.0,,,40-33,1,T. Hansbrough makes free throw 2 of 2
7:37.0,Shooting foul by T. Hansbrough (drawn by R. Westbrook),,40-33,,
7:37.0,R. Westbrook makes free throw 1 of 2,1,41-33,,
7:37.0,R. Westbrook makes free throw 2 of 2,1,42-33,,
7:28.0,Violation by R. Westbrook (kicked ball),,42-33,,
7:25.0,Personal foul by K. Durant (drawn by J. Lin),,42-33,,
7:25.0,,,42-33,,J. Lin misses free throw 1 of 2
7:25.0,,,42-33,,Offensive rebound by Team
7:25.0,,,42-34,1,J. Lin makes free throw 2 of 2
7:07.0,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook),3,45-34,,
6:40.0,,,45-34,,F. Kaminsky misses 2-pt shot from 1 ft (block by S. Ibaka)
6:38.0,Defensive rebound by A. Morrow,,45-34,,
6:30.0,A. Morrow makes 3-pt shot from 24 ft (assist by K. Singler),3,48-34,,
6:20.0,,,48-34,,Charlotte full timeout
6:20.0,S. Adams enters the game for A. Morrow,,48-34,,
6:20.0,,,48-34,,M. Williams enters the game for J. Lin
6:20.0,,,48-34,,C. Zeller enters the game for F. Kaminsky
6:20.0,,,48-34,,K. Walker enters the game for T. Hansbrough
6:11.0,,,48-34,,J. Lamb misses 2-pt shot from 1 ft
6:11.0,,,48-34,,Offensive rebound by Team
6:11.0,Loose ball foul by S. Adams (drawn by C. Zeller),,48-34,,
6:11.0,,,48-35,1,C. Zeller makes free throw 1 of 2
6:11.0,A. Morrow enters the game for S. Adams,,48-35,,
6:11.0,,,48-36,1,C. Zeller makes free throw 2 of 2
5:55.0,A. Morrow misses 2-pt shot from 15 ft,,48-36,,
5:54.0,,,48-36,,Defensive rebound by M. Williams
5:47.0,,,48-36,,K. Walker misses 2-pt shot from 2 ft
5:46.0,Defensive rebound by S. Ibaka,,48-36,,
5:44.0,Turnover by S. Ibaka (bad pass; steal by P. Hairston),,48-36,,
5:38.0,,,48-38,2,J. Lamb makes 2-pt shot from 9 ft (assist by K. Walker)
5:22.0,K. Durant makes 3-pt shot from 26 ft (assist by R. Westbrook),3,51-38,,
5:10.0,,,51-38,,J. Lamb misses 2-pt shot from 15 ft
5:08.0,Defensive rebound by K. Durant,,51-38,,
4:58.0,Shooting foul by C. Zeller (drawn by K. Singler),,51-38,,
4:58.0,K. Singler misses free throw 1 of 2,,51-38,,
4:58.0,Offensive rebound by Team,,51-38,,
4:58.0,,,51-38,,F. Kaminsky enters the game for C. Zeller
4:58.0,K. Singler makes free throw 2 of 2,1,52-38,,
4:41.0,,,52-38,,M. Williams misses 2-pt shot from 5 ft
4:39.0,Defensive rebound by S. Ibaka,,52-38,,
4:33.0,Shooting foul by P. Hairston (drawn by S. Ibaka),,52-38,,
4:33.0,S. Ibaka makes free throw 1 of 2,1,53-38,,
4:33.0,E. Kanter enters the game for S. Ibaka,,53-38,,
4:33.0,S. Ibaka makes free throw 2 of 2,1,54-38,,
4:27.0,Personal foul by R. Westbrook (drawn by K. Walker),,54-38,,
4:27.0,,,54-39,1,K. Walker makes free throw 1 of 2
4:27.0,,,54-40,1,K. Walker makes free throw 2 of 2
4:17.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,56-40,,
3:57.0,,,56-40,,K. Walker misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by R. Westbrook,,56-40,,
3:50.0,A. Morrow misses 3-pt shot from 25 ft,,56-40,,
3:48.0,,,56-40,,Defensive rebound by P. Hairston
3:40.0,Personal foul by E. Kanter (drawn by F. Kaminsky),,56-40,,
3:40.0,,,56-40,,F. Kaminsky misses free throw 1 of 2
3:40.0,,,56-40,,Offensive rebound by Team
3:40.0,D. Waiters enters the game for E. Kanter,,56-40,,
3:40.0,,,56-41,1,F. Kaminsky makes free throw 2 of 2
3:30.0,Turnover by R. Westbrook (lost ball; steal by K. Walker),,56-41,,
3:24.0,,,56-43,2,K. Walker makes 2-pt shot from 1 ft (assist by J. Lamb)
3:04.0,R. Westbrook misses 2-pt shot from 11 ft,,56-43,,
3:03.0,,,56-43,,Defensive rebound by F. Kaminsky
2:57.0,,,56-45,2,K. Walker makes 2-pt shot from 1 ft
2:52.0,Oklahoma City full timeout,,56-45,,
2:52.0,S. Ibaka enters the game for A. Morrow,,56-45,,
2:52.0,,,56-45,,T. Daniels enters the game for P. Hairston
2:50.0,Violation by Team (delay of game),,56-45,,
2:34.0,K. Singler misses 3-pt shot from 24 ft,,56-45,,
2:33.0,Offensive rebound by R. Westbrook,,56-45,,
2:33.0,R. Westbrook misses 2-pt shot from 1 ft,,56-45,,
2:33.0,Offensive rebound by Team,,56-45,,
2:33.0,,,56-45,,Loose ball foul by J. Lamb (drawn by S. Ibaka)
2:33.0,S. Ibaka makes free throw 1 of 2,1,57-45,,
2:33.0,S. Ibaka makes free throw 2 of 2,1,58-45,,
2:20.0,,,58-47,2,K. Walker makes 2-pt shot at rim (assist by F. Kaminsky)
2:07.0,R. Westbrook makes 3-pt shot from 23 ft (assist by D. Waiters),3,61-47,,
1:42.0,,,61-49,2,J. Lamb makes 2-pt shot from 18 ft (assist by K. Walker)
1:25.0,R. Westbrook misses 2-pt shot from 2 ft (block by J. Lamb),,61-49,,
1:25.0,,,61-49,,Defensive rebound by Team
1:25.0,Loose ball foul by K. Singler (drawn by K. Walker),,61-49,,
1:25.0,,,61-49,,K. Walker misses free throw 1 of 2
1:25.0,,,61-49,,Offensive rebound by Team
1:25.0,,,61-50,1,K. Walker makes free throw 2 of 2
1:08.0,D. Waiters misses 3-pt shot from 22 ft,,61-50,,
1:07.0,,,61-50,,Defensive rebound by K. Walker
1:02.0,,,61-50,,K. Walker misses 2-pt shot from 2 ft (block by S. Ibaka)
1:00.0,,,61-50,,Offensive rebound by M. Williams
1:00.0,,,61-50,,M. Williams misses 2-pt shot at rim
0:58.0,Defensive rebound by K. Durant,,61-50,,
0:53.0,Shooting foul by T. Daniels (drawn by S. Ibaka),,61-50,,
0:53.0,,,61-50,,Technical foul by K. Walker
0:53.0,K. Durant makes technical free throw,1,62-50,,
0:53.0,S. Ibaka makes free throw 1 of 2,1,63-50,,
0:53.0,S. Ibaka makes free throw 2 of 2,1,64-50,,
0:45.0,Personal foul by R. Westbrook (drawn by K. Walker),,64-50,,
0:45.0,,,64-51,1,K. Walker makes free throw 1 of 2
0:45.0,,,64-52,1,K. Walker makes free throw 2 of 2
0:39.0,Shooting foul by J. Lamb (drawn by S. Ibaka),,64-52,,
0:39.0,S. Ibaka makes free throw 1 of 2,1,65-52,,
0:39.0,S. Ibaka makes free throw 2 of 2,1,66-52,,
0:30.0,,,66-54,2,K. Walker makes 2-pt shot from 18 ft
0:06.0,R. Westbrook misses 3-pt shot from 24 ft,,66-54,,
0:05.0,,,66-54,,Defensive rebound by M. Williams
0:00.0,,,66-54,,K. Walker misses 2-pt shot from 11 ft
0:00.0,,,66-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,66-56,2,M. Williams makes 2-pt shot from 9 ft (assist by K. Walker)
11:26.0,,,66-56,,Personal foul by C. Zeller (drawn by K. Durant)
11:20.0,,,66-56,,Violation by M. Williams (kicked ball)
11:16.0,S. Ibaka misses 2-pt shot from 19 ft,,66-56,,
11:16.0,,,66-56,,Defensive rebound by Team
11:02.0,,,66-59,3,K. Walker makes 3-pt shot from 23 ft (assist by J. Lin)
11:02.0,Oklahoma City full timeout,,66-59,,
10:45.0,R. Westbrook misses 2-pt shot from 15 ft (block by K. Walker),,66-59,,
10:43.0,,,66-59,,Defensive rebound by K. Walker
10:39.0,,,66-62,3,J. Lin makes 3-pt shot from 24 ft (assist by P. Hairston)
10:25.0,K. Durant misses 2-pt shot from 9 ft,,66-62,,
10:25.0,Offensive rebound by Team,,66-62,,
10:25.0,,,66-62,,Loose ball foul by M. Williams (drawn by S. Adams)
10:20.0,,,66-62,,Personal foul by C. Zeller (drawn by R. Westbrook)
10:14.0,S. Ibaka misses 2-pt shot from 11 ft,,66-62,,
10:12.0,,,66-62,,Defensive rebound by C. Zeller
10:00.0,Personal foul by A. Roberson (drawn by J. Lin),,66-62,,
9:45.0,,,66-64,2,K. Walker makes 2-pt shot from 17 ft
9:28.0,,,66-64,,Personal foul by J. Lin (drawn by A. Roberson)
9:19.0,S. Ibaka misses 3-pt shot from 25 ft,,66-64,,
9:17.0,,,66-64,,Defensive rebound by Team
9:05.0,,,66-64,,K. Walker misses 2-pt shot from 11 ft
9:04.0,Defensive rebound by A. Roberson,,66-64,,
8:58.0,R. Westbrook misses 2-pt shot from 1 ft (block by C. Zeller),,66-64,,
8:55.0,Offensive rebound by A. Roberson,,66-64,,
8:49.0,K. Durant misses 2-pt shot from 13 ft,,66-64,,
8:48.0,Offensive rebound by S. Adams,,66-64,,
8:42.0,R. Westbrook misses 2-pt shot from 1 ft,,66-64,,
8:39.0,Offensive rebound by S. Ibaka,,66-64,,
8:39.0,S. Ibaka makes 2-pt shot at rim,2,68-64,,
8:17.0,,,68-64,,K. Walker misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by S. Adams,,68-64,,
8:08.0,Shooting foul by P. Hairston (drawn by K. Durant),,68-64,,
8:08.0,K. Durant makes free throw 1 of 3,1,69-64,,
8:08.0,K. Durant makes free throw 2 of 3,1,70-64,,
8:08.0,K. Durant makes free throw 3 of 3,1,71-64,,
7:49.0,,,71-64,,P. Hairston misses 3-pt shot from 26 ft
7:48.0,Defensive rebound by R. Westbrook,,71-64,,
7:43.0,R. Westbrook misses 2-pt shot from 19 ft,,71-64,,
7:40.0,,,71-64,,Defensive rebound by M. Williams
7:36.0,,,71-64,,Shooting foul by A. Roberson (drawn by K. Walker)
7:36.0,,,71-65,1,K. Walker makes free throw 1 of 2
7:36.0,,,71-66,1,K. Walker makes free throw 2 of 2
7:26.0,,,71-66,,Personal foul by P. Hairston (drawn by K. Durant)
7:26.0,K. Durant makes free throw 1 of 2,1,72-66,,
7:26.0,,,72-66,,J. Lamb enters the game for P. Hairston
7:26.0,K. Durant makes free throw 2 of 2,1,73-66,,
7:05.0,,,73-66,,J. Lin misses 3-pt shot from 27 ft
7:03.0,Defensive rebound by S. Adams,,73-66,,
6:51.0,S. Adams makes 2-pt shot at rim,2,75-66,,
6:51.0,,,75-66,,Charlotte full timeout
6:34.0,Personal foul by A. Roberson (drawn by J. Lin),,75-66,,
6:19.0,,,75-66,,J. Lamb misses 2-pt shot from 13 ft (block by K. Durant)
6:17.0,Defensive rebound by S. Adams,,75-66,,
6:12.0,Shooting foul by J. Lamb (drawn by K. Durant),,75-66,,
6:12.0,K. Durant makes free throw 1 of 3,1,76-66,,
6:12.0,K. Durant makes free throw 2 of 3,1,77-66,,
6:12.0,D. Waiters enters the game for A. Roberson,,77-66,,
6:12.0,K. Durant makes free throw 3 of 3,1,78-66,,
5:54.0,,,78-68,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
5:39.0,K. Durant misses 2-pt shot from 12 ft,,78-68,,
5:38.0,Offensive rebound by S. Adams,,78-68,,
5:30.0,Turnover by S. Ibaka (offensive foul),,78-68,,
5:30.0,Offensive foul by S. Ibaka,,78-68,,
5:30.0,,,78-68,,F. Kaminsky enters the game for C. Zeller
5:14.0,,,78-68,,Shooting foul by K. Durant (drawn by J. Lamb)
5:14.0,,,78-69,1,J. Lamb makes free throw 1 of 2
5:14.0,,,78-70,1,J. Lamb makes free throw 2 of 2
4:58.0,R. Westbrook misses 3-pt shot from 25 ft,,78-70,,
4:56.0,Offensive rebound by D. Waiters,,78-70,,
4:45.0,,,78-70,,Personal foul by J. Lin (drawn by D. Waiters)
4:45.0,D. Waiters misses free throw 1 of 2,,78-70,,
4:45.0,Offensive rebound by Team,,78-70,,
4:45.0,,,78-70,,T. Daniels enters the game for J. Lin
4:45.0,Violation by Team (double lane),,78-70,,
4:45.0,Jump ball: S. Adams vs. M. Williams (K. Walker gains possession),,,,Jump ball: S. Adams vs. M. Williams (K. Walker gains possession)
4:23.0,,,78-70,,K. Walker misses 2-pt shot from 11 ft
4:22.0,Defensive rebound by S. Adams,,78-70,,
4:21.0,Shooting foul by J. Lamb (drawn by K. Durant),,78-70,,
4:21.0,K. Durant makes free throw 1 of 2,1,79-70,,
4:21.0,K. Durant misses free throw 2 of 2,,79-70,,
4:18.0,,,79-70,,Defensive rebound by T. Daniels
4:07.0,,,79-72,2,M. Williams makes 2-pt shot at rim (assist by J. Lamb)
4:07.0,,,79-72,,Violation by Team (delay of game)
3:50.0,K. Durant misses 2-pt shot from 18 ft,,79-72,,
3:49.0,,,79-72,,Defensive rebound by M. Williams
