time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (D. DeRozan gains possession)
11:36.0,,,0-3,3,L. Scola makes 3-pt shot from 23 ft (assist by D. DeRozan)
11:23.0,Turnover by J. Butler (bad pass),,0-3,,
11:05.0,,,0-3,,J. Valanciunas misses 2-pt shot from 2 ft (block by P. Gasol)
11:04.0,Defensive rebound by P. Gasol,,0-3,,
10:52.0,P. Gasol misses 2-pt shot from 17 ft,,0-3,,
10:52.0,,,0-3,,Defensive rebound by J. Valanciunas
10:37.0,,,0-5,2,D. Carroll makes 2-pt shot from 1 ft
10:13.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,2-5,,
10:01.0,,,2-5,,K. Lowry misses 2-pt shot from 12 ft
10:00.0,Defensive rebound by J. Butler,,2-5,,
9:57.0,Turnover by J. Butler (lost ball; steal by L. Scola),,2-5,,
9:52.0,,,2-7,2,L. Scola makes 2-pt shot from 6 ft
9:32.0,K. Hinrich makes 3-pt shot from 23 ft (assist by T. Gibson),3,5-7,,
9:12.0,,,5-7,,K. Lowry misses 2-pt shot from 20 ft
9:11.0,Defensive rebound by P. Gasol,,5-7,,
8:58.0,N. Mirotic makes 2-pt shot from 8 ft (assist by P. Gasol),2,7-7,,
8:33.0,,,7-10,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
8:12.0,P. Gasol misses 2-pt shot from 19 ft,,7-10,,
8:12.0,,,7-10,,Defensive rebound by K. Lowry
7:59.0,,,7-10,,Turnover by J. Valanciunas (lost ball; steal by K. Hinrich)
7:52.0,K. Hinrich makes 3-pt shot from 24 ft,3,10-10,,
7:32.0,,,10-10,,K. Lowry misses 2-pt shot from 14 ft
7:31.0,Defensive rebound by N. Mirotic,,10-10,,
7:16.0,N. Mirotic makes 3-pt shot from 25 ft (assist by K. Hinrich),3,13-10,,
6:58.0,,,13-10,,D. DeRozan misses 2-pt shot from 16 ft
6:57.0,Defensive rebound by P. Gasol,,13-10,,
6:42.0,P. Gasol misses 2-pt shot from 18 ft,,13-10,,
6:41.0,,,13-10,,Defensive rebound by J. Valanciunas
6:23.0,,,13-10,,D. DeRozan misses 2-pt shot from 6 ft
6:22.0,Defensive rebound by Team,,13-10,,
6:22.0,,,13-10,,Loose ball foul by J. Valanciunas (drawn by P. Gasol)
6:04.0,P. Gasol makes 2-pt shot from 4 ft,2,15-10,,
5:49.0,,,15-10,,L. Scola misses 2-pt shot from 20 ft
5:49.0,Defensive rebound by J. Butler,,15-10,,
5:39.0,J. Butler misses 2-pt shot from 5 ft,,15-10,,
5:38.0,Offensive rebound by N. Mirotic,,15-10,,
5:34.0,J. Butler makes 2-pt shot from 2 ft (assist by K. Hinrich),2,17-10,,
5:34.0,,,17-10,,Toronto full timeout
5:22.0,,,17-13,3,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry)
5:05.0,N. Mirotic misses 2-pt shot from 20 ft,,17-13,,
5:04.0,,,17-13,,Defensive rebound by K. Lowry
4:58.0,,,17-13,,K. Lowry misses 3-pt shot from 24 ft
4:57.0,,,17-13,,Offensive rebound by J. Valanciunas
4:52.0,,,17-16,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Valanciunas)
4:44.0,Turnover by P. Gasol (bad pass),,17-16,,
4:28.0,,,17-18,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by K. Lowry)
4:28.0,Chicago full timeout,,17-18,,
4:28.0,,,17-18,,P. Patterson enters the game for D. Carroll
4:28.0,,,17-18,,T. Ross enters the game for L. Scola
4:28.0,T. Snell enters the game for T. Gibson,,17-18,,
4:28.0,A. Brooks enters the game for K. Hinrich,,17-18,,
4:13.0,Turnover by P. Gasol (bad pass; steal by J. Valanciunas),,17-18,,
3:59.0,,,17-18,,D. DeRozan misses 3-pt shot from 23 ft
3:59.0,,,17-18,,Offensive rebound by J. Valanciunas
3:47.0,,,17-20,2,J. Valanciunas makes 2-pt shot from 1 ft
3:36.0,T. Snell makes 3-pt shot from 23 ft (assist by P. Gasol),3,20-20,,
3:17.0,,,20-20,,Shooting foul by N. Mirotic (drawn by D. DeRozan)
3:17.0,,,20-21,1,D. DeRozan makes free throw 1 of 2
3:17.0,,,20-21,,C. Joseph enters the game for K. Lowry
3:17.0,,,20-22,1,D. DeRozan makes free throw 2 of 2
2:58.0,N. Mirotic misses 2-pt shot from 13 ft (block by P. Patterson),,20-22,,
2:57.0,,,20-22,,Defensive rebound by C. Joseph
2:43.0,,,20-24,2,D. DeRozan makes 2-pt shot from 6 ft
2:43.0,,,20-24,,Shooting foul by A. Brooks (drawn by D. DeRozan)
2:43.0,B. Portis enters the game for N. Mirotic,,20-24,,
2:43.0,,,20-24,,B. Biyombo enters the game for J. Valanciunas
2:43.0,,,20-24,,D. DeRozan misses free throw 1 of 1
2:43.0,Defensive rebound by B. Portis,,20-24,,
2:29.0,,,20-24,,Personal foul by B. Biyombo (drawn by P. Gasol)
