time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. McGee (T. Evans gains possession),,,,Jump ball: A. Davis vs. J. McGee (T. Evans gains possession)
11:44.0,,,0-3,3,E. Gordon makes 3-pt shot from 26 ft (assist by A. Davis)
11:29.0,J. McGee misses 2-pt shot from 18 ft,,0-3,,
11:29.0,,,0-3,,Defensive rebound by A. Davis
11:22.0,Personal foul by R. Felton (drawn by T. Evans),,0-3,,
11:14.0,,,0-3,,T. Evans misses 2-pt shot from 1 ft (block by J. McGee)
11:13.0,Defensive rebound by C. Parsons,,0-3,,
10:58.0,C. Parsons makes 2-pt shot from 2 ft,2,2-3,,
10:48.0,,,2-3,,E. Gordon misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by C. Villanueva,,2-3,,
10:41.0,Turnover by J. Barea (lost ball; steal by T. Evans),,2-3,,
10:38.0,,,2-3,,Shooting foul by C. Villanueva (drawn by A. Davis)
10:38.0,,,2-4,1,A. Davis makes free throw 1 of 2
10:38.0,,,2-5,1,A. Davis makes free throw 2 of 2
10:22.0,C. Parsons makes 2-pt shot from 2 ft,2,4-5,,
10:18.0,,,4-5,,New Orleans full timeout
10:06.0,,,4-5,,A. Gee misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by C. Parsons,,4-5,,
9:53.0,C. Parsons misses 3-pt shot from 24 ft,,4-5,,
9:52.0,,,4-5,,Defensive rebound by A. Davis
9:45.0,,,4-5,,O. Asik misses 2-pt shot from 1 ft (block by J. McGee)
9:44.0,,,4-5,,Offensive rebound by O. Asik
9:43.0,,,4-7,2,O. Asik makes 2-pt shot from 2 ft
9:22.0,C. Villanueva misses 2-pt shot from 9 ft,,4-7,,
9:22.0,,,4-7,,Defensive rebound by T. Evans
9:10.0,,,4-7,,A. Davis misses 2-pt shot from 4 ft
9:09.0,Defensive rebound by C. Parsons,,4-7,,
9:02.0,J. Barea makes 2-pt shot from 2 ft,2,6-7,,
9:02.0,Shooting foul by T. Evans (drawn by J. Barea),,6-7,,
9:02.0,J. Barea makes free throw 1 of 1,1,7-7,,
8:48.0,Personal foul by J. Barea,,7-7,,
8:40.0,,,7-7,,O. Asik misses 2-pt shot from 3 ft
8:33.0,,,7-7,,Offensive rebound by A. Davis
