time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (P. Pierce gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (P. Pierce gains possession)
11:42.0,J. Redick misses 2-pt shot from 21 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Aminu
11:32.0,,,0-0,,D. Lillard misses 2-pt shot from 18 ft
11:31.0,,,0-0,,Offensive rebound by M. Plumlee
11:19.0,,,0-0,,A. Aminu misses 2-pt shot from 8 ft
11:18.0,,,0-0,,Offensive rebound by M. Plumlee
11:14.0,,,0-2,2,A. Aminu makes 2-pt shot from 17 ft (assist by M. Plumlee)
10:56.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,2-2,,
10:39.0,,,2-2,,D. Lillard misses 3-pt shot from 23 ft
10:38.0,Defensive rebound by J. Redick,,2-2,,
10:28.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Redick),3,5-2,,
10:10.0,,,5-4,2,N. Vonleh makes 2-pt shot from 18 ft (assist by A. Crabbe)
9:51.0,Shooting foul by D. Lillard (drawn by P. Pierce),,5-4,,
9:51.0,P. Pierce makes free throw 1 of 2,1,6-4,,
9:51.0,P. Pierce makes free throw 2 of 2,1,7-4,,
9:38.0,,,7-4,,A. Crabbe misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by L. Mbah a Moute,,7-4,,
9:30.0,Turnover by C. Paul (lost ball),,7-4,,
9:14.0,,,7-4,,A. Aminu misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by D. Jordan,,7-4,,
8:54.0,P. Pierce misses 2-pt shot from 12 ft,,7-4,,
8:54.0,,,7-4,,Defensive rebound by A. Aminu
8:34.0,,,7-4,,A. Aminu misses 2-pt shot from 5 ft (block by D. Jordan)
8:34.0,,,7-4,,Offensive rebound by M. Plumlee
8:34.0,Personal foul by P. Pierce (drawn by M. Plumlee),,7-4,,
8:28.0,,,7-4,,Turnover by D. Lillard (bad pass)
8:21.0,C. Paul makes 2-pt shot from 16 ft,2,9-4,,
8:07.0,,,9-4,,Offensive foul by M. Plumlee
8:07.0,,,9-4,,Turnover by M. Plumlee (offensive foul)
7:55.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,11-4,,
7:42.0,Personal foul by C. Paul (drawn by D. Lillard),,11-4,,
7:38.0,,,11-4,,Turnover by D. Lillard (lost ball; steal by C. Paul)
7:35.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,13-4,,
7:35.0,,,13-4,,Portland full timeout
