time,Miami,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: T. Chandler vs. H. Whiteside (C. Bosh gains possession)
11:37.0,C. Bosh misses 3-pt shot from 24 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by P. Tucker
11:20.0,,,0-0,,P. Tucker misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by C. Bosh,,0-0,,
10:54.0,G. Dragic makes 3-pt shot from 24 ft (assist by C. Bosh),3,3-0,,
10:33.0,,,3-2,2,B. Knight makes 2-pt shot from 17 ft
10:10.0,H. Whiteside misses 2-pt shot from 6 ft (block by P. Tucker),,3-2,,
10:07.0,,,3-2,,Defensive rebound by D. Booker
9:59.0,,,3-2,,D. Booker misses 2-pt shot from 17 ft
9:57.0,Defensive rebound by H. Whiteside,,3-2,,
9:35.0,D. Wade misses 2-pt shot from 17 ft,,3-2,,
9:34.0,,,3-2,,Defensive rebound by B. Knight
9:24.0,,,3-5,3,J. Leuer makes 3-pt shot from 23 ft (assist by T. Chandler)
8:59.0,G. Dragic makes 3-pt shot from 25 ft (assist by L. Deng),3,6-5,,
8:43.0,,,6-7,2,T. Chandler makes 2-pt shot from 6 ft
8:20.0,H. Whiteside makes 2-pt shot from 2 ft (assist by C. Bosh),2,8-7,,
8:20.0,Shooting foul by D. Booker (drawn by H. Whiteside),,8-7,,
8:20.0,H. Whiteside makes free throw 1 of 1,1,9-7,,
8:05.0,,,9-9,2,B. Knight makes 2-pt shot from 20 ft (assist by D. Booker)
7:52.0,G. Dragic misses 2-pt shot from 5 ft,,9-9,,
7:49.0,Offensive rebound by G. Dragic,,9-9,,
7:49.0,Turnover by G. Dragic (lost ball; steal by P. Tucker),,9-9,,
7:49.0,Jump ball: G. Dragic vs. P. Tucker (J. Leuer gains possession),,,,Jump ball: G. Dragic vs. P. Tucker (J. Leuer gains possession)
7:41.0,,,9-9,,J. Leuer misses 2-pt shot from 14 ft
7:39.0,Defensive rebound by L. Deng,,9-9,,
7:31.0,H. Whiteside misses 2-pt shot from 5 ft,,9-9,,
