time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Cousins (R. Rondo gains possession),,,,Jump ball: A. Bogut vs. D. Cousins (R. Rondo gains possession)
11:46.0,,,0-0,,R. Gay misses 2-pt shot from 3 ft
11:45.0,Defensive rebound by S. Curry,,0-0,,
11:40.0,Turnover by S. Curry (bad pass; steal by D. Cousins),,0-0,,
11:34.0,,,0-2,2,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo)
11:19.0,Turnover by D. Green (bad pass),,0-2,,
11:04.0,,,0-4,2,D. Cousins makes 2-pt shot from 18 ft
10:40.0,Turnover by Team (shot clock),,0-4,,
10:31.0,,,0-4,,B. McLemore misses 3-pt shot from 24 ft (block by D. Green)
10:29.0,Defensive rebound by A. Bogut,,0-4,,
10:22.0,B. Rush makes 3-pt shot from 25 ft (assist by S. Curry),3,3-4,,
10:05.0,,,3-4,,R. Gay misses 2-pt shot from 7 ft
10:04.0,,,3-4,,Offensive rebound by Q. Acy
10:00.0,,,3-4,,D. Cousins misses 3-pt shot from 24 ft
10:00.0,,,3-4,,Offensive rebound by R. Rondo
9:56.0,,,3-6,2,R. Gay makes 2-pt shot from 10 ft (assist by R. Rondo)
9:42.0,K. Thompson makes 2-pt shot from 3 ft,2,5-6,,
9:33.0,,,5-6,,Turnover by R. Rondo (bad pass; steal by B. Rush)
9:19.0,S. Curry misses 3-pt shot from 24 ft,,5-6,,
9:18.0,,,5-6,,Defensive rebound by R. Gay
9:15.0,,,5-6,,Turnover by R. Rondo (bad pass; steal by D. Green)
9:08.0,D. Green misses 2-pt shot from 2 ft,,5-6,,
9:07.0,,,5-6,,Defensive rebound by D. Cousins
8:54.0,Personal foul by K. Thompson (drawn by B. McLemore),,5-6,,
8:45.0,,,5-6,,B. McLemore misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by D. Green,,5-6,,
8:32.0,S. Curry makes 3-pt shot from 22 ft,3,8-6,,
8:26.0,,,8-6,,R. Rondo misses 2-pt shot from 3 ft
8:25.0,Defensive rebound by K. Thompson,,8-6,,
8:08.0,K. Thompson misses 3-pt shot from 26 ft,,8-6,,
8:08.0,Offensive rebound by S. Curry,,8-6,,
8:05.0,S. Curry misses 3-pt shot from 25 ft,,8-6,,
8:05.0,,,8-6,,Defensive rebound by Team
7:45.0,,,8-8,2,Q. Acy makes 2-pt shot from 19 ft (assist by R. Rondo)
7:33.0,K. Thompson misses 2-pt shot from 3 ft,,8-8,,
7:32.0,,,8-8,,Defensive rebound by Team
7:24.0,Personal foul by S. Curry (drawn by R. Rondo),,8-8,,
7:22.0,,,8-10,2,Q. Acy makes 2-pt shot at rim (assist by B. McLemore)
7:22.0,,,8-10,,Shooting foul by D. Green (drawn by Q. Acy)
7:22.0,,,8-11,1,Q. Acy makes free throw 1 of 1
7:15.0,,,8-11,,Personal foul by Q. Acy (drawn by S. Curry)
7:05.0,B. Rush makes 3-pt shot from 24 ft (assist by K. Thompson),3,11-11,,
6:55.0,,,11-13,2,D. Cousins makes 2-pt shot from 5 ft
6:36.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,14-13,,
6:22.0,,,14-15,2,R. Gay makes 2-pt shot from 5 ft
6:10.0,Shooting foul by R. Rondo (drawn by D. Green),,14-15,,
6:10.0,D. Green makes free throw 1 of 2,1,15-15,,
6:10.0,D. Green makes free throw 2 of 2,1,16-15,,
5:58.0,,,16-15,,Offensive foul by B. McLemore
5:58.0,,,16-15,,Turnover by B. McLemore (offensive foul)
5:58.0,,,16-15,,Sacramento full timeout
5:48.0,Turnover by D. Green (bad pass; steal by D. Cousins),,16-15,,
5:43.0,,,16-15,,Offensive charge foul by R. Rondo
5:43.0,,,16-15,,Turnover by R. Rondo (offensive foul)
5:43.0,A. Iguodala enters the game for B. Rush,,16-15,,
5:43.0,,,16-15,,D. Collison enters the game for R. Rondo
5:27.0,K. Thompson misses 3-pt shot from 25 ft,,16-15,,
5:26.0,,,16-15,,Defensive rebound by D. Cousins
5:17.0,,,16-17,2,D. Cousins makes 2-pt shot from 5 ft
5:02.0,,,16-17,,Personal foul by D. Cousins (drawn by A. Bogut)
4:56.0,Turnover by S. Curry (bad pass; steal by D. Cousins),,16-17,,
4:51.0,,,16-19,2,B. McLemore makes 2-pt shot from 2 ft (assist by R. Gay)
4:36.0,Turnover by K. Thompson (lost ball; steal by R. Gay),,16-19,,
4:31.0,,,16-21,2,R. Gay makes 2-pt shot from 2 ft (assist by B. McLemore)
4:19.0,K. Thompson misses 3-pt shot from 25 ft,,16-21,,
4:19.0,,,16-21,,Defensive rebound by Team
4:19.0,F. Ezeli enters the game for A. Bogut,,16-21,,
4:19.0,,,16-21,,M. Belinelli enters the game for Q. Acy
4:19.0,,,16-21,,K. Koufos enters the game for B. McLemore
4:09.0,,,16-21,,D. Collison misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by Team,,16-21,,
3:57.0,D. Green misses 2-pt shot from 2 ft,,16-21,,
3:56.0,,,16-21,,Defensive rebound by D. Cousins
3:52.0,,,16-21,,D. Collison misses 2-pt shot from 4 ft (block by S. Curry)
3:52.0,Defensive rebound by Team,,16-21,,
3:50.0,Jump ball: D. Collison vs. S. Curry (F. Ezeli gains possession),,,,Jump ball: D. Collison vs. S. Curry (F. Ezeli gains possession)
3:42.0,S. Curry misses 3-pt shot from 25 ft,,16-21,,
3:41.0,,,16-21,,Defensive rebound by D. Collison
3:34.0,,,16-21,,D. Collison misses 2-pt shot from 3 ft
3:33.0,,,16-21,,Offensive rebound by K. Koufos
3:31.0,,,16-23,2,K. Koufos makes 2-pt shot from 3 ft
3:16.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,19-23,,
2:57.0,,,19-23,,D. Cousins misses 3-pt shot from 24 ft
2:57.0,,,19-23,,Offensive rebound by D. Cousins
2:51.0,,,19-23,,D. Cousins misses 2-pt shot from 3 ft
2:50.0,,,19-23,,Offensive rebound by Team
2:50.0,Golden State full timeout,,19-23,,
2:50.0,S. Livingston enters the game for S. Curry,,19-23,,
2:40.0,,,19-25,2,D. Cousins makes 2-pt shot from 6 ft
2:20.0,D. Green makes 3-pt shot from 25 ft (assist by F. Ezeli),3,22-25,,
2:03.0,,,22-25,,M. Belinelli misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by D. Green,,22-25,,
1:55.0,F. Ezeli makes 2-pt shot at rim (assist by A. Iguodala),2,24-25,,
1:40.0,,,24-25,,D. Cousins misses 2-pt shot from 5 ft
1:39.0,Defensive rebound by F. Ezeli,,24-25,,
1:34.0,D. Green misses 2-pt shot from 2 ft (block by K. Koufos),,24-25,,
1:32.0,Offensive rebound by F. Ezeli,,24-25,,
1:31.0,F. Ezeli misses 2-pt shot from 2 ft (block by R. Gay),,24-25,,
1:29.0,,,24-25,,Defensive rebound by M. Belinelli
1:22.0,,,24-25,,D. Cousins misses 2-pt shot from 4 ft
1:22.0,Defensive rebound by K. Thompson,,24-25,,
1:04.0,F. Ezeli makes 2-pt shot from 2 ft (assist by S. Livingston),2,26-25,,
0:46.0,,,26-25,,M. Belinelli misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by F. Ezeli,,26-25,,
0:42.0,Turnover by S. Livingston (step out of bounds),,26-25,,
0:42.0,,,26-25,,B. McLemore enters the game for R. Gay
0:42.0,,,26-25,,W. Cauley-Stein enters the game for D. Cousins
0:34.0,,,26-25,,D. Collison misses 2-pt shot from 16 ft
0:33.0,Defensive rebound by S. Livingston,,26-25,,
0:25.0,,,26-25,,Personal foul by W. Cauley-Stein (drawn by D. Green)
0:15.0,K. Thompson misses 3-pt shot from 25 ft,,26-25,,
0:14.0,,,26-25,,Defensive rebound by M. Belinelli
0:01.0,,,26-27,2,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by K. Koufos)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by H. Barnes (bad pass),,26-27,,
11:35.0,Personal foul by S. Livingston (drawn by M. Belinelli),,26-27,,
11:28.0,,,26-27,,Turnover by K. Koufos (dbl dribble)
11:13.0,A. Iguodala misses 3-pt shot from 24 ft,,26-27,,
11:12.0,Offensive rebound by H. Barnes,,26-27,,
10:56.0,I. Clark misses 2-pt shot from 8 ft,,26-27,,
10:55.0,,,26-27,,Defensive rebound by Team
10:45.0,,,26-27,,Turnover by B. McLemore (bad pass)
10:21.0,Turnover by A. Iguodala (bad pass),,26-27,,
10:08.0,,,26-27,,W. Cauley-Stein misses 2-pt shot from 8 ft
10:08.0,,,26-27,,Offensive rebound by W. Cauley-Stein
10:02.0,,,26-27,,K. Koufos misses 2-pt shot from 5 ft (block by F. Ezeli)
10:00.0,Defensive rebound by I. Clark,,26-27,,
9:57.0,Turnover by I. Clark (bad pass; steal by D. Collison),,26-27,,
9:55.0,,,26-29,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Collison)
9:50.0,Turnover by I. Clark (bad pass; steal by B. McLemore),,26-29,,
9:47.0,,,26-29,,Shooting foul by F. Ezeli (drawn by B. McLemore)
9:47.0,,,26-30,1,B. McLemore makes free throw 1 of 2
9:47.0,Golden State full timeout,,26-30,,
9:47.0,S. Curry enters the game for F. Ezeli,,26-30,,
9:47.0,K. Thompson enters the game for S. Livingston,,26-30,,
9:47.0,D. Green enters the game for I. Clark,,26-30,,
9:47.0,,,26-31,1,B. McLemore makes free throw 2 of 2
9:35.0,D. Green makes 2-pt shot from 3 ft (assist by K. Thompson),2,28-31,,
9:20.0,,,28-31,,M. Belinelli misses 2-pt shot from 20 ft
9:19.0,Defensive rebound by D. Green,,28-31,,
9:10.0,H. Barnes misses 2-pt shot from 20 ft,,28-31,,
