time,San Antonio,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. B. Lopez (D. Sloan gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (D. Sloan gains possession)
11:35.0,,,0-0,,Turnover by T. Young (bad pass; steal by T. Duncan)
11:11.0,Turnover by Team (shot clock),,0-0,,
10:58.0,,,0-0,,W. Ellington misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by K. Leonard,,0-0,,
10:44.0,L. Aldridge makes 2-pt shot from 16 ft,2,2-0,,
10:32.0,,,2-2,2,T. Young makes 2-pt shot from 7 ft (assist by D. Sloan)
10:10.0,T. Parker misses 2-pt shot from 8 ft,,2-2,,
10:08.0,,,2-2,,Defensive rebound by W. Ellington
9:52.0,,,2-2,,Shooting foul by T. Duncan (drawn by W. Ellington)
9:52.0,,,2-3,1,W. Ellington makes free throw 1 of 2
9:52.0,,,2-4,1,W. Ellington makes free throw 2 of 2
9:35.0,D. Green misses 2-pt shot from 16 ft,,2-4,,
9:33.0,,,2-4,,Defensive rebound by T. Young
9:24.0,,,2-4,,Offensive foul by T. Young
9:24.0,,,2-4,,Turnover by T. Young (offensive foul)
9:05.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green),2,4-4,,
8:52.0,,,4-6,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Sloan)
8:36.0,T. Duncan makes 2-pt shot from 17 ft (assist by T. Parker),2,6-6,,
8:20.0,,,6-6,,W. Ellington misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by L. Aldridge,,6-6,,
8:10.0,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker),2,8-6,,
7:49.0,,,8-8,2,B. Lopez makes 2-pt shot from 15 ft
7:28.0,D. Green misses 3-pt shot from 26 ft,,8-8,,
7:27.0,Offensive rebound by L. Aldridge,,8-8,,
7:25.0,L. Aldridge makes 2-pt shot from 18 ft,2,10-8,,
6:58.0,,,10-8,,B. Lopez misses 2-pt shot from 18 ft
6:57.0,Defensive rebound by L. Aldridge,,10-8,,
6:51.0,Turnover by T. Parker (bad pass),,10-8,,
6:32.0,,,10-10,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
6:06.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,12-10,,
5:48.0,,,12-10,,B. Lopez misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by T. Parker,,12-10,,
5:41.0,T. Duncan misses 2-pt shot from 2 ft (block by D. Sloan),,12-10,,
5:40.0,,,12-10,,Defensive rebound by W. Ellington
5:36.0,,,12-10,,Turnover by T. Young (lost ball; steal by K. Leonard)
5:24.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green),2,14-10,,
5:20.0,,,14-10,,Brooklyn full timeout
5:20.0,B. Diaw enters the game for T. Duncan,,14-10,,
5:20.0,M. Ginobili enters the game for D. Green,,14-10,,
5:20.0,P. Mills enters the game for T. Parker,,14-10,,
5:04.0,,,14-12,2,J. Johnson makes 2-pt shot from 5 ft (assist by D. Sloan)
4:46.0,K. Leonard misses 3-pt shot from 23 ft,,14-12,,
4:45.0,,,14-12,,Defensive rebound by T. Young
4:35.0,,,14-12,,D. Sloan misses 2-pt shot from 13 ft
4:34.0,Defensive rebound by Team,,14-12,,
4:34.0,,,14-12,,B. Bogdanovic enters the game for J. Johnson
4:34.0,,,14-12,,W. Reed enters the game for B. Lopez
4:22.0,B. Diaw misses 2-pt shot from 1 ft,,14-12,,
4:21.0,Offensive rebound by B. Diaw,,14-12,,
4:20.0,B. Diaw misses 2-pt shot at rim,,14-12,,
4:19.0,Offensive rebound by Team,,14-12,,
4:14.0,M. Ginobili makes 2-pt shot from 11 ft (assist by P. Mills),2,16-12,,
3:53.0,,,16-12,,Turnover by W. Ellington (lost ball; steal by M. Ginobili)
3:44.0,K. Leonard misses 2-pt shot from 8 ft,,16-12,,
3:43.0,,,16-12,,Defensive rebound by T. Young
3:37.0,,,16-12,,Turnover by Team (back court)
3:37.0,,,16-12,,S. Larkin enters the game for D. Sloan
3:21.0,,,16-12,,Personal foul by B. Bogdanovic (drawn by K. Leonard)
3:10.0,L. Aldridge misses 2-pt shot from 15 ft,,16-12,,
3:09.0,,,16-12,,Defensive rebound by T. Young
2:59.0,,,16-14,2,T. Young makes 2-pt shot from 5 ft
2:58.0,San Antonio full timeout,,16-14,,
2:35.0,K. Leonard misses 3-pt shot from 23 ft,,16-14,,
2:34.0,,,16-14,,Defensive rebound by T. Young
2:22.0,,,16-14,,W. Reed misses 2-pt shot from 2 ft
2:21.0,Defensive rebound by L. Aldridge,,16-14,,
2:12.0,P. Mills misses 3-pt shot from 24 ft,,16-14,,
2:11.0,,,16-14,,Defensive rebound by T. Young
1:55.0,,,16-14,,T. Young misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by L. Aldridge,,16-14,,
1:39.0,P. Mills makes 2-pt shot from 1 ft (assist by B. Diaw),2,18-14,,
1:22.0,,,18-16,2,S. Larkin makes 2-pt shot from 4 ft
1:12.0,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili),2,20-16,,
0:51.0,,,20-18,2,W. Ellington makes 2-pt shot from 10 ft
0:34.0,K. Leonard makes 2-pt shot from 1 ft (assist by B. Diaw),2,22-18,,
0:15.0,,,22-18,,T. Young misses 2-pt shot at rim
0:14.0,,,22-18,,Offensive rebound by W. Reed
0:12.0,Personal foul by M. Ginobili (drawn by W. Reed),,22-18,,
0:12.0,,,22-18,,A. Bargnani enters the game for T. Young
0:12.0,D. West enters the game for L. Aldridge,,22-18,,
0:12.0,K. Anderson enters the game for K. Leonard,,22-18,,
0:03.0,,,22-20,2,W. Reed makes 2-pt shot at rim (assist by S. Larkin)
0:01.0,K. Anderson misses 3-pt shot from 38 ft,,22-20,,
0:00.0,Offensive rebound by Team,,22-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Ginobili makes 2-pt shot from 17 ft,2,24-20,,
11:14.0,,,24-20,,B. Bogdanovic misses 3-pt shot from 22 ft
11:13.0,Defensive rebound by B. Diaw,,24-20,,
10:59.0,B. Diaw misses 2-pt shot from 18 ft,,24-20,,
10:58.0,,,24-20,,Defensive rebound by S. Larkin
10:51.0,,,24-20,,Turnover by W. Reed (lost ball)
10:39.0,,,24-20,,Personal foul by A. Bargnani (drawn by M. Ginobili)
10:39.0,,,24-20,,B. Lopez enters the game for W. Reed
10:30.0,B. Diaw makes 3-pt shot from 24 ft (assist by P. Mills),3,27-20,,
10:08.0,,,27-22,2,B. Lopez makes 2-pt shot from 2 ft
9:55.0,M. Ginobili misses 2-pt shot from 2 ft,,27-22,,
9:54.0,,,27-22,,Defensive rebound by A. Bargnani
9:41.0,,,27-22,,B. Lopez misses 2-pt shot from 17 ft
9:40.0,Defensive rebound by K. Anderson,,27-22,,
9:36.0,Turnover by P. Mills (lost ball),,27-22,,
9:22.0,,,27-22,,A. Bargnani misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by K. Anderson,,27-22,,
9:16.0,K. Anderson makes 2-pt shot from 1 ft,2,29-22,,
8:58.0,,,29-24,2,B. Lopez makes 2-pt shot from 14 ft
8:57.0,San Antonio full timeout,,29-24,,
8:41.0,P. Mills misses 3-pt shot from 26 ft,,29-24,,
8:40.0,,,29-24,,Defensive rebound by M. Brown
8:19.0,,,29-26,2,B. Lopez makes 2-pt shot from 1 ft
8:08.0,,,29-26,,Violation by M. Brown (kicked ball)
8:08.0,T. Parker enters the game for P. Mills,,29-26,,
8:08.0,D. Green enters the game for M. Ginobili,,29-26,,
8:08.0,T. Duncan enters the game for B. Diaw,,29-26,,
7:57.0,Turnover by D. West (bad pass),,29-26,,
7:47.0,,,29-26,,B. Lopez misses 2-pt shot from 3 ft (block by T. Duncan)
7:46.0,,,29-26,,Offensive rebound by B. Lopez
7:46.0,,,29-26,,W. Ellington enters the game for M. Brown
7:44.0,Jump ball: T. Duncan vs. B. Lopez (S. Larkin gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (S. Larkin gains possession)
7:31.0,,,29-26,,B. Lopez misses 2-pt shot from 10 ft (block by T. Duncan)
7:30.0,,,29-26,,Offensive rebound by Team
7:30.0,,,29-26,,Turnover by Team (shot clock)
7:16.0,D. West makes 2-pt shot from 2 ft (assist by K. Anderson),2,31-26,,
6:58.0,,,31-26,,Offensive foul by B. Lopez
6:58.0,,,31-26,,Turnover by B. Lopez (offensive foul)
6:58.0,K. Leonard enters the game for K. Anderson,,31-26,,
6:58.0,,,31-26,,J. Johnson enters the game for B. Bogdanovic
6:48.0,K. Leonard misses 2-pt shot from 17 ft,,31-26,,
6:47.0,Offensive rebound by K. Leonard,,31-26,,
6:41.0,K. Leonard makes 2-pt shot at rim,2,33-26,,
6:18.0,,,33-26,,B. Lopez misses 2-pt shot from 12 ft
6:17.0,Defensive rebound by K. Leonard,,33-26,,
6:13.0,Offensive foul by K. Leonard,,33-26,,
6:13.0,Turnover by K. Leonard (offensive foul),,33-26,,
6:03.0,,,33-26,,Shooting foul by T. Duncan (drawn by B. Lopez)
6:03.0,,,33-27,1,B. Lopez makes free throw 1 of 2
6:03.0,L. Aldridge enters the game for D. West,,33-27,,
6:03.0,,,33-27,,D. Sloan enters the game for S. Larkin
6:03.0,,,33-28,1,B. Lopez makes free throw 2 of 2
5:53.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,35-28,,
5:38.0,,,35-28,,A. Bargnani misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by L. Aldridge,,35-28,,
5:21.0,T. Duncan misses 2-pt shot from 9 ft,,35-28,,
5:20.0,Offensive rebound by Team,,35-28,,
5:20.0,,,35-28,,Loose ball foul by A. Bargnani (drawn by L. Aldridge)
5:20.0,Official timeout,,35-28,,
5:20.0,,,35-28,,T. Young enters the game for A. Bargnani
5:12.0,,,35-28,,Personal foul by T. Young (drawn by L. Aldridge)
4:57.0,T. Parker misses 2-pt shot from 5 ft,,35-28,,
4:56.0,,,35-28,,Defensive rebound by B. Lopez
4:42.0,,,35-28,,D. Sloan misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by K. Leonard,,35-28,,
4:35.0,,,35-28,,Violation by W. Ellington (kicked ball)
4:29.0,T. Parker makes 2-pt shot from 5 ft,2,37-28,,
4:16.0,,,37-28,,W. Ellington misses 2-pt shot from 20 ft
4:15.0,Defensive rebound by K. Leonard,,37-28,,
4:02.0,L. Aldridge makes 2-pt shot from 11 ft,2,39-28,,
4:00.0,,,39-28,,Brooklyn full timeout
3:50.0,,,39-28,,Shooting foul by L. Aldridge (drawn by T. Young)
3:50.0,,,39-29,1,T. Young makes free throw 1 of 2
3:50.0,M. Ginobili enters the game for D. Green,,39-29,,
3:50.0,,,39-29,,T. Young misses free throw 2 of 2
3:49.0,Defensive rebound by T. Duncan,,39-29,,
3:36.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Duncan),2,41-29,,
3:22.0,,,41-31,2,T. Young makes 2-pt shot from 18 ft
3:00.0,L. Aldridge makes 2-pt shot from 5 ft (assist by M. Ginobili),2,43-31,,
2:51.0,,,43-31,,T. Young misses 2-pt shot from 19 ft
2:50.0,Defensive rebound by K. Leonard,,43-31,,
2:29.0,T. Parker misses 2-pt shot from 10 ft,,43-31,,
2:28.0,,,43-31,,Defensive rebound by B. Lopez
2:22.0,,,43-34,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Sloan)
1:59.0,Turnover by T. Duncan (bad pass; steal by W. Ellington),,43-34,,
1:55.0,,,43-36,2,W. Ellington makes 2-pt shot at rim
1:42.0,T. Parker makes 2-pt shot from 17 ft,2,45-36,,
1:25.0,,,45-36,,Turnover by D. Sloan (bad pass; steal by M. Ginobili)
1:19.0,T. Parker misses 2-pt shot from 1 ft,,45-36,,
1:18.0,,,45-36,,Defensive rebound by J. Johnson
1:05.0,,,45-36,,Turnover by W. Ellington (bad pass)
1:05.0,,,45-36,,T. Robinson enters the game for T. Young
1:05.0,,,45-36,,S. Larkin enters the game for D. Sloan
0:53.0,K. Leonard misses 3-pt shot from 24 ft,,45-36,,
0:51.0,Offensive rebound by K. Leonard,,45-36,,
0:43.0,Jump ball: K. Leonard vs. T. Robinson,,,,Jump ball: K. Leonard vs. T. Robinson
0:25.0,Turnover by M. Ginobili (bad pass; steal by T. Robinson),,45-36,,
0:19.0,,,45-38,2,J. Johnson makes 2-pt shot from 5 ft (assist by B. Lopez)
0:05.0,,,45-38,,Personal foul by S. Larkin (drawn by T. Parker)
0:05.0,,,45-38,,W. Reed enters the game for B. Lopez
0:05.0,P. Mills enters the game for T. Parker,,45-38,,
0:01.0,T. Duncan misses 2-pt shot from 16 ft,,45-38,,
0:00.0,,,45-38,,Defensive rebound by J. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by D. Green (lost ball; steal by W. Ellington),,45-38,,
11:44.0,Personal foul by D. Green (drawn by W. Ellington),,45-38,,
11:24.0,,,45-38,,W. Ellington misses 3-pt shot from 27 ft
11:23.0,Defensive rebound by T. Duncan,,45-38,,
11:13.0,L. Aldridge misses 2-pt shot from 7 ft,,45-38,,
11:12.0,,,45-38,,Defensive rebound by T. Young
11:06.0,,,45-40,2,T. Young makes 2-pt shot from 1 ft
10:53.0,T. Parker misses 2-pt shot from 15 ft,,45-40,,
10:52.0,Offensive rebound by T. Duncan,,45-40,,
10:51.0,T. Duncan makes 2-pt shot from 2 ft,2,47-40,,
10:35.0,,,47-40,,B. Lopez misses 2-pt shot from 12 ft
10:34.0,Defensive rebound by L. Aldridge,,47-40,,
10:27.0,Turnover by T. Parker (bad pass),,47-40,,
10:14.0,,,47-42,2,D. Sloan makes 2-pt shot from 2 ft
9:56.0,T. Duncan makes 2-pt shot from 1 ft (assist by L. Aldridge),2,49-42,,
9:32.0,,,49-45,3,J. Johnson makes 3-pt shot from 23 ft (assist by B. Lopez)
9:18.0,,,49-45,,Def 3 sec tech foul by B. Lopez
9:18.0,K. Leonard makes technical free throw,1,50-45,,
9:10.0,,,50-45,,Personal foul by J. Johnson (drawn by K. Leonard)
8:55.0,D. Green misses 3-pt shot from 26 ft,,50-45,,
8:53.0,,,50-45,,Defensive rebound by J. Johnson
8:46.0,,,50-45,,Turnover by W. Ellington (lost ball; steal by T. Parker)
8:39.0,L. Aldridge misses 2-pt shot from 1 ft,,50-45,,
8:38.0,Offensive rebound by L. Aldridge,,50-45,,
8:37.0,L. Aldridge makes 2-pt shot from 2 ft,2,52-45,,
8:15.0,,,52-45,,T. Young misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by Team,,52-45,,
