time,Cleveland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Mozgov (C. Capela gains possession),,,,Jump ball: D. Howard vs. T. Mozgov (C. Capela gains possession)
11:34.0,,,0-0,,J. Harden misses 3-pt shot from 25 ft
11:34.0,,,0-0,,Offensive rebound by P. Beverley
11:33.0,,,0-2,2,P. Beverley makes 2-pt shot from 2 ft
11:23.0,Turnover by L. James (lost ball),,0-2,,
11:07.0,,,0-4,2,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden)
10:41.0,L. James makes 2-pt shot from 1 ft (assist by T. Mozgov),2,2-4,,
10:26.0,,,2-6,2,D. Howard makes 2-pt shot from 6 ft
10:01.0,J. Smith makes 2-pt shot from 8 ft,2,4-6,,
9:52.0,,,4-6,,Shooting foul by K. Irving (drawn by J. Harden)
9:52.0,,,4-7,1,J. Harden makes free throw 1 of 2
9:52.0,,,4-8,1,J. Harden makes free throw 2 of 2
9:41.0,Turnover by K. Love (bad pass; steal by D. Howard),,4-8,,
9:31.0,,,4-11,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
9:26.0,Cleveland full timeout,,4-11,,
9:10.0,Turnover by L. James (bad pass; steal by J. Harden),,4-11,,
9:05.0,,,4-13,2,J. Harden makes 2-pt shot from 1 ft
8:38.0,L. James misses 3-pt shot from 24 ft,,4-13,,
8:37.0,,,4-13,,Defensive rebound by T. Ariza
8:24.0,,,4-13,,P. Beverley misses 2-pt shot from 18 ft
8:24.0,Defensive rebound by Team,,4-13,,
8:16.0,,,4-13,,Personal foul by C. Capela (drawn by K. Love)
8:07.0,L. James makes 3-pt shot from 25 ft (assist by K. Love),3,7-13,,
7:54.0,,,7-13,,D. Howard misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by T. Mozgov,,7-13,,
7:37.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,10-13,,
7:19.0,Personal foul by K. Love (drawn by C. Capela),,10-13,,
7:19.0,,,10-13,,T. Jones enters the game for C. Capela
7:13.0,,,10-13,,T. Ariza misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by K. Love,,10-13,,
7:08.0,T. Mozgov misses 2-pt shot from 1 ft,,10-13,,
7:07.0,,,10-13,,Defensive rebound by P. Beverley
6:59.0,,,10-15,2,P. Beverley makes 2-pt shot from 9 ft
6:43.0,K. Love misses 2-pt shot from 15 ft,,10-15,,
6:42.0,,,10-15,,Defensive rebound by D. Howard
6:36.0,,,10-15,,J. Harden misses 3-pt shot from 25 ft
6:35.0,,,10-15,,Offensive rebound by T. Jones
6:33.0,,,10-15,,Houston full timeout
6:23.0,,,10-15,,Turnover by J. Harden (bad pass; steal by K. Love)
6:18.0,L. James misses 2-pt shot at rim,,10-15,,
6:17.0,Jump ball: D. Howard vs. T. Mozgov,,,,Jump ball: D. Howard vs. T. Mozgov
6:17.0,,,10-15,,Defensive rebound by Team
6:17.0,Violation by Team (jump ball),,10-15,,
6:17.0,M. Dellavedova enters the game for K. Irving,,10-15,,
6:09.0,Def 3 sec tech foul by T. Mozgov,,10-15,,
6:09.0,,,10-16,1,J. Harden makes technical free throw
6:02.0,Personal foul by M. Dellavedova (drawn by P. Beverley),,10-16,,
5:50.0,,,10-16,,T. Ariza misses 2-pt shot from 3 ft
5:50.0,Defensive rebound by Team,,10-16,,
5:28.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,13-16,,
5:09.0,,,13-16,,J. Harden misses 2-pt shot from 3 ft
5:08.0,Defensive rebound by K. Love,,13-16,,
4:53.0,J. Smith misses 3-pt shot from 25 ft,,13-16,,
4:51.0,Offensive rebound by J. Smith,,13-16,,
4:48.0,Turnover by J. Smith (bad pass; steal by P. Beverley),,13-16,,
4:36.0,,,13-16,,P. Beverley misses 2-pt shot from 10 ft
4:36.0,,,13-16,,Offensive rebound by D. Howard
4:36.0,,,13-16,,D. Howard misses 2-pt shot from 1 ft (block by L. James)
4:35.0,Defensive rebound by J. Smith,,13-16,,
4:26.0,Turnover by K. Love (bad pass; steal by J. Harden),,13-16,,
4:19.0,,,13-18,2,D. Howard makes 2-pt shot from 6 ft
4:09.0,K. Love misses 3-pt shot from 24 ft,,13-18,,
4:08.0,,,13-18,,Defensive rebound by T. Ariza
4:01.0,,,13-18,,P. Beverley misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by M. Dellavedova,,13-18,,
3:39.0,J. Smith makes 2-pt shot from 2 ft,2,15-18,,
3:29.0,,,15-18,,Houston full timeout
3:29.0,I. Shumpert enters the game for T. Mozgov,,15-18,,
3:29.0,T. Thompson enters the game for J. Smith,,15-18,,
3:29.0,,,15-18,,C. Capela enters the game for D. Howard
3:29.0,,,15-18,,T. Lawson enters the game for P. Beverley
3:15.0,,,15-18,,T. Jones misses 2-pt shot from 7 ft
3:14.0,,,15-18,,Offensive rebound by T. Jones
2:59.0,,,15-18,,Shooting foul by I. Shumpert (drawn by J. Harden)
2:59.0,,,15-19,1,J. Harden makes free throw 1 of 2
2:59.0,,,15-20,1,J. Harden makes free throw 2 of 2
2:41.0,K. Love misses 2-pt shot from 5 ft (block by T. Jones),,15-20,,
2:40.0,,,15-20,,Defensive rebound by C. Capela
2:30.0,,,15-20,,J. Harden misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by K. Love,,15-20,,
2:21.0,L. James misses 2-pt shot from 2 ft (block by C. Capela),,15-20,,
2:20.0,,,15-20,,Defensive rebound by T. Jones
2:09.0,,,15-20,,C. Capela misses 2-pt shot from 1 ft
2:08.0,Defensive rebound by K. Love,,15-20,,
1:57.0,I. Shumpert misses 2-pt shot from 17 ft,,15-20,,
1:56.0,,,15-20,,Defensive rebound by C. Capela
1:46.0,,,15-20,,C. Capela misses 2-pt shot from 4 ft (block by T. Thompson)
1:45.0,Defensive rebound by K. Love,,15-20,,
1:44.0,,,15-20,,Personal foul by T. Lawson (drawn by L. James)
1:44.0,,,15-20,,M. Thornton enters the game for J. Harden
1:44.0,A. Varejao enters the game for L. James,,15-20,,
1:44.0,R. Jefferson enters the game for K. Love,,15-20,,
1:44.0,,,15-20,,C. Brewer enters the game for T. Ariza
1:31.0,A. Varejao misses 2-pt shot from 7 ft,,15-20,,
1:31.0,,,15-20,,Defensive rebound by Team
1:31.0,Loose ball foul by T. Thompson (drawn by C. Capela),,15-20,,
1:31.0,,,15-20,,C. Capela misses free throw 1 of 2
1:31.0,,,15-20,,Offensive rebound by Team
1:31.0,,,15-20,,C. Capela misses free throw 2 of 2
1:31.0,Defensive rebound by I. Shumpert,,15-20,,
1:21.0,Shooting foul by T. Jones (drawn by A. Varejao),,15-20,,
1:21.0,A. Varejao makes free throw 1 of 2,1,16-20,,
1:21.0,K. Irving enters the game for M. Dellavedova,,16-20,,
1:21.0,A. Varejao makes free throw 2 of 2,1,17-20,,
1:06.0,,,17-20,,M. Thornton misses 2-pt shot from 11 ft (block by K. Irving)
1:06.0,Defensive rebound by Team,,17-20,,
0:46.0,R. Jefferson makes 3-pt shot from 25 ft (assist by A. Varejao),3,20-20,,
0:30.0,,,20-20,,T. Jones misses 3-pt shot from 25 ft
0:29.0,,,20-20,,Offensive rebound by Team
0:29.0,Loose ball foul by A. Varejao (drawn by C. Capela),,20-20,,
0:29.0,,,20-21,1,C. Capela makes free throw 1 of 2
0:29.0,,,20-21,,T. Ariza enters the game for T. Lawson
0:29.0,,,20-21,,C. Capela misses free throw 2 of 2
0:29.0,Defensive rebound by R. Jefferson,,20-21,,
0:28.0,,,20-21,,Personal foul by C. Brewer (drawn by R. Jefferson)
0:28.0,R. Jefferson misses free throw 1 of 2,,20-21,,
0:28.0,Offensive rebound by Team,,20-21,,
0:28.0,,,20-21,,T. Lawson enters the game for C. Capela
0:28.0,,,20-21,,J. Harden enters the game for C. Brewer
0:28.0,M. Dellavedova enters the game for A. Varejao,,20-21,,
0:28.0,R. Jefferson makes free throw 2 of 2,1,21-21,,
0:06.0,,,21-21,,Turnover by J. Harden (bad pass; steal by I. Shumpert)
0:00.0,M. Dellavedova makes 2-pt shot from 9 ft (assist by I. Shumpert),2,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Irving makes 2-pt shot from 20 ft,2,25-21,,
11:27.0,,,25-23,2,M. Thornton makes 2-pt shot from 1 ft (assist by T. Jones)
11:11.0,I. Shumpert makes 2-pt shot from 20 ft (assist by T. Thompson),2,27-23,,
11:01.0,Personal foul by I. Shumpert (drawn by M. Thornton),,27-23,,
10:49.0,,,27-23,,C. Brewer misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by A. Varejao,,27-23,,
10:37.0,A. Varejao makes 2-pt shot from 13 ft (assist by K. Irving),2,29-23,,
10:23.0,,,29-23,,Offensive foul by D. Howard
10:23.0,,,29-23,,Turnover by D. Howard (offensive foul)
10:07.0,I. Shumpert misses 3-pt shot from 24 ft,,29-23,,
10:06.0,Offensive rebound by A. Varejao,,29-23,,
10:05.0,A. Varejao misses 2-pt shot from 2 ft,,29-23,,
10:04.0,,,29-23,,Defensive rebound by Team
9:51.0,,,29-23,,M. Thornton misses 2-pt shot from 9 ft
9:48.0,,,29-23,,Offensive rebound by C. Brewer
9:43.0,,,29-23,,M. Thornton misses 3-pt shot from 22 ft
9:43.0,,,29-23,,Offensive rebound by Team
9:27.0,,,29-23,,Turnover by D. Howard (lost ball; steal by A. Varejao)
9:22.0,K. Irving makes 2-pt shot from 1 ft (assist by A. Varejao),2,31-23,,
9:21.0,,,31-23,,Houston full timeout
9:21.0,,,31-23,,C. Capela enters the game for T. Lawson
9:21.0,,,31-23,,P. Beverley enters the game for C. Brewer
9:21.0,,,31-23,,J. Harden enters the game for T. Jones
9:03.0,Shooting block foul by A. Varejao (drawn by D. Howard),,31-23,,
9:03.0,,,31-23,,D. Howard misses free throw 1 of 2
9:03.0,,,31-23,,Offensive rebound by Team
9:03.0,,,31-23,,T. Ariza enters the game for M. Thornton
9:03.0,L. James enters the game for R. Jefferson,,31-23,,
9:03.0,,,31-24,1,D. Howard makes free throw 2 of 2
8:41.0,A. Varejao misses 2-pt shot from 18 ft,,31-24,,
8:41.0,,,31-24,,Defensive rebound by D. Howard
8:31.0,,,31-24,,J. Harden misses 2-pt shot from 9 ft (block by I. Shumpert)
8:31.0,,,31-24,,Offensive rebound by Team
8:31.0,K. Love enters the game for A. Varejao,,31-24,,
8:18.0,,,31-24,,D. Howard misses 2-pt shot from 6 ft
8:17.0,Defensive rebound by K. Irving,,31-24,,
8:10.0,K. Irving misses 3-pt shot from 26 ft,,31-24,,
8:09.0,,,31-24,,Defensive rebound by D. Howard
8:04.0,,,31-26,2,D. Howard makes 2-pt shot at rim (assist by P. Beverley)
7:45.0,K. Love misses 3-pt shot from 23 ft,,31-26,,
7:45.0,,,31-26,,Defensive rebound by T. Ariza
7:34.0,,,31-26,,Turnover by J. Harden (lost ball; steal by I. Shumpert)
7:18.0,K. Love misses 2-pt shot from 17 ft,,31-26,,
7:18.0,Offensive rebound by T. Thompson,,31-26,,
7:12.0,K. Irving makes 3-pt shot from 24 ft (assist by I. Shumpert),3,34-26,,
6:49.0,,,34-28,2,C. Capela makes 2-pt shot from 4 ft (assist by P. Beverley)
6:35.0,K. Irving makes 2-pt shot from 8 ft,2,36-28,,
6:24.0,,,36-28,,Turnover by P. Beverley (bad pass)
6:08.0,Turnover by K. Irving (bad pass; steal by T. Ariza),,36-28,,
6:02.0,,,36-30,2,T. Ariza makes 2-pt shot from 1 ft
5:46.0,K. Love misses 3-pt shot from 23 ft,,36-30,,
5:46.0,,,36-30,,Defensive rebound by J. Harden
5:39.0,,,36-30,,J. Harden misses 3-pt shot from 25 ft
5:38.0,,,36-30,,Offensive rebound by D. Howard
5:36.0,,,36-30,,Shooting foul by T. Thompson (drawn by D. Howard)
5:36.0,Official timeout,,36-30,,
5:36.0,M. Dellavedova enters the game for K. Irving,,36-30,,
5:36.0,T. Mozgov enters the game for I. Shumpert,,36-30,,
5:36.0,J. Smith enters the game for T. Thompson,,36-30,,
5:36.0,,,36-30,,T. Jones enters the game for C. Capela
5:36.0,,,36-30,,J. Terry enters the game for P. Beverley
5:36.0,,,36-30,,D. Howard misses free throw 1 of 2
5:36.0,,,36-30,,Offensive rebound by Team
5:36.0,,,36-31,1,D. Howard makes free throw 2 of 2
5:14.0,M. Dellavedova misses 2-pt shot from 10 ft,,36-31,,
5:13.0,,,36-31,,Defensive rebound by D. Howard
5:01.0,,,36-31,,T. Jones misses 2-pt shot from 12 ft
5:01.0,Defensive rebound by L. James,,36-31,,
4:50.0,J. Smith misses 3-pt shot from 23 ft,,36-31,,
4:49.0,Offensive rebound by L. James,,36-31,,
4:49.0,Shooting foul by T. Ariza (drawn by L. James),,36-31,,
4:49.0,L. James makes free throw 1 of 2,1,37-31,,
4:49.0,L. James makes free throw 2 of 2,1,38-31,,
4:35.0,,,38-31,,Turnover by J. Terry (bad pass; steal by M. Dellavedova)
4:25.0,L. James misses 2-pt shot from 13 ft,,38-31,,
4:24.0,Offensive rebound by L. James,,38-31,,
4:23.0,L. James misses 2-pt shot from 2 ft,,38-31,,
4:23.0,,,38-31,,Defensive rebound by Team
4:23.0,Personal foul by T. Mozgov (drawn by T. Jones),,38-31,,
4:06.0,,,38-31,,Turnover by J. Harden (lost ball; steal by M. Dellavedova)
4:06.0,Jump ball: T. Ariza vs. M. Dellavedova (K. Love gains possession),,,,Jump ball: T. Ariza vs. M. Dellavedova (K. Love gains possession)
3:58.0,Turnover by M. Dellavedova (bad pass; steal by J. Harden),,38-31,,
3:52.0,,,38-31,,Shooting foul by T. Mozgov (drawn by D. Howard)
3:52.0,,,38-31,,D. Howard misses free throw 1 of 2
3:52.0,,,38-31,,Offensive rebound by Team
3:52.0,,,38-32,1,D. Howard makes free throw 2 of 2
3:37.0,Turnover by L. James (bad pass),,38-32,,
