time,Golden State,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. P. Gasol (D. Rose gains possession),,,,Jump ball: A. Bogut vs. P. Gasol (D. Rose gains possession)
11:48.0,,,0-2,2,D. Rose makes 2-pt shot at rim (assist by T. Gibson)
11:27.0,D. Green misses 3-pt shot from 23 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by P. Gasol
11:09.0,,,0-2,,T. Snell misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by A. Bogut,,0-2,,
10:54.0,S. Curry misses 3-pt shot from 25 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by T. Snell
10:39.0,,,0-4,2,D. Rose makes 2-pt shot from 17 ft
10:29.0,K. Thompson misses 3-pt shot from 23 ft,,0-4,,
10:28.0,Offensive rebound by A. Bogut,,0-4,,
10:12.0,H. Barnes misses 2-pt shot from 15 ft,,0-4,,
10:11.0,Offensive rebound by A. Bogut,,0-4,,
10:05.0,H. Barnes misses 3-pt shot from 22 ft,,0-4,,
10:04.0,,,0-4,,Defensive rebound by T. Snell
9:50.0,,,0-4,,Turnover by P. Gasol (lost ball; steal by A. Bogut)
9:44.0,H. Barnes makes 2-pt shot from 7 ft,2,2-4,,
9:16.0,,,2-4,,T. Snell misses 3-pt shot from 23 ft
9:15.0,Defensive rebound by A. Bogut,,2-4,,
9:09.0,K. Thompson misses 3-pt shot from 25 ft,,2-4,,
9:08.0,,,2-4,,Defensive rebound by P. Gasol
8:57.0,,,2-6,2,T. Gibson makes 2-pt shot from 16 ft (assist by T. Snell)
8:42.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Bogut),3,5-6,,
8:30.0,,,5-8,2,D. Rose makes 2-pt shot from 12 ft
8:22.0,H. Barnes makes 2-pt shot from 22 ft (assist by S. Curry),2,7-8,,
8:07.0,,,7-8,,P. Gasol misses 2-pt shot from 9 ft
8:06.0,Defensive rebound by A. Bogut,,7-8,,
7:57.0,S. Curry misses 3-pt shot from 24 ft,,7-8,,
7:56.0,,,7-8,,Defensive rebound by P. Gasol
7:49.0,,,7-10,2,D. Rose makes 2-pt shot from 19 ft
7:38.0,H. Barnes makes 2-pt shot from 18 ft (assist by S. Curry),2,9-10,,
7:24.0,,,9-10,,T. Gibson misses 2-pt shot from 16 ft
7:23.0,Defensive rebound by D. Green,,9-10,,
7:19.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,11-10,,
7:00.0,,,11-10,,D. Rose misses 2-pt shot from 11 ft
6:58.0,Defensive rebound by D. Green,,11-10,,
6:45.0,S. Curry misses 2-pt shot from 1 ft,,11-10,,
6:44.0,,,11-10,,Defensive rebound by P. Gasol
6:37.0,,,11-12,2,D. Rose makes 2-pt shot from 14 ft (assist by J. Butler)
6:24.0,K. Thompson misses 2-pt shot from 22 ft,,11-12,,
6:22.0,Offensive rebound by A. Bogut,,11-12,,
6:12.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,13-12,,
6:12.0,Shooting foul by D. Rose (drawn by S. Curry),,13-12,,
6:12.0,,,13-12,,E. Moore enters the game for D. Rose
6:12.0,S. Curry makes free throw 1 of 1,1,14-12,,
5:59.0,,,14-14,2,J. Butler makes 2-pt shot from 20 ft (assist by E. Moore)
5:49.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,16-14,,
5:29.0,,,16-14,,Turnover by J. Butler (lost ball; steal by S. Curry)
5:24.0,S. Curry makes 2-pt shot from 18 ft,2,18-14,,
5:23.0,,,18-14,,Chicago full timeout
5:23.0,,,18-14,,D. McDermott enters the game for T. Snell
5:23.0,A. Iguodala enters the game for H. Barnes,,18-14,,
5:12.0,,,18-14,,Turnover by P. Gasol (bad pass)
4:59.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,20-14,,
4:40.0,,,20-14,,J. Butler misses 2-pt shot from 18 ft (block by K. Thompson)
4:38.0,,,20-14,,Offensive rebound by J. Butler
4:35.0,,,20-14,,P. Gasol misses 2-pt shot from 2 ft
4:33.0,,,20-14,,Offensive rebound by T. Gibson
4:32.0,,,20-14,,T. Gibson misses 2-pt shot from 1 ft (block by A. Bogut)
4:31.0,Defensive rebound by S. Curry,,20-14,,
4:23.0,Turnover by S. Curry (lost ball; steal by E. Moore),,20-14,,
4:12.0,,,20-16,2,E. Moore makes 2-pt shot from 7 ft
3:56.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,23-16,,
3:41.0,,,23-16,,E. Moore misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by D. Green,,23-16,,
3:36.0,Shooting foul by T. Gibson (drawn by D. Green),,23-16,,
3:36.0,D. Green misses free throw 1 of 2,,23-16,,
3:36.0,Offensive rebound by Team,,23-16,,
3:36.0,L. Barbosa enters the game for K. Thompson,,23-16,,
3:36.0,,,23-16,,N. Mirotic enters the game for T. Gibson
3:36.0,D. Green misses free throw 2 of 2,,23-16,,
3:33.0,,,23-16,,Defensive rebound by E. Moore
3:18.0,,,23-16,,E. Moore misses 3-pt shot from 24 ft
3:17.0,,,23-16,,Offensive rebound by D. McDermott
3:08.0,,,23-16,,N. Mirotic misses 3-pt shot from 22 ft
3:07.0,Defensive rebound by A. Bogut,,23-16,,
2:46.0,L. Barbosa makes 2-pt shot from 2 ft (assist by A. Iguodala),2,25-16,,
2:36.0,,,25-16,,Shooting foul by A. Bogut (drawn by P. Gasol)
2:36.0,Golden State full timeout,,25-16,,
2:36.0,F. Ezeli enters the game for A. Bogut,,25-16,,
2:36.0,,,25-16,,P. Gasol misses free throw 1 of 2
2:36.0,,,25-16,,Offensive rebound by Team
2:36.0,,,25-17,1,P. Gasol makes free throw 2 of 2
2:23.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,27-17,,
2:05.0,,,27-17,,P. Gasol misses 2-pt shot from 15 ft
2:04.0,Defensive rebound by S. Curry,,27-17,,
1:47.0,Turnover by F. Ezeli (3 sec),,27-17,,
1:28.0,,,27-17,,J. Butler misses 2-pt shot from 18 ft
1:27.0,Defensive rebound by D. Green,,27-17,,
1:22.0,S. Curry makes 2-pt shot from 22 ft (assist by D. Green),2,29-17,,
1:02.0,Personal foul by A. Iguodala (drawn by P. Gasol),,29-17,,
0:58.0,,,29-17,,N. Mirotic misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by F. Ezeli,,29-17,,
0:44.0,S. Curry misses 3-pt shot from 25 ft,,29-17,,
0:43.0,,,29-17,,Defensive rebound by P. Gasol
0:40.0,,,29-17,,Turnover by J. Butler (bad pass; steal by S. Curry)
0:39.0,,,29-17,,Personal foul by E. Moore (drawn by S. Curry)
0:39.0,,,29-17,,B. Portis enters the game for P. Gasol
0:39.0,H. Barnes enters the game for D. Green,,29-17,,
0:36.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Curry),2,31-17,,
0:18.0,,,31-17,,Shooting foul by S. Curry (drawn by E. Moore)
0:18.0,,,31-18,1,E. Moore makes free throw 1 of 2
0:18.0,,,31-18,,E. Moore misses free throw 2 of 2
0:18.0,Defensive rebound by F. Ezeli,,31-18,,
0:01.0,A. Iguodala makes 3-pt shot from 25 ft,3,34-18,,
0:01.0,Shooting foul by E. Moore (drawn by A. Iguodala),,34-18,,
0:01.0,A. Iguodala misses free throw 1 of 1,,34-18,,
0:00.0,,,34-18,,Defensive rebound by E. Moore
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by A. Iguodala (bad pass; steal by N. Mirotic),,34-18,,
11:42.0,,,34-18,,D. McDermott misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by F. Ezeli,,34-18,,
11:32.0,H. Barnes makes 3-pt shot from 24 ft (assist by L. Barbosa),3,37-18,,
11:16.0,,,37-20,2,B. Portis makes 2-pt shot from 1 ft (assist by D. Rose)
11:09.0,,,37-20,,Personal foul by A. Brooks (drawn by L. Barbosa)
11:05.0,L. Barbosa makes 2-pt shot from 21 ft (assist by S. Livingston),2,39-20,,
10:52.0,,,39-20,,D. McDermott misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by A. Iguodala,,39-20,,
10:42.0,F. Ezeli misses 2-pt shot from 6 ft,,39-20,,
10:41.0,,,39-20,,Defensive rebound by B. Portis
10:33.0,,,39-20,,B. Portis misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by A. Iguodala,,39-20,,
10:17.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston),2,41-20,,
10:04.0,,,41-22,2,D. Rose makes 2-pt shot from 11 ft
9:53.0,S. Livingston misses 2-pt shot from 10 ft,,41-22,,
9:51.0,,,41-22,,Defensive rebound by N. Mirotic
9:41.0,,,41-24,2,D. Rose makes 2-pt shot from 5 ft
9:34.0,Golden State full timeout,,41-24,,
9:34.0,M. Speights enters the game for L. Barbosa,,41-24,,
9:34.0,K. Thompson enters the game for F. Ezeli,,41-24,,
9:26.0,M. Speights misses 2-pt shot from 3 ft (block by B. Portis),,41-24,,
9:26.0,Offensive rebound by Team,,41-24,,
9:24.0,H. Barnes makes 2-pt shot from 2 ft (assist by S. Livingston),2,43-24,,
9:08.0,,,43-24,,D. Rose misses 2-pt shot from 17 ft
9:07.0,Defensive rebound by K. Thompson,,43-24,,
8:52.0,A. Iguodala misses 3-pt shot from 24 ft,,43-24,,
8:51.0,,,43-24,,Defensive rebound by A. Brooks
8:46.0,,,43-26,2,D. Rose makes 2-pt shot from 1 ft
8:37.0,K. Thompson misses 2-pt shot from 15 ft,,43-26,,
8:36.0,,,43-26,,Defensive rebound by N. Mirotic
8:25.0,,,43-26,,N. Mirotic misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by K. Thompson,,43-26,,
8:17.0,S. Livingston makes 2-pt shot from 7 ft (assist by K. Thompson),2,45-26,,
7:59.0,,,45-26,,B. Portis misses 2-pt shot from 6 ft
7:58.0,,,45-26,,Offensive rebound by B. Portis
7:58.0,,,45-28,2,B. Portis makes 2-pt shot from 6 ft
7:39.0,S. Livingston makes 2-pt shot from 7 ft,2,47-28,,
7:27.0,Personal foul by M. Speights (drawn by B. Portis),,47-28,,
7:27.0,,,47-28,,J. Butler enters the game for D. Rose
7:27.0,D. Green enters the game for A. Iguodala,,47-28,,
7:22.0,,,47-30,2,D. McDermott makes 2-pt shot at rim (assist by N. Mirotic)
7:07.0,M. Speights misses 2-pt shot from 17 ft,,47-30,,
7:05.0,,,47-30,,Defensive rebound by N. Mirotic
6:55.0,,,47-32,2,B. Portis makes 2-pt shot from 20 ft (assist by N. Mirotic)
6:41.0,,,47-32,,Personal foul by A. Brooks (drawn by S. Livingston)
6:41.0,,,47-32,,T. Gibson enters the game for N. Mirotic
6:41.0,B. Rush enters the game for M. Speights,,47-32,,
6:32.0,H. Barnes misses 2-pt shot from 16 ft,,47-32,,
6:31.0,,,47-32,,Defensive rebound by B. Portis
6:25.0,,,47-35,3,A. Brooks makes 3-pt shot from 25 ft
6:17.0,Turnover by S. Livingston (bad pass),,47-35,,
6:07.0,Personal foul by D. Green (drawn by A. Brooks),,47-35,,
6:07.0,S. Curry enters the game for H. Barnes,,47-35,,
6:01.0,Personal foul by D. Green (drawn by A. Brooks),,47-35,,
6:01.0,,,47-35,,Technical foul by A. Brooks
6:01.0,Technical foul by S. Livingston,,47-35,,
5:55.0,,,47-35,,J. Butler misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by D. Green,,47-35,,
5:40.0,S. Livingston makes 2-pt shot from 8 ft,2,49-35,,
5:24.0,,,49-35,,B. Portis misses 2-pt shot from 5 ft (block by K. Thompson)
5:22.0,,,49-35,,Offensive rebound by B. Portis
5:22.0,,,49-35,,Chicago full timeout
5:22.0,,,49-35,,D. Rose enters the game for D. McDermott
5:22.0,A. Bogut enters the game for B. Rush,,49-35,,
5:14.0,,,49-35,,J. Butler misses 2-pt shot from 15 ft
5:13.0,,,49-35,,Offensive rebound by Team
