time,Atlanta,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Horford (P. Millsap gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Horford (P. Millsap gains possession)
11:39.0,A. Horford makes 2-pt shot from 6 ft (assist by K. Korver),2,2-0,,
11:25.0,,,2-2,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
11:06.0,J. Teague makes 2-pt shot from 14 ft,2,4-2,,
11:00.0,,,4-2,,Turnover by R. Rondo (bad pass; steal by P. Millsap)
10:51.0,A. Horford misses 3-pt shot from 25 ft,,4-2,,
10:50.0,,,4-2,,Defensive rebound by D. Cousins
10:36.0,,,4-2,,R. Rondo misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by P. Millsap,,4-2,,
10:24.0,Turnover by J. Teague (bad pass; steal by O. Casspi),,4-2,,
10:19.0,,,4-4,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo)
9:54.0,K. Korver misses 3-pt shot from 23 ft,,4-4,,
9:53.0,,,4-4,,Defensive rebound by W. Cauley-Stein
9:49.0,,,4-4,,Turnover by R. Rondo (lost ball)
9:32.0,P. Millsap misses 2-pt shot from 5 ft,,4-4,,
9:31.0,,,4-4,,Defensive rebound by D. Cousins
9:11.0,,,4-7,3,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins)
9:01.0,Turnover by K. Korver (bad pass; steal by O. Casspi),,4-7,,
8:53.0,,,4-7,,O. Casspi misses 3-pt shot from 24 ft
8:52.0,,,4-7,,Offensive rebound by Team
8:45.0,,,4-7,,B. McLemore misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by A. Horford,,4-7,,
8:34.0,K. Korver misses 3-pt shot from 24 ft,,4-7,,
8:34.0,,,4-7,,Defensive rebound by R. Rondo
8:29.0,,,4-7,,R. Rondo misses 2-pt shot from 3 ft (block by P. Millsap)
8:29.0,,,4-7,,Offensive rebound by Team
8:15.0,,,4-7,,Turnover by B. McLemore (bad pass; steal by J. Teague)
8:10.0,J. Teague misses 2-pt shot from 1 ft,,4-7,,
8:09.0,,,4-7,,Defensive rebound by D. Cousins
8:02.0,,,4-9,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by B. McLemore)
7:48.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,7-9,,
7:26.0,,,7-11,2,B. McLemore makes 2-pt shot from 20 ft (assist by O. Casspi)
7:26.0,,,7-11,,Shooting foul by K. Korver (drawn by B. McLemore)
7:26.0,,,7-11,,B. McLemore misses free throw 1 of 1
7:25.0,,,7-11,,Offensive rebound by D. Cousins
7:22.0,,,7-11,,D. Cousins misses 2-pt shot from 4 ft (block by P. Millsap)
7:21.0,,,7-11,,Offensive rebound by W. Cauley-Stein
7:05.0,,,7-11,,Shooting foul by P. Millsap (drawn by O. Casspi)
7:05.0,,,7-11,,O. Casspi misses free throw 1 of 2
7:05.0,,,7-11,,Offensive rebound by Team
7:05.0,T. Splitter enters the game for K. Bazemore,,7-11,,
7:05.0,T. Sefolosha enters the game for A. Horford,,7-11,,
7:05.0,,,7-12,1,O. Casspi makes free throw 2 of 2
6:56.0,J. Teague misses 2-pt shot from 11 ft,,7-12,,
6:55.0,,,7-12,,Defensive rebound by D. Cousins
6:50.0,,,7-12,,B. McLemore misses 2-pt shot from 2 ft
