time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. Z. Pachulia (N. Collison gains possession),,,,Jump ball: S. Ibaka vs. Z. Pachulia (N. Collison gains possession)
11:45.0,K. Durant misses 2-pt shot from 19 ft,,0-0,,
11:45.0,Offensive rebound by N. Collison,,0-0,,
11:36.0,R. Westbrook makes 2-pt shot from 1 ft,2,2-0,,
11:13.0,,,2-2,2,Z. Pachulia makes 2-pt shot at rim (assist by C. Parsons)
10:49.0,R. Westbrook misses 2-pt shot from 7 ft,,2-2,,
10:48.0,,,2-2,,Defensive rebound by Z. Pachulia
10:39.0,,,2-2,,Turnover by D. Williams (bad pass; steal by R. Westbrook)
10:34.0,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,4-2,,
10:16.0,,,4-4,2,D. Nowitzki makes 2-pt shot from 14 ft
9:52.0,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook),2,6-4,,
9:37.0,,,6-7,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams)
9:23.0,Turnover by S. Ibaka (lost ball; steal by D. Williams),,6-7,,
9:15.0,,,6-7,,D. Nowitzki misses 3-pt shot from 28 ft
9:13.0,Defensive rebound by Team,,6-7,,
9:03.0,R. Westbrook makes 2-pt shot from 3 ft,2,8-7,,
9:03.0,Violation by Team (delay of game),,8-7,,
8:54.0,Personal foul by N. Collison (drawn by Z. Pachulia),,8-7,,
8:51.0,Personal foul by S. Ibaka (drawn by D. Nowitzki),,8-7,,
8:44.0,,,8-10,3,D. Williams makes 3-pt shot from 25 ft (assist by Z. Pachulia)
8:29.0,K. Durant misses 2-pt shot from 6 ft,,8-10,,
8:27.0,Offensive rebound by N. Collison,,8-10,,
8:17.0,R. Westbrook misses 3-pt shot from 25 ft,,8-10,,
8:13.0,,,8-10,,Defensive rebound by D. Williams
8:08.0,,,8-12,2,D. Williams makes 2-pt shot from 18 ft
7:46.0,R. Westbrook misses 2-pt shot from 1 ft (block by W. Matthews),,8-12,,
7:44.0,,,8-12,,Defensive rebound by Z. Pachulia
7:36.0,,,8-12,,Shooting foul by N. Collison (drawn by W. Matthews)
7:36.0,,,8-13,1,W. Matthews makes free throw 1 of 2
7:36.0,E. Kanter enters the game for N. Collison,,8-13,,
7:36.0,,,8-14,1,W. Matthews makes free throw 2 of 2
7:16.0,R. Westbrook misses 3-pt shot from 24 ft,,8-14,,
7:15.0,,,8-14,,Defensive rebound by Team
6:56.0,,,8-16,2,W. Matthews makes 2-pt shot from 4 ft
6:50.0,Oklahoma City full timeout,,8-16,,
6:43.0,E. Kanter misses 2-pt shot from 6 ft,,8-16,,
6:42.0,,,8-16,,Defensive rebound by Z. Pachulia
6:28.0,,,8-16,,C. Parsons misses 2-pt shot from 19 ft
6:27.0,Defensive rebound by K. Durant,,8-16,,
6:20.0,Turnover by K. Durant (bad pass; steal by W. Matthews),,8-16,,
6:16.0,,,8-16,,Turnover by C. Parsons (bad pass)
6:07.0,,,8-16,,D. Powell enters the game for D. Nowitzki
6:07.0,,,8-16,,D. Harris enters the game for C. Parsons
6:02.0,K. Durant makes 2-pt shot from 16 ft,2,10-16,,
5:40.0,,,10-18,2,D. Williams makes 2-pt shot from 4 ft
5:21.0,K. Durant makes 2-pt shot from 5 ft,2,12-18,,
5:00.0,,,12-20,2,D. Williams makes 2-pt shot from 21 ft (assist by D. Harris)
4:44.0,R. Westbrook misses 2-pt shot from 6 ft,,12-20,,
4:43.0,,,12-20,,Defensive rebound by D. Powell
4:26.0,,,12-23,3,D. Harris makes 3-pt shot from 25 ft (assist by Z. Pachulia)
4:10.0,E. Kanter makes 2-pt shot from 3 ft (assist by K. Durant),2,14-23,,
3:49.0,,,14-23,,D. Williams misses 3-pt shot from 25 ft
3:48.0,,,14-23,,Offensive rebound by D. Powell
3:44.0,,,14-23,,Dallas full timeout
3:44.0,D. Waiters enters the game for A. Roberson,,14-23,,
3:33.0,,,14-23,,Turnover by D. Williams (lost ball; steal by R. Westbrook)
3:24.0,K. Durant misses 3-pt shot from 24 ft,,14-23,,
3:23.0,Offensive rebound by R. Westbrook,,14-23,,
3:15.0,Turnover by R. Westbrook (bad pass),,14-23,,
2:59.0,,,14-23,,W. Matthews misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by Team,,14-23,,
2:45.0,E. Kanter makes 2-pt shot from 13 ft (assist by K. Durant),2,16-23,,
2:33.0,,,16-25,2,D. Harris makes 2-pt shot from 2 ft
2:14.0,E. Kanter misses 2-pt shot from 4 ft (block by D. Harris),,16-25,,
2:13.0,,,16-25,,Defensive rebound by D. Harris
2:06.0,,,16-25,,W. Matthews misses 3-pt shot from 22 ft
2:05.0,Defensive rebound by E. Kanter,,16-25,,
1:53.0,D. Waiters makes 3-pt shot from 24 ft (assist by K. Durant),3,19-25,,
1:34.0,,,19-25,,Z. Pachulia misses 2-pt shot from 17 ft
1:33.0,Defensive rebound by D. Waiters,,19-25,,
1:24.0,R. Westbrook makes 2-pt shot from 3 ft,2,21-25,,
1:23.0,,,21-25,,Dallas full timeout
1:23.0,,,21-25,,J. Barea enters the game for Z. Pachulia
1:23.0,,,21-25,,D. Nowitzki enters the game for W. Matthews
1:23.0,,,21-25,,C. Parsons enters the game for D. Williams
1:23.0,C. Payne enters the game for R. Westbrook,,21-25,,
1:02.0,,,21-25,,D. Nowitzki misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by E. Kanter,,21-25,,
1:02.0,,,21-25,,Loose ball foul by D. Powell (drawn by E. Kanter)
0:48.0,S. Ibaka makes 2-pt shot at rim (assist by K. Durant),2,23-25,,
0:36.0,,,23-25,,J. Barea misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by D. Waiters,,23-25,,
0:32.0,D. Waiters makes 2-pt shot from 2 ft,2,25-25,,
0:16.0,,,25-25,,Turnover by D. Harris (bad pass; steal by K. Durant)
0:14.0,,,25-25,,Personal take foul by C. Parsons (drawn by K. Durant)
0:14.0,K. Durant makes free throw 1 of 2,1,26-25,,
0:14.0,K. Durant makes free throw 2 of 2,1,27-25,,
0:08.0,Personal foul by C. Payne,,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-25,,C. Parsons misses 2-pt shot from 5 ft
11:45.0,Defensive rebound by K. Singler,,27-25,,
11:26.0,D. Waiters misses 2-pt shot from 12 ft,,27-25,,
11:24.0,Offensive rebound by E. Kanter,,27-25,,
11:24.0,E. Kanter makes 2-pt shot from 1 ft,2,29-25,,
11:05.0,,,29-25,,D. Nowitzki misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by Team,,29-25,,
10:50.0,C. Payne misses 3-pt shot from 24 ft,,29-25,,
10:49.0,Offensive rebound by E. Kanter,,29-25,,
10:42.0,D. Waiters makes 2-pt shot from 15 ft,2,31-25,,
10:41.0,,,31-25,,Dallas full timeout
10:41.0,,,31-25,,R. Felton enters the game for D. Harris
10:27.0,,,31-25,,D. Nowitzki misses 2-pt shot from 11 ft
10:24.0,,,31-25,,Offensive rebound by J. McGee
10:24.0,,,31-25,,J. McGee misses 2-pt shot from 1 ft
10:23.0,,,31-25,,Offensive rebound by J. McGee
10:23.0,,,31-27,2,J. McGee makes 2-pt shot from 1 ft
10:12.0,C. Payne misses 2-pt shot from 2 ft (block by D. Nowitzki),,31-27,,
10:11.0,Offensive rebound by N. Collison,,31-27,,
10:11.0,Shooting foul by J. McGee (drawn by N. Collison),,31-27,,
10:11.0,N. Collison misses free throw 1 of 2,,31-27,,
10:11.0,Offensive rebound by Team,,31-27,,
10:11.0,N. Collison makes free throw 2 of 2,1,32-27,,
9:59.0,Personal foul by C. Payne (drawn by R. Felton),,32-27,,
9:52.0,,,32-29,2,J. Barea makes 2-pt shot from 18 ft
9:33.0,C. Payne misses 3-pt shot from 23 ft,,32-29,,
9:32.0,Offensive rebound by N. Collison,,32-29,,
9:32.0,,,32-29,,Loose ball foul by R. Felton (drawn by N. Collison)
9:19.0,K. Singler misses 2-pt shot from 20 ft,,32-29,,
9:18.0,Offensive rebound by E. Kanter,,32-29,,
9:16.0,E. Kanter makes 2-pt shot from 2 ft,2,34-29,,
9:06.0,,,34-31,2,J. McGee makes 2-pt shot at rim (assist by J. Barea)
8:54.0,C. Payne makes 2-pt shot from 17 ft,2,36-31,,
8:38.0,,,36-31,,R. Felton misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by N. Collison,,36-31,,
8:25.0,C. Payne misses 2-pt shot from 2 ft,,36-31,,
8:23.0,Offensive rebound by N. Collison,,36-31,,
8:10.0,D. Waiters misses 3-pt shot from 25 ft,,36-31,,
8:07.0,,,36-31,,Defensive rebound by D. Nowitzki
7:58.0,,,36-34,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
7:49.0,Oklahoma City full timeout,,36-34,,
7:49.0,R. Westbrook enters the game for C. Payne,,36-34,,
7:36.0,Shooting foul by J. McGee (drawn by E. Kanter),,36-34,,
7:36.0,E. Kanter makes free throw 1 of 2,1,37-34,,
7:36.0,E. Kanter makes free throw 2 of 2,1,38-34,,
7:24.0,,,38-34,,J. Barea misses 2-pt shot from 2 ft (block by R. Westbrook)
7:23.0,,,38-34,,Offensive rebound by Team
7:15.0,,,38-36,2,C. Parsons makes 2-pt shot from 6 ft
7:01.0,R. Westbrook makes 2-pt shot from 2 ft,2,40-36,,
6:47.0,,,40-38,2,J. McGee makes 2-pt shot at rim (assist by R. Felton)
6:30.0,E. Kanter misses 2-pt shot from 18 ft,,40-38,,
6:29.0,,,40-38,,Defensive rebound by J. McGee
6:22.0,,,40-38,,D. Nowitzki misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by Team,,40-38,,
6:21.0,S. Ibaka enters the game for N. Collison,,40-38,,
6:21.0,K. Durant enters the game for E. Kanter,,40-38,,
6:05.0,K. Singler makes 2-pt shot from 23 ft (assist by K. Durant),2,42-38,,
5:46.0,,,42-40,2,D. Nowitzki makes 2-pt shot from 11 ft
5:30.0,D. Waiters misses 3-pt shot from 22 ft,,42-40,,
5:30.0,,,42-40,,Defensive rebound by R. Felton
5:19.0,,,42-43,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by C. Parsons)
5:03.0,R. Westbrook makes 2-pt shot from 7 ft,2,44-43,,
4:44.0,,,44-43,,Turnover by R. Felton (lost ball)
4:44.0,,,44-43,,D. Williams enters the game for D. Nowitzki
4:44.0,,,44-43,,Z. Pachulia enters the game for J. Barea
4:44.0,,,44-43,,W. Matthews enters the game for J. McGee
4:32.0,R. Westbrook misses 2-pt shot from 2 ft,,44-43,,
4:31.0,Offensive rebound by S. Ibaka,,44-43,,
4:28.0,Shooting foul by D. Williams (drawn by D. Waiters),,44-43,,
4:28.0,D. Waiters misses free throw 1 of 2,,44-43,,
4:28.0,Offensive rebound by Team,,44-43,,
4:28.0,D. Waiters misses free throw 2 of 2,,44-43,,
