time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Hawes vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: S. Hawes vs. R. Lopez (K. Porzingis gains possession)
11:46.0,Turnover by C. Anthony (step out of bounds),,0-0,,
11:35.0,,,0-0,,K. Walker misses 2-pt shot from 2 ft (block by K. Porzingis)
11:35.0,,,0-0,,Offensive rebound by Team
11:31.0,,,0-0,,M. Williams misses 2-pt shot from 11 ft
11:29.0,Defensive rebound by A. Afflalo,,0-0,,
11:21.0,K. Porzingis misses 3-pt shot from 25 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by S. Hawes
11:11.0,,,0-0,,K. Walker misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by R. Lopez,,0-0,,
11:02.0,R. Lopez misses 2-pt shot from 18 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by S. Hawes
10:44.0,,,0-0,,S. Hawes misses 2-pt shot from 2 ft
10:43.0,Defensive rebound by R. Lopez,,0-0,,
10:24.0,A. Afflalo misses 2-pt shot from 14 ft,,0-0,,
10:23.0,,,0-0,,Defensive rebound by P. Hairston
10:14.0,,,0-2,2,K. Walker makes 2-pt shot from 18 ft
9:58.0,Shooting foul by J. Lin (drawn by A. Afflalo),,0-2,,
9:58.0,A. Afflalo makes free throw 1 of 2,1,1-2,,
9:58.0,A. Afflalo makes free throw 2 of 2,1,2-2,,
9:46.0,,,2-2,,P. Hairston misses 3-pt shot from 25 ft
9:45.0,,,2-2,,Offensive rebound by K. Walker
9:39.0,,,2-2,,J. Lin misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by K. Porzingis,,2-2,,
9:33.0,Turnover by C. Anthony (bad pass; steal by P. Hairston),,2-2,,
9:27.0,,,2-2,,P. Hairston misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by R. Lopez,,2-2,,
9:09.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon),3,5-2,,
8:43.0,,,5-2,,K. Walker misses 2-pt shot from 1 ft (block by R. Lopez)
8:41.0,,,5-2,,Offensive rebound by K. Walker
8:41.0,,,5-2,,K. Walker misses 2-pt shot at rim (block by A. Afflalo)
8:38.0,,,5-2,,Offensive rebound by S. Hawes
8:38.0,,,5-2,,S. Hawes misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by K. Porzingis,,5-2,,
8:27.0,,,5-2,,Personal foul by P. Hairston (drawn by R. Lopez)
8:27.0,R. Lopez misses free throw 1 of 2,,5-2,,
8:27.0,Offensive rebound by Team,,5-2,,
8:27.0,R. Lopez makes free throw 2 of 2,1,6-2,,
8:16.0,,,6-4,2,P. Hairston makes 2-pt shot from 16 ft (assist by S. Hawes)
8:03.0,R. Lopez makes 2-pt shot from 5 ft (assist by C. Anthony),2,8-4,,
7:52.0,,,8-4,,M. Williams misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by R. Lopez,,8-4,,
7:41.0,C. Anthony misses 3-pt shot from 24 ft,,8-4,,
7:40.0,,,8-4,,Defensive rebound by J. Lin
7:30.0,,,8-4,,M. Williams misses 2-pt shot from 2 ft (block by R. Lopez)
7:27.0,Defensive rebound by C. Anthony,,8-4,,
7:20.0,J. Calderon makes 2-pt shot from 12 ft,2,10-4,,
7:08.0,,,10-4,,S. Hawes misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by C. Anthony,,10-4,,
6:55.0,Turnover by R. Lopez (traveling),,10-4,,
6:41.0,,,10-4,,K. Walker misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by A. Afflalo,,10-4,,
6:23.0,C. Anthony misses 2-pt shot from 9 ft,,10-4,,
6:22.0,,,10-4,,Defensive rebound by M. Williams
6:12.0,,,10-4,,K. Walker misses 2-pt shot from 1 ft
6:11.0,,,10-4,,Offensive rebound by S. Hawes
6:11.0,,,10-4,,S. Hawes misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by R. Lopez,,10-4,,
5:59.0,,,10-4,,Personal foul by M. Williams (drawn by K. Porzingis)
5:59.0,,,10-4,,Charlotte full timeout
5:59.0,,,10-4,,F. Kaminsky enters the game for M. Williams
5:44.0,R. Lopez makes 2-pt shot from 5 ft (assist by C. Anthony),2,12-4,,
5:31.0,,,12-6,2,J. Lin makes 2-pt shot from 20 ft (assist by S. Hawes)
5:20.0,R. Lopez makes 2-pt shot from 6 ft (assist by J. Calderon),2,14-6,,
4:52.0,,,14-8,2,J. Lin makes 2-pt shot from 2 ft (assist by F. Kaminsky)
4:52.0,,,14-8,,Shooting foul by K. Porzingis (drawn by J. Lin)
4:52.0,D. Williams enters the game for K. Porzingis,,14-8,,
4:52.0,,,14-9,1,J. Lin makes free throw 1 of 1
4:36.0,Shooting foul by P. Hairston (drawn by C. Anthony),,14-9,,
4:36.0,C. Anthony makes free throw 1 of 2,1,15-9,,
4:36.0,C. Anthony misses free throw 2 of 2,,15-9,,
4:35.0,,,15-9,,Defensive rebound by J. Lin
4:24.0,,,15-9,,J. Lin misses 2-pt shot from 6 ft
4:23.0,Defensive rebound by A. Afflalo,,15-9,,
4:13.0,D. Williams misses 2-pt shot from 17 ft,,15-9,,
4:12.0,,,15-9,,Defensive rebound by P. Hairston
3:58.0,,,15-11,2,P. Hairston makes 2-pt shot from 15 ft (assist by S. Hawes)
3:43.0,C. Anthony makes 2-pt shot from 19 ft (assist by J. Calderon),2,17-11,,
3:20.0,,,17-14,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lin)
2:59.0,A. Afflalo misses 2-pt shot from 12 ft,,17-14,,
2:58.0,,,17-14,,Defensive rebound by P. Hairston
2:49.0,,,17-16,2,J. Lin makes 2-pt shot from 6 ft (assist by K. Walker)
2:39.0,New York full timeout,,17-16,,
2:39.0,L. Galloway enters the game for R. Lopez,,17-16,,
2:39.0,K. Seraphin enters the game for A. Afflalo,,17-16,,
2:39.0,,,17-16,,M. Williams enters the game for P. Hairston
2:39.0,,,17-16,,T. Hansbrough enters the game for S. Hawes
2:39.0,,,17-16,,T. Daniels enters the game for J. Lin
2:25.0,C. Anthony makes 2-pt shot from 17 ft (assist by J. Calderon),2,19-16,,
2:05.0,,,19-16,,Shooting foul by D. Williams (drawn by F. Kaminsky)
2:05.0,,,19-17,1,F. Kaminsky makes free throw 1 of 2
2:05.0,J. Grant enters the game for J. Calderon,,19-17,,
2:05.0,,,19-18,1,F. Kaminsky makes free throw 2 of 2
1:50.0,Shooting foul by T. Daniels (drawn by L. Galloway),,19-18,,
1:50.0,L. Galloway makes free throw 1 of 2,1,20-18,,
1:50.0,L. Galloway makes free throw 2 of 2,1,21-18,,
1:33.0,,,21-18,,Turnover by F. Kaminsky (traveling)
1:12.0,J. Grant misses 2-pt shot from 10 ft,,21-18,,
1:11.0,,,21-18,,Defensive rebound by M. Williams
1:06.0,,,21-18,,K. Walker misses 2-pt shot at rim (block by K. Seraphin)
1:06.0,Defensive rebound by Team,,21-18,,
1:06.0,,,21-18,,Loose ball foul by T. Hansbrough (drawn by L. Galloway)
1:06.0,L. Galloway misses free throw 1 of 2,,21-18,,
1:06.0,Offensive rebound by Team,,21-18,,
1:06.0,L. Amundson enters the game for C. Anthony,,21-18,,
1:06.0,L. Galloway makes free throw 2 of 2,1,22-18,,
0:49.0,,,22-20,2,K. Walker makes 2-pt shot from 13 ft
0:30.0,J. Grant misses 3-pt shot from 25 ft,,22-20,,
0:29.0,,,22-20,,Defensive rebound by F. Kaminsky
0:01.0,,,22-20,,F. Kaminsky misses 2-pt shot from 20 ft
0:01.0,Defensive rebound by D. Williams,,22-20,,
0:00.0,D. Williams misses 3-pt shot from 45 ft,,22-20,,
0:00.0,Offensive rebound by Team,,22-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,22-20,,F. Kaminsky misses 2-pt shot at rim (block by K. Seraphin)
11:39.0,Defensive rebound by L. Galloway,,22-20,,
11:37.0,,,22-20,,Violation by T. Hansbrough (kicked ball)
11:25.0,Turnover by L. Amundson (traveling),,22-20,,
11:13.0,,,22-20,,J. Lin misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by D. Williams,,22-20,,
11:08.0,Shooting foul by T. Daniels (drawn by D. Williams),,22-20,,
11:08.0,D. Williams misses free throw 1 of 2,,22-20,,
11:08.0,Offensive rebound by Team,,22-20,,
11:08.0,K. Porzingis enters the game for K. Seraphin,,22-20,,
11:08.0,D. Williams misses free throw 2 of 2,,22-20,,
11:07.0,,,22-20,,Defensive rebound by T. Hansbrough
10:55.0,,,22-20,,Shooting foul by L. Galloway (drawn by T. Hansbrough)
10:55.0,,,22-21,1,T. Hansbrough makes free throw 1 of 2
10:55.0,,,22-21,,T. Hansbrough misses free throw 2 of 2
10:53.0,Defensive rebound by D. Williams,,22-21,,
10:42.0,D. Williams makes 2-pt shot from 1 ft (assist by L. Amundson),2,24-21,,
10:27.0,,,24-21,,J. Lin misses 2-pt shot from 2 ft (block by K. Porzingis)
10:26.0,Defensive rebound by L. Amundson,,24-21,,
10:24.0,L. Galloway makes 2-pt shot at rim (assist by D. Williams),2,26-21,,
10:24.0,,,26-21,,Charlotte full timeout
10:24.0,A. Afflalo enters the game for J. Grant,,26-21,,
10:12.0,,,26-23,2,T. Daniels makes 2-pt shot from 16 ft (assist by B. Roberts)
9:57.0,K. Porzingis makes 2-pt shot from 17 ft (assist by L. Galloway),2,28-23,,
9:42.0,,,28-23,,T. Daniels misses 3-pt shot from 26 ft
9:40.0,,,28-23,,Offensive rebound by J. Lin
9:27.0,,,28-25,2,F. Kaminsky makes 2-pt shot from 2 ft
9:27.0,,,28-25,,Shooting foul by L. Amundson (drawn by F. Kaminsky)
9:27.0,,,28-25,,F. Kaminsky misses free throw 1 of 1
9:25.0,Defensive rebound by D. Williams,,28-25,,
9:13.0,K. Porzingis misses 2-pt shot from 21 ft,,28-25,,
9:11.0,,,28-25,,Defensive rebound by B. Roberts
9:03.0,,,28-25,,J. Lin misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by L. Galloway,,28-25,,
8:56.0,Shooting foul by T. Daniels (drawn by D. Williams),,28-25,,
8:56.0,D. Williams makes free throw 1 of 2,1,29-25,,
8:56.0,,,29-25,,P. Hairston enters the game for T. Daniels
8:56.0,D. Williams misses free throw 2 of 2,,29-25,,
8:53.0,,,29-25,,Defensive rebound by J. Lin
8:43.0,,,29-27,2,B. Roberts makes 2-pt shot from 19 ft
8:33.0,Shooting foul by F. Kaminsky (drawn by K. Porzingis),,29-27,,
8:33.0,K. Porzingis makes free throw 1 of 2,1,30-27,,
8:33.0,J. Grant enters the game for D. Williams,,30-27,,
8:33.0,C. Anthony enters the game for L. Galloway,,30-27,,
8:33.0,K. Porzingis makes free throw 2 of 2,1,31-27,,
8:11.0,,,31-30,3,P. Hairston makes 3-pt shot from 25 ft (assist by J. Lin)
7:53.0,Shooting foul by F. Kaminsky (drawn by K. Porzingis),,31-30,,
7:53.0,K. Porzingis misses free throw 1 of 2,,31-30,,
7:53.0,Offensive rebound by Team,,31-30,,
7:53.0,K. Porzingis makes free throw 2 of 2,1,32-30,,
7:45.0,,,32-30,,Charlotte full timeout
7:37.0,,,32-30,,Shooting foul by L. Amundson (drawn by B. Roberts)
7:37.0,,,32-31,1,B. Roberts makes free throw 1 of 2
7:37.0,R. Lopez enters the game for L. Amundson,,32-31,,
7:37.0,J. Calderon enters the game for J. Grant,,32-31,,
7:37.0,,,32-32,1,B. Roberts makes free throw 2 of 2
7:17.0,,,32-32,,Def 3 sec tech foul by T. Hansbrough
7:17.0,C. Anthony misses technical free throw,,32-32,,
7:17.0,Offensive rebound by Team,,32-32,,
7:17.0,,,32-32,,S. Hawes enters the game for T. Hansbrough
7:06.0,A. Afflalo misses 2-pt shot from 16 ft,,32-32,,
7:05.0,,,32-32,,Defensive rebound by S. Hawes
6:50.0,,,32-32,,P. Hairston misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by R. Lopez,,32-32,,
6:35.0,Turnover by C. Anthony (lost ball; steal by P. Hairston),,32-32,,
6:25.0,,,32-32,,S. Hawes misses 2-pt shot from 1 ft (block by K. Porzingis)
6:25.0,,,32-32,,Offensive rebound by Team
6:23.0,,,32-32,,Shooting foul by K. Porzingis (drawn by F. Kaminsky)
6:23.0,,,32-33,1,F. Kaminsky makes free throw 1 of 2
6:23.0,,,32-33,,F. Kaminsky misses free throw 2 of 2
6:22.0,Defensive rebound by R. Lopez,,32-33,,
6:07.0,C. Anthony misses 2-pt shot from 14 ft,,32-33,,
6:06.0,,,32-33,,Defensive rebound by Team
6:06.0,,,32-33,,K. Walker enters the game for B. Roberts
6:06.0,,,32-33,,M. Williams enters the game for F. Kaminsky
5:55.0,,,32-33,,Turnover by K. Walker (traveling)
5:55.0,Official timeout,,32-33,,
5:41.0,C. Anthony misses 2-pt shot from 14 ft,,32-33,,
5:39.0,Offensive rebound by R. Lopez,,32-33,,
5:20.0,C. Anthony makes 2-pt shot from 1 ft,2,34-33,,
4:57.0,,,34-33,,K. Walker misses 3-pt shot from 25 ft
4:56.0,,,34-33,,Offensive rebound by M. Williams
4:56.0,,,34-35,2,M. Williams makes 2-pt shot from 7 ft
4:56.0,,,34-35,,Shooting foul by K. Porzingis (drawn by M. Williams)
4:56.0,D. Williams enters the game for K. Porzingis,,34-35,,
4:56.0,,,34-35,,M. Williams misses free throw 1 of 1
4:54.0,Defensive rebound by D. Williams,,34-35,,
4:46.0,J. Calderon makes 2-pt shot from 19 ft,2,36-35,,
4:23.0,,,36-35,,K. Walker misses 3-pt shot from 25 ft
4:23.0,,,36-35,,Offensive rebound by Team
4:18.0,,,36-37,2,J. Lin makes 2-pt shot at rim (assist by P. Hairston)
4:06.0,J. Calderon misses 2-pt shot from 18 ft,,36-37,,
4:02.0,Offensive rebound by A. Afflalo,,36-37,,
4:02.0,A. Afflalo misses 2-pt shot from 6 ft,,36-37,,
3:59.0,,,36-37,,Defensive rebound by S. Hawes
3:57.0,,,36-37,,Shooting foul by A. Afflalo (drawn by J. Lin)
3:57.0,,,36-38,1,J. Lin makes free throw 1 of 2
3:57.0,,,36-39,1,J. Lin makes free throw 2 of 2
3:45.0,Turnover by A. Afflalo (traveling),,36-39,,
3:32.0,,,36-41,2,S. Hawes makes 2-pt shot from 16 ft (assist by J. Lin)
3:11.0,R. Lopez makes 2-pt shot from 6 ft (assist by D. Williams),2,38-41,,
2:56.0,,,38-41,,S. Hawes misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by D. Williams,,38-41,,
2:39.0,Shooting foul by S. Hawes (drawn by R. Lopez),,38-41,,
2:39.0,New York full timeout,,38-41,,
2:39.0,L. Galloway enters the game for A. Afflalo,,38-41,,
2:39.0,,,38-41,,A. Harrison enters the game for P. Hairston
2:39.0,R. Lopez misses free throw 1 of 2,,38-41,,
2:39.0,Offensive rebound by Team,,38-41,,
2:39.0,R. Lopez makes free throw 2 of 2,1,39-41,,
2:26.0,New York full timeout,,39-41,,
2:21.0,,,39-41,,J. Lin misses 2-pt shot from 17 ft
2:20.0,Defensive rebound by C. Anthony,,39-41,,
2:18.0,Turnover by R. Lopez (offensive foul),,39-41,,
2:18.0,Offensive foul by R. Lopez,,39-41,,
2:18.0,Technical foul by Team,,39-41,,
2:18.0,,,39-42,1,J. Lin makes technical free throw
2:09.0,,,39-42,,Turnover by J. Lin (bad pass)
1:55.0,L. Galloway misses 2-pt shot from 17 ft,,39-42,,
1:54.0,Offensive rebound by D. Williams,,39-42,,
1:53.0,D. Williams misses 2-pt shot from 1 ft,,39-42,,
1:50.0,,,39-42,,Defensive rebound by S. Hawes
1:46.0,,,39-42,,K. Walker misses 2-pt shot at rim
1:43.0,Defensive rebound by L. Galloway,,39-42,,
1:42.0,Shooting foul by J. Lin (drawn by D. Williams),,39-42,,
1:42.0,D. Williams makes free throw 1 of 2,1,40-42,,
1:42.0,D. Williams makes free throw 2 of 2,1,41-42,,
1:25.0,,,41-42,,Turnover by J. Lin (bad pass)
1:07.0,Turnover by R. Lopez (traveling),,41-42,,
0:58.0,,,41-45,3,K. Walker makes 3-pt shot from 25 ft (assist by J. Lin)
0:35.0,R. Lopez misses 2-pt shot from 7 ft,,41-45,,
0:34.0,,,41-45,,Defensive rebound by M. Williams
0:28.0,,,41-45,,Turnover by K. Walker (bad pass)
0:28.0,,,41-45,,B. Roberts enters the game for J. Lin
0:07.0,J. Calderon misses 3-pt shot from 25 ft,,41-45,,
0:06.0,Offensive rebound by D. Williams,,41-45,,
0:02.0,C. Anthony makes 2-pt shot from 18 ft (assist by D. Williams),2,43-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,43-45,,M. Williams misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by J. Calderon,,43-45,,
11:22.0,C. Anthony misses 2-pt shot from 15 ft,,43-45,,
11:21.0,,,43-45,,Defensive rebound by S. Hawes
11:13.0,,,43-45,,K. Walker misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by K. Porzingis,,43-45,,
10:49.0,R. Lopez misses 2-pt shot from 10 ft,,43-45,,
10:49.0,Offensive rebound by Team,,43-45,,
10:49.0,Turnover by Team (shot clock),,43-45,,
10:28.0,,,43-45,,P. Hairston misses 2-pt shot from 7 ft
10:27.0,Defensive rebound by C. Anthony,,43-45,,
