time,Indiana,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. J. Hill (D. Cousins gains possession),,,,Jump ball: W. Cauley-Stein vs. J. Hill (D. Cousins gains possession)
11:43.0,,,0-3,3,B. McLemore makes 3-pt shot from 25 ft (assist by R. Rondo)
11:31.0,Offensive foul by L. Allen,,0-3,,
11:31.0,Turnover by L. Allen (offensive foul),,0-3,,
11:13.0,,,0-3,,D. Cousins misses 2-pt shot from 7 ft
11:12.0,Defensive rebound by P. George,,0-3,,
10:57.0,P. George misses 2-pt shot from 13 ft,,0-3,,
10:56.0,Offensive rebound by J. Hill,,0-3,,
10:53.0,J. Hill misses 2-pt shot from 6 ft,,0-3,,
10:52.0,,,0-3,,Defensive rebound by D. Cousins
10:49.0,,,0-3,,Turnover by B. McLemore (step out of bounds)
10:27.0,L. Allen misses 2-pt shot from 17 ft,,0-3,,
10:26.0,,,0-3,,Defensive rebound by R. Rondo
10:20.0,,,0-3,,Shooting foul by L. Allen (drawn by D. Cousins)
10:20.0,,,0-4,1,D. Cousins makes free throw 1 of 2
10:20.0,M. Turner enters the game for L. Allen,,0-4,,
10:20.0,,,0-5,1,D. Cousins makes free throw 2 of 2
9:56.0,J. Hill misses 2-pt shot from 19 ft (block by B. McLemore),,0-5,,
9:55.0,Offensive rebound by J. Hill,,0-5,,
9:55.0,Turnover by Team (shot clock),,0-5,,
9:46.0,,,0-5,,Turnover by D. Cousins (bad pass; steal by M. Turner)
9:42.0,G. Robinson misses 2-pt shot from 7 ft (block by W. Cauley-Stein),,0-5,,
9:40.0,,,0-5,,Defensive rebound by B. McLemore
9:36.0,,,0-7,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
9:35.0,Indiana full timeout,,0-7,,
9:15.0,M. Turner makes 2-pt shot from 7 ft (assist by M. Ellis),2,2-7,,
9:08.0,,,2-7,,Shooting foul by M. Turner (drawn by D. Cousins)
9:08.0,,,2-8,1,D. Cousins makes free throw 1 of 2
9:08.0,,,2-9,1,D. Cousins makes free throw 2 of 2
8:57.0,M. Ellis makes 2-pt shot from 21 ft,2,4-9,,
8:41.0,,,4-9,,O. Casspi misses 3-pt shot from 27 ft
8:40.0,,,4-9,,Offensive rebound by D. Cousins
8:40.0,,,4-9,,Turnover by D. Cousins (bad pass)
8:32.0,Turnover by P. George (bad pass; steal by W. Cauley-Stein),,4-9,,
8:25.0,,,4-9,,R. Rondo misses 2-pt shot from 4 ft (block by M. Turner)
8:24.0,Defensive rebound by G. Robinson,,4-9,,
8:22.0,Turnover by G. Robinson (bad pass; steal by D. Cousins),,4-9,,
8:18.0,,,4-11,2,D. Cousins makes 2-pt shot at rim (assist by O. Casspi)
7:52.0,M. Turner misses 2-pt shot from 20 ft,,4-11,,
7:52.0,,,4-11,,Defensive rebound by D. Cousins
7:42.0,,,4-13,2,O. Casspi makes 2-pt shot from 4 ft (assist by R. Rondo)
7:25.0,M. Ellis misses 2-pt shot from 21 ft,,4-13,,
7:24.0,,,4-13,,Defensive rebound by R. Rondo
7:17.0,,,4-13,,B. McLemore misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by G. Robinson,,4-13,,
7:07.0,Shooting foul by D. Cousins (drawn by P. George),,4-13,,
7:07.0,P. George makes free throw 1 of 2,1,5-13,,
7:07.0,G. Hill enters the game for G. Robinson,,5-13,,
7:07.0,P. George makes free throw 2 of 2,1,6-13,,
6:49.0,,,6-15,2,D. Cousins makes 2-pt shot from 4 ft
6:34.0,M. Turner misses 2-pt shot from 12 ft,,6-15,,
6:33.0,,,6-15,,Defensive rebound by D. Cousins
6:26.0,,,6-17,2,R. Rondo makes 2-pt shot from 3 ft
6:13.0,J. Hill misses 2-pt shot from 20 ft,,6-17,,
6:12.0,,,6-17,,Defensive rebound by R. Rondo
6:05.0,,,6-20,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
5:46.0,J. Hill makes 2-pt shot from 6 ft,2,8-20,,
5:30.0,,,8-22,2,D. Cousins makes 2-pt shot from 3 ft
5:26.0,,,8-22,,K. Koufos enters the game for D. Cousins
5:10.0,M. Ellis makes 3-pt shot from 23 ft (assist by G. Hill),3,11-22,,
4:47.0,,,11-22,,O. Casspi misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by M. Turner,,11-22,,
4:38.0,Turnover by J. Hill (bad pass; steal by B. McLemore),,11-22,,
4:33.0,,,11-22,,B. McLemore misses 2-pt shot from 4 ft
4:32.0,,,11-22,,Offensive rebound by R. Rondo
4:32.0,,,11-24,2,R. Rondo makes 2-pt shot from 2 ft
4:32.0,Indiana full timeout,,11-24,,
4:32.0,,,11-24,,M. Belinelli enters the game for B. McLemore
4:16.0,,,11-24,,Personal foul by R. Rondo (drawn by J. Hill)
4:02.0,J. Hill makes 2-pt shot from 6 ft,2,13-24,,
3:43.0,Violation by G. Hill (kicked ball),,13-24,,
3:36.0,,,13-24,,M. Belinelli misses 2-pt shot from 21 ft
3:35.0,Defensive rebound by Team,,13-24,,
3:23.0,M. Ellis makes 2-pt shot from 20 ft,2,15-24,,
3:03.0,,,15-24,,K. Koufos misses 2-pt shot from 7 ft
3:02.0,,,15-24,,Offensive rebound by O. Casspi
3:02.0,,,15-26,2,O. Casspi makes 2-pt shot from 1 ft
2:50.0,P. George makes 3-pt shot from 24 ft (assist by J. Hill),3,18-26,,
2:50.0,,,18-26,,Sacramento full timeout
2:50.0,,,18-26,,J. Anderson enters the game for O. Casspi
2:25.0,,,18-28,2,K. Koufos makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
1:58.0,M. Ellis makes 3-pt shot from 23 ft (assist by G. Hill),3,21-28,,
1:36.0,,,21-28,,Turnover by K. Koufos (bad pass; steal by G. Hill)
1:35.0,,,21-28,,Personal foul by K. Koufos (drawn by G. Hill)
1:35.0,J. Young enters the game for M. Ellis,,21-28,,
1:35.0,,,21-28,,D. Collison enters the game for W. Cauley-Stein
1:35.0,,,21-28,,D. Cousins enters the game for R. Rondo
1:20.0,P. George makes 2-pt shot from 9 ft,2,23-28,,
1:01.0,,,23-31,3,J. Anderson makes 3-pt shot from 25 ft (assist by K. Koufos)
0:46.0,M. Turner misses 2-pt shot from 19 ft,,23-31,,
0:45.0,Offensive rebound by J. Hill,,23-31,,
0:45.0,J. Hill makes 2-pt shot from 1 ft,2,25-31,,
0:33.0,,,25-31,,K. Koufos misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by M. Turner,,25-31,,
0:18.0,J. Hill misses 2-pt shot from 7 ft,,25-31,,
0:17.0,,,25-31,,Defensive rebound by D. Cousins
0:06.0,Personal foul by J. Young,,25-31,,
0:06.0,C. Miles enters the game for P. George,,25-31,,
0:00.0,,,25-31,,D. Cousins misses 2-pt shot from 19 ft
0:00.0,,,25-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Turner misses 2-pt shot from 22 ft,,25-31,,
11:46.0,,,25-31,,Defensive rebound by J. Anderson
