time,Detroit,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Gobert (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (R. Jackson gains possession)
11:45.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Morris),3,3-0,,
11:31.0,,,3-0,,T. Lyles misses 2-pt shot at rim
11:30.0,Defensive rebound by M. Morris,,3-0,,
11:24.0,M. Morris makes 2-pt shot from 9 ft,2,5-0,,
11:06.0,,,5-0,,G. Hayward misses 2-pt shot from 8 ft
11:06.0,Defensive rebound by A. Drummond,,5-0,,
11:00.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Jackson),2,7-0,,
10:37.0,,,7-0,,R. Hood misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by K. Caldwell-Pope,,7-0,,
10:28.0,R. Jackson misses 2-pt shot from 4 ft,,7-0,,
10:28.0,,,7-0,,Defensive rebound by T. Lyles
10:16.0,,,7-2,2,T. Lyles makes 2-pt shot from 14 ft
9:57.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,7-2,,
9:57.0,,,7-2,,Defensive rebound by R. Gobert
9:38.0,,,7-2,,R. Neto misses 3-pt shot from 23 ft
9:38.0,,,7-2,,Offensive rebound by R. Gobert
9:33.0,,,7-2,,R. Gobert misses 2-pt shot from 4 ft
9:32.0,Defensive rebound by A. Drummond,,7-2,,
9:17.0,Shooting foul by T. Lyles (drawn by A. Drummond),,7-2,,
9:17.0,A. Drummond misses free throw 1 of 2,,7-2,,
9:17.0,Offensive rebound by Team,,7-2,,
9:17.0,A. Drummond misses free throw 2 of 2,,7-2,,
9:16.0,,,7-2,,Defensive rebound by R. Gobert
8:59.0,,,7-4,2,R. Gobert makes 2-pt shot from 2 ft
8:44.0,Turnover by K. Caldwell-Pope (bad pass; steal by R. Gobert),,7-4,,
8:35.0,,,7-7,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Gobert)
8:12.0,Shooting foul by T. Lyles (drawn by E. Ilyasova),,7-7,,
8:12.0,E. Ilyasova makes free throw 1 of 2,1,8-7,,
8:12.0,,,8-7,,T. Booker enters the game for T. Lyles
8:12.0,E. Ilyasova makes free throw 2 of 2,1,9-7,,
7:58.0,,,9-7,,G. Hayward misses 2-pt shot from 1 ft
7:56.0,,,9-7,,Offensive rebound by T. Booker
7:56.0,,,9-7,,T. Booker misses 2-pt shot from 1 ft
7:55.0,,,9-7,,Offensive rebound by R. Gobert
7:45.0,,,9-7,,Turnover by R. Neto (bad pass; steal by A. Drummond)
7:28.0,Turnover by K. Caldwell-Pope (bad pass; steal by R. Hood),,9-7,,
7:21.0,,,9-7,,G. Hayward misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by A. Drummond,,9-7,,
7:09.0,R. Jackson misses 2-pt shot from 5 ft,,9-7,,
7:09.0,Offensive rebound by E. Ilyasova,,9-7,,
7:05.0,E. Ilyasova makes 2-pt shot from 2 ft,2,11-7,,
6:53.0,,,11-7,,Shooting foul by E. Ilyasova (drawn by R. Gobert)
6:53.0,,,11-8,1,R. Gobert makes free throw 1 of 2
6:53.0,,,11-8,,R. Gobert misses free throw 2 of 2
6:52.0,Defensive rebound by E. Ilyasova,,11-8,,
