time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (G. Dieng gains possession),,,,Jump ball: S. Adams vs. K. Towns (G. Dieng gains possession)
11:40.0,,,0-0,,K. Towns misses 2-pt shot at rim
11:39.0,Defensive rebound by K. Durant,,0-0,,
11:34.0,D. Waiters misses 2-pt shot at rim,,0-0,,
11:32.0,,,0-0,,Defensive rebound by R. Rubio
11:28.0,,,0-0,,A. Wiggins misses 2-pt shot from 1 ft
11:26.0,,,0-0,,Offensive rebound by G. Dieng
11:26.0,,,0-2,2,G. Dieng makes 2-pt shot at rim
11:14.0,R. Westbrook makes 2-pt shot from 2 ft,2,2-2,,
11:14.0,Shooting foul by R. Rubio (drawn by R. Westbrook),,2-2,,
11:14.0,R. Westbrook makes free throw 1 of 1,1,3-2,,
11:02.0,,,3-2,,K. Towns misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by S. Ibaka,,3-2,,
10:45.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio),,3-2,,
10:36.0,,,3-2,,Turnover by G. Dieng (traveling)
10:21.0,D. Waiters misses 3-pt shot from 23 ft,,3-2,,
10:20.0,,,3-2,,Defensive rebound by K. Towns
10:15.0,,,3-4,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
9:47.0,Turnover by R. Westbrook (lost ball),,3-4,,
9:43.0,,,3-4,,Shooting foul by K. Durant (drawn by G. Dieng)
9:43.0,,,3-5,1,G. Dieng makes free throw 1 of 2
9:43.0,,,3-5,,G. Dieng misses free throw 2 of 2
9:42.0,Defensive rebound by R. Westbrook,,3-5,,
9:18.0,D. Waiters makes 3-pt shot from 24 ft (assist by K. Durant),3,6-5,,
9:04.0,,,6-5,,K. Towns misses 2-pt shot from 17 ft
9:03.0,Defensive rebound by K. Durant,,6-5,,
8:54.0,K. Durant misses 2-pt shot from 16 ft,,6-5,,
8:53.0,,,6-5,,Defensive rebound by K. Towns
8:47.0,,,6-7,2,T. Prince makes 2-pt shot from 15 ft (assist by R. Rubio)
8:37.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,8-7,,
8:14.0,,,8-9,2,G. Dieng makes 2-pt shot from 4 ft (assist by T. Prince)
8:00.0,R. Westbrook misses 2-pt shot from 12 ft,,8-9,,
7:59.0,,,8-9,,Defensive rebound by K. Towns
7:46.0,,,8-11,2,K. Towns makes 2-pt shot from 5 ft (assist by T. Prince)
7:30.0,K. Durant makes 2-pt shot from 5 ft,2,10-11,,
7:15.0,,,10-11,,K. Towns misses 2-pt shot from 6 ft
7:14.0,Defensive rebound by S. Ibaka,,10-11,,
7:08.0,D. Waiters makes 2-pt shot from 1 ft (assist by K. Durant),2,12-11,,
7:01.0,,,12-11,,Minnesota full timeout
6:55.0,,,12-13,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
6:38.0,S. Adams misses 2-pt shot from 2 ft,,12-13,,
6:37.0,Offensive rebound by S. Adams,,12-13,,
6:37.0,S. Adams misses 2-pt shot from 2 ft,,12-13,,
6:37.0,Offensive rebound by S. Ibaka,,12-13,,
6:36.0,Shooting foul by G. Dieng (drawn by S. Ibaka),,12-13,,
6:36.0,S. Ibaka makes free throw 1 of 2,1,13-13,,
6:36.0,S. Ibaka makes free throw 2 of 2,1,14-13,,
6:17.0,,,14-15,2,G. Dieng makes 2-pt shot from 1 ft
