time,Chicago,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (D. Rose gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (D. Rose gains possession)
11:46.0,P. Gasol makes 2-pt shot from 16 ft (assist by J. Butler),2,2-0,,
11:24.0,,,2-0,,K. Bryant misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by D. Rose,,2-0,,
11:08.0,P. Gasol misses 2-pt shot from 5 ft,,2-0,,
11:08.0,Offensive rebound by Team,,2-0,,
11:03.0,J. Butler misses 3-pt shot from 22 ft,,2-0,,
11:01.0,Offensive rebound by T. Gibson,,2-0,,
10:38.0,P. Gasol makes 2-pt shot from 1 ft,2,4-0,,
10:23.0,,,4-2,2,R. Hibbert makes 2-pt shot from 11 ft
10:04.0,J. Butler makes 2-pt shot at rim,2,6-2,,
9:46.0,,,6-2,,J. Clarkson misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by P. Gasol,,6-2,,
9:42.0,,,6-2,,Personal foul by J. Randle (drawn by T. Gibson)
9:36.0,J. Butler misses 2-pt shot from 18 ft,,6-2,,
9:36.0,,,6-2,,Defensive rebound by Team
9:24.0,,,6-2,,J. Randle misses 2-pt shot from 17 ft
9:22.0,Defensive rebound by P. Gasol,,6-2,,
9:07.0,T. Gibson misses 2-pt shot from 1 ft,,6-2,,
9:03.0,Offensive rebound by E. Moore,,6-2,,
9:03.0,E. Moore makes 2-pt shot at rim,2,8-2,,
8:51.0,,,8-4,2,R. Hibbert makes 2-pt shot from 14 ft (assist by J. Clarkson)
8:42.0,D. Rose makes 2-pt shot from 11 ft,2,10-4,,
8:27.0,,,10-6,2,J. Clarkson makes 2-pt shot from 9 ft
8:13.0,Turnover by P. Gasol (bad pass; steal by K. Bryant),,10-6,,
8:07.0,,,10-8,2,A. Brown makes 2-pt shot at rim (assist by K. Bryant)
7:46.0,P. Gasol makes 2-pt shot from 14 ft (assist by J. Butler),2,12-8,,
7:26.0,,,12-8,,Turnover by R. Hibbert (lost ball; steal by P. Gasol)
7:17.0,E. Moore misses 3-pt shot from 23 ft,,12-8,,
7:16.0,,,12-8,,Defensive rebound by K. Bryant
6:53.0,,,12-8,,K. Bryant misses 2-pt shot from 11 ft
6:49.0,Defensive rebound by J. Butler,,12-8,,
6:43.0,D. Rose makes 2-pt shot from 1 ft (assist by J. Butler),2,14-8,,
6:28.0,Personal block foul by D. Rose (drawn by J. Clarkson),,14-8,,
6:17.0,,,14-8,,R. Hibbert misses 2-pt shot from 2 ft (block by P. Gasol)
6:15.0,Defensive rebound by J. Butler,,14-8,,
6:07.0,Turnover by P. Gasol (bad pass; steal by A. Brown),,14-8,,
6:02.0,,,14-8,,Turnover by J. Clarkson (bad pass; steal by T. Gibson)
5:53.0,E. Moore misses 3-pt shot from 24 ft,,14-8,,
5:52.0,,,14-8,,Defensive rebound by J. Clarkson
5:44.0,,,14-8,,J. Clarkson misses 2-pt shot at rim
5:42.0,Defensive rebound by T. Gibson,,14-8,,
5:31.0,P. Gasol misses 2-pt shot from 12 ft,,14-8,,
5:28.0,Offensive rebound by T. Gibson,,14-8,,
5:28.0,T. Gibson makes 2-pt shot at rim,2,16-8,,
5:28.0,,,16-8,,LA Lakers full timeout
5:28.0,,,16-8,,D. Russell enters the game for A. Brown
5:28.0,A. Brooks enters the game for T. Gibson,,16-8,,
5:28.0,B. Portis enters the game for D. Rose,,16-8,,
5:06.0,,,16-8,,Turnover by J. Randle (lost ball; steal by E. Moore)
5:00.0,E. Moore misses 2-pt shot from 1 ft (block by R. Hibbert),,16-8,,
5:00.0,Offensive rebound by B. Portis,,16-8,,
5:00.0,Shooting foul by D. Russell (drawn by B. Portis),,16-8,,
5:00.0,B. Portis makes free throw 1 of 2,1,17-8,,
5:00.0,B. Portis makes free throw 2 of 2,1,18-8,,
4:50.0,,,18-8,,Shooting foul by A. Brooks (drawn by J. Clarkson)
4:50.0,,,18-9,1,J. Clarkson makes free throw 1 of 2
4:50.0,,,18-10,1,J. Clarkson makes free throw 2 of 2
4:30.0,E. Moore misses 3-pt shot from 22 ft,,18-10,,
4:28.0,,,18-10,,Defensive rebound by K. Bryant
4:18.0,,,18-10,,Turnover by K. Bryant (bad pass; steal by J. Butler)
4:07.0,P. Gasol misses 2-pt shot from 18 ft,,18-10,,
4:05.0,,,18-10,,Defensive rebound by J. Randle
3:56.0,,,18-10,,K. Bryant misses 2-pt shot from 7 ft
3:54.0,Defensive rebound by P. Gasol,,18-10,,
3:49.0,B. Portis misses 2-pt shot from 7 ft,,18-10,,
3:46.0,,,18-10,,Defensive rebound by J. Randle
3:38.0,,,18-10,,J. Randle misses 2-pt shot from 19 ft
3:37.0,Defensive rebound by P. Gasol,,18-10,,
3:35.0,Turnover by P. Gasol (bad pass; steal by D. Russell),,18-10,,
3:20.0,,,18-10,,J. Randle misses 2-pt shot from 1 ft (block by A. Brooks)
3:20.0,,,18-10,,Offensive rebound by Team
3:20.0,,,18-10,,L. Nance enters the game for J. Randle
3:20.0,,,18-10,,B. Bass enters the game for R. Hibbert
3:20.0,,,18-10,,N. Young enters the game for K. Bryant
3:17.0,,,18-10,,J. Clarkson misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by P. Gasol,,18-10,,
2:58.0,A. Brooks makes 3-pt shot from 24 ft (assist by P. Gasol),3,21-10,,
2:41.0,,,21-10,,Shooting foul by A. Brooks (drawn by J. Clarkson)
2:41.0,Chicago full timeout,,21-10,,
2:41.0,D. McDermott enters the game for E. Moore,,21-10,,
2:41.0,,,21-11,1,J. Clarkson makes free throw 1 of 2
2:41.0,,,21-12,1,J. Clarkson makes free throw 2 of 2
2:27.0,,,21-12,,Personal foul by N. Young (drawn by J. Butler)
2:17.0,A. Brooks makes 3-pt shot from 24 ft (assist by P. Gasol),3,24-12,,
2:00.0,,,24-12,,B. Bass misses 2-pt shot from 11 ft
1:59.0,Defensive rebound by Team,,24-12,,
1:41.0,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol),2,26-12,,
1:31.0,,,26-12,,Turnover by D. Russell (lost ball; steal by J. Butler)
1:27.0,J. Butler makes 2-pt shot from 1 ft,2,28-12,,
1:17.0,,,28-12,,Turnover by D. Russell (bad pass; steal by J. Butler)
1:13.0,J. Butler makes 2-pt shot from 1 ft,2,30-12,,
1:13.0,,,30-12,,LA Lakers full timeout
0:55.0,,,30-12,,L. Nance misses 2-pt shot at rim
0:51.0,Defensive rebound by P. Gasol,,30-12,,
0:38.0,J. Butler misses 2-pt shot from 13 ft,,30-12,,
