time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas,,,,Jump ball: R. Lopez vs. J. Valanciunas
12:00.0,Violation by Team (jump ball),,0-0,,
11:41.0,,,0-0,,J. Johnson misses 2-pt shot from 2 ft
11:41.0,Defensive rebound by A. Afflalo,,0-0,,
11:26.0,K. O'Quinn misses 2-pt shot from 17 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Valanciunas
11:19.0,,,0-2,2,L. Scola makes 2-pt shot from 1 ft (assist by D. DeRozan)
10:54.0,K. O'Quinn misses 2-pt shot from 20 ft,,0-2,,
10:49.0,Offensive rebound by R. Lopez,,0-2,,
10:46.0,R. Lopez makes 2-pt shot from 2 ft,2,2-2,,
10:34.0,,,2-2,,D. DeRozan misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by Team,,2-2,,
10:10.0,K. O'Quinn misses 2-pt shot from 13 ft,,2-2,,
10:10.0,Offensive rebound by R. Lopez,,2-2,,
10:07.0,R. Lopez makes 2-pt shot at rim,2,4-2,,
9:48.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by J. Johnson)
9:30.0,L. Galloway makes 2-pt shot from 1 ft,2,6-4,,
9:23.0,,,6-4,,J. Valanciunas misses 2-pt shot from 21 ft
9:22.0,Defensive rebound by L. Galloway,,6-4,,
9:14.0,K. O'Quinn makes 2-pt shot from 15 ft (assist by L. Galloway),2,8-4,,
8:51.0,,,8-6,2,L. Scola makes 2-pt shot from 4 ft
8:36.0,L. Thomas misses 2-pt shot from 14 ft,,8-6,,
8:36.0,,,8-6,,Defensive rebound by L. Scola
8:24.0,,,8-9,3,L. Scola makes 3-pt shot from 25 ft
8:05.0,Turnover by L. Thomas (lost ball; steal by L. Scola),,8-9,,
7:56.0,,,8-9,,L. Scola misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by R. Lopez,,8-9,,
7:43.0,A. Afflalo makes 2-pt shot from 15 ft (assist by K. O'Quinn),2,10-9,,
7:24.0,,,10-9,,D. DeRozan misses 2-pt shot from 6 ft
7:23.0,Defensive rebound by R. Lopez,,10-9,,
7:17.0,L. Galloway makes 2-pt shot from 3 ft,2,12-9,,
6:59.0,,,12-9,,K. Lowry misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by L. Galloway,,12-9,,
6:49.0,A. Afflalo makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,14-9,,
6:49.0,Shooting foul by J. Johnson (drawn by A. Afflalo),,14-9,,
6:49.0,,,14-9,,Toronto full timeout
6:49.0,D. Williams enters the game for K. O'Quinn,,14-9,,
6:49.0,A. Afflalo makes free throw 1 of 1,1,15-9,,
6:38.0,,,15-11,2,D. DeRozan makes 2-pt shot at rim (assist by L. Scola)
6:22.0,D. Williams misses 2-pt shot from 2 ft (block by J. Johnson),,15-11,,
6:22.0,,,15-11,,Defensive rebound by Team
6:08.0,,,15-11,,D. DeRozan misses 2-pt shot from 17 ft (block by L. Thomas)
6:08.0,,,15-11,,Offensive rebound by Team
6:05.0,,,15-11,,Shooting foul by R. Lopez (drawn by J. Johnson)
6:05.0,,,15-11,,J. Johnson misses free throw 1 of 2
6:05.0,,,15-11,,Offensive rebound by Team
6:05.0,,,15-11,,J. Johnson misses free throw 2 of 2
6:04.0,Defensive rebound by L. Thomas,,15-11,,
5:43.0,L. Galloway misses 3-pt shot from 25 ft,,15-11,,
5:43.0,,,15-11,,Defensive rebound by K. Lowry
5:32.0,,,15-14,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
5:22.0,L. Thomas misses 2-pt shot from 4 ft (block by J. Valanciunas),,15-14,,
5:21.0,,,15-14,,Defensive rebound by J. Valanciunas
5:15.0,,,15-14,,K. Lowry misses 3-pt shot from 26 ft
5:14.0,,,15-14,,Offensive rebound by L. Scola
5:10.0,,,15-14,,L. Scola misses 2-pt shot from 7 ft
5:10.0,Defensive rebound by A. Afflalo,,15-14,,
4:53.0,L. Thomas makes 2-pt shot from 12 ft,2,17-14,,
4:31.0,,,17-14,,J. Valanciunas misses 2-pt shot at rim (block by R. Lopez)
4:31.0,,,17-14,,Offensive rebound by Team
4:31.0,K. Seraphin enters the game for R. Lopez,,17-14,,
4:31.0,,,17-14,,P. Patterson enters the game for L. Scola
4:31.0,,,17-14,,T. Ross enters the game for J. Johnson
4:26.0,,,17-16,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
4:14.0,Turnover by K. Seraphin (bad pass; steal by K. Lowry),,17-16,,
4:10.0,,,17-18,2,K. Lowry makes 2-pt shot from 2 ft
4:09.0,New York full timeout,,17-18,,
4:09.0,S. Vujacic enters the game for L. Thomas,,17-18,,
3:52.0,D. Williams misses 3-pt shot from 22 ft,,17-18,,
3:51.0,,,17-18,,Defensive rebound by J. Valanciunas
3:40.0,,,17-18,,T. Ross misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by K. Seraphin,,17-18,,
3:21.0,A. Afflalo misses 2-pt shot from 18 ft,,17-18,,
3:20.0,,,17-18,,Defensive rebound by T. Ross
3:06.0,,,17-18,,Turnover by K. Lowry (bad pass; steal by D. Williams)
3:00.0,L. Galloway makes 2-pt shot from 2 ft (assist by D. Williams),2,19-18,,
2:38.0,,,19-20,2,D. DeRozan makes 2-pt shot from 8 ft
2:17.0,L. Galloway misses 2-pt shot from 15 ft,,19-20,,
2:16.0,,,19-20,,Defensive rebound by T. Ross
2:05.0,,,19-22,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
1:48.0,S. Vujacic misses 2-pt shot from 20 ft (block by D. DeRozan),,19-22,,
1:46.0,,,19-22,,Defensive rebound by K. Lowry
