time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Stoudemire (J. Teague gains possession),,,,Jump ball: A. Horford vs. A. Stoudemire (J. Teague gains possession)
11:47.0,Turnover by P. Millsap (bad pass; steal by A. Stoudemire),,0-0,,
11:35.0,,,0-2,2,G. Dragic makes 2-pt shot from 1 ft
11:17.0,K. Korver misses 2-pt shot from 19 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by G. Dragic
11:09.0,Personal foul by P. Millsap (drawn by G. Dragic),,0-2,,
11:01.0,,,0-2,,Turnover by A. Stoudemire (traveling)
10:49.0,J. Teague misses 2-pt shot from 20 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by A. Stoudemire
10:38.0,,,0-2,,Turnover by G. Dragic (lost ball; steal by J. Teague)
10:32.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,2-2,,
10:10.0,,,2-2,,G. Dragic misses 2-pt shot from 14 ft
10:09.0,Defensive rebound by K. Bazemore,,2-2,,
9:53.0,P. Millsap misses 2-pt shot from 2 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by C. Bosh
9:37.0,,,2-5,3,C. Bosh makes 3-pt shot from 24 ft (assist by L. Deng)
9:22.0,K. Korver misses 2-pt shot from 15 ft,,2-5,,
9:21.0,,,2-5,,Defensive rebound by A. Stoudemire
9:11.0,,,2-5,,L. Deng misses 2-pt shot from 7 ft
9:10.0,,,2-5,,Offensive rebound by A. Stoudemire
9:07.0,,,2-5,,A. Stoudemire misses 2-pt shot from 2 ft
9:06.0,,,2-5,,Offensive rebound by A. Stoudemire
9:03.0,,,2-5,,Turnover by A. Stoudemire (lost ball; steal by K. Korver)
8:55.0,J. Teague misses 3-pt shot from 24 ft,,2-5,,
8:54.0,,,2-5,,Defensive rebound by C. Bosh
8:51.0,,,2-5,,Shooting foul by J. Teague (drawn by D. Wade)
8:51.0,,,2-6,1,D. Wade makes free throw 1 of 2
8:51.0,,,2-7,1,D. Wade makes free throw 2 of 2
8:34.0,A. Horford misses 2-pt shot from 19 ft,,2-7,,
8:33.0,,,2-7,,Defensive rebound by C. Bosh
8:19.0,,,2-7,,C. Bosh misses 2-pt shot from 4 ft (block by A. Horford)
8:18.0,Defensive rebound by K. Korver,,2-7,,
8:16.0,Turnover by K. Korver (lost ball; steal by L. Deng),,2-7,,
8:12.0,,,2-9,2,C. Bosh makes 2-pt shot at rim (assist by G. Dragic)
8:12.0,Atlanta full timeout,,2-9,,
7:57.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague),3,5-9,,
7:43.0,,,5-11,2,L. Deng makes 2-pt shot from 18 ft
7:34.0,J. Teague makes 2-pt shot from 2 ft,2,7-11,,
7:11.0,,,7-14,3,L. Deng makes 3-pt shot from 22 ft (assist by D. Wade)
6:55.0,K. Korver misses 2-pt shot from 17 ft,,7-14,,
6:54.0,,,7-14,,Defensive rebound by C. Bosh
6:45.0,,,7-14,,G. Dragic misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by K. Bazemore,,7-14,,
6:39.0,Turnover by K. Bazemore (bad pass; steal by D. Wade),,7-14,,
6:35.0,,,7-16,2,G. Dragic makes 2-pt shot from 2 ft
6:19.0,P. Millsap misses 2-pt shot from 1 ft,,7-16,,
6:18.0,,,7-16,,Defensive rebound by C. Bosh
6:12.0,,,7-16,,Turnover by C. Bosh (bad pass)
6:12.0,T. Splitter enters the game for P. Millsap,,7-16,,
6:12.0,T. Sefolosha enters the game for K. Bazemore,,7-16,,
6:12.0,,,7-16,,J. Winslow enters the game for C. Bosh
6:00.0,J. Teague misses 2-pt shot from 13 ft,,7-16,,
5:59.0,,,7-16,,Defensive rebound by A. Stoudemire
5:52.0,,,7-16,,D. Wade misses 2-pt shot from 10 ft
5:51.0,,,7-16,,Offensive rebound by A. Stoudemire
5:49.0,,,7-16,,A. Stoudemire misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by A. Horford,,7-16,,
5:41.0,J. Teague makes 2-pt shot from 3 ft,2,9-16,,
5:41.0,Shooting foul by G. Dragic (drawn by J. Teague),,9-16,,
5:41.0,J. Teague makes free throw 1 of 1,1,10-16,,
5:38.0,,,10-16,,Miami full timeout
5:24.0,,,10-18,2,A. Stoudemire makes 2-pt shot at rim (assist by L. Deng)
5:10.0,A. Horford misses 2-pt shot from 8 ft,,10-18,,
5:09.0,,,10-18,,Defensive rebound by D. Wade
4:58.0,,,10-18,,L. Deng misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by A. Horford,,10-18,,
4:51.0,T. Sefolosha misses 2-pt shot from 1 ft,,10-18,,
4:50.0,,,10-18,,Defensive rebound by J. Winslow
4:33.0,,,10-20,2,L. Deng makes 2-pt shot from 3 ft (assist by D. Wade)
4:33.0,,,10-20,,Shooting foul by T. Splitter (drawn by L. Deng)
4:33.0,,,10-20,,J. McRoberts enters the game for A. Stoudemire
4:33.0,,,10-21,1,L. Deng makes free throw 1 of 1
4:26.0,Offensive foul by A. Horford,,10-21,,
4:26.0,Turnover by A. Horford (offensive foul),,10-21,,
4:26.0,,,10-21,,B. Udrih enters the game for G. Dragic
4:26.0,P. Millsap enters the game for A. Horford,,10-21,,
4:11.0,,,10-21,,Turnover by J. McRoberts (bad pass)
4:06.0,,,10-21,,Personal block foul by B. Udrih (drawn by J. Teague)
4:06.0,,,10-21,,G. Green enters the game for D. Wade
4:06.0,D. Schroder enters the game for J. Teague,,10-21,,
3:44.0,D. Schroder misses 3-pt shot from 24 ft,,10-21,,
3:43.0,,,10-21,,Defensive rebound by L. Deng
3:28.0,,,10-21,,C. Bosh enters the game for L. Deng
3:28.0,K. Bazemore enters the game for K. Korver,,10-21,,
3:24.0,,,10-21,,B. Udrih misses 2-pt shot from 4 ft
3:23.0,Defensive rebound by T. Splitter,,10-21,,
3:05.0,D. Schroder misses 2-pt shot from 19 ft,,10-21,,
3:04.0,,,10-21,,Defensive rebound by J. Winslow
2:51.0,,,10-21,,C. Bosh misses 2-pt shot from 14 ft
2:50.0,Defensive rebound by T. Splitter,,10-21,,
2:33.0,T. Splitter misses 2-pt shot from 1 ft,,10-21,,
2:32.0,,,10-21,,Defensive rebound by J. McRoberts
2:23.0,,,10-23,2,G. Green makes 2-pt shot from 18 ft
2:12.0,Shooting foul by J. McRoberts (drawn by T. Splitter),,10-23,,
2:12.0,T. Splitter misses free throw 1 of 2,,10-23,,
2:12.0,Offensive rebound by Team,,10-23,,
2:12.0,T. Splitter makes free throw 2 of 2,1,11-23,,
2:04.0,,,11-23,,Turnover by B. Udrih (bad pass; steal by T. Splitter)
1:53.0,K. Bazemore makes 2-pt shot from 1 ft,2,13-23,,
1:30.0,,,13-25,2,B. Udrih makes 2-pt shot from 15 ft (assist by C. Bosh)
1:17.0,M. Scott enters the game for T. Splitter,,13-25,,
1:11.0,,,13-25,,Personal foul by C. Bosh (drawn by P. Millsap)
1:05.0,D. Schroder misses 2-pt shot from 19 ft,,13-25,,
1:04.0,,,13-25,,Defensive rebound by G. Green
0:51.0,,,13-27,2,J. Winslow makes 2-pt shot from 1 ft
0:39.0,D. Schroder makes 2-pt shot from 2 ft,2,15-27,,
0:18.0,,,15-27,,G. Green misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by K. Bazemore,,15-27,,
0:00.0,K. Bazemore makes 2-pt shot from 1 ft,2,17-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,17-27,,Turnover by J. Winslow (bad pass; steal by K. Bazemore)
11:46.0,,,17-27,,Personal foul by J. Winslow (drawn by T. Hardaway)
11:36.0,,,17-27,,Personal foul by B. Udrih (drawn by D. Schroder)
11:28.0,D. Schroder makes 2-pt shot from 2 ft,2,19-27,,
11:13.0,,,19-27,,Turnover by B. Udrih (traveling)
11:04.0,D. Schroder misses 2-pt shot from 9 ft,,19-27,,
11:03.0,,,19-27,,Defensive rebound by J. Winslow
10:58.0,,,19-29,2,J. Winslow makes 2-pt shot from 9 ft
10:33.0,T. Hardaway misses 3-pt shot from 24 ft,,19-29,,
10:32.0,,,19-29,,Defensive rebound by J. McRoberts
10:25.0,,,19-29,,C. Bosh misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by K. Bazemore,,19-29,,
