time,Chicago,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Gobert (D. Rose gains possession),,,,Jump ball: P. Gasol vs. R. Gobert (D. Rose gains possession)
11:40.0,D. Rose misses 3-pt shot from 24 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by G. Hayward
11:16.0,,,0-0,,Turnover by R. Neto (bad pass)
10:55.0,Shooting foul by R. Hood (drawn by D. Rose),,0-0,,
10:55.0,D. Rose misses free throw 1 of 2,,0-0,,
10:55.0,Offensive rebound by Team,,0-0,,
10:55.0,D. Rose makes free throw 2 of 2,1,1-0,,
10:39.0,,,1-0,,D. Favors misses 2-pt shot from 11 ft
10:39.0,Defensive rebound by P. Gasol,,1-0,,
10:16.0,E. Moore makes 2-pt shot from 21 ft,2,3-0,,
9:58.0,,,3-2,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood)
9:47.0,D. Rose misses 2-pt shot from 12 ft,,3-2,,
9:46.0,,,3-2,,Defensive rebound by G. Hayward
9:40.0,,,3-2,,G. Hayward misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by J. Butler,,3-2,,
9:29.0,J. Butler makes 2-pt shot from 20 ft,2,5-2,,
9:20.0,Personal foul by E. Moore (drawn by R. Hood),,5-2,,
9:09.0,,,5-2,,G. Hayward misses 2-pt shot from 10 ft
9:08.0,Defensive rebound by D. Rose,,5-2,,
9:02.0,D. Rose misses 2-pt shot from 2 ft (block by D. Favors),,5-2,,
9:00.0,,,5-2,,Defensive rebound by G. Hayward
8:53.0,,,5-4,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
8:50.0,Chicago full timeout,,5-4,,
8:50.0,Technical foul by D. Rose,,5-4,,
8:50.0,,,5-5,1,G. Hayward makes technical free throw
8:36.0,P. Gasol makes 2-pt shot from 14 ft (assist by J. Butler),2,7-5,,
8:18.0,,,7-5,,R. Hood misses 2-pt shot from 4 ft (block by E. Moore)
8:16.0,,,7-5,,Offensive rebound by R. Hood
8:14.0,,,7-7,2,R. Hood makes 2-pt shot from 2 ft
8:03.0,Turnover by E. Moore (bad pass; steal by R. Gobert),,7-7,,
8:00.0,,,7-7,,Turnover by R. Gobert (lost ball; steal by T. Gibson)
7:54.0,D. Rose makes 2-pt shot from 1 ft (assist by T. Gibson),2,9-7,,
7:36.0,,,9-9,2,D. Favors makes 2-pt shot from 4 ft
7:24.0,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose),2,11-9,,
7:05.0,,,11-11,2,R. Neto makes 2-pt shot from 1 ft
6:53.0,D. Rose misses 2-pt shot from 8 ft,,11-11,,
6:52.0,,,11-11,,Defensive rebound by R. Gobert
6:44.0,,,11-13,2,R. Hood makes 2-pt shot from 8 ft (assist by G. Hayward)
6:26.0,E. Moore misses 3-pt shot from 23 ft,,11-13,,
6:25.0,,,11-13,,Defensive rebound by D. Favors
6:20.0,,,11-13,,Offensive charge foul by G. Hayward
6:20.0,,,11-13,,Turnover by G. Hayward (offensive foul)
6:20.0,,,11-13,,T. Booker enters the game for D. Favors
6:06.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,13-13,,
