time,Miami,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Smith vs. A. Stoudemire (C. Bosh gains possession),,,,Jump ball: J. Smith vs. A. Stoudemire (C. Bosh gains possession)
11:41.0,A. Stoudemire misses 2-pt shot from 9 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by C. Brewer
11:22.0,,,0-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
10:58.0,Turnover by D. Wade (bad pass),,0-3,,
10:44.0,,,0-5,2,J. Smith makes 2-pt shot from 1 ft (assist by J. Harden)
10:32.0,A. Stoudemire misses 2-pt shot from 2 ft (block by C. Brewer),,0-5,,
10:30.0,Offensive rebound by A. Stoudemire,,0-5,,
10:29.0,A. Stoudemire misses 2-pt shot from 2 ft (block by T. Ariza),,0-5,,
10:28.0,,,0-5,,Defensive rebound by P. Beverley
10:23.0,,,0-7,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
10:02.0,Turnover by L. Deng (lost ball),,0-7,,
9:50.0,,,0-7,,Turnover by J. Harden (lost ball)
9:38.0,G. Dragic makes 2-pt shot from 16 ft,2,2-7,,
9:31.0,,,2-7,,T. Ariza misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by C. Bosh,,2-7,,
9:24.0,D. Wade misses 2-pt shot from 1 ft,,2-7,,
9:24.0,,,2-7,,Defensive rebound by Team
9:24.0,Loose ball foul by A. Stoudemire (drawn by J. Harden),,2-7,,
9:17.0,,,2-7,,J. Harden misses 2-pt shot from 1 ft
9:16.0,Defensive rebound by L. Deng,,2-7,,
9:07.0,G. Dragic makes 2-pt shot at rim,2,4-7,,
8:53.0,,,4-7,,C. Brewer misses 2-pt shot from 18 ft
8:52.0,Defensive rebound by C. Bosh,,4-7,,
8:41.0,L. Deng makes 2-pt shot from 2 ft (assist by D. Wade),2,6-7,,
8:28.0,,,6-7,,J. Smith misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by C. Bosh,,6-7,,
8:21.0,G. Dragic misses 2-pt shot from 2 ft (block by P. Beverley),,6-7,,
8:21.0,Offensive rebound by Team,,6-7,,
8:15.0,L. Deng makes 2-pt shot from 1 ft (assist by A. Stoudemire),2,8-7,,
7:59.0,,,8-7,,C. Brewer misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by L. Deng,,8-7,,
7:40.0,D. Wade makes 2-pt shot from 20 ft (assist by G. Dragic),2,10-7,,
7:23.0,,,10-7,,J. Harden misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by G. Dragic,,10-7,,
7:18.0,Shooting foul by P. Beverley (drawn by G. Dragic),,10-7,,
7:18.0,G. Dragic makes 2-pt shot from 2 ft,2,12-7,,
7:18.0,,,12-7,,T. Jones enters the game for C. Brewer
