time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Thompson (K. Love gains possession),,,,Jump ball: A. Johnson vs. T. Thompson (K. Love gains possession)
11:36.0,,,0-2,2,J. Smith makes 2-pt shot from 22 ft (assist by K. Irving)
11:18.0,A. Bradley makes 2-pt shot from 23 ft (assist by J. Sullinger),2,2-2,,
11:01.0,,,2-5,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
10:42.0,A. Bradley misses 2-pt shot from 7 ft,,2-5,,
10:42.0,Offensive rebound by J. Sullinger,,2-5,,
10:41.0,J. Sullinger misses 2-pt shot from 3 ft,,2-5,,
10:40.0,,,2-5,,Defensive rebound by K. Love
10:28.0,,,2-5,,J. Smith misses 3-pt shot from 26 ft
10:28.0,,,2-5,,Offensive rebound by K. Love
10:20.0,,,2-5,,Shooting foul by A. Johnson (drawn by L. James)
10:20.0,,,2-6,1,L. James makes free throw 1 of 2
10:20.0,,,2-7,1,L. James makes free throw 2 of 2
10:08.0,I. Thomas misses 3-pt shot from 23 ft,,2-7,,
10:07.0,,,2-7,,Defensive rebound by K. Love
10:00.0,,,2-7,,Turnover by L. James (lost ball)
9:43.0,I. Thomas misses 2-pt shot from 10 ft,,2-7,,
9:43.0,,,2-7,,Defensive rebound by Team
9:43.0,Loose ball foul by A. Johnson (drawn by T. Thompson),,2-7,,
9:30.0,,,2-10,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
9:21.0,Turnover by J. Sullinger (bad pass; steal by L. James),,2-10,,
9:17.0,,,2-10,,Shooting foul by A. Bradley (drawn by L. James)
9:17.0,,,2-12,2,L. James makes 2-pt shot at rim
9:17.0,J. Jerebko enters the game for A. Johnson,,2-12,,
9:17.0,,,2-12,,L. James misses free throw 1 of 1
9:16.0,Defensive rebound by J. Jerebko,,2-12,,
9:04.0,Offensive charge foul by J. Jerebko,,2-12,,
9:04.0,Turnover by J. Jerebko (offensive foul),,2-12,,
8:50.0,,,2-12,,Turnover by J. Smith (lost ball; steal by I. Thomas)
8:49.0,,,2-12,,Personal foul by J. Smith (drawn by I. Thomas)
8:43.0,Offensive foul by A. Bradley,,2-12,,
8:43.0,Turnover by A. Bradley (offensive foul),,2-12,,
8:25.0,,,2-14,2,K. Love makes 2-pt shot at rim
8:25.0,Boston full timeout,,2-14,,
8:10.0,,,2-14,,Personal foul by T. Thompson (drawn by J. Sullinger)
7:56.0,J. Sullinger makes 2-pt shot from 9 ft,2,4-14,,
7:44.0,,,4-14,,Shooting foul by I. Thomas (drawn by J. Smith)
7:44.0,,,4-14,,J. Smith misses free throw 1 of 2
7:44.0,,,4-14,,Offensive rebound by Team
7:44.0,,,4-15,1,J. Smith makes free throw 2 of 2
7:24.0,J. Sullinger makes 2-pt shot from 12 ft,2,6-15,,
7:12.0,,,6-15,,Offensive foul by J. Smith
7:12.0,,,6-15,,Turnover by J. Smith (offensive foul)
7:12.0,,,6-15,,I. Shumpert enters the game for J. Smith
