time,Chicago,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Gibson vs. N. Jokic (K. Faried gains possession),,,,Jump ball: T. Gibson vs. N. Jokic (K. Faried gains possession)
11:30.0,,,0-2,2,N. Jokic makes 2-pt shot from 14 ft (assist by D. Gallinari)
11:17.0,D. Rose makes 2-pt shot from 13 ft,2,2-2,,
11:02.0,,,2-4,2,E. Mudiay makes 2-pt shot from 21 ft (assist by G. Harris)
10:43.0,C. Bairstow misses 3-pt shot from 23 ft,,2-4,,
10:42.0,,,2-4,,Defensive rebound by D. Gallinari
10:40.0,Personal foul by C. Bairstow (drawn by N. Jokic),,2-4,,
10:31.0,,,2-6,2,E. Mudiay makes 2-pt shot from 13 ft
10:20.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,4-6,,
10:09.0,,,4-6,,Turnover by E. Mudiay (bad pass; steal by J. Butler)
10:03.0,J. Butler makes 2-pt shot at rim,2,6-6,,
9:53.0,,,6-6,,Turnover by K. Faried (traveling)
9:34.0,T. Gibson misses 2-pt shot from 14 ft,,6-6,,
9:33.0,,,6-6,,Defensive rebound by G. Harris
9:17.0,,,6-6,,N. Jokic misses 2-pt shot from 3 ft
9:16.0,Defensive rebound by D. Rose,,6-6,,
9:02.0,D. Rose misses 3-pt shot from 24 ft,,6-6,,
9:01.0,,,6-6,,Defensive rebound by K. Faried
8:57.0,,,6-8,2,G. Harris makes 2-pt shot at rim (assist by K. Faried)
8:49.0,T. Gibson misses 2-pt shot from 19 ft,,6-8,,
8:48.0,,,6-8,,Defensive rebound by G. Harris
8:47.0,Jump ball: T. Gibson vs. G. Harris (E. Mudiay gains possession),,,,Jump ball: T. Gibson vs. G. Harris (E. Mudiay gains possession)
8:42.0,Shooting block foul by D. Rose (drawn by E. Mudiay),,6-8,,
8:42.0,,,6-8,,E. Mudiay misses free throw 1 of 2
8:42.0,,,6-8,,Offensive rebound by Team
8:42.0,,,6-9,1,E. Mudiay makes free throw 2 of 2
8:26.0,D. Rose makes 2-pt shot from 17 ft (assist by J. Butler),2,8-9,,
8:13.0,,,8-11,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
7:58.0,D. Rose misses 2-pt shot from 11 ft,,8-11,,
7:57.0,,,8-11,,Defensive rebound by G. Harris
7:47.0,,,8-11,,Shooting foul by C. Bairstow (drawn by D. Gallinari)
7:47.0,,,8-12,1,D. Gallinari makes free throw 1 of 2
7:47.0,B. Portis enters the game for C. Bairstow,,8-12,,
7:47.0,,,8-13,1,D. Gallinari makes free throw 2 of 2
7:27.0,J. Butler makes 2-pt shot from 1 ft,2,10-13,,
7:27.0,Shooting foul by K. Faried (drawn by J. Butler),,10-13,,
7:27.0,J. Butler makes free throw 1 of 1,1,11-13,,
7:12.0,,,11-13,,D. Gallinari misses 2-pt shot from 1 ft
7:11.0,,,11-13,,Offensive rebound by K. Faried
7:01.0,,,11-13,,Turnover by E. Mudiay (bad pass)
6:47.0,D. Rose misses 2-pt shot from 1 ft,,11-13,,
6:46.0,,,11-13,,Defensive rebound by N. Jokic
6:39.0,,,11-13,,Turnover by N. Jokic (bad pass; steal by B. Portis)
6:29.0,T. Gibson makes 2-pt shot from 11 ft,2,13-13,,
6:29.0,,,13-13,,Denver full timeout
6:07.0,,,13-13,,N. Jokic misses 2-pt shot from 2 ft
6:06.0,,,13-13,,Offensive rebound by N. Jokic
6:03.0,,,13-13,,N. Jokic misses 2-pt shot from 2 ft (block by T. Gibson)
6:02.0,,,13-13,,Offensive rebound by N. Jokic
6:01.0,,,13-13,,N. Jokic misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by D. Rose,,13-13,,
5:50.0,B. Portis misses 2-pt shot from 19 ft,,13-13,,
5:49.0,,,13-13,,Defensive rebound by G. Harris
5:40.0,,,13-16,3,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay)
5:26.0,D. Rose makes 2-pt shot from 1 ft,2,15-16,,
5:14.0,,,15-18,2,D. Gallinari makes 2-pt shot from 1 ft (assist by K. Faried)
4:58.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,17-18,,
4:42.0,,,17-20,2,N. Jokic makes 2-pt shot from 19 ft (assist by D. Gallinari)
4:36.0,Chicago full timeout,,17-20,,
4:36.0,C. Felicio enters the game for T. Gibson,,17-20,,
4:36.0,K. Hinrich enters the game for D. Rose,,17-20,,
4:28.0,B. Portis makes 2-pt shot from 15 ft (assist by J. Butler),2,19-20,,
4:17.0,,,19-20,,W. Barton enters the game for G. Harris
4:17.0,,,19-20,,J. Lauvergne enters the game for K. Faried
4:12.0,,,19-20,,E. Mudiay misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by J. Butler,,19-20,,
3:48.0,K. Hinrich misses 2-pt shot from 14 ft (block by E. Mudiay),,19-20,,
3:47.0,Offensive rebound by K. Hinrich,,19-20,,
3:46.0,Turnover by Team (shot clock),,19-20,,
3:33.0,,,19-22,2,E. Mudiay makes 2-pt shot from 2 ft
3:17.0,E. Moore makes 2-pt shot from 2 ft,2,21-22,,
3:00.0,,,21-22,,Turnover by D. Gallinari (lost ball; steal by J. Butler)
3:00.0,,,21-22,,Personal foul by N. Jokic (drawn by J. Butler)
3:00.0,,,21-22,,J. Nurkic enters the game for N. Jokic
2:44.0,Turnover by K. Hinrich (step out of bounds),,21-22,,
2:44.0,,,21-22,,R. Foye enters the game for E. Mudiay
2:26.0,,,21-22,,W. Barton misses 2-pt shot from 15 ft (block by E. Moore)
2:24.0,,,21-22,,Offensive rebound by W. Barton
