time,New Orleans,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (N. Cole gains possession),,,,Jump ball: A. Davis vs. K. Towns (N. Cole gains possession)
11:32.0,N. Cole misses 3-pt shot from 26 ft,,0-0,,
11:31.0,Offensive rebound by D. Cunningham,,0-0,,
11:18.0,B. Dejean-Jones misses 2-pt shot from 6 ft (block by A. Wiggins),,0-0,,
11:16.0,,,0-0,,Defensive rebound by R. Rubio
11:12.0,,,0-2,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
10:57.0,N. Cole makes 2-pt shot from 15 ft,2,2-2,,
10:39.0,,,2-2,,A. Wiggins misses 2-pt shot from 12 ft
10:38.0,Defensive rebound by N. Cole,,2-2,,
10:23.0,A. Davis misses 2-pt shot from 8 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by K. Towns
10:17.0,,,2-2,,Shooting foul by B. Dejean-Jones (drawn by R. Rubio)
10:17.0,,,2-3,1,R. Rubio makes free throw 1 of 2
10:17.0,,,2-4,1,R. Rubio makes free throw 2 of 2
10:01.0,Turnover by B. Dejean-Jones (traveling),,2-4,,
9:47.0,,,2-4,,G. Dieng misses 2-pt shot from 17 ft
9:46.0,Defensive rebound by A. Davis,,2-4,,
9:35.0,N. Cole misses 2-pt shot from 17 ft,,2-4,,
9:33.0,Offensive rebound by O. Asik,,2-4,,
9:33.0,O. Asik makes 2-pt shot at rim,2,4-4,,
9:18.0,,,4-6,2,T. Prince makes 2-pt shot from 12 ft
9:01.0,A. Davis misses 2-pt shot from 7 ft,,4-6,,
9:00.0,,,4-6,,Defensive rebound by K. Towns
8:39.0,,,4-6,,G. Dieng misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by O. Asik,,4-6,,
8:30.0,A. Davis makes 2-pt shot at rim (assist by B. Dejean-Jones),2,6-6,,
8:11.0,,,6-6,,A. Wiggins misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by B. Dejean-Jones,,6-6,,
8:07.0,,,6-6,,Personal foul by K. Towns (drawn by A. Davis)
7:59.0,N. Cole misses 2-pt shot from 2 ft,,6-6,,
7:58.0,Offensive rebound by O. Asik,,6-6,,
7:57.0,O. Asik makes 2-pt shot from 1 ft,2,8-6,,
7:50.0,,,8-6,,Minnesota full timeout
7:42.0,,,8-8,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
7:27.0,,,8-8,,Personal foul by R. Rubio (drawn by A. Davis)
7:18.0,A. Davis makes 2-pt shot from 18 ft,2,10-8,,
7:08.0,Violation by O. Asik (kicked ball),,10-8,,
7:04.0,,,10-8,,A. Wiggins misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by O. Asik,,10-8,,
6:53.0,A. Davis misses 2-pt shot from 8 ft,,10-8,,
6:52.0,,,10-8,,Defensive rebound by G. Dieng
6:47.0,,,10-8,,R. Rubio misses 2-pt shot from 13 ft
6:46.0,Defensive rebound by B. Dejean-Jones,,10-8,,
6:27.0,A. Davis misses 2-pt shot from 14 ft,,10-8,,
6:26.0,,,10-8,,Defensive rebound by K. Towns
6:23.0,Loose ball foul by B. Dejean-Jones (drawn by A. Wiggins),,10-8,,
6:23.0,J. Holiday enters the game for B. Dejean-Jones,,10-8,,
6:16.0,,,10-8,,Shooting foul by D. Cunningham (drawn by K. Towns)
6:16.0,,,10-9,1,K. Towns makes free throw 1 of 2
6:16.0,,,10-10,1,K. Towns makes free throw 2 of 2
