time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (A. Goodwin gains possession),,,,Jump ball: T. Chandler vs. D. Howard (A. Goodwin gains possession)
11:35.0,,,0-2,2,J. Leuer makes 2-pt shot from 15 ft (assist by P. Tucker)
11:11.0,P. Beverley makes 2-pt shot from 1 ft,2,2-2,,
10:57.0,Personal foul by J. Smith,,2-2,,
10:53.0,,,2-2,,D. Booker misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by T. Ariza,,2-2,,
10:39.0,P. Beverley misses 2-pt shot at rim,,2-2,,
10:37.0,Offensive rebound by J. Smith,,2-2,,
10:37.0,J. Smith misses 2-pt shot from 1 ft (block by J. Leuer),,2-2,,
10:35.0,Offensive rebound by P. Beverley,,2-2,,
10:32.0,P. Beverley misses 3-pt shot from 24 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by T. Chandler
10:19.0,,,2-4,2,T. Chandler makes 2-pt shot at rim (assist by J. Leuer)
10:09.0,Shooting foul by J. Leuer (drawn by D. Howard),,2-4,,
10:09.0,D. Howard makes free throw 1 of 2,1,3-4,,
10:09.0,D. Howard makes free throw 2 of 2,1,4-4,,
9:53.0,,,4-4,,Turnover by A. Goodwin (lost ball; steal by D. Howard)
9:48.0,Turnover by J. Smith (bad pass),,4-4,,
9:39.0,,,4-4,,A. Goodwin misses 2-pt shot from 19 ft
9:37.0,Defensive rebound by P. Beverley,,4-4,,
9:32.0,D. Howard misses 2-pt shot from 1 ft,,4-4,,
9:32.0,Offensive rebound by D. Howard,,4-4,,
9:27.0,D. Howard makes 2-pt shot at rim,2,6-4,,
9:05.0,,,6-7,3,P. Tucker makes 3-pt shot from 23 ft (assist by D. Booker)
8:50.0,P. Beverley makes 2-pt shot from 1 ft,2,8-7,,
8:35.0,,,8-7,,J. Leuer misses 3-pt shot from 23 ft
8:33.0,Defensive rebound by J. Harden,,8-7,,
8:29.0,Shooting foul by P. Tucker (drawn by J. Harden),,8-7,,
8:29.0,J. Harden makes free throw 1 of 2,1,9-7,,
8:29.0,J. Harden makes free throw 2 of 2,1,10-7,,
8:20.0,,,10-7,,A. Goodwin misses 2-pt shot from 4 ft
8:18.0,Defensive rebound by P. Beverley,,10-7,,
7:59.0,T. Ariza misses 3-pt shot from 24 ft,,10-7,,
7:59.0,Offensive rebound by Team,,10-7,,
7:59.0,,,10-7,,Loose ball foul by T. Chandler
7:47.0,P. Beverley makes 2-pt shot from 9 ft,2,12-7,,
7:40.0,,,12-7,,Phoenix full timeout
7:27.0,,,12-10,3,J. Leuer makes 3-pt shot from 24 ft (assist by A. Goodwin)
7:07.0,J. Smith misses 3-pt shot from 22 ft,,12-10,,
7:05.0,Offensive rebound by J. Harden,,12-10,,
7:00.0,J. Harden makes 2-pt shot from 12 ft,2,14-10,,
6:43.0,,,14-10,,J. Leuer misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by J. Harden,,14-10,,
6:38.0,T. Ariza misses 2-pt shot from 3 ft (block by J. Leuer),,14-10,,
6:38.0,Offensive rebound by T. Ariza,,14-10,,
