time,Indiana,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. N. Vucevic (M. Ellis gains possession),,,,Jump ball: I. Mahinmi vs. N. Vucevic (M. Ellis gains possession)
11:46.0,P. George misses 2-pt shot from 1 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by N. Vucevic
11:42.0,,,0-3,3,E. Fournier makes 3-pt shot from 27 ft (assist by E. Payton)
11:24.0,Turnover by I. Mahinmi (lost ball; steal by E. Payton),,0-3,,
11:18.0,,,0-5,2,A. Gordon makes 2-pt shot from 1 ft (assist by V. Oladipo)
10:52.0,M. Turner makes 2-pt shot from 16 ft,2,2-5,,
10:39.0,,,2-5,,N. Vucevic misses 2-pt shot from 13 ft
10:38.0,Defensive rebound by M. Turner,,2-5,,
10:32.0,Turnover by P. George (bad pass),,2-5,,
10:16.0,,,2-5,,N. Vucevic misses 2-pt shot from 13 ft
10:15.0,Defensive rebound by G. Hill,,2-5,,
10:03.0,Turnover by M. Ellis (bad pass; steal by A. Gordon),,2-5,,
9:57.0,,,2-5,,A. Gordon misses 2-pt shot at rim
9:55.0,Defensive rebound by I. Mahinmi,,2-5,,
9:47.0,,,2-5,,Personal foul by A. Gordon (drawn by M. Turner)
9:42.0,P. George misses 2-pt shot from 13 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by V. Oladipo
9:35.0,,,2-5,,E. Fournier misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by Team,,2-5,,
9:26.0,M. Ellis misses 2-pt shot from 1 ft,,2-5,,
9:25.0,,,2-5,,Defensive rebound by N. Vucevic
9:18.0,,,2-5,,V. Oladipo misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by M. Turner,,2-5,,
9:07.0,Turnover by M. Turner (bad pass),,2-5,,
8:48.0,,,2-5,,N. Vucevic misses 2-pt shot from 15 ft
8:47.0,Defensive rebound by I. Mahinmi,,2-5,,
8:37.0,P. George misses 2-pt shot from 16 ft,,2-5,,
8:36.0,,,2-5,,Defensive rebound by A. Gordon
8:29.0,,,2-5,,E. Payton misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by I. Mahinmi,,2-5,,
8:22.0,G. Hill makes 2-pt shot at rim,2,4-5,,
8:22.0,,,4-5,,Orlando full timeout
8:22.0,,,4-5,,J. Smith enters the game for N. Vucevic
8:09.0,,,4-7,2,J. Smith makes 2-pt shot from 16 ft (assist by V. Oladipo)
7:53.0,G. Hill misses 3-pt shot from 26 ft,,4-7,,
7:51.0,,,4-7,,Defensive rebound by V. Oladipo
7:42.0,,,4-10,3,A. Gordon makes 3-pt shot from 25 ft (assist by V. Oladipo)
7:27.0,Shooting foul by J. Smith (drawn by I. Mahinmi),,4-10,,
7:27.0,I. Mahinmi misses free throw 1 of 2,,4-10,,
7:27.0,Offensive rebound by Team,,4-10,,
7:27.0,I. Mahinmi makes free throw 2 of 2,1,5-10,,
7:12.0,,,5-10,,V. Oladipo misses 2-pt shot from 4 ft (block by I. Mahinmi)
7:10.0,Defensive rebound by I. Mahinmi,,5-10,,
7:03.0,M. Turner makes 2-pt shot at rim (assist by I. Mahinmi),2,7-10,,
6:46.0,,,7-10,,E. Fournier misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by M. Turner,,7-10,,
6:24.0,M. Ellis misses 3-pt shot from 22 ft (block by V. Oladipo),,7-10,,
6:23.0,,,7-10,,Defensive rebound by J. Smith
6:16.0,,,7-12,2,E. Fournier makes 2-pt shot at rim (assist by A. Gordon)
6:00.0,P. George misses 3-pt shot from 26 ft,,7-12,,
5:59.0,,,7-12,,Defensive rebound by A. Gordon
5:49.0,,,7-12,,Turnover by E. Fournier (step out of bounds)
5:33.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by M. Turner),2,9-12,,
5:16.0,,,9-12,,V. Oladipo misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by G. Hill,,9-12,,
5:09.0,G. Hill misses 2-pt shot from 1 ft (block by V. Oladipo),,9-12,,
5:08.0,,,9-12,,Defensive rebound by J. Smith
5:05.0,,,9-12,,Turnover by E. Payton (bad pass; steal by M. Ellis)
5:02.0,Turnover by I. Mahinmi (bad pass; steal by E. Fournier),,9-12,,
4:56.0,,,9-12,,V. Oladipo misses 2-pt shot from 2 ft (block by M. Turner)
4:55.0,Defensive rebound by Team,,9-12,,
4:55.0,,,9-12,,E. Ilyasova enters the game for A. Gordon
4:41.0,M. Ellis makes 3-pt shot from 25 ft,3,12-12,,
4:33.0,,,12-12,,Shooting foul by M. Turner (drawn by E. Fournier)
4:33.0,,,12-13,1,E. Fournier makes free throw 1 of 2
4:33.0,,,12-13,,B. Jennings enters the game for E. Payton
4:33.0,,,12-14,1,E. Fournier makes free throw 2 of 2
4:14.0,Offensive foul by M. Turner,,12-14,,
4:14.0,Turnover by M. Turner (offensive foul),,12-14,,
4:14.0,L. Allen enters the game for M. Turner,,12-14,,
3:53.0,,,12-14,,J. Smith misses 2-pt shot from 21 ft
3:52.0,Defensive rebound by G. Hill,,12-14,,
3:48.0,,,12-14,,Personal foul by E. Fournier (drawn by P. George)
3:48.0,Indiana full timeout,,12-14,,
3:48.0,,,12-14,,M. Hezonja enters the game for V. Oladipo
3:48.0,C. Miles enters the game for M. Ellis,,12-14,,
3:48.0,Violation by Team (delay of game),,12-14,,
3:33.0,I. Mahinmi makes 2-pt shot from 13 ft (assist by L. Allen),2,14-14,,
3:12.0,,,14-14,,M. Hezonja misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by G. Hill,,14-14,,
3:02.0,C. Miles makes 2-pt shot from 9 ft (assist by G. Hill),2,16-14,,
2:45.0,,,16-14,,J. Smith misses 2-pt shot from 14 ft
2:43.0,Defensive rebound by P. George,,16-14,,
2:34.0,Turnover by C. Miles (lost ball; steal by M. Hezonja),,16-14,,
2:27.0,,,16-16,2,J. Smith makes 2-pt shot from 1 ft (assist by B. Jennings)
2:27.0,,,16-16,,Shooting foul by I. Mahinmi (drawn by J. Smith)
2:27.0,J. Hill enters the game for I. Mahinmi,,16-16,,
2:27.0,J. Young enters the game for G. Hill,,16-16,,
2:27.0,,,16-16,,J. Smith misses free throw 1 of 1
2:25.0,Defensive rebound by J. Hill,,16-16,,
2:20.0,Offensive foul by P. George,,16-16,,
2:20.0,Turnover by P. George (offensive foul),,16-16,,
2:20.0,,,16-16,,N. Vucevic enters the game for J. Smith
2:10.0,,,16-18,2,E. Fournier makes 2-pt shot from 4 ft
1:49.0,C. Miles makes 2-pt shot from 9 ft (assist by P. George),2,18-18,,
1:40.0,,,18-18,,Turnover by N. Vucevic (bad pass; steal by L. Allen)
1:39.0,,,18-18,,Personal foul by E. Fournier (drawn by P. George)
