time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Green vs. R. Hibbert (M. Conley gains possession),,,,Jump ball: J. Green vs. R. Hibbert (M. Conley gains possession)
11:35.0,,,0-3,3,M. Barnes makes 3-pt shot from 23 ft (assist by M. Conley)
11:19.0,K. Bryant makes 3-pt shot from 24 ft (assist by D. Russell),3,3-3,,
11:07.0,,,3-3,,M. Barnes misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by J. Randle,,3-3,,
10:57.0,Turnover by D. Russell (lost ball; steal by J. Green),,3-3,,
10:53.0,,,3-5,2,J. Green makes 2-pt shot at rim
10:41.0,Shooting foul by Z. Randolph (drawn by R. Hibbert),,3-5,,
10:41.0,R. Hibbert makes free throw 1 of 2,1,4-5,,
10:41.0,R. Hibbert misses free throw 2 of 2,,4-5,,
10:40.0,,,4-5,,Defensive rebound by M. Barnes
10:23.0,,,4-5,,Z. Randolph misses 2-pt shot from 4 ft
10:21.0,,,4-5,,Offensive rebound by M. Barnes
10:21.0,,,4-7,2,M. Barnes makes 2-pt shot from 2 ft
10:09.0,K. Bryant misses 3-pt shot from 24 ft,,4-7,,
10:07.0,,,4-7,,Defensive rebound by J. Green
10:00.0,,,4-7,,M. Conley misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by J. Randle,,4-7,,
9:47.0,J. Randle misses 2-pt shot from 19 ft,,4-7,,
9:46.0,,,4-7,,Defensive rebound by Z. Randolph
9:37.0,,,4-9,2,M. Conley makes 2-pt shot from 2 ft
9:14.0,K. Bryant misses 3-pt shot from 25 ft,,4-9,,
9:13.0,,,4-9,,Defensive rebound by M. Conley
8:59.0,,,4-12,3,M. Barnes makes 3-pt shot from 24 ft (assist by Z. Randolph)
8:40.0,K. Bryant misses 2-pt shot from 1 ft,,4-12,,
8:39.0,,,4-12,,Defensive rebound by M. Conley
8:35.0,,,4-15,3,P. Hairston makes 3-pt shot from 23 ft (assist by M. Conley)
8:26.0,LA Lakers full timeout,,4-15,,
8:06.0,J. Randle misses 2-pt shot from 5 ft,,4-15,,
8:04.0,,,4-15,,Defensive rebound by M. Barnes
8:02.0,,,4-17,2,J. Green makes 2-pt shot from 2 ft (assist by M. Barnes)
8:02.0,,,4-17,,Shooting foul by R. Hibbert (drawn by J. Green)
8:02.0,,,4-18,1,J. Green makes free throw 1 of 1
7:47.0,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell),3,7-18,,
7:35.0,,,7-18,,Shooting foul by J. Randle (drawn by P. Hairston)
7:35.0,,,7-19,1,P. Hairston makes free throw 1 of 2
7:35.0,,,7-20,1,P. Hairston makes free throw 2 of 2
7:21.0,K. Bryant makes 2-pt shot from 20 ft (assist by D. Russell),2,9-20,,
7:02.0,,,9-22,2,M. Conley makes 2-pt shot from 2 ft
6:44.0,K. Bryant makes 2-pt shot from 14 ft,2,11-22,,
6:33.0,,,11-22,,M. Barnes misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by J. Randle,,11-22,,
6:20.0,K. Bryant misses 2-pt shot from 15 ft,,11-22,,
6:18.0,,,11-22,,Defensive rebound by J. Green
6:12.0,,,11-22,,P. Hairston misses 3-pt shot from 24 ft
6:10.0,,,11-22,,Offensive rebound by Team
6:10.0,L. Williams enters the game for D. Russell,,11-22,,
6:10.0,,,11-22,,M. Chalmers enters the game for M. Barnes
6:10.0,,,11-22,,Violation by Team (delay of game)
5:51.0,,,11-22,,J. Green misses 2-pt shot from 2 ft (block by R. Hibbert)
5:51.0,,,11-22,,Offensive rebound by Team
5:51.0,,,11-22,,Memphis full timeout
5:45.0,,,11-24,2,Z. Randolph makes 2-pt shot from 16 ft
5:18.0,L. Williams makes 2-pt shot from 16 ft,2,13-24,,
5:02.0,,,13-24,,J. Green misses 2-pt shot from 16 ft
5:01.0,Defensive rebound by J. Randle,,13-24,,
4:50.0,R. Hibbert misses 2-pt shot from 6 ft,,13-24,,
4:47.0,,,13-24,,Defensive rebound by Z. Randolph
4:40.0,,,13-24,,M. Conley misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by R. Hibbert,,13-24,,
4:22.0,L. Williams misses 2-pt shot from 13 ft,,13-24,,
4:20.0,,,13-24,,Defensive rebound by P. Hairston
4:18.0,,,13-26,2,J. Green makes 2-pt shot from 1 ft (assist by P. Hairston)
4:18.0,,,13-26,,Shooting foul by J. Clarkson (drawn by J. Green)
4:18.0,,,13-26,,L. Stephenson enters the game for M. Conley
4:18.0,B. Bass enters the game for R. Hibbert,,13-26,,
4:18.0,N. Young enters the game for K. Bryant,,13-26,,
4:18.0,,,13-26,,J. Green misses free throw 1 of 1
4:17.0,Defensive rebound by B. Bass,,13-26,,
3:55.0,J. Randle makes 2-pt shot from 2 ft,2,15-26,,
3:42.0,,,15-26,,Z. Randolph misses 2-pt shot from 13 ft
3:42.0,Defensive rebound by J. Randle,,15-26,,
3:35.0,Shooting foul by J. Green (drawn by J. Randle),,15-26,,
3:35.0,J. Randle misses free throw 1 of 2,,15-26,,
3:35.0,Offensive rebound by Team,,15-26,,
3:35.0,,,15-26,,B. Wright enters the game for J. Green
3:35.0,,,15-26,,V. Carter enters the game for P. Hairston
3:35.0,J. Randle misses free throw 2 of 2,,15-26,,
3:34.0,,,15-26,,Defensive rebound by Z. Randolph
3:23.0,,,15-26,,Turnover by L. Stephenson (lost ball)
3:08.0,Turnover by J. Randle (lost ball; steal by V. Carter),,15-26,,
3:01.0,,,15-28,2,L. Stephenson makes 2-pt shot from 2 ft
2:51.0,L. Williams misses 2-pt shot from 19 ft,,15-28,,
2:50.0,,,15-28,,Defensive rebound by Z. Randolph
2:35.0,,,15-30,2,Z. Randolph makes 2-pt shot from 6 ft (assist by V. Carter)
2:28.0,LA Lakers full timeout,,15-30,,
2:28.0,L. Nance enters the game for J. Randle,,15-30,,
2:20.0,J. Clarkson misses 3-pt shot from 25 ft,,15-30,,
2:19.0,Offensive rebound by B. Bass,,15-30,,
2:08.0,N. Young makes 3-pt shot from 26 ft (assist by L. Williams),3,18-30,,
1:49.0,,,18-32,2,V. Carter makes 2-pt shot from 21 ft (assist by B. Wright)
1:32.0,Shooting foul by Z. Randolph (drawn by J. Clarkson),,18-32,,
1:32.0,J. Clarkson makes free throw 1 of 2,1,19-32,,
1:32.0,,,19-32,,M. Barnes enters the game for Z. Randolph
1:32.0,J. Clarkson misses free throw 2 of 2,,19-32,,
1:30.0,,,19-32,,Defensive rebound by M. Barnes
1:16.0,,,19-34,2,B. Wright makes 2-pt shot at rim (assist by M. Chalmers)
1:01.0,N. Young makes 3-pt shot from 23 ft,3,22-34,,
0:56.0,,,22-34,,Turnover by M. Chalmers (traveling)
0:42.0,Shooting foul by M. Barnes (drawn by N. Young),,22-34,,
0:42.0,N. Young makes free throw 1 of 3,1,23-34,,
0:42.0,N. Young makes free throw 2 of 3,1,24-34,,
0:42.0,N. Young misses free throw 3 of 3,,24-34,,
0:40.0,,,24-34,,Defensive rebound by M. Barnes
0:28.0,,,24-34,,Turnover by M. Barnes (lost ball; steal by B. Bass)
0:22.0,B. Bass misses 2-pt shot at rim (block by B. Wright),,24-34,,
0:21.0,Offensive rebound by B. Bass,,24-34,,
0:21.0,B. Bass makes 2-pt shot at rim,2,26-34,,
