time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Davis (R. Westbrook gains possession)
11:47.0,,,0-0,,Personal foul by A. Gee (drawn by R. Westbrook)
11:42.0,S. Ibaka misses 3-pt shot from 25 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Gee
11:18.0,,,0-2,2,N. Cole makes 2-pt shot from 17 ft
10:57.0,Turnover by S. Adams (bad pass; steal by A. Davis),,0-2,,
10:53.0,,,0-4,2,N. Cole makes 2-pt shot from 1 ft (assist by A. Gee)
10:36.0,R. Westbrook makes 2-pt shot from 16 ft,2,2-4,,
10:20.0,,,2-4,,Shooting foul by S. Adams (drawn by N. Cole)
10:20.0,,,2-5,1,N. Cole makes free throw 1 of 2
10:20.0,,,2-6,1,N. Cole makes free throw 2 of 2
10:12.0,R. Westbrook makes 2-pt shot from 2 ft,2,4-6,,
9:57.0,,,4-6,,A. Davis misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by K. Durant,,4-6,,
9:56.0,,,4-6,,Personal foul by A. Ajinca (drawn by K. Durant)
9:47.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,6-6,,
9:35.0,,,6-6,,Turnover by N. Cole (bad pass)
9:12.0,K. Durant makes 2-pt shot from 17 ft (assist by S. Adams),2,8-6,,
8:48.0,,,8-9,3,N. Cole makes 3-pt shot from 24 ft (assist by A. Gee)
8:33.0,R. Westbrook misses 2-pt shot from 15 ft,,8-9,,
8:32.0,,,8-9,,Defensive rebound by A. Ajinca
8:23.0,,,8-9,,A. Davis misses 2-pt shot from 18 ft
8:22.0,,,8-9,,Offensive rebound by A. Ajinca
8:07.0,,,8-11,2,A. Davis makes 2-pt shot from 6 ft (assist by N. Cole)
7:53.0,S. Ibaka misses 2-pt shot from 16 ft,,8-11,,
7:52.0,,,8-11,,Defensive rebound by A. Davis
7:47.0,,,8-11,,N. Cole misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by K. Durant,,8-11,,
7:36.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,10-11,,
7:24.0,,,10-14,3,A. Davis makes 3-pt shot from 25 ft (assist by N. Cole)
7:06.0,S. Ibaka makes 2-pt shot at rim (assist by K. Durant),2,12-14,,
6:52.0,Def 3 sec tech foul by S. Ibaka,,12-14,,
6:52.0,,,12-15,1,A. Davis makes technical free throw
6:40.0,,,12-15,,Turnover by A. Davis (bad pass)
6:18.0,A. Roberson misses 3-pt shot from 26 ft,,12-15,,
6:18.0,Offensive rebound by S. Adams,,12-15,,
6:14.0,S. Adams misses 2-pt shot from 2 ft (block by A. Davis),,12-15,,
6:14.0,Offensive rebound by Team,,12-15,,
6:07.0,K. Durant makes 2-pt shot from 16 ft,2,14-15,,
5:57.0,,,14-18,3,A. Davis makes 3-pt shot from 25 ft (assist by D. Cunningham)
5:44.0,R. Westbrook makes 2-pt shot from 12 ft,2,16-18,,
5:32.0,,,16-18,,D. Cunningham misses 2-pt shot from 18 ft
