time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (R. Jackson gains possession)
11:43.0,A. Drummond misses 2-pt shot from 10 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:26.0,,,0-2,2,J. Parker makes 2-pt shot from 10 ft (assist by O. Mayo)
11:10.0,T. Harris makes 2-pt shot from 18 ft (assist by R. Jackson),2,2-2,,
10:43.0,,,2-5,3,O. Mayo makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:29.0,A. Drummond misses 2-pt shot from 2 ft,,2-5,,
10:27.0,,,2-5,,Defensive rebound by G. Antetokounmpo
10:14.0,Personal block foul by A. Drummond (drawn by G. Antetokounmpo),,2-5,,
10:09.0,,,2-5,,J. Parker misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by A. Drummond,,2-5,,
9:59.0,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson),3,5-5,,
9:44.0,,,5-7,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:30.0,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson),3,8-7,,
9:17.0,,,8-10,3,O. Mayo makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
9:00.0,,,8-10,,Personal foul by O. Mayo (drawn by T. Harris)
8:47.0,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson),3,11-10,,
8:25.0,,,11-10,,G. Antetokounmpo misses 2-pt shot from 21 ft
8:24.0,Defensive rebound by A. Drummond,,11-10,,
8:12.0,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris),2,13-10,,
7:53.0,,,13-12,2,K. Middleton makes 2-pt shot from 12 ft
7:34.0,T. Harris misses 2-pt shot from 19 ft,,13-12,,
7:31.0,Offensive rebound by A. Drummond,,13-12,,
7:29.0,A. Drummond misses 2-pt shot from 1 ft,,13-12,,
7:28.0,,,13-12,,Defensive rebound by G. Antetokounmpo
7:24.0,,,13-12,,Turnover by G. Antetokounmpo (bad pass; steal by A. Drummond)
7:19.0,R. Jackson misses 2-pt shot from 1 ft,,13-12,,
7:14.0,,,13-12,,Defensive rebound by G. Antetokounmpo
7:07.0,,,13-12,,G. Antetokounmpo misses 2-pt shot from 1 ft
7:05.0,Defensive rebound by A. Drummond,,13-12,,
7:01.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by A. Drummond),3,16-12,,
6:41.0,,,16-12,,O. Mayo misses 2-pt shot from 19 ft
