time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Bogut (S. Ibaka gains possession)
11:50.0,Personal foul by S. Curry (drawn by K. Durant),,0-0,,
11:46.0,,,0-2,2,R. Westbrook makes 2-pt shot at rim
11:28.0,D. Green misses 2-pt shot at rim,,0-2,,
11:27.0,,,0-2,,Defensive rebound by K. Durant
11:19.0,,,0-5,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Adams)
11:13.0,K. Thompson misses 3-pt shot from 24 ft,,0-5,,
11:11.0,,,0-5,,Defensive rebound by S. Ibaka
10:51.0,,,0-8,3,A. Roberson makes 3-pt shot from 23 ft (assist by K. Durant)
10:26.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,2-8,,
10:11.0,,,2-8,,R. Westbrook misses 2-pt shot from 2 ft (block by A. Bogut)
10:10.0,Defensive rebound by Team,,2-8,,
9:52.0,S. Curry makes 3-pt shot from 23 ft,3,5-8,,
9:30.0,,,5-10,2,S. Adams makes 2-pt shot from 4 ft (assist by K. Durant)
9:21.0,D. Green misses 2-pt shot from 2 ft,,5-10,,
9:20.0,,,5-10,,Defensive rebound by S. Ibaka
9:15.0,,,5-10,,Shooting foul by A. Bogut (drawn by S. Adams)
9:15.0,,,5-10,,S. Adams misses free throw 1 of 2
9:15.0,,,5-10,,Offensive rebound by Team
9:15.0,,,5-11,1,S. Adams makes free throw 2 of 2
8:57.0,A. Bogut misses 2-pt shot from 5 ft,,5-11,,
8:57.0,,,5-11,,Defensive rebound by K. Durant
8:41.0,,,5-11,,K. Durant misses 2-pt shot from 13 ft
8:41.0,Defensive rebound by K. Thompson,,5-11,,
8:28.0,Turnover by K. Thompson (lost ball; steal by S. Adams),,5-11,,
8:16.0,,,5-14,3,K. Durant makes 3-pt shot from 23 ft
8:00.0,K. Thompson misses 3-pt shot from 23 ft,,5-14,,
8:00.0,,,5-14,,Defensive rebound by R. Westbrook
7:53.0,,,5-16,2,R. Westbrook makes 2-pt shot from 1 ft
7:51.0,Golden State full timeout,,5-16,,
7:35.0,H. Barnes misses 2-pt shot from 17 ft,,5-16,,
7:34.0,,,5-16,,Defensive rebound by S. Adams
7:19.0,,,5-16,,K. Durant misses 2-pt shot from 12 ft
7:16.0,,,5-16,,Offensive rebound by S. Adams
7:16.0,,,5-16,,S. Adams misses 2-pt shot from 3 ft
7:16.0,Defensive rebound by D. Green,,5-16,,
7:04.0,K. Thompson misses 2-pt shot from 20 ft,,5-16,,
7:04.0,,,5-16,,Defensive rebound by Team
