time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (G. Dieng gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (G. Dieng gains possession)
11:41.0,G. Dieng misses 2-pt shot from 20 ft,,0-0,,
11:39.0,Offensive rebound by A. Wiggins,,0-0,,
11:38.0,A. Wiggins misses 2-pt shot from 7 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Nowitzki
11:24.0,,,0-0,,D. Nowitzki misses 2-pt shot from 20 ft
11:24.0,,,0-0,,Offensive rebound by D. Williams
11:15.0,,,0-0,,D. Williams misses 3-pt shot from 25 ft
11:15.0,,,0-0,,Offensive rebound by Z. Pachulia
11:15.0,,,0-0,,Shooting foul by K. Towns (drawn by Z. Pachulia)
11:15.0,,,0-1,1,Z. Pachulia makes free throw 1 of 2
11:15.0,,,0-2,1,Z. Pachulia makes free throw 2 of 2
10:50.0,Z. LaVine misses 3-pt shot from 22 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by Z. Pachulia
10:43.0,,,0-2,,C. Parsons misses 2-pt shot from 21 ft
10:39.0,Defensive rebound by Z. LaVine,,0-2,,
10:33.0,R. Rubio misses 3-pt shot from 24 ft,,0-2,,
10:32.0,Offensive rebound by K. Towns,,0-2,,
10:27.0,K. Towns misses 2-pt shot from 4 ft,,0-2,,
10:26.0,Offensive rebound by Z. LaVine,,0-2,,
10:26.0,Z. LaVine misses 2-pt shot from 1 ft,,0-2,,
10:26.0,,,0-2,,Defensive rebound by Team
10:00.0,,,0-5,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by Z. Pachulia)
9:46.0,A. Wiggins misses 2-pt shot from 17 ft,,0-5,,
9:45.0,Offensive rebound by G. Dieng,,0-5,,
9:34.0,G. Dieng misses 2-pt shot from 4 ft,,0-5,,
9:32.0,,,0-5,,Defensive rebound by D. Nowitzki
9:23.0,,,0-5,,W. Matthews misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by R. Rubio,,0-5,,
9:09.0,Turnover by K. Towns (bad pass),,0-5,,
9:00.0,,,0-8,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by W. Matthews)
8:43.0,R. Rubio makes 3-pt shot from 22 ft (assist by K. Towns),3,3-8,,
8:30.0,,,3-11,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Nowitzki)
8:15.0,Shooting foul by D. Nowitzki (drawn by A. Wiggins),,3-11,,
8:15.0,A. Wiggins makes free throw 1 of 2,1,4-11,,
8:15.0,A. Wiggins makes free throw 2 of 2,1,5-11,,
8:02.0,,,5-14,3,W. Matthews makes 3-pt shot from 24 ft (assist by C. Parsons)
7:55.0,Minnesota full timeout,,5-14,,
7:47.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,7-14,,
7:27.0,,,7-16,2,Z. Pachulia makes 2-pt shot from 4 ft (assist by W. Matthews)
7:10.0,G. Dieng misses 2-pt shot from 2 ft (block by D. Nowitzki),,7-16,,
7:09.0,,,7-16,,Defensive rebound by D. Nowitzki
6:57.0,,,7-18,2,C. Parsons makes 2-pt shot from 1 ft (assist by Z. Pachulia)
6:37.0,,,7-18,,Personal block foul by C. Parsons (drawn by K. Towns)
6:37.0,,,7-18,,R. Felton enters the game for D. Nowitzki
6:31.0,Z. LaVine misses 3-pt shot from 23 ft,,7-18,,
6:30.0,,,7-18,,Defensive rebound by Z. Pachulia
6:23.0,,,7-21,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Williams)
6:01.0,G. Dieng makes 2-pt shot from 6 ft (assist by K. Towns),2,9-21,,
5:53.0,,,9-23,2,R. Felton makes 2-pt shot from 1 ft (assist by D. Williams)
5:48.0,Shooting foul by W. Matthews (drawn by G. Dieng),,9-23,,
5:48.0,G. Dieng makes free throw 1 of 2,1,10-23,,
5:48.0,G. Dieng makes free throw 2 of 2,1,11-23,,
5:26.0,,,11-23,,W. Matthews misses 3-pt shot from 25 ft
5:25.0,,,11-23,,Offensive rebound by C. Parsons
5:20.0,,,11-23,,C. Parsons misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by G. Dieng,,11-23,,
5:19.0,,,11-23,,Personal foul by Z. Pachulia (drawn by G. Dieng)
5:19.0,,,11-23,,D. Lee enters the game for Z. Pachulia
5:13.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,13-23,,
5:03.0,,,13-25,2,D. Williams makes 2-pt shot from 1 ft
4:46.0,R. Rubio misses 3-pt shot from 25 ft,,13-25,,
4:45.0,,,13-25,,Defensive rebound by D. Williams
4:39.0,,,13-27,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Williams)
4:33.0,Minnesota full timeout,,13-27,,
4:21.0,G. Dieng misses 2-pt shot from 13 ft,,13-27,,
4:19.0,,,13-27,,Defensive rebound by D. Lee
4:12.0,,,13-29,2,D. Williams makes 2-pt shot from 19 ft
3:51.0,K. Towns misses 2-pt shot from 2 ft,,13-29,,
3:49.0,Offensive rebound by G. Dieng,,13-29,,
3:49.0,G. Dieng misses 2-pt shot from 1 ft,,13-29,,
3:48.0,Offensive rebound by G. Dieng,,13-29,,
3:40.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,15-29,,
3:38.0,,,15-29,,Dallas full timeout
3:38.0,S. Muhammad enters the game for G. Dieng,,15-29,,
3:38.0,T. Jones enters the game for R. Rubio,,15-29,,
3:28.0,,,15-29,,Offensive foul by D. Lee
3:28.0,,,15-29,,Turnover by D. Lee (offensive foul)
3:28.0,,,15-29,,D. Nowitzki enters the game for C. Parsons
3:28.0,,,15-29,,J. Barea enters the game for W. Matthews
3:28.0,,,15-29,,D. Harris enters the game for D. Williams
3:16.0,S. Muhammad misses 3-pt shot from 24 ft,,15-29,,
3:16.0,,,15-29,,Defensive rebound by D. Lee
2:59.0,,,15-31,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea)
2:43.0,A. Wiggins misses 2-pt shot from 15 ft,,15-31,,
2:42.0,,,15-31,,Defensive rebound by D. Lee
2:28.0,,,15-33,2,D. Lee makes 2-pt shot from 2 ft (assist by J. Barea)
2:19.0,A. Wiggins makes 2-pt shot from 3 ft (assist by T. Jones),2,17-33,,
2:10.0,,,17-35,2,J. Barea makes 2-pt shot from 2 ft
2:02.0,Turnover by A. Wiggins (bad pass; steal by D. Harris),,17-35,,
1:55.0,,,17-37,2,R. Felton makes 2-pt shot from 2 ft (assist by D. Harris)
1:42.0,T. Jones misses 2-pt shot from 1 ft (block by D. Lee),,17-37,,
1:41.0,,,17-37,,Defensive rebound by J. Barea
1:35.0,,,17-37,,D. Harris misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by Z. LaVine,,17-37,,
1:27.0,Z. LaVine misses 2-pt shot from 4 ft,,17-37,,
1:26.0,Offensive rebound by K. Towns,,17-37,,
1:26.0,K. Towns makes 2-pt shot at rim,2,19-37,,
1:15.0,,,19-39,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by J. Barea)
0:56.0,A. Wiggins makes 2-pt shot from 2 ft,2,21-39,,
0:35.0,,,21-39,,D. Nowitzki misses 3-pt shot from 27 ft
0:35.0,Defensive rebound by A. Wiggins,,21-39,,
0:13.0,S. Muhammad makes 3-pt shot from 23 ft (assist by Z. LaVine),3,24-39,,
0:07.0,Personal take foul by Z. LaVine (drawn by R. Felton),,24-39,,
0:07.0,G. Dieng enters the game for K. Towns,,24-39,,
0:01.0,,,24-39,,R. Felton misses 2-pt shot from 19 ft
0:00.0,,,24-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-39,,J. Barea misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by G. Dieng,,24-39,,
11:30.0,Z. LaVine makes 3-pt shot from 23 ft (assist by T. Jones),3,27-39,,
11:17.0,,,27-41,2,J. Barea makes 2-pt shot at rim
11:02.0,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones),3,30-41,,
10:48.0,,,30-41,,D. Lee misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by A. Payne,,30-41,,
10:37.0,S. Muhammad misses 2-pt shot from 7 ft,,30-41,,
10:36.0,,,30-41,,Defensive rebound by D. Nowitzki
10:28.0,,,30-43,2,J. Barea makes 2-pt shot from 1 ft
10:03.0,Turnover by A. Payne (bad pass; steal by D. Lee),,30-43,,
9:50.0,,,30-43,,D. Lee misses 2-pt shot from 1 ft
9:48.0,Defensive rebound by Z. LaVine,,30-43,,
9:45.0,S. Muhammad makes 2-pt shot from 2 ft (assist by Z. LaVine),2,32-43,,
9:32.0,,,32-43,,Shooting foul by Z. LaVine (drawn by J. Barea)
9:32.0,,,32-44,1,J. Barea makes free throw 1 of 2
9:32.0,,,32-45,1,J. Barea makes free throw 2 of 2
9:16.0,Shooting foul by D. Lee (drawn by G. Dieng),,32-45,,
9:16.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,34-45,,
9:16.0,G. Dieng makes free throw 1 of 1,1,35-45,,
9:07.0,,,35-45,,Turnover by J. Barea (lost ball; steal by T. Jones)
9:04.0,Shooting foul by D. Nowitzki (drawn by Z. LaVine),,35-45,,
9:04.0,Z. LaVine makes free throw 1 of 2,1,36-45,,
9:04.0,,,36-45,,Z. Pachulia enters the game for D. Lee
9:04.0,,,36-45,,C. Parsons enters the game for D. Nowitzki
9:04.0,Z. LaVine misses free throw 2 of 2,,36-45,,
9:03.0,,,36-45,,Defensive rebound by C. Parsons
8:40.0,,,36-45,,Z. Pachulia misses 2-pt shot from 2 ft (block by G. Dieng)
8:38.0,,,36-45,,Offensive rebound by Z. Pachulia
8:35.0,,,36-45,,D. Harris misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by Team,,36-45,,
8:34.0,Official timeout,,36-45,,
8:34.0,,,36-45,,D. Williams enters the game for R. Felton
8:34.0,A. Wiggins enters the game for Z. LaVine,,36-45,,
8:18.0,S. Muhammad misses 2-pt shot from 7 ft,,36-45,,
8:17.0,Offensive rebound by S. Muhammad,,36-45,,
8:15.0,S. Muhammad makes 2-pt shot from 3 ft,2,38-45,,
7:53.0,,,38-45,,J. Barea misses 2-pt shot from 9 ft
7:52.0,,,38-45,,Offensive rebound by Team
7:52.0,R. Rubio enters the game for T. Jones,,38-45,,
7:51.0,,,38-47,2,D. Harris makes 2-pt shot from 2 ft (assist by D. Williams)
7:39.0,Offensive foul by G. Dieng,,38-47,,
7:39.0,Turnover by G. Dieng (offensive foul),,38-47,,
7:28.0,,,38-50,3,D. Harris makes 3-pt shot from 22 ft (assist by D. Williams)
7:03.0,A. Payne makes 2-pt shot from 8 ft (assist by A. Wiggins),2,40-50,,
6:36.0,,,40-53,3,C. Parsons makes 3-pt shot from 26 ft (assist by D. Williams)
6:16.0,S. Muhammad makes 2-pt shot from 3 ft,2,42-53,,
6:01.0,,,42-55,2,D. Williams makes 2-pt shot from 21 ft (assist by J. Barea)
5:50.0,A. Wiggins misses 2-pt shot from 2 ft (block by Z. Pachulia),,42-55,,
5:48.0,Offensive rebound by A. Wiggins,,42-55,,
5:48.0,A. Wiggins misses 2-pt shot from 1 ft,,42-55,,
5:46.0,,,42-55,,Defensive rebound by C. Parsons
5:31.0,,,42-55,,C. Parsons misses 2-pt shot from 4 ft (block by G. Dieng)
5:29.0,Defensive rebound by A. Payne,,42-55,,
5:24.0,R. Rubio misses 2-pt shot from 19 ft,,42-55,,
5:22.0,Offensive rebound by S. Muhammad,,42-55,,
5:22.0,S. Muhammad makes 2-pt shot from 1 ft,2,44-55,,
5:22.0,,,44-55,,Dallas full timeout
5:22.0,,,44-55,,R. Felton enters the game for J. Barea
5:22.0,,,44-55,,W. Matthews enters the game for D. Harris
5:22.0,K. Towns enters the game for A. Payne,,44-55,,
5:04.0,,,44-55,,Z. Pachulia misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by K. Towns,,44-55,,
5:04.0,,,44-55,,Loose ball foul by Z. Pachulia (drawn by K. Towns)
5:04.0,,,44-55,,D. Lee enters the game for Z. Pachulia
4:53.0,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio),2,46-55,,
4:28.0,,,46-55,,R. Felton misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by K. Towns,,46-55,,
4:13.0,G. Dieng misses 2-pt shot from 3 ft,,46-55,,
4:13.0,Offensive rebound by Team,,46-55,,
4:13.0,,,46-55,,D. Nowitzki enters the game for C. Parsons
4:04.0,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio),2,48-55,,
3:57.0,Shooting block foul by A. Wiggins (drawn by D. Williams),,48-55,,
3:57.0,,,48-56,1,D. Williams makes free throw 1 of 2
3:57.0,Z. LaVine enters the game for S. Muhammad,,48-56,,
3:57.0,,,48-57,1,D. Williams makes free throw 2 of 2
3:39.0,G. Dieng misses 2-pt shot from 17 ft,,48-57,,
3:38.0,,,48-57,,Defensive rebound by D. Lee
3:22.0,,,48-57,,R. Felton misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by A. Wiggins,,48-57,,
3:15.0,Offensive foul by K. Towns,,48-57,,
3:15.0,Turnover by K. Towns (offensive foul),,48-57,,
3:15.0,,,48-57,,C. Parsons enters the game for R. Felton
2:57.0,,,48-57,,D. Williams misses 3-pt shot from 24 ft
2:56.0,Defensive rebound by K. Towns,,48-57,,
2:47.0,A. Wiggins misses 2-pt shot from 16 ft,,48-57,,
2:45.0,Offensive rebound by G. Dieng,,48-57,,
