time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. N. Vucevic (M. Hezonja gains possession),,,,Jump ball: N. Noel vs. N. Vucevic (M. Hezonja gains possession)
11:53.0,,,0-2,2,M. Hezonja makes 2-pt shot from 1 ft
11:44.0,R. Covington misses 3-pt shot from 26 ft,,0-2,,
11:43.0,,,0-2,,Defensive rebound by A. Gordon
11:34.0,,,0-4,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
11:22.0,Turnover by N. Stauskas (bad pass; steal by V. Oladipo),,0-4,,
11:05.0,,,0-4,,Shooting foul by J. Okafor (drawn by A. Gordon)
11:05.0,,,0-5,1,A. Gordon makes free throw 1 of 2
11:05.0,,,0-6,1,A. Gordon makes free throw 2 of 2
10:54.0,,,0-6,,Personal foul by M. Hezonja (drawn by N. Stauskas)
10:43.0,Turnover by N. Noel (lost ball; steal by M. Hezonja),,0-6,,
10:33.0,,,0-6,,A. Gordon misses 2-pt shot from 1 ft (block by N. Noel)
10:31.0,,,0-6,,Offensive rebound by A. Gordon
10:31.0,,,0-8,2,A. Gordon makes 2-pt shot at rim
10:31.0,Philadelphia full timeout,,0-8,,
10:08.0,R. Covington misses 2-pt shot from 8 ft,,0-8,,
10:07.0,,,0-8,,Defensive rebound by N. Vucevic
9:54.0,,,0-11,3,M. Hezonja makes 3-pt shot from 24 ft (assist by A. Gordon)
9:41.0,Shooting foul by E. Payton (drawn by N. Stauskas),,0-11,,
9:41.0,N. Stauskas misses free throw 1 of 2,,0-11,,
9:41.0,Offensive rebound by Team,,0-11,,
9:41.0,N. Stauskas makes free throw 2 of 2,1,1-11,,
9:22.0,,,1-13,2,V. Oladipo makes 2-pt shot from 16 ft
9:09.0,J. Okafor makes 2-pt shot from 6 ft,2,3-13,,
8:57.0,,,3-13,,M. Hezonja misses 2-pt shot from 21 ft
8:57.0,Defensive rebound by R. Covington,,3-13,,
8:45.0,J. Okafor makes 2-pt shot from 5 ft,2,5-13,,
8:29.0,,,5-15,2,N. Vucevic makes 2-pt shot from 8 ft
8:24.0,,,5-15,,Personal foul by E. Payton (drawn by J. Okafor)
8:10.0,N. Noel misses 2-pt shot at rim (block by A. Gordon),,5-15,,
8:10.0,Offensive rebound by Team,,5-15,,
8:06.0,J. Okafor makes 2-pt shot from 16 ft,2,7-15,,
7:57.0,,,7-17,2,M. Hezonja makes 2-pt shot at rim (assist by E. Payton)
7:57.0,,,7-17,,Shooting foul by N. Noel (drawn by M. Hezonja)
7:57.0,J. Grant enters the game for N. Noel,,7-17,,
7:57.0,,,7-18,1,M. Hezonja makes free throw 1 of 1
7:47.0,N. Stauskas makes 2-pt shot at rim (assist by J. Okafor),2,9-18,,
7:47.0,Shooting foul by M. Hezonja (drawn by N. Stauskas),,9-18,,
7:47.0,,,9-18,,C. Watson enters the game for M. Hezonja
7:47.0,N. Stauskas makes free throw 1 of 1,1,10-18,,
7:34.0,,,10-18,,V. Oladipo misses 2-pt shot from 13 ft
7:34.0,Defensive rebound by R. Covington,,10-18,,
7:25.0,J. Okafor makes 2-pt shot at rim (assist by N. Stauskas),2,12-18,,
7:14.0,,,12-18,,N. Vucevic misses 2-pt shot from 12 ft
7:13.0,,,12-18,,Offensive rebound by E. Payton
7:10.0,,,12-18,,Shooting foul by R. Covington (drawn by A. Gordon)
7:10.0,,,12-19,1,A. Gordon makes free throw 1 of 2
7:10.0,,,12-20,1,A. Gordon makes free throw 2 of 2
6:55.0,J. Okafor misses 2-pt shot from 11 ft,,12-20,,
6:54.0,,,12-20,,Defensive rebound by A. Gordon
