time,Detroit,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession)
11:43.0,,,0-0,,T. Duncan misses 2-pt shot from 1 ft (block by A. Drummond)
11:42.0,Defensive rebound by T. Harris,,0-0,,
11:37.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,2-0,,
11:19.0,,,2-3,3,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker)
11:02.0,R. Jackson misses 2-pt shot from 1 ft,,2-3,,
11:01.0,Offensive rebound by A. Drummond,,2-3,,
10:55.0,R. Jackson makes 2-pt shot from 19 ft,2,4-3,,
10:41.0,,,4-3,,Turnover by T. Parker (bad pass)
10:31.0,T. Harris makes 2-pt shot from 2 ft,2,6-3,,
10:11.0,,,6-3,,L. Aldridge misses 2-pt shot from 1 ft
10:09.0,,,6-3,,Offensive rebound by T. Duncan
10:09.0,,,6-5,2,T. Duncan makes 2-pt shot at rim
9:58.0,Offensive foul by M. Morris,,6-5,,
9:58.0,Turnover by M. Morris (offensive foul),,6-5,,
9:43.0,,,6-5,,Turnover by L. Aldridge (bad pass; steal by A. Drummond)
9:27.0,A. Drummond misses 2-pt shot from 1 ft (block by D. Green),,6-5,,
9:25.0,Offensive rebound by T. Harris,,6-5,,
9:25.0,T. Harris misses 2-pt shot from 1 ft,,6-5,,
9:23.0,,,6-5,,Defensive rebound by T. Duncan
9:16.0,,,6-7,2,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker)
9:16.0,,,6-7,,Shooting foul by A. Drummond (drawn by T. Duncan)
9:16.0,,,6-7,,T. Duncan misses free throw 1 of 1
9:15.0,Defensive rebound by A. Drummond,,6-7,,
9:08.0,Turnover by R. Jackson (bad pass),,6-7,,
8:49.0,,,6-7,,T. Duncan misses 2-pt shot from 19 ft
8:48.0,Defensive rebound by R. Jackson,,6-7,,
8:39.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,8-7,,
8:31.0,,,8-7,,Shooting foul by A. Drummond (drawn by T. Parker)
8:31.0,,,8-8,1,T. Parker makes free throw 1 of 2
8:31.0,A. Baynes enters the game for A. Drummond,,8-8,,
8:31.0,,,8-9,1,T. Parker makes free throw 2 of 2
8:18.0,T. Harris misses 2-pt shot from 20 ft,,8-9,,
8:17.0,,,8-9,,Defensive rebound by T. Parker
8:04.0,,,8-9,,Turnover by T. Parker (lost ball)
7:49.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,8-9,,
7:48.0,,,8-9,,Defensive rebound by T. Duncan
7:39.0,,,8-11,2,K. Leonard makes 2-pt shot from 18 ft (assist by T. Parker)
7:21.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,8-11,,
7:20.0,,,8-11,,Defensive rebound by L. Aldridge
7:14.0,,,8-11,,Turnover by T. Duncan (lost ball; steal by K. Caldwell-Pope)
7:09.0,M. Morris makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,10-11,,
6:47.0,,,10-11,,T. Parker misses 3-pt shot from 23 ft
6:46.0,,,10-11,,Offensive rebound by T. Duncan
6:30.0,,,10-11,,T. Duncan misses 2-pt shot from 3 ft
6:29.0,Defensive rebound by A. Baynes,,10-11,,
6:17.0,T. Harris misses 2-pt shot from 21 ft,,10-11,,
6:15.0,,,10-11,,Defensive rebound by L. Aldridge
6:08.0,,,10-13,2,T. Parker makes 2-pt shot from 1 ft
5:53.0,,,10-13,,Def 3 sec tech foul by T. Duncan
5:53.0,,,10-13,,San Antonio full timeout
5:53.0,R. Jackson makes technical free throw,1,11-13,,
5:43.0,M. Morris misses 3-pt shot from 24 ft,,11-13,,
5:42.0,,,11-13,,Defensive rebound by D. Green
5:30.0,,,11-15,2,K. Leonard makes 2-pt shot from 11 ft
5:13.0,,,11-15,,Personal foul by K. Leonard (drawn by K. Caldwell-Pope)
5:13.0,,,11-15,,P. Mills enters the game for T. Parker
5:13.0,,,11-15,,B. Diaw enters the game for T. Duncan
5:05.0,M. Morris makes 3-pt shot from 23 ft (assist by T. Harris),3,14-15,,
4:49.0,,,14-17,2,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Leonard)
4:41.0,R. Jackson makes 2-pt shot at rim,2,16-17,,
4:27.0,,,16-19,2,L. Aldridge makes 2-pt shot from 1 ft
4:15.0,Turnover by R. Jackson (bad pass; steal by D. Green),,16-19,,
4:02.0,,,16-19,,K. Leonard misses 2-pt shot from 9 ft
4:01.0,Defensive rebound by M. Morris,,16-19,,
3:51.0,A. Baynes makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,18-19,,
3:36.0,,,18-19,,P. Mills misses 2-pt shot from 17 ft
3:35.0,Defensive rebound by T. Harris,,18-19,,
3:27.0,T. Harris misses 2-pt shot from 2 ft,,18-19,,
3:26.0,,,18-19,,Defensive rebound by L. Aldridge
3:08.0,,,18-22,3,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard)
2:58.0,Detroit full timeout,,18-22,,
2:58.0,,,18-22,,K. Anderson enters the game for D. Green
2:58.0,S. Blake enters the game for R. Jackson,,18-22,,
2:58.0,R. Bullock enters the game for M. Morris,,18-22,,
2:48.0,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,20-22,,
2:33.0,Personal foul by R. Bullock (drawn by K. Leonard),,20-22,,
2:27.0,,,20-24,2,K. Leonard makes 2-pt shot from 13 ft (assist by P. Mills)
2:07.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,20-24,,
2:06.0,,,20-24,,Defensive rebound by P. Mills
1:53.0,,,20-26,2,L. Aldridge makes 2-pt shot from 16 ft
1:36.0,T. Harris makes 2-pt shot from 16 ft (assist by S. Blake),2,22-26,,
1:23.0,,,22-26,,L. Aldridge misses 2-pt shot from 14 ft
1:22.0,Defensive rebound by T. Harris,,22-26,,
1:14.0,A. Baynes misses 2-pt shot from 1 ft,,22-26,,
1:12.0,,,22-26,,Defensive rebound by L. Aldridge
1:03.0,,,22-26,,K. Leonard misses 2-pt shot from 14 ft
1:02.0,Defensive rebound by A. Baynes,,22-26,,
0:53.0,A. Baynes makes 2-pt shot from 17 ft (assist by S. Blake),2,24-26,,
0:34.0,,,24-26,,P. Mills misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by R. Bullock,,24-26,,
0:16.0,R. Bullock makes 2-pt shot from 13 ft (assist by A. Baynes),2,26-26,,
0:03.0,,,26-28,2,K. Leonard makes 2-pt shot from 17 ft
0:00.0,K. Caldwell-Pope misses 3-pt shot from 36 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Morris misses 2-pt shot from 17 ft,,26-28,,
11:42.0,,,26-28,,Defensive rebound by P. Mills
11:30.0,,,26-28,,K. Anderson misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by A. Baynes,,26-28,,
11:06.0,M. Morris makes 2-pt shot at rim,2,28-28,,
10:52.0,,,28-28,,P. Mills misses 2-pt shot from 17 ft
10:51.0,Defensive rebound by R. Bullock,,28-28,,
10:44.0,Shooting foul by D. West (drawn by A. Baynes),,28-28,,
10:44.0,A. Baynes makes free throw 1 of 2,1,29-28,,
10:44.0,A. Baynes makes free throw 2 of 2,1,30-28,,
10:29.0,,,30-28,,Offensive foul by D. West
10:29.0,,,30-28,,Turnover by D. West (offensive foul)
10:13.0,M. Morris makes 2-pt shot from 16 ft,2,32-28,,
10:04.0,Personal foul by M. Morris (drawn by B. Diaw),,32-28,,
9:53.0,,,32-28,,D. West misses 2-pt shot from 15 ft
9:52.0,Defensive rebound by D. Hilliard,,32-28,,
9:49.0,Offensive foul by A. Baynes,,32-28,,
9:49.0,Turnover by A. Baynes (offensive foul),,32-28,,
9:31.0,,,32-28,,D. West misses 2-pt shot from 7 ft
9:30.0,Defensive rebound by M. Morris,,32-28,,
9:26.0,Turnover by M. Morris (traveling),,32-28,,
9:13.0,,,32-30,2,K. Anderson makes 2-pt shot from 11 ft (assist by P. Mills)
9:13.0,,,32-30,,Shooting foul by S. Blake (drawn by K. Anderson)
9:13.0,,,32-31,1,K. Anderson makes free throw 1 of 1
8:59.0,S. Blake misses 2-pt shot from 19 ft,,32-31,,
8:58.0,,,32-31,,Defensive rebound by B. Diaw
8:42.0,,,32-33,2,B. Diaw makes 2-pt shot from 4 ft (assist by P. Mills)
8:23.0,A. Baynes makes 2-pt shot from 5 ft (assist by D. Hilliard),2,34-33,,
8:09.0,,,34-36,3,B. Diaw makes 3-pt shot from 23 ft (assist by P. Mills)
7:53.0,D. Hilliard misses 3-pt shot from 23 ft,,34-36,,
7:52.0,,,34-36,,Defensive rebound by K. Anderson
7:43.0,,,34-38,2,K. Anderson makes 2-pt shot from 14 ft
7:36.0,Detroit full timeout,,34-38,,
7:36.0,A. Drummond enters the game for A. Baynes,,34-38,,
7:29.0,M. Morris misses 2-pt shot from 18 ft,,34-38,,
7:28.0,,,34-38,,Defensive rebound by K. Anderson
7:19.0,,,34-40,2,D. West makes 2-pt shot from 2 ft (assist by P. Mills)
