time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. D. West (T. Parker gains possession),,,,Jump ball: D. Cousins vs. D. West (T. Parker gains possession)
11:42.0,,,0-2,2,D. West makes 2-pt shot from 16 ft (assist by T. Parker)
11:29.0,,,0-2,,Def 3 sec tech foul by D. West
11:29.0,R. Gay misses technical free throw,,0-2,,
11:29.0,Offensive rebound by Team,,0-2,,
11:14.0,Q. Acy makes 3-pt shot from 24 ft (assist by D. Cousins),3,3-2,,
10:58.0,,,3-4,2,D. West makes 2-pt shot from 17 ft (assist by T. Parker)
10:48.0,D. Cousins misses 2-pt shot from 17 ft,,3-4,,
10:47.0,,,3-4,,Defensive rebound by K. Leonard
10:30.0,,,3-4,,K. Leonard misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by B. McLemore,,3-4,,
10:22.0,R. Rondo misses 2-pt shot from 5 ft (block by T. Parker),,3-4,,
10:20.0,,,3-4,,Defensive rebound by T. Parker
10:15.0,,,3-6,2,B. Diaw makes 2-pt shot at rim (assist by J. Simmons)
10:06.0,R. Rondo misses 2-pt shot from 16 ft,,3-6,,
10:06.0,,,3-6,,Defensive rebound by D. West
9:52.0,,,3-6,,Turnover by K. Leonard (lost ball; steal by D. Cousins)
9:45.0,B. McLemore misses 2-pt shot from 1 ft,,3-6,,
9:43.0,,,3-6,,Defensive rebound by J. Simmons
9:38.0,,,3-6,,Turnover by B. Diaw (step out of bounds)
9:33.0,,,3-6,,Personal foul by D. West (drawn by D. Cousins)
9:25.0,Q. Acy makes 3-pt shot from 24 ft (assist by R. Rondo),3,6-6,,
8:59.0,,,6-6,,Turnover by B. Diaw (bad pass)
8:50.0,Offensive foul by R. Rondo,,6-6,,
8:50.0,Turnover by R. Rondo (offensive foul),,6-6,,
8:36.0,,,6-6,,D. West misses 2-pt shot from 11 ft
8:35.0,Defensive rebound by D. Cousins,,6-6,,
8:27.0,Turnover by R. Gay (step out of bounds),,6-6,,
8:12.0,,,6-8,2,D. West makes 2-pt shot from 6 ft (assist by K. Leonard)
8:12.0,,,6-8,,Shooting foul by D. Cousins (drawn by D. West)
8:12.0,,,6-9,1,D. West makes free throw 1 of 1
