time,Detroit,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. Z. Pachulia (T. Harris gains possession),,,,Jump ball: A. Drummond vs. Z. Pachulia (T. Harris gains possession)
11:43.0,A. Drummond misses 2-pt shot from 11 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by C. Parsons
11:25.0,,,0-0,,Z. Pachulia misses 2-pt shot from 12 ft
11:24.0,Defensive rebound by T. Harris,,0-0,,
11:18.0,,,0-0,,Personal foul by D. Williams
11:05.0,A. Drummond makes 2-pt shot from 6 ft (assist by T. Harris),2,2-0,,
10:59.0,Personal foul by R. Jackson,,2-0,,
10:43.0,,,2-0,,C. Parsons misses 3-pt shot from 24 ft
10:42.0,,,2-0,,Offensive rebound by Z. Pachulia
10:38.0,,,2-3,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
10:27.0,M. Morris misses 3-pt shot from 24 ft,,2-3,,
10:26.0,,,2-3,,Defensive rebound by D. Nowitzki
10:14.0,,,2-6,3,W. Matthews makes 3-pt shot from 27 ft (assist by C. Parsons)
9:52.0,T. Harris makes 2-pt shot from 15 ft (assist by R. Jackson),2,4-6,,
9:19.0,,,4-8,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Williams)
9:00.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,4-8,,
8:59.0,Offensive rebound by K. Caldwell-Pope,,4-8,,
8:55.0,K. Caldwell-Pope makes 2-pt shot from 9 ft,2,6-8,,
8:48.0,,,6-8,,Turnover by D. Williams (lost ball; steal by A. Drummond)
8:45.0,Turnover by A. Drummond (lost ball; steal by D. Nowitzki),,6-8,,
8:38.0,,,6-8,,D. Williams misses 3-pt shot from 22 ft
8:37.0,Defensive rebound by Team,,6-8,,
8:25.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris),3,9-8,,
8:09.0,,,9-10,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Nowitzki)
7:43.0,,,9-10,,Personal foul by Z. Pachulia
7:34.0,R. Jackson makes 2-pt shot from 5 ft,2,11-10,,
7:15.0,,,11-12,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by C. Parsons)
7:00.0,R. Jackson misses 3-pt shot from 26 ft,,11-12,,
6:59.0,,,11-12,,Defensive rebound by Z. Pachulia
6:51.0,,,11-14,2,C. Parsons makes 2-pt shot from 4 ft
6:44.0,Detroit full timeout,,11-14,,
6:44.0,,,11-14,,D. Harris enters the game for D. Nowitzki
6:28.0,Turnover by A. Drummond (lost ball; steal by W. Matthews),,11-14,,
6:13.0,,,11-16,2,C. Parsons makes 2-pt shot from 9 ft (assist by D. Harris)
5:51.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,11-16,,
5:50.0,,,11-16,,Defensive rebound by D. Harris
5:37.0,,,11-16,,C. Parsons misses 2-pt shot from 14 ft
5:36.0,Defensive rebound by M. Morris,,11-16,,
5:21.0,A. Drummond makes 2-pt shot from 8 ft,2,13-16,,
5:07.0,,,13-18,2,D. Williams makes 2-pt shot from 5 ft
4:51.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,13-18,,
4:50.0,Offensive rebound by A. Drummond,,13-18,,
4:41.0,M. Morris makes 2-pt shot from 16 ft,2,15-18,,
4:30.0,,,15-18,,Shooting foul by M. Morris (drawn by Z. Pachulia)
4:30.0,,,15-19,1,Z. Pachulia makes free throw 1 of 2
4:30.0,R. Bullock enters the game for T. Harris,,15-19,,
4:30.0,,,15-20,1,Z. Pachulia makes free throw 2 of 2
4:15.0,M. Morris misses 2-pt shot from 5 ft,,15-20,,
4:14.0,Offensive rebound by A. Drummond,,15-20,,
4:12.0,A. Drummond makes 2-pt shot from 2 ft,2,17-20,,
3:54.0,,,17-20,,C. Parsons misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by R. Bullock,,17-20,,
3:45.0,R. Jackson misses 2-pt shot at rim,,17-20,,
3:43.0,,,17-20,,Defensive rebound by Z. Pachulia
3:39.0,,,17-23,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Harris)
3:21.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,17-23,,
3:20.0,,,17-23,,Defensive rebound by Z. Pachulia
3:10.0,,,17-23,,D. Harris misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by K. Caldwell-Pope,,17-23,,
2:50.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,17-23,,
2:49.0,,,17-23,,Defensive rebound by D. Williams
2:40.0,,,17-23,,D. Williams misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by R. Bullock,,17-23,,
2:31.0,R. Jackson misses 2-pt shot from 14 ft,,17-23,,
2:30.0,,,17-23,,Defensive rebound by Team
2:30.0,,,17-23,,Dallas full timeout
2:30.0,,,17-23,,R. Felton enters the game for C. Parsons
2:30.0,,,17-23,,D. Nowitzki enters the game for W. Matthews
2:30.0,S. Blake enters the game for R. Jackson,,17-23,,
2:12.0,,,17-23,,D. Nowitzki misses 2-pt shot from 19 ft
2:11.0,Defensive rebound by A. Drummond,,17-23,,
2:00.0,M. Morris makes 2-pt shot from 7 ft,2,19-23,,
1:41.0,,,19-25,2,D. Nowitzki makes 2-pt shot from 4 ft
1:30.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,19-25,,
1:28.0,Offensive rebound by R. Bullock,,19-25,,
1:18.0,M. Morris misses 3-pt shot from 24 ft,,19-25,,
1:17.0,Offensive rebound by A. Drummond,,19-25,,
1:12.0,A. Drummond misses 2-pt shot from 9 ft,,19-25,,
1:11.0,,,19-25,,Defensive rebound by Z. Pachulia
1:04.0,,,19-25,,Turnover by R. Felton (lost ball; steal by K. Caldwell-Pope)
0:56.0,A. Drummond makes 2-pt shot from 12 ft (assist by S. Blake),2,21-25,,
0:38.0,,,21-27,2,R. Felton makes 2-pt shot from 1 ft
0:38.0,,,21-27,,Shooting foul by S. Blake (drawn by R. Felton)
0:38.0,,,21-27,,D. Lee enters the game for Z. Pachulia
0:38.0,,,21-27,,J. Barea enters the game for D. Williams
0:38.0,,,21-28,1,R. Felton makes free throw 1 of 1
0:25.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,23-28,,
0:03.0,,,23-28,,Turnover by R. Felton (lost ball; steal by S. Blake)
0:00.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by M. Morris),2,25-28,,
0:00.0,Shooting foul by D. Harris (drawn by K. Caldwell-Pope),,25-28,,
0:00.0,K. Caldwell-Pope makes free throw 1 of 1,1,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-28,,D. Harris misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by R. Bullock,,26-28,,
11:24.0,Turnover by S. Blake (lost ball; steal by R. Felton),,26-28,,
11:20.0,,,26-30,2,D. Harris makes 2-pt shot from 1 ft
11:00.0,R. Bullock makes 2-pt shot from 16 ft,2,28-30,,
10:38.0,,,28-30,,R. Felton misses 2-pt shot from 3 ft (block by A. Baynes)
10:37.0,,,28-30,,Offensive rebound by R. Felton
10:35.0,,,28-30,,D. Nowitzki misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by T. Harris,,28-30,,
10:19.0,R. Bullock misses 2-pt shot from 5 ft (block by D. Lee),,28-30,,
10:19.0,Offensive rebound by Team,,28-30,,
10:11.0,Turnover by Team (shot clock),,28-30,,
9:58.0,,,28-30,,Turnover by D. Harris (lost ball; steal by T. Harris)
9:50.0,,,28-30,,Shooting block foul by D. Lee (drawn by T. Harris)
9:50.0,T. Harris makes free throw 1 of 2,1,29-30,,
9:50.0,,,29-30,,W. Matthews enters the game for D. Harris
9:50.0,T. Harris makes free throw 2 of 2,1,30-30,,
9:34.0,,,30-30,,D. Lee misses 2-pt shot from 5 ft
9:33.0,Defensive rebound by R. Bullock,,30-30,,
9:23.0,S. Blake misses 2-pt shot from 20 ft,,30-30,,
9:22.0,Offensive rebound by R. Bullock,,30-30,,
9:20.0,Turnover by R. Bullock (lost ball; steal by R. Felton),,30-30,,
9:13.0,,,30-33,3,J. Barea makes 3-pt shot from 23 ft (assist by D. Nowitzki)
8:49.0,T. Harris misses 2-pt shot from 7 ft,,30-33,,
8:48.0,,,30-33,,Defensive rebound by D. Nowitzki
8:39.0,,,30-35,2,J. Barea makes 2-pt shot from 3 ft
8:15.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,32-35,,
