time,Chicago,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. P. Gasol (T. Parker gains possession),,,,Jump ball: T. Duncan vs. P. Gasol (T. Parker gains possession)
11:47.0,,,0-2,2,K. Leonard makes 2-pt shot from 11 ft
11:35.0,D. Rose misses 2-pt shot from 3 ft,,0-2,,
11:31.0,Offensive rebound by T. Gibson,,0-2,,
11:31.0,T. Gibson makes 2-pt shot at rim,2,2-2,,
11:22.0,,,2-4,2,T. Parker makes 2-pt shot from 18 ft
11:03.0,P. Gasol misses 2-pt shot from 19 ft,,2-4,,
11:02.0,,,2-4,,Defensive rebound by L. Aldridge
10:50.0,,,2-4,,L. Aldridge misses 2-pt shot from 6 ft
10:49.0,Defensive rebound by P. Gasol,,2-4,,
10:27.0,D. Rose misses 2-pt shot from 15 ft,,2-4,,
10:25.0,,,2-4,,Defensive rebound by Team
10:09.0,,,2-6,2,L. Aldridge makes 2-pt shot from 7 ft
9:55.0,T. Gibson misses 2-pt shot from 12 ft (block by L. Aldridge),,2-6,,
9:51.0,,,2-6,,Defensive rebound by L. Aldridge
9:49.0,,,2-6,,Turnover by T. Parker (lost ball; steal by E. Moore)
9:42.0,D. Rose misses 2-pt shot from 19 ft,,2-6,,
9:40.0,,,2-6,,Defensive rebound by T. Parker
9:32.0,,,2-6,,T. Parker misses 3-pt shot from 23 ft
9:31.0,,,2-6,,Offensive rebound by T. Duncan
9:27.0,,,2-6,,D. Green misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by M. Dunleavy,,2-6,,
9:11.0,M. Dunleavy makes 2-pt shot from 2 ft (assist by P. Gasol),2,4-6,,
9:11.0,Shooting foul by T. Parker (drawn by M. Dunleavy),,4-6,,
9:11.0,M. Dunleavy makes free throw 1 of 1,1,5-6,,
8:52.0,,,5-9,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
8:40.0,D. Rose makes 2-pt shot from 2 ft,2,7-9,,
8:30.0,,,7-9,,T. Parker misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by T. Gibson,,7-9,,
8:15.0,Shooting foul by L. Aldridge (drawn by T. Gibson),,7-9,,
8:15.0,T. Gibson makes free throw 1 of 2,1,8-9,,
8:15.0,T. Gibson makes free throw 2 of 2,1,9-9,,
7:56.0,,,9-11,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Parker)
7:45.0,P. Gasol makes 2-pt shot from 19 ft (assist by M. Dunleavy),2,11-11,,
7:36.0,,,11-13,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
7:28.0,D. Rose misses 2-pt shot from 3 ft,,11-13,,
7:27.0,,,11-13,,Defensive rebound by L. Aldridge
7:13.0,,,11-15,2,K. Leonard makes 2-pt shot from 15 ft (assist by L. Aldridge)
6:57.0,M. Dunleavy misses 2-pt shot from 7 ft,,11-15,,
6:56.0,,,11-15,,Defensive rebound by T. Duncan
6:49.0,,,11-17,2,D. Green makes 2-pt shot from 10 ft (assist by T. Parker)
6:49.0,Chicago full timeout,,11-17,,
6:36.0,T. Gibson makes 2-pt shot at rim (assist by D. Rose),2,13-17,,
6:18.0,,,13-19,2,L. Aldridge makes 2-pt shot from 13 ft (assist by T. Parker)
6:03.0,Turnover by P. Gasol (lost ball; steal by L. Aldridge),,13-19,,
5:52.0,,,13-19,,L. Aldridge misses 2-pt shot from 4 ft (block by P. Gasol)
5:50.0,Defensive rebound by P. Gasol,,13-19,,
5:46.0,D. Rose makes 2-pt shot from 2 ft,2,15-19,,
5:28.0,,,15-21,2,T. Parker makes 2-pt shot from 14 ft
5:19.0,Turnover by M. Dunleavy (lost ball; steal by D. Green),,15-21,,
5:15.0,,,15-21,,D. Green misses 2-pt shot from 3 ft (block by E. Moore)
5:13.0,Defensive rebound by E. Moore,,15-21,,
5:01.0,E. Moore makes 3-pt shot from 25 ft (assist by D. Rose),3,18-21,,
4:43.0,,,18-23,2,T. Duncan makes 2-pt shot from 18 ft (assist by T. Parker)
4:31.0,E. Moore makes 2-pt shot from 2 ft (assist by T. Gibson),2,20-23,,
4:30.0,,,20-23,,San Antonio full timeout
4:30.0,D. McDermott enters the game for E. Moore,,20-23,,
4:30.0,N. Mirotic enters the game for T. Gibson,,20-23,,
4:30.0,,,20-23,,P. Mills enters the game for T. Parker
4:30.0,,,20-23,,M. Ginobili enters the game for D. Green
4:30.0,,,20-23,,B. Diaw enters the game for T. Duncan
4:12.0,,,20-23,,Turnover by B. Diaw (lost ball; steal by N. Mirotic)
3:59.0,Shooting foul by L. Aldridge (drawn by P. Gasol),,20-23,,
3:59.0,P. Gasol makes free throw 1 of 2,1,21-23,,
3:59.0,,,21-23,,D. West enters the game for L. Aldridge
3:59.0,J. Holiday enters the game for M. Dunleavy,,21-23,,
3:59.0,P. Gasol makes free throw 2 of 2,1,22-23,,
3:35.0,,,22-23,,D. West misses 2-pt shot from 15 ft
3:33.0,,,22-23,,Offensive rebound by B. Diaw
3:31.0,,,22-25,2,B. Diaw makes 2-pt shot from 2 ft
3:16.0,P. Gasol misses 2-pt shot from 6 ft,,22-25,,
3:13.0,,,22-25,,Defensive rebound by B. Diaw
3:01.0,,,22-25,,P. Mills misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by J. Holiday,,22-25,,
2:54.0,D. Rose misses 2-pt shot from 19 ft,,22-25,,
2:51.0,,,22-25,,Defensive rebound by B. Diaw
2:41.0,,,22-27,2,K. Leonard makes 2-pt shot from 19 ft (assist by P. Mills)
2:27.0,Turnover by N. Mirotic (traveling),,22-27,,
2:09.0,,,22-27,,K. Leonard misses 2-pt shot from 17 ft
2:08.0,Defensive rebound by Team,,22-27,,
1:54.0,J. Holiday misses 2-pt shot from 3 ft (block by D. West),,22-27,,
1:53.0,Offensive rebound by Team,,22-27,,
1:52.0,,,22-27,,K. Anderson enters the game for K. Leonard
1:52.0,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Rose),3,25-27,,
1:39.0,,,25-27,,B. Diaw misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by P. Gasol,,25-27,,
1:20.0,,,25-27,,Personal foul by K. Anderson
1:20.0,,,25-27,,K. Martin enters the game for B. Diaw
1:20.0,,,25-27,,Personal foul by M. Ginobili
1:20.0,D. Rose makes free throw 1 of 2,1,26-27,,
1:20.0,D. Rose makes free throw 2 of 2,1,27-27,,
1:01.0,,,27-27,,D. West misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by N. Mirotic,,27-27,,
0:55.0,Turnover by P. Gasol (bad pass),,27-27,,
0:55.0,B. Portis enters the game for P. Gasol,,27-27,,
0:55.0,E. Moore enters the game for D. Rose,,27-27,,
0:47.0,Personal foul by D. McDermott,,27-27,,
0:38.0,,,27-27,,M. Ginobili misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by B. Portis,,27-27,,
0:28.0,E. Moore misses 2-pt shot from 4 ft,,27-27,,
0:27.0,,,27-27,,Defensive rebound by K. Anderson
0:05.0,,,27-27,,M. Ginobili misses 2-pt shot from 5 ft
0:04.0,,,27-27,,Offensive rebound by D. West
0:01.0,,,27-27,,P. Mills misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by D. McDermott,,27-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,J. Holiday misses 2-pt shot from 12 ft,,27-27,,
11:32.0,Offensive rebound by N. Mirotic,,27-27,,
11:32.0,N. Mirotic makes 2-pt shot from 2 ft,2,29-27,,
11:21.0,Shooting block foul by J. Holiday (drawn by K. Martin),,29-27,,
11:21.0,,,29-28,1,K. Martin makes free throw 1 of 2
11:21.0,,,29-28,,K. Martin misses free throw 2 of 2
11:20.0,Defensive rebound by B. Portis,,29-28,,
11:05.0,D. McDermott misses 2-pt shot from 19 ft,,29-28,,
11:04.0,,,29-28,,Defensive rebound by K. Anderson
10:54.0,,,29-28,,K. Anderson misses 2-pt shot from 11 ft
10:53.0,Defensive rebound by B. Portis,,29-28,,
10:45.0,J. Holiday makes 2-pt shot from 18 ft,2,31-28,,
10:29.0,,,31-28,,P. Mills misses 2-pt shot from 3 ft
10:28.0,Defensive rebound by N. Mirotic,,31-28,,
10:23.0,N. Mirotic misses 3-pt shot from 25 ft,,31-28,,
