time,Orlando,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. D. Dedmon (R. Gay gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Dedmon (R. Gay gains possession)
11:43.0,,,0-0,,Turnover by R. Gay (lost ball)
11:27.0,A. Gordon makes 2-pt shot from 6 ft,2,2-0,,
11:01.0,,,2-0,,Turnover by R. Gay (lost ball; steal by V. Oladipo)
10:43.0,E. Fournier makes 3-pt shot from 25 ft (assist by C. Watson),3,5-0,,
10:25.0,,,5-0,,R. Rondo misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by A. Gordon,,5-0,,
10:07.0,D. Dedmon makes 2-pt shot from 8 ft (assist by E. Fournier),2,7-0,,
9:53.0,,,7-0,,Turnover by Q. Acy (lost ball; steal by V. Oladipo)
9:49.0,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo),2,9-0,,
9:49.0,,,9-0,,Sacramento full timeout
9:34.0,,,9-0,,Turnover by R. Gay (traveling)
9:19.0,Turnover by E. Fournier (traveling),,9-0,,
8:53.0,,,9-0,,D. Collison misses 2-pt shot from 14 ft
8:52.0,,,9-0,,Offensive rebound by W. Cauley-Stein
8:43.0,,,9-0,,R. Rondo misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by D. Dedmon,,9-0,,
8:23.0,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Fournier),3,12-0,,
8:16.0,,,12-2,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
8:02.0,E. Fournier misses 2-pt shot from 3 ft,,12-2,,
8:01.0,Offensive rebound by A. Gordon,,12-2,,
8:01.0,Shooting foul by R. Gay (drawn by A. Gordon),,12-2,,
8:01.0,A. Gordon misses free throw 1 of 2,,12-2,,
8:01.0,Offensive rebound by Team,,12-2,,
8:01.0,A. Gordon makes free throw 2 of 2,1,13-2,,
7:42.0,,,13-2,,Q. Acy misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by C. Watson,,13-2,,
7:29.0,Shooting foul by Q. Acy (drawn by V. Oladipo),,13-2,,
7:29.0,V. Oladipo misses free throw 1 of 2,,13-2,,
7:29.0,Offensive rebound by Team,,13-2,,
7:29.0,,,13-2,,O. Casspi enters the game for Q. Acy
7:29.0,V. Oladipo makes free throw 2 of 2,1,14-2,,
7:13.0,,,14-2,,O. Casspi misses 2-pt shot from 8 ft
7:12.0,Defensive rebound by E. Fournier,,14-2,,
7:09.0,Turnover by A. Gordon (lost ball; steal by R. Rondo),,14-2,,
7:01.0,,,14-2,,D. Collison misses 3-pt shot from 22 ft
7:00.0,Defensive rebound by A. Gordon,,14-2,,
6:56.0,Turnover by V. Oladipo (lost ball),,14-2,,
6:44.0,,,14-2,,D. Collison misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by E. Fournier,,14-2,,
6:36.0,E. Fournier misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,14-2,,
6:34.0,Offensive rebound by E. Fournier,,14-2,,
6:32.0,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier),2,16-2,,
6:13.0,Shooting block foul by E. Fournier (drawn by R. Gay),,16-2,,
6:13.0,,,16-3,1,R. Gay makes free throw 1 of 2
6:13.0,,,16-4,1,R. Gay makes free throw 2 of 2
6:02.0,Turnover by V. Oladipo (lost ball),,16-4,,
5:56.0,,,16-4,,Turnover by W. Cauley-Stein (lost ball; steal by E. Fournier)
5:39.0,Shooting foul by W. Cauley-Stein (drawn by A. Gordon),,16-4,,
5:39.0,A. Gordon makes free throw 1 of 2,1,17-4,,
5:39.0,,,17-4,,M. Belinelli enters the game for D. Collison
5:39.0,A. Gordon misses free throw 2 of 2,,17-4,,
5:38.0,,,17-4,,Defensive rebound by W. Cauley-Stein
5:13.0,,,17-4,,R. Gay misses 2-pt shot from 5 ft
5:12.0,Defensive rebound by D. Dedmon,,17-4,,
5:07.0,V. Oladipo misses 2-pt shot from 22 ft,,17-4,,
5:06.0,,,17-4,,Defensive rebound by Team
5:06.0,Loose ball foul by A. Gordon,,17-4,,
4:41.0,,,17-6,2,R. Rondo makes 2-pt shot from 6 ft
4:27.0,D. Dedmon misses 2-pt shot at rim (block by R. Gay),,17-6,,
4:25.0,,,17-6,,Defensive rebound by R. Gay
4:19.0,,,17-9,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Rondo)
3:55.0,V. Oladipo misses 3-pt shot from 23 ft,,17-9,,
3:55.0,Offensive rebound by V. Oladipo,,17-9,,
3:54.0,,,17-9,,Personal foul by R. Gay
3:54.0,J. Smith enters the game for D. Dedmon,,17-9,,
3:54.0,M. Hezonja enters the game for V. Oladipo,,17-9,,
3:54.0,,,17-9,,K. Koufos enters the game for W. Cauley-Stein
3:38.0,E. Fournier misses 2-pt shot from 19 ft,,17-9,,
3:37.0,Offensive rebound by M. Hezonja,,17-9,,
3:37.0,Orlando full timeout,,17-9,,
3:37.0,,,17-9,,S. Curry enters the game for R. Gay
3:25.0,J. Smith makes 2-pt shot from 19 ft (assist by M. Hezonja),2,19-9,,
3:08.0,,,19-9,,Turnover by M. Belinelli (bad pass)
2:50.0,A. Gordon makes 2-pt shot from 3 ft,2,21-9,,
2:38.0,,,21-11,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Rondo)
2:32.0,A. Gordon makes 2-pt shot at rim (assist by C. Watson),2,23-11,,
2:17.0,,,23-11,,M. Belinelli misses 2-pt shot from 22 ft
2:16.0,Defensive rebound by A. Gordon,,23-11,,
2:11.0,C. Watson misses 3-pt shot from 25 ft,,23-11,,
2:10.0,,,23-11,,Defensive rebound by K. Koufos
2:04.0,,,23-11,,O. Casspi misses 2-pt shot from 3 ft (block by J. Smith)
2:03.0,Defensive rebound by J. Smith,,23-11,,
1:49.0,E. Fournier makes 2-pt shot from 2 ft,2,25-11,,
1:28.0,,,25-11,,O. Casspi misses 3-pt shot from 24 ft
1:28.0,,,25-11,,Offensive rebound by K. Koufos
