time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. D. Howard (J. Green gains possession),,,,Jump ball: R. Hollins vs. D. Howard (J. Green gains possession)
11:39.0,B. Weber misses 2-pt shot from 4 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by D. Howard
11:34.0,Personal foul by R. Hollins,,0-0,,
11:21.0,,,0-3,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
11:10.0,,,0-3,,Violation by D. Motiejunas (kicked ball)
11:01.0,M. Barnes misses 3-pt shot from 25 ft,,0-3,,
11:00.0,,,0-3,,Defensive rebound by P. Beverley
10:44.0,,,0-6,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley)
10:44.0,,,0-6,,Loose ball foul by D. Howard
10:29.0,J. Green makes 2-pt shot at rim (assist by M. Barnes),2,2-6,,
10:08.0,,,2-9,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
9:51.0,J. Green misses 2-pt shot from 12 ft,,2-9,,
9:51.0,,,2-9,,Defensive rebound by T. Ariza
9:44.0,,,2-9,,Turnover by J. Harden (bad pass)
9:36.0,R. Hollins makes 2-pt shot from 2 ft (assist by M. Barnes),2,4-9,,
9:23.0,,,4-9,,D. Motiejunas misses 2-pt shot from 8 ft
9:22.0,,,4-9,,Offensive rebound by D. Howard
9:17.0,,,4-9,,Shooting foul by T. Allen (drawn by D. Motiejunas)
9:17.0,,,4-10,1,D. Motiejunas makes free throw 1 of 2
9:17.0,,,4-11,1,D. Motiejunas makes free throw 2 of 2
9:04.0,Offensive foul by J. Green,,4-11,,
9:04.0,Turnover by J. Green (offensive foul),,4-11,,
8:57.0,,,4-13,2,P. Beverley makes 2-pt shot from 21 ft
8:49.0,Turnover by J. Green (lost ball),,4-13,,
8:28.0,,,4-13,,D. Motiejunas misses 2-pt shot from 9 ft
8:25.0,Defensive rebound by B. Weber,,4-13,,
8:18.0,T. Allen misses 2-pt shot from 4 ft,,4-13,,
8:18.0,Offensive rebound by J. Green,,4-13,,
8:18.0,J. Green misses 2-pt shot from 2 ft,,4-13,,
8:17.0,Offensive rebound by R. Hollins,,4-13,,
8:17.0,R. Hollins makes 2-pt shot from 2 ft,2,6-13,,
8:02.0,,,6-15,2,T. Ariza makes 2-pt shot from 18 ft
7:45.0,T. Allen misses 2-pt shot from 4 ft (block by J. Harden),,6-15,,
7:44.0,,,6-15,,Defensive rebound by D. Howard
7:38.0,,,6-18,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
7:29.0,Memphis full timeout,,6-18,,
7:29.0,,,6-18,,Technical foul by P. Beverley
7:29.0,Technical foul by B. Weber,,6-18,,
7:24.0,Memphis full timeout,,6-18,,
7:17.0,J. Green misses 2-pt shot from 5 ft,,6-18,,
7:16.0,,,6-18,,Defensive rebound by D. Howard
7:05.0,,,6-21,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
6:52.0,B. Weber misses 2-pt shot from 10 ft,,6-21,,
6:51.0,,,6-21,,Defensive rebound by T. Ariza
6:35.0,,,6-21,,Turnover by J. Harden (lost ball; steal by T. Allen)
6:29.0,T. Allen misses 2-pt shot from 2 ft,,6-21,,
6:28.0,Offensive rebound by M. Barnes,,6-21,,
6:28.0,M. Barnes makes 2-pt shot from 2 ft,2,8-21,,
6:11.0,,,8-21,,D. Motiejunas misses 2-pt shot from 10 ft
6:10.0,Defensive rebound by M. Barnes,,8-21,,
6:02.0,T. Allen misses 3-pt shot from 23 ft,,8-21,,
6:01.0,,,8-21,,Defensive rebound by J. Harden
5:52.0,,,8-24,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
5:36.0,M. Barnes makes 3-pt shot from 26 ft (assist by J. Green),3,11-24,,
5:26.0,,,11-24,,T. Ariza misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by Team,,11-24,,
5:25.0,,,11-24,,C. Capela enters the game for D. Howard
5:25.0,,,11-24,,M. Beasley enters the game for D. Motiejunas
5:25.0,P. Hairston enters the game for T. Allen,,11-24,,
5:08.0,M. Barnes makes 3-pt shot from 24 ft (assist by P. Hairston),3,14-24,,
4:57.0,,,14-24,,Turnover by C. Capela (lost ball)
4:46.0,J. Green makes 2-pt shot at rim (assist by B. Weber),2,16-24,,
4:44.0,,,16-24,,Houston full timeout
4:31.0,,,16-24,,J. Harden misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by B. Weber,,16-24,,
4:10.0,P. Hairston misses 2-pt shot from 21 ft,,16-24,,
4:09.0,,,16-24,,Defensive rebound by M. Beasley
3:59.0,,,16-26,2,M. Beasley makes 2-pt shot from 15 ft (assist by J. Harden)
3:41.0,J. Green misses 2-pt shot from 17 ft,,16-26,,
3:40.0,,,16-26,,Defensive rebound by P. Beverley
3:27.0,,,16-26,,Shooting foul by P. Hairston (drawn by J. Harden)
3:27.0,,,16-27,1,J. Harden makes free throw 1 of 2
3:27.0,,,16-27,,J. Terry enters the game for P. Beverley
3:27.0,,,16-27,,C. Brewer enters the game for T. Ariza
3:27.0,R. McCallum enters the game for R. Hollins,,16-27,,
3:27.0,J. Martin enters the game for B. Weber,,16-27,,
3:27.0,,,16-28,1,J. Harden makes free throw 2 of 2
3:14.0,Turnover by J. Green (lost ball; steal by M. Beasley),,16-28,,
3:10.0,,,16-28,,Shooting foul by J. Green (drawn by C. Capela)
3:10.0,,,16-29,1,C. Capela makes free throw 1 of 2
3:10.0,A. Stepheson enters the game for J. Green,,16-29,,
3:10.0,,,16-29,,C. Capela misses free throw 2 of 2
3:10.0,Defensive rebound by M. Barnes,,16-29,,
2:47.0,J. Martin misses 2-pt shot from 3 ft (block by M. Beasley),,16-29,,
2:46.0,,,16-29,,Defensive rebound by M. Beasley
2:37.0,,,16-31,2,M. Beasley makes 2-pt shot from 19 ft (assist by J. Terry)
2:26.0,Shooting foul by J. Terry (drawn by J. Martin),,16-31,,
2:26.0,J. Martin makes free throw 1 of 2,1,17-31,,
2:26.0,J. Martin makes free throw 2 of 2,1,18-31,,
2:14.0,,,18-31,,Offensive charge foul by J. Harden
2:14.0,,,18-31,,Turnover by J. Harden (offensive foul)
2:02.0,J. Martin misses 2-pt shot from 2 ft,,18-31,,
2:01.0,Offensive rebound by A. Stepheson,,18-31,,
2:01.0,A. Stepheson misses 2-pt shot from 2 ft (block by C. Capela),,18-31,,
2:00.0,Offensive rebound by Team,,18-31,,
1:49.0,P. Hairston misses 3-pt shot from 25 ft,,18-31,,
1:48.0,,,18-31,,Defensive rebound by M. Beasley
1:40.0,,,18-31,,Shooting foul by A. Stepheson (drawn by J. Harden)
1:40.0,,,18-32,1,J. Harden makes free throw 1 of 2
1:40.0,,,18-32,,D. Howard enters the game for C. Capela
1:40.0,,,18-32,,J. Harden misses free throw 2 of 2
1:40.0,Defensive rebound by J. Martin,,18-32,,
1:29.0,Turnover by R. McCallum (lost ball; steal by M. Beasley),,18-32,,
1:23.0,,,18-32,,J. Harden misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by J. Martin,,18-32,,
1:15.0,M. Barnes misses 2-pt shot from 4 ft,,18-32,,
1:12.0,Offensive rebound by M. Barnes,,18-32,,
1:12.0,M. Barnes makes 2-pt shot from 1 ft,2,20-32,,
1:03.0,,,20-32,,M. Beasley misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by R. McCallum,,20-32,,
0:57.0,,,20-32,,Flagrant foul type 1 by D. Howard
0:57.0,J. Martin makes flagrant free throw 1 of 2,1,21-32,,
0:57.0,J. Martin makes flagrant free throw 2 of 2,1,22-32,,
0:57.0,,,22-32,,P. Beverley enters the game for J. Harden
0:46.0,P. Hairston misses 3-pt shot from 25 ft,,22-32,,
0:45.0,,,22-32,,Defensive rebound by M. Beasley
0:30.0,,,22-32,,Shooting foul by J. Martin (drawn by M. Beasley)
0:30.0,,,22-33,1,M. Beasley makes free throw 1 of 2
0:30.0,,,22-34,1,M. Beasley makes free throw 2 of 2
